datetime,open,high,low,close,volume
2010-01-04,8.375,8.56500,8.375,8.48500,27146800
2010-01-05,8.46500,8.49000,8.27500,8.37000,35493000
2010-01-06,8.39000,8.40000,8.26500,8.31000,27741400
2010-01-07,8.35500,8.53000,8.27500,8.48500,30214800
2010-01-08,8.46500,8.53500,8.40500,8.46000,25454000
2010-01-11,8.43500,8.5,8.36500,8.40500,38109200
2010-01-12,8.375,8.375,8.20500,8.25500,36282000
2010-01-13,8.34000,8.42500,8.31000,8.38500,31533800
2010-01-14,8.41000,8.41500,8.30500,8.33500,34823600
2010-01-15,8.37000,8.41000,8.19500,8.31500,43236000
2010-01-19,8.36500,8.43000,8.31000,8.40500,25319000
2010-01-20,8.29000,8.33000,8.10000,8.26000,43376400
2010-01-21,8.26000,8.29000,7.92000,8,65772600
2010-01-22,8.0050001,8.19000,7.90500,7.92500,56665000
2010-01-25,7.93500,8.085000,7.88000,8.0050001,30493200
2010-01-26,7.95500,8.025000,7.79000,7.85000,42569400
2010-01-27,7.81500,8.045000,7.79000,7.92500,40780000
2010-01-28,7.98500,8.060000,7.77500,7.81000,38618800
2010-01-29,7.875,8.065000,7.75500,7.91500,54386600
2010-02-01,8.040000,8.050000,7.93000,7.97000,32681400
2010-02-02,7.92500,8.17500,7.92000,8.14500,38526400
2010-02-03,8.27000,8.30000,7.92500,7.98500,58379600
2010-02-04,7.90000,7.97500,7.76000,7.76000,45437200
2010-02-05,7.75500,7.86500,7.57500,7.71000,53431200
2010-02-08,7.72500,7.73500,7.60000,7.60500,31328000
2010-02-09,7.69000,7.85000,7.63500,7.69500,48789400
2010-02-10,7.72000,7.72000,7.59000,7.65500,43407200
2010-02-11,7.63000,7.71500,7.55500,7.66500,36472000
2010-02-12,7.57500,7.68500,7.55000,7.67000,55095600
2010-02-16,7.79500,7.85500,7.72500,7.83500,40474600
2010-02-17,7.88500,7.88500,7.80000,7.83000,26798200
2010-02-18,7.85000,7.90000,7.80000,7.86500,25432600
2010-02-19,7.82000,8.020000,7.77500,8,51955000
2010-02-22,8.050000,8.14500,8.0050001,8.095000,39578000
2010-02-23,8.050000,8.15500,8.015000,8.070000,34481600
2010-02-24,8.13500,8.23500,8.050000,8.21000,53823600
2010-02-25,8.080000,8.13000,7.97500,8.070000,46155800
2010-02-26,8.11500,8.23500,8.035000,8.22000,43478000
2010-03-01,8.25,8.44500,8.25,8.41500,46009200
2010-03-02,8.41500,8.48500,8.35000,8.40000,44590800
2010-03-03,8.44500,8.49500,8.39000,8.48000,46038400
2010-03-04,8.5,8.60000,8.47000,8.58500,31287600
2010-03-05,8.59000,8.72500,8.58500,8.71500,32694800
2010-03-08,8.66000,8.83500,8.62000,8.78000,33416400
2010-03-09,8.79000,8.82500,8.70500,8.75500,34396600
2010-03-10,8.71000,8.84000,8.68500,8.76500,37625400
2010-03-11,8.71000,8.78500,8.64500,8.78500,21028000
2010-03-12,8.74500,8.83000,8.65000,8.71000,28875200
2010-03-15,8.76500,8.78000,8.66000,8.76500,25120200
2010-03-16,8.86000,8.87000,8.69000,8.74500,39739600
2010-03-17,8.70000,8.87000,8.70000,8.79000,27608000
2010-03-18,8.84000,8.86500,8.73500,8.83500,30982200
2010-03-19,8.92500,8.93500,8.67500,8.76500,48341400
2010-03-22,8.70500,8.94000,8.70000,8.89000,31109800
2010-03-23,8.91000,9.065000,8.85500,9.045000,41655800
2010-03-24,8.97500,9.11500,8.97500,9.090000,35448800
2010-03-25,9.12000,9.33500,9.080000,9.22000,50792000
2010-03-26,9.25500,9.375,9.13000,9.17000,26237000
2010-03-29,9.13500,9.29000,9.125,9.25,29427600
2010-03-30,9.20500,9.42000,9.20500,9.37000,56302000
2010-03-31,9.30000,9.47000,9.28500,9.41500,54720600
2010-04-01,9.41000,9.52000,9.31000,9.43000,38877200
2010-04-05,9.40500,9.49000,9.34000,9.41000,26500200
2010-04-06,9.34000,9.46000,9.29000,9.38000,22708600
2010-04-07,9.34000,9.40500,9.010000,9.14500,61457200
2010-04-08,9.090000,9.26000,9.085000,9.21500,32317400
2010-04-09,9.24500,9.28500,9.20500,9.25,28661400
2010-04-12,9.25500,9.36000,9.22500,9.31500,25058000
2010-04-13,9.30500,9.35500,9.24500,9.33500,46489200
2010-04-14,9.31500,9.47500,9.24000,9.46500,40990400
2010-04-15,9.375,9.5,9.35000,9.43000,44460400
2010-04-16,9.42000,9.43000,9.13000,9.16000,54172000
2010-04-19,9.14500,9.30500,9.125,9.29000,38145600
2010-04-20,9.31000,9.36000,9.24000,9.27000,33925000
2010-04-21,9.26500,9.30500,9.18000,9.26500,29001600
2010-04-22,9.20500,9.44500,9.13000,9.40000,30899400
2010-04-23,9.34000,9.49000,9.31000,9.48000,30008000
2010-04-26,9.44000,9.59500,9.41000,9.54000,36950800
2010-04-27,9.5,9.56500,9.18500,9.23000,56558800
2010-04-28,9.5,9.60000,9.20000,9.40500,78266800
2010-04-29,9.42000,10.045000,9.42000,10,96206000
2010-04-30,9.88500,9.93500,9.73000,9.88500,81865200
2010-05-03,9.88500,10.28000,9.88500,10.19500,69744200
2010-05-04,10.13500,10.13500,9.78000,9.93500,48148400
2010-05-05,9.95500,10.14500,9.76500,9.87000,48834200
2010-05-06,9.73000,9.74500,8.82500,9.25500,116645600
2010-05-07,9.21000,9.43500,9,9.18000,84844400
2010-05-10,9.36500,9.54000,8.86500,9.015000,94692600
2010-05-11,8.95000,9.29500,8.82500,9.040000,84670600
2010-05-12,9.020000,9.17000,8.97000,9.090000,93975600
2010-05-13,9.12000,9.13000,8.80500,8.88000,116282800
2010-05-14,8.86500,8.88500,8.67500,8.80000,59878800
2010-05-17,8.81500,9.075000,8.75500,9.050000,47894800
2010-05-18,9.11000,9.20000,8.80000,8.84500,44139800
2010-05-19,8.83000,8.88500,8.62000,8.79000,44221400
2010-05-20,8.63500,8.65500,8.38500,8.39500,56555800
2010-05-21,8.22500,8.89000,8.18000,8.51500,70543600
2010-05-24,8.44500,8.56000,8.30500,8.38500,32471200
2010-05-25,8.23000,8.86000,8.15000,8.83500,97182400
2010-05-26,8.88000,9.23000,8.82500,8.86000,84876200
2010-05-27,8.99500,9.17000,8.95500,9.16500,52134400
2010-05-28,9.020000,9.16500,8.98500,9.045000,42563000
2010-06-01,8.87000,9.18500,8.86500,9.010000,50250600
2010-06-02,9.045000,9.20000,8.95000,9.19000,43806600
2010-06-03,9.17000,9.22500,9.070000,9.20000,34528600
2010-06-04,9.040000,9.10000,8.86500,8.89500,49246800
2010-06-07,8.90000,8.91000,8.67500,8.68000,41327800
2010-06-08,8.69500,8.78000,8.56500,8.71500,41863800
2010-06-09,8.76500,8.98000,8.69500,8.71000,38338000
2010-06-10,8.85500,9.045000,8.79000,9.035000,43152200
2010-06-11,8.96500,9.11500,8.85500,9.095000,52997600
2010-06-14,9.16500,9.28000,9.075000,9.075000,30733000
2010-06-15,9.17500,9.36500,9.13500,9.32500,34436400
2010-06-16,9.31000,9.34000,9.15500,9.19500,30380000
2010-06-17,9.22500,9.29500,9.17000,9.29000,27097200
2010-06-18,9.35000,9.39000,9.22500,9.25500,36299400
2010-06-21,9.33000,9.44000,9.10000,9.17500,23259400
2010-06-22,9.20500,9.33000,9.11500,9.12000,53810200
2010-06-23,9.11500,9.23500,9.045000,9.090000,33841400
2010-06-24,9.010000,9.085000,8.86000,8.91000,46304400
2010-06-25,8.91500,8.94500,8.78000,8.83500,64658600
2010-06-28,8.85500,9.095000,8.81000,9.055000,86135600
2010-06-29,8.95500,8.98500,8.74500,8.84000,61922600
2010-06-30,8.83500,8.88500,8.66000,8.68500,57792000
2010-07-01,8.66000,8.88500,8.53500,8.87000,62509200
2010-07-02,8.83500,8.875,8.65500,8.73000,37384400
2010-07-06,8.80000,9.050000,8.78500,8.90000,78184400
2010-07-07,8.90000,8.93500,8.76500,8.92000,53734600
2010-07-08,8.98000,9.0050001,8.82000,8.92000,77161800
2010-07-09,8.94500,9.045000,8.88000,9.035000,38800000
2010-07-12,8.96000,9.29500,8.92500,9.25500,60505800
2010-07-13,9.35000,9.61000,9.32000,9.51000,58411000
2010-07-14,9.51000,9.61000,9.43000,9.49000,34092000
2010-07-15,9.51000,9.67000,9.43500,9.65500,45720000
2010-07-16,9.65500,9.67500,9.24000,9.27000,54077800
2010-07-19,9.26500,9.54500,9.23500,9.50500,42469800
2010-07-20,9.37000,9.47500,9.29000,9.43000,44473000
2010-07-21,9.42500,9.43500,9.055000,9.17500,70375800
2010-07-22,9.23500,9.5,9.23000,9.41000,41583400
2010-07-23,9.42000,9.70500,9.38000,9.66000,39385000
2010-07-26,9.66000,9.74500,9.58500,9.73500,30583600
2010-07-27,9.74000,9.79000,9.53500,9.66500,43463000
2010-07-28,9.56000,9.86000,9.42000,9.78000,59790800
2010-07-29,9.80500,9.88000,9.43000,9.56500,48036600
2010-07-30,9.42500,9.85500,9.41500,9.73500,54034200
2010-08-02,9.86500,9.90000,9.65500,9.74000,51465400
2010-08-03,9.71000,9.75,9.52000,9.60500,28845600
2010-08-04,9.67500,9.70000,9.52000,9.61500,34854200
2010-08-05,9.53000,9.65000,9.44500,9.47000,41629600
2010-08-06,9.37000,9.38000,8.98500,9.32000,87348800
2010-08-09,9.375,9.42500,9.32000,9.36500,37709800
2010-08-10,9.24500,9.35000,9.13000,9.30500,45211800
