datetime,open,high,low,close,volume
2010-01-04,17.24000,17.24000,17.040001,17.12000,242100
2010-01-05,17.68000,17.97000,17.65000,17.85000,510500
2010-01-06,18.37000,18.37000,18.030001,18.059999,501600
2010-01-07,18.54000,18.63000,18.45000,18.58000,664100
2010-01-08,19.5,19.97000,19.5,19.67000,1118300
2010-01-11,19.96000,19.96000,19.67000,19.77000,274400
2010-01-12,19.31000,19.5,19.17000,19.25,723700
2010-01-13,19.69000,19.81000,19.43000,19.51000,878800
2010-01-14,19.20000,19.38000,19.18000,19.25,1027200
2010-01-15,19.92000,20.080000,19.69000,20.040001,1095800
2010-01-19,20.13000,20.34000,20.020000,20.12000,633700
2010-01-20,20.98000,21.38000,20.93000,21.080000,1018200
2010-01-21,21.39000,21.47000,20.92000,20.93000,1139000
2010-01-22,20.98000,21.059999,20.73000,20.73000,939100
2010-01-25,20.58000,20.58000,20.40000,20.51000,942400
2010-01-26,20.29000,20.40000,20.040001,20.11000,756200
2010-01-27,21.43000,21.64000,21.30000,21.43000,1574900
2010-01-28,21.65000,21.65000,21.13000,21.23000,1107100
2010-01-29,21.72000,21.78000,21.020000,21.13000,1128400
2010-02-01,21.32000,21.32000,21.020000,21.17000,1144100
2010-02-02,21.30000,21.33000,21.20000,21.25,1514200
2010-02-03,20.90000,21.049999,20.48000,20.56000,830900
2010-02-04,20.75,20.82000,20.11000,20.16000,1452800
2010-02-05,19.99000,19.99000,19.15000,19.44000,743400
2010-02-08,20.36000,20.36000,19.86000,19.99000,966100
2010-02-09,19.92000,20.11000,19.82000,20.080000,794000
2010-02-10,20.040001,20.059999,19.75,20.049999,415400
2010-02-11,20.22000,20.39000,19.91000,20.34000,313300
2010-02-12,20.28000,20.46000,20.23000,20.35000,616600
2010-02-16,20.26000,20.26000,19.87000,20.12000,1257300
2010-02-17,20.45000,20.46000,20.31000,20.39000,2522800
2010-02-18,20.28000,20.5,20.24000,20.49000,505700
2010-02-19,20.21000,20.32000,20,20.040001,962300
2010-02-22,20.42000,20.42000,20.19000,20.37000,393900
2010-02-23,20.12000,20.24000,19.60000,19.62000,595900
2010-02-24,19.35000,19.37000,19.17000,19.28000,696400
2010-02-25,18.80000,18.86000,18.65000,18.81000,646100
2010-02-26,19.020000,19.19000,18.99000,19.18000,427200
2010-03-01,19.020000,19.43000,19.020000,19.36000,300000
2010-03-02,19.27000,19.47000,19.14000,19.36000,568000
2010-03-03,19.53000,19.54000,19.36000,19.39000,260900
2010-03-04,19.15000,19.16000,18.97000,19.080000,730300
2010-03-05,19.080000,19.67000,19.049999,19.64000,1480100
2010-03-08,20.29000,20.58000,20.29000,20.5,688100
2010-03-09,20.63000,20.90000,20.60000,20.75,1315300
2010-03-10,20.77000,20.93000,20.61000,20.79000,441300
2010-03-11,20.61000,20.61000,20.33000,20.5,294300
2010-03-12,20.65000,20.69000,20.54000,20.69000,420700
2010-03-15,20.54000,20.54000,20.29000,20.33000,248300
2010-03-16,20.39000,20.43000,20.26000,20.43000,248600
2010-03-17,20.39000,20.49000,20.26000,20.36000,302800
2010-03-18,20.23000,20.27000,20.090000,20.21000,192200
2010-03-19,20.40000,20.57000,20.39000,20.40000,713700
2010-03-22,20.5,20.73000,20.5,20.69000,223500
2010-03-23,20.67000,20.71000,20.56000,20.69000,419800
2010-03-24,20.66000,20.69000,20.51000,20.59000,297300
2010-03-25,20.77000,20.83000,20.61000,20.70000,400700
2010-03-26,20.86000,21.16000,20.80000,20.94000,370000
2010-03-29,20.91000,21,20.78000,20.94000,276200
2010-03-30,20.89000,20.90000,20.65000,20.72000,192700
2010-03-31,20.72000,20.92000,20.60000,20.76000,367400
2010-04-01,21.059999,21.18000,20.98000,21.16000,601000
2010-04-05,20.39000,20.49000,20.049999,20.11000,432000
2010-04-06,20.19000,20.36000,20.15000,20.33000,392100
2010-04-07,20.65000,20.82000,20.55000,20.82000,321200
2010-04-08,20.82000,20.93000,20.72000,20.82000,225200
2010-04-09,20.93000,21.10000,20.85000,21.10000,247800
2010-04-12,20.94000,21.030001,20.76000,20.77000,360600
2010-04-13,20.83000,20.89000,20.71000,20.87000,219000
2010-04-14,20.74000,20.81000,20.63000,20.81000,204300
2010-04-15,20.75,20.95000,20.75,20.94000,158800
2010-04-16,20.75,20.86000,20.38000,20.53000,305600
2010-04-19,20.55000,20.56000,20.39000,20.40000,333700
2010-04-20,21.070000,21.36000,21.070000,21.35000,648500
2010-04-21,21.56000,21.56000,21.32000,21.38000,670000
2010-04-22,21.30000,21.61000,21.16000,21.53000,468700
2010-04-23,21.75,21.85000,21.52000,21.84000,408200
2010-04-26,21.83000,21.85000,21.69000,21.77000,364500
2010-04-27,21.30000,21.34000,20.92000,20.92000,623500
2010-04-28,20.90000,20.91000,20.68000,20.82000,429600
2010-04-29,21.20000,21.64000,21.20000,21.5,342100
2010-04-30,21.97000,22.81000,21.86000,22.60000,2558600
2010-05-03,22.44000,22.66000,22.44000,22.62000,721200
2010-05-04,22.25,22.28000,21.51000,21.64000,695400
2010-05-05,21.54000,21.58000,21.23000,21.44000,770400
2010-05-06,21.26000,21.43000,20.94000,21.34000,1677500
2010-05-07,20.97000,21.14000,20.39000,20.95000,1530800
2010-05-10,21.39000,21.70000,21.29000,21.69000,1153000
2010-05-11,20.99000,21.18000,20.69000,21.11000,1014500
2010-05-12,20.87000,21.080000,20.79000,20.89000,580600
2010-05-13,21.070000,21.27000,20.92000,21.12000,369000
2010-05-14,21.80000,21.82000,21.25,21.36000,395700
2010-05-17,20.93000,20.99000,20.19000,20.43000,689000
2010-05-18,20.89000,20.96000,20.68000,20.85000,1041500
2010-05-19,20.29000,20.54000,20.19000,20.32000,464800
2010-05-20,19.84000,19.86000,19,19.14000,914700
2010-05-21,18.97000,19.61000,18.94000,19.59000,289200
2010-05-24,19.48000,19.85000,19.42000,19.71000,1125400
2010-05-25,19.010000,19.010000,18.25,18.82000,1118500
2010-05-26,18.63000,18.89000,18.54000,18.69000,1363500
2010-05-27,18.81000,19.10000,18.68000,19.030001,2217500
2010-05-28,18.88000,18.88000,18.39000,18.61000,1126800
2010-06-01,18.74000,19.12000,18.66000,18.84000,419400
2010-06-02,18.94000,19.25,18.84000,19.16000,988500
2010-06-03,19.49000,19.96000,19.49000,19.90000,1424200
2010-06-04,19.59000,19.70000,19.49000,19.58000,864600
2010-06-07,19.60000,19.61000,19.030001,19.030001,683000
2010-06-08,19.16000,19.57000,19.049999,19.52000,1191000
2010-06-09,19.75,20.17000,19.72000,19.95000,1911500
2010-06-10,20.11000,20.54000,20.059999,20.49000,1561400
2010-06-11,20.20000,20.36000,20.11000,20.36000,968300
2010-06-14,20.41000,20.41000,20.19000,20.26000,351900
2010-06-15,19.95000,20.38000,19.89000,20.37000,788200
2010-06-16,19.72000,19.90000,19.67000,19.80000,545300
2010-06-17,19.58000,19.75,19.18000,19.72000,504400
2010-06-18,19.47000,19.87000,19.47000,19.86000,758200
2010-06-21,19.99000,20.080000,19.77000,19.89000,646500
2010-06-22,19.93000,20.070000,19.65000,19.66000,568900
2010-06-23,19.75,19.90000,19.55000,19.73000,397800
2010-06-24,19.47000,19.52000,19.29000,19.34000,265600
2010-06-25,19.12000,19.33000,18.95000,19.25,420000
2010-06-28,19.25,19.32000,19.18000,19.24000,203900
2010-06-29,19.13000,19.27000,18.87000,18.99000,1068200
2010-06-30,19.030001,19.33000,18.89000,19.17000,813000
2010-07-01,18.86000,19.090000,18.73000,19.040001,688200
2010-07-02,19,19.070000,18.86000,18.95000,598300
2010-07-06,18.91000,19,18.54000,18.66000,1206200
2010-07-07,18.54000,18.85000,18.48000,18.81000,632400
2010-07-08,18.82000,18.88000,18.72000,18.76000,731300
2010-07-09,18.84000,19.5,18.82000,19.47000,983600
2010-07-12,19.31000,19.31000,19.10000,19.10000,714500
2010-07-13,18.92000,19.22000,18.92000,19.12000,640200
2010-07-14,18.61000,18.63000,18.29000,18.46000,917300
2010-07-15,17.97000,17.97000,17.48000,17.79000,1845400
2010-07-16,17.81000,17.98000,17.74000,17.85000,1766500
2010-07-19,17.72000,17.88000,17.70000,17.85000,548700
2010-07-20,17.74000,18.15000,17.74000,18.070000,663900
2010-07-21,18.049999,18.29000,17.95000,17.97000,1253000
2010-07-22,18.040001,18.27000,17.99000,18.23000,970000
2010-07-23,18.45000,18.51000,18.33000,18.42000,809900
2010-07-26,18.56000,18.81000,18.36000,18.80000,980300
