datetime,open,high,low,close,volume
2010-01-04,31.32549,31.37239,31.034746,31.21295,16176648
2010-01-05,31.29736,31.32549,30.74400,31.26922,23722957
2010-01-06,30.61270,30.70649,29.82487,29.93742,37506464
2010-01-07,30.10624,30.10624,29.57164,29.75922,25508242
2010-01-08,29.69357,29.80611,29.46847,29.77798,20658308
2010-01-11,29.98431,29.98431,29.46847,29.89990,21974989
2010-01-12,29.80611,29.93742,29.72170,29.92804,14407568
2010-01-13,29.96555,30.049965,29.69357,29.89052,17108741
2010-01-14,29.84363,29.89052,29.26214,29.28090,23054221
2010-01-15,29.26214,29.37468,28.55872,28.68065,46642300
2010-01-19,28.83071,29.37468,28.74630,29.29027,23935668
2010-01-20,29.29027,29.39344,28.69940,28.80257,30237693
2010-01-21,28.87760,29.046421,28.38052,28.72754,23572406
2010-01-22,28.67127,29.0089073,28.41804,28.45555,24228667
2010-01-25,28.88698,29.13083,28.38990,28.77444,21103350
2010-01-26,28.51183,28.63375,27.90220,28.29611,37811511
2010-01-27,28.12729,28.32425,27.66773,28.014744,34965652
2010-01-28,27.97723,28.32425,27.32071,27.50828,35659870
2010-01-29,27.62083,27.91158,27.39574,27.59269,27086894
2010-02-01,27.96785,27.99599,27.52704,27.77089,18225611
2010-02-02,27.72400,28.024122,27.64897,27.88344,17606348
2010-02-03,27.89282,27.96785,27.21754,27.37698,35864052
2010-02-04,27.18002,27.23630,26.84238,26.85176,28760120
2010-02-05,26.85176,26.97369,26.55164,26.95493,25070131
2010-02-08,27.0018234,27.029961,26.60791,26.60791,17707533
2010-02-09,26.91741,27.27381,26.90804,26.96431,25553557
2010-02-10,27.0018234,27.21754,26.77673,27.076855,16152658
2010-02-11,27.067476,27.38636,26.89866,27.23630,15994750
2010-02-12,27.12375,27.21754,26.92679,27.13313,15161602
2010-02-16,27.39574,27.42387,27.23630,27.36760,12456485
2010-02-17,27.44263,27.57394,27.22692,27.33009,14310116
2010-02-18,27.33009,27.44263,27.14251,27.33946,11936700
2010-02-19,27.21754,27.46139,27.11437,27.21754,19705104
2010-02-22,27.25505,27.32071,27.10499,27.19878,14640538
2010-02-23,27.12375,27.15189,26.91741,26.95493,15712094
2010-02-24,26.98307,27.19878,26.92679,27.16126,13273532
2010-02-25,26.98307,27.17064,26.82363,27.086233,16887606
2010-02-26,27.13313,27.20816,26.97369,27.13313,13582737
2010-03-01,27.17064,27.30195,27.058098,27.18940,17269741
2010-03-02,27.24567,27.46139,27.10499,27.44263,18502083
2010-03-03,27.49891,27.51766,27.22692,27.32071,14241984
2010-03-04,27.40512,27.59269,27.29257,27.45201,13974255
2010-03-05,27.47077,27.52704,27.30195,27.41450,19983282
2010-03-08,27.48015,27.87406,27.38636,27.78965,17094454
2010-03-09,27.77089,28.17419,27.73338,28.052259,21646272
2010-03-10,28.12729,28.17419,27.78027,27.90220,19359540
2010-03-11,27.89282,27.99599,27.76151,27.98661,11714926
2010-03-12,28.071018,28.071018,27.78965,27.88344,12047268
2010-03-15,27.85530,28.0053654,27.76151,28.0053654,13430587
2010-03-16,28.089775,28.13667,27.92096,28.071018,13724758
2010-03-17,28.089775,28.37114,28.089775,28.27735,26049671
2010-03-18,28.29611,28.49307,28.27735,28.41804,11864730
2010-03-19,28.52120,28.64313,28.37114,28.52120,21208267
2010-03-22,28.39928,28.81195,28.39928,28.74630,13596172
2010-03-23,28.79319,29.055801,28.69940,29.055801,15380178
2010-03-24,28.98077,29.027664,28.51183,28.56810,16000934
2010-03-25,28.76506,28.77444,28.38990,28.42742,14419510
2010-03-26,28.47431,28.55872,28.29611,28.48369,12930102
2010-03-29,28.68065,28.69940,28.47431,28.55872,14965844
2010-03-30,29.17773,29.54350,29.093317,29.29027,47206333
2010-03-31,29.27152,29.29027,28.97139,29.093317,22853877
2010-04-01,29.30903,29.48723,29.19649,29.33717,18351745
2010-04-05,29.74046,29.74046,29.34655,29.50599,18849245
2010-04-06,29.41220,29.41220,29.18711,29.26214,22490295
2010-04-07,28.86822,28.86822,28.22108,28.36176,29006204
2010-04-08,28.27735,28.39928,28.0053654,28.28673,31576231
2010-04-09,28.31487,28.36176,28.071018,28.21170,21013681
2010-04-12,28.18356,28.32425,28.042881,28.080397,19633027
2010-04-13,28.13667,28.27735,27.91158,28.20232,20272868
2010-04-14,28.18356,28.18356,27.80841,27.99599,44206404
2010-04-15,27.98661,27.98661,27.66773,27.70524,28856720
2010-04-16,27.65835,27.93033,27.64897,27.74276,26306631
2010-04-19,27.66773,27.91158,27.62083,27.88344,18978685
2010-04-20,27.93971,27.97723,27.70524,27.91158,15930883
2010-04-21,27.93971,27.97723,27.60207,27.72400,24152645
2010-04-22,27.31133,27.52704,27.11437,27.46139,26552929
2010-04-23,27.26443,27.26443,27.029961,27.24567,26070569
2010-04-26,27.18002,27.29257,27.048719,27.14251,17428075
2010-04-27,27.095613,27.15189,26.82363,26.96431,26602295
2010-04-28,27.058098,27.43325,26.93617,27.31133,28366150
2010-04-29,27.40512,27.49891,27.31133,27.40512,15858806
2010-04-30,27.38636,27.48953,27.095613,27.10499,23367584
2010-05-03,27.34884,27.61145,27.30195,27.47077,15539899
2010-05-04,27.33009,27.34884,26.75797,26.96431,36789108
2010-05-05,26.86114,27.13313,26.80487,26.89866,17347895
2010-05-06,26.83300,26.93617,24.84468,26.27027,42107968
2010-05-07,26.24213,26.92679,26.073315,26.43909,38892982
2010-05-10,27.13313,27.19878,26.52350,26.83300,27673851
2010-05-11,26.69232,26.87052,26.49536,26.63605,24781611
2010-05-12,26.77673,26.99244,26.68294,26.91741,20688909
2010-05-13,26.90804,27.16126,26.76735,26.90804,14156579
2010-05-14,26.81425,27.058098,26.58915,26.73922,24603551
2010-05-17,26.71108,26.92679,26.55164,26.87990,22279502
2010-05-18,26.91741,27.20816,26.61729,26.65480,22884691
2010-05-19,26.55164,26.84238,26.53288,26.73922,25470711
2010-05-20,26.52350,26.52350,26.026421,26.035799,31498184
2010-05-21,25.67002,26.24213,25.62313,26.22338,37210374
2010-05-24,26.045177,26.092072,25.68878,25.78257,20591882
2010-05-25,25.40741,25.75443,25.13543,25.69816,24799203
2010-05-26,25.80133,25.80133,25.13543,25.25735,30040335
2010-05-27,25.52934,25.87636,25.33238,25.86698,18694110
2010-05-28,25.88574,25.95139,25.50120,25.81071,19514143
2010-06-01,25.60437,26.0076618,25.51996,25.51996,15402889
2010-06-02,25.55747,25.88574,25.40741,25.87636,18972394
2010-06-03,25.95139,26.063934,25.76381,25.92325,16961282
2010-06-04,25.67940,25.74505,25.42617,25.51996,22462786
2010-06-07,25.57623,25.67002,25.39803,25.39803,17574894
2010-06-08,25.43555,26.0076618,25.37928,25.96077,21557348
2010-06-09,25.97015,26.29841,25.89511,26.054556,19699986
2010-06-10,26.32654,26.65480,26.30779,26.57977,17770440
2010-06-11,26.41095,26.78611,26.26089,26.78611,18022708
2010-06-14,26.97369,27.076855,26.80487,26.85176,15998802
2010-06-15,27.048719,27.32071,26.92679,27.30195,20556377
2010-06-16,27.25505,27.39574,27.18002,27.36760,20739448
2010-06-17,27.39574,27.49891,26.90804,27.28319,22459268
2010-06-18,27.33946,27.48015,27.25505,27.32071,19510411
