bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
44.221,44.34,43.77,43.854,2017-05-11,44.26,44.35,43.78,43.86,44.2405,44.345,43.775000000000006,43.857,0.0060000000000002
43.91,44.16,43.89,43.952,2017-05-12,43.94,44.17,43.895,43.96,43.925,44.165,43.8925,43.956,0.0080000000000026
43.952,43.952,43.952,43.952,2017-05-13,43.96,43.96,43.96,43.96,43.956,43.956,43.956,43.956,0.0080000000000026
43.952,43.952,43.952,43.952,2017-05-14,43.96,43.96,43.96,43.96,43.956,43.956,43.956,43.956,0.0080000000000026
43.9,44.23,43.9,44.043,2017-05-15,43.92,44.24,43.917,44.05,43.91,44.235,43.9085,44.0465,0.0069999999999978
44.024,44.13,43.41,43.68,2017-05-16,44.08,44.18,43.42,43.69,44.052,44.155,43.415,43.685,0.009999999999998
43.26,43.6,43.06,43.082,2017-05-17,43.298,43.61,43.07,43.09,43.279,43.605,43.065,43.086,0.0080000000000026
43.111,43.253,42.87,42.98,2017-05-18,43.16,43.29,42.88,42.988,43.13549999999999,43.2715,42.875,42.984,0.0080000000000026
43.04,43.315,43.005,43.16,2017-05-19,43.12,43.32,43.057,43.168,43.08,43.3175,43.031000000000006,43.164,0.0080000000000026
43.16,43.16,43.16,43.16,2017-05-20,43.168,43.168,43.168,43.168,43.164,43.164,43.164,43.164,0.0080000000000026
43.16,43.16,43.16,43.16,2017-05-21,43.168,43.168,43.168,43.168,43.164,43.164,43.164,43.164,0.0080000000000026
43.122,43.86,43.113,43.72,2017-05-22,43.14,43.87,43.13,43.73,43.131,43.865,43.1215,43.725,0.009999999999998
44.13,44.153,43.62,43.671,2017-05-23,44.139,44.16,43.63,43.68,44.1345,44.1565,43.625,43.6755,0.0090000000000003
43.69,43.744,43.39,43.487,2017-05-24,43.769,43.78,43.4,43.56,43.7295,43.762,43.395,43.5235,0.0730000000000004
43.428,43.99,43.416,43.906,2017-05-25,43.734,44.024,43.47,43.982,43.581,44.007000000000005,43.443,43.944,0.0760000000000005
43.87,44.84,43.8,44.666,2017-05-26,43.98,44.853,43.837,44.74,43.925,44.846500000000006,43.8185,44.703,0.0740000000000051
44.666,44.666,44.666,44.666,2017-05-27,44.74,44.74,44.74,44.74,44.703,44.703,44.703,44.703,0.0740000000000051
44.666,44.666,44.666,44.666,2017-05-28,44.74,44.74,44.74,44.74,44.703,44.703,44.703,44.703,0.0740000000000051
44.666,44.666,44.666,44.666,2017-05-29,44.74,44.74,44.74,44.74,44.703,44.703,44.703,44.703,0.0740000000000051
44.416,45.09,44.21,44.967,2017-05-30,44.492,45.114,44.218,45.051,44.45399999999999,45.102,44.214,45.009,0.0840000000000031
45.006,45.75,45.006,45.649,2017-05-31,45.24,45.759,45.198,45.66,45.123000000000005,45.7545,45.102,45.6545,0.0109999999999956
45.429,46.08,45.416,46.06,2017-06-01,45.674,46.144,45.47,46.144,45.5515,46.112,45.443,46.102,0.083999999999996
46.177,46.54,46.177,46.49,2017-06-02,46.404,46.55,46.2,46.499,46.2905,46.545,46.188500000000005,46.4945,0.0090000000000003
46.49,46.49,46.49,46.49,2017-06-03,46.499,46.499,46.499,46.499,46.4945,46.4945,46.4945,46.4945,0.0090000000000003
46.49,46.49,46.49,46.49,2017-06-04,46.499,46.499,46.499,46.499,46.4945,46.4945,46.4945,46.4945,0.0090000000000003
46.537,46.74,46.37,46.624,2017-06-05,46.598,46.75,46.39,46.63,46.5675,46.745000000000005,46.38,46.627,0.0060000000000002
46.5,46.69,46.32,46.338,2017-06-06,46.62,46.7,46.33,46.394,46.56,46.695,46.325,46.366,0.0559999999999973
46.36,46.59,46.23,46.517,2017-06-07,46.478,46.6,46.238,46.584,46.419,46.595,46.234,46.5505,0.0670000000000001
45.888,46.97,45.888,46.72,2017-06-08,46.1,46.98,45.99,46.727,45.994,46.975,45.939,46.7235,0.0069999999999978
46.699,47.295,46.64,47.258,2017-06-09,46.974,47.334,46.678,47.334,46.8365,47.3145,46.659,47.29600000000001,0.0760000000000005
47.258,47.258,47.258,47.258,2017-06-10,47.334,47.334,47.334,47.334,47.29600000000001,47.29600000000001,47.29600000000001,47.29600000000001,0.0760000000000005
47.258,47.258,47.258,47.258,2017-06-11,47.334,47.334,47.334,47.334,47.29600000000001,47.29600000000001,47.29600000000001,47.29600000000001,0.0760000000000005
47.076,47.666,46.83,47.158,2017-06-12,47.344,47.69,46.84,47.231,47.21,47.678,46.835,47.194500000000005,0.0730000000000004
47.221,47.66,47.18,47.43,2017-06-13,47.248,47.67,47.22,47.494,47.2345,47.665,47.2,47.462,0.064
47.43,47.86,47.43,47.65,2017-06-14,47.5,47.87,47.487,47.66,47.465,47.865,47.4585,47.655,0.009999999999998
47.487,48.33,47.47,48.09,2017-06-15,47.552,48.34,47.5,48.152,47.5195,48.335,47.485,48.121,0.0619999999999976
48.066,48.36,47.8,48.178,2017-06-16,48.422,48.424,47.81,48.244,48.244,48.392,47.805,48.211,0.0660000000000025
48.178,48.178,48.178,48.178,2017-06-17,48.244,48.244,48.244,48.244,48.211,48.211,48.211,48.211,0.0660000000000025
48.178,48.178,48.178,48.178,2017-06-18,48.244,48.244,48.244,48.244,48.211,48.211,48.211,48.211,0.0660000000000025
