bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
860.27,860.27,850.51,855.32,2017-01-26,861.0,861.0,850.74,855.59,860.635,860.635,850.625,855.455,0.2699999999999818
859.05,866.31,841.81,844.85,2017-01-27,859.36,867.0,842.0,845.1,859.2049999999999,866.655,841.905,844.975,0.25
844.85,844.85,844.85,844.85,2017-01-28,845.1,845.1,845.1,845.1,844.975,844.975,844.975,844.975,0.25
844.85,844.85,844.85,844.85,2017-01-29,845.1,845.1,845.1,845.1,844.975,844.975,844.975,844.975,0.25
837.03,837.03,821.03,823.69,2017-01-30,838.0,838.0,821.13,824.22,837.515,837.515,821.0799999999999,823.955,0.5299999999999727
819.55,822.47,813.38,820.07,2017-01-31,820.0,823.29,813.79,820.19,819.775,822.88,813.585,820.1300000000001,0.1200000000000045
823.85,823.85,812.3,815.16,2017-02-01,824.0,824.05,812.51,815.57,823.925,823.95,812.405,815.365,0.4100000000000818
814.81,824.04,812.16,818.116,2017-02-02,814.99,824.53,812.54,818.234,814.9,824.285,812.3499999999999,818.175,0.1180000000000518
823.226,825.853,819.347,820.126,2017-02-03,824.122,826.36,819.61,820.234,823.674,826.1065,819.4784999999999,820.1800000000001,0.1080000000000609
820.126,820.126,820.126,820.126,2017-02-04,820.234,820.234,820.234,820.234,820.1800000000001,820.1800000000001,820.1800000000001,820.1800000000001,0.1080000000000609
820.126,820.126,820.126,820.126,2017-02-05,820.234,820.234,820.234,820.234,820.1800000000001,820.1800000000001,820.1800000000001,820.1800000000001,0.1080000000000609
819.997,822.2,814.55,821.596,2017-02-06,820.124,822.29,814.97,821.624,820.0605,822.245,814.76,821.61,0.02800000000002
825.486,831.6,822.956,829.036,2017-02-07,825.573,831.87,824.092,829.234,825.5295,831.735,823.524,829.135,0.1980000000000927
829.995,833.97,825.01,829.665,2017-02-08,830.865,834.42,825.88,829.883,830.4300000000001,834.1949999999999,825.4449999999999,829.774,0.2180000000000745
831.646,831.737,826.1,829.685,2017-02-09,832.071,832.251,826.941,830.183,831.8585,831.9939999999999,826.5205000000001,829.934,0.4980000000000473
832.75,837.0,830.5,834.565,2017-02-10,833.0,837.15,831.3,834.855,832.875,837.075,830.9,834.71,0.2899999999999636
834.565,834.565,834.565,834.565,2017-02-11,834.855,834.855,834.855,834.855,834.71,834.71,834.71,834.71,0.2899999999999636
834.565,834.565,834.565,834.565,2017-02-12,834.855,834.855,834.855,834.855,834.71,834.71,834.71,834.71,0.2899999999999636
836.997,841.57,836.25,838.677,2017-02-13,837.773,841.79,836.432,838.961,837.385,841.6800000000001,836.341,838.819,0.2839999999999918
839.195,842.0,835.68,840.025,2017-02-14,839.872,842.09,836.2,840.283,839.5335,842.0450000000001,835.94,840.154,0.2580000000000382
838.77,841.65,836.25,837.066,2017-02-15,839.0,841.91,836.36,837.283,838.885,841.78,836.3050000000001,837.1745000000001,0.2169999999999845
837.999,842.55,837.01,841.987,2017-02-16,838.503,842.69,837.61,842.171,838.251,842.62,837.31,842.079,0.1840000000000827
841.009,846.87,839.65,846.495,2017-02-17,841.38,846.944,840.1,846.584,841.1945000000001,846.9069999999999,839.875,846.5395,0.0889999999999417
846.495,846.495,846.495,846.495,2017-02-18,846.584,846.584,846.584,846.584,846.5395,846.5395,846.5395,846.5395,0.0889999999999417
846.495,846.495,846.495,846.495,2017-02-19,846.584,846.584,846.584,846.584,846.5395,846.5395,846.5395,846.5395,0.0889999999999417
846.495,846.495,846.495,846.495,2017-02-20,846.584,846.584,846.584,846.584,846.5395,846.5395,846.5395,846.5395,0.0889999999999417
847.57,852.085,846.55,848.905,2017-02-21,847.98,852.25,846.902,849.294,847.7750000000001,852.1675,846.726,849.0995,0.38900000000001
847.495,853.6,846.7,851.119,2017-02-22,848.002,853.76,847.0,851.463,847.7484999999999,853.6800000000001,846.85,851.2909999999999,0.3439999999999372
851.029,852.37,842.63,850.967,2017-02-23,851.233,852.62,842.941,851.003,851.131,852.495,842.7855,850.985,0.0360000000000582
846.997,848.13,842.95,847.496,2017-02-24,847.773,848.38,843.13,847.891,847.385,848.255,843.04,847.6935,0.3949999999999818
847.496,847.496,847.496,847.496,2017-02-25,847.891,847.891,847.891,847.891,847.6935,847.6935,847.6935,847.6935,0.3949999999999818
847.496,847.496,847.496,847.496,2017-02-26,847.891,847.891,847.891,847.891,847.6935,847.6935,847.6935,847.6935,0.3949999999999818
844.746,850.53,843.0,849.449,2017-02-27,845.533,850.7,843.21,849.802,845.1395,850.615,843.105,849.6255,0.3530000000000655
845.955,848.305,841.36,844.829,2017-02-28,846.161,848.95,841.66,844.931,846.058,848.6275,841.51,844.88,0.1020000000000891
850.335,857.962,849.0,856.358,2017-03-01,851.565,858.0,849.43,856.752,850.95,857.981,849.2149999999999,856.555,0.3940000000000054
856.308,856.31,848.7,849.669,2017-03-02,856.505,856.505,848.81,850.005,856.4065,856.4075,848.755,849.837,0.3360000000000127
848.886,850.67,844.57,848.775,2017-03-03,849.505,850.99,844.78,849.115,849.1955,850.8299999999999,844.675,848.9449999999999,0.3400000000000318
848.775,848.775,848.775,848.775,2017-03-04,849.115,849.115,849.115,849.115,848.9449999999999,848.9449999999999,848.9449999999999,848.9449999999999,0.3400000000000318
848.775,848.775,848.775,848.775,2017-03-05,849.115,849.115,849.115,849.115,848.9449999999999,848.9449999999999,848.9449999999999,848.9449999999999,0.3400000000000318
846.847,848.82,841.0,847.139,2017-03-06,846.97,848.91,841.31,847.272,846.9085,848.865,841.155,847.2055,0.1330000000000382
845.497,853.24,845.497,850.947,2017-03-07,846.805,853.33,846.0,851.183,846.151,853.2850000000001,845.7484999999999,851.065,0.23599999999999
852.999,856.782,851.2,853.625,2017-03-08,853.192,856.95,851.33,853.891,853.0955,856.866,851.2650000000001,853.758,0.2659999999999627
853.808,860.67,852.65,857.799,2017-03-09,854.843,860.86,852.92,858.075,854.3254999999999,860.765,852.785,857.937,0.2760000000000673
860.938,864.07,857.5,861.249,2017-03-10,863.243,864.2,857.91,861.495,862.0905,864.135,857.7049999999999,861.3720000000001,0.2459999999999809
861.249,861.249,861.249,861.249,2017-03-11,861.495,861.495,861.495,861.495,861.3720000000001,861.3720000000001,861.3720000000001,861.3720000000001,0.2459999999999809
861.249,861.249,861.249,861.249,2017-03-12,861.495,861.495,861.495,861.495,861.3720000000001,861.3720000000001,861.3720000000001,861.3720000000001,0.2459999999999809
862.063,867.017,859.855,864.396,2017-03-13,862.596,867.732,861.157,864.698,862.3295,867.3745,860.5060000000001,864.547,0.3020000000000209
862.567,863.81,860.1,862.26,2017-03-14,863.542,864.228,860.45,862.589,863.0545,864.019,860.2750000000001,862.4245000000001,0.3290000000000646
867.009,869.71,861.22,868.348,2017-03-15,867.942,869.9,861.54,868.394,867.4755,869.8050000000001,861.38,868.371,0.0460000000000491
870.494,872.52,867.5,869.979,2017-03-16,870.71,872.81,867.653,870.012,870.6020000000001,872.665,867.5765,869.9955,0.0329999999999017
872.3,874.32,868.45,872.42,2017-03-17,873.51,874.5,868.74,872.43,872.905,874.4100000000001,868.595,872.425,0.0099999999999909
872.42,872.42,872.42,872.42,2017-03-18,872.43,872.43,872.43,872.43,872.425,872.425,872.425,872.425,0.0099999999999909
872.42,872.42,872.42,872.42,2017-03-19,872.43,872.43,872.43,872.43,872.425,872.425,872.425,872.425,0.0099999999999909
868.46,869.67,864.68,867.89,2017-03-20,869.8,870.23,864.85,868.06,869.13,869.95,864.765,867.9749999999999,0.169999999999959
871.02,872.64,847.74,849.74,2017-03-21,871.43,873.47,847.9,850.11,871.2249999999999,873.0550000000001,847.8199999999999,849.925,0.3700000000000045
849.5,855.15,847.0,849.73,2017-03-22,849.99,855.29,847.46,849.79,849.745,855.22,847.23,849.76,0.0599999999999454
836.0,841.16,833.0,839.75,2017-03-23,836.62,841.72,833.06,839.89,836.31,841.44,833.03,839.8199999999999,0.1399999999999863
841.3,843.65,829.22,835.139,2017-03-24,841.52,843.99,829.51,835.421,841.41,843.8199999999999,829.365,835.28,0.2820000000000391
