bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
837.06,837.64,827.01,832.03,2017-01-26,837.93,837.93,827.24,832.15,837.4949999999999,837.785,827.125,832.0899999999999,0.1200000000000045
833.59,841.18,820.39,822.81,2017-01-27,834.96,841.83,820.62,823.36,834.2750000000001,841.505,820.505,823.085,0.5500000000000682
822.81,822.81,822.81,822.81,2017-01-28,823.36,823.36,823.36,823.36,823.085,823.085,823.085,823.085,0.5500000000000682
822.81,822.81,822.81,822.81,2017-01-29,823.36,823.36,823.36,823.36,823.085,823.085,823.085,823.085,0.5500000000000682
813.92,814.26,799.81,801.98,2017-01-30,815.65,815.99,799.89,802.45,814.785,815.125,799.8499999999999,802.215,0.4700000000000273
796.49,800.93,790.48,796.79,2017-01-31,797.92,801.18,790.76,797.05,797.2049999999999,801.055,790.62,796.92,0.2599999999999909
799.37,800.56,791.1,795.28,2017-02-01,800.02,801.25,791.52,795.4,799.6949999999999,800.905,791.31,795.3399999999999,0.1200000000000045
794.57,802.32,792.0,798.386,2017-02-02,795.02,802.84,792.42,798.563,794.7950000000001,802.58,792.21,798.4745,0.1770000000000209
802.236,805.81,800.35,801.01,2017-02-03,802.692,806.0,800.5,801.32,802.4639999999999,805.905,800.425,801.165,0.3100000000000591
801.01,801.01,801.01,801.01,2017-02-04,801.32,801.32,801.32,801.32,801.165,801.165,801.165,801.165,0.3100000000000591
801.01,801.01,801.01,801.01,2017-02-05,801.32,801.32,801.32,801.32,801.165,801.165,801.165,801.165,0.3100000000000591
799.697,801.48,795.3,801.197,2017-02-06,799.924,801.69,795.71,801.374,799.8105,801.585,795.505,801.2855,0.1770000000000209
802.566,810.3,801.786,807.029,2017-02-07,803.964,810.5,802.94,807.234,803.2650000000001,810.4,802.363,807.1315,0.2050000000000409
805.498,811.56,803.04,808.208,2017-02-08,808.791,811.88,803.71,808.451,807.1445000000001,811.72,803.375,808.3295,0.2430000000000518
809.88,810.49,804.33,809.537,2017-02-09,810.0,810.74,804.97,809.562,809.94,810.615,804.6500000000001,809.5495000000001,0.0249999999999772
811.6,815.01,809.75,813.408,2017-02-10,811.9,815.24,810.53,813.774,811.75,815.125,810.14,813.591,0.3659999999999854
813.408,813.408,813.408,813.408,2017-02-11,813.774,813.774,813.774,813.774,813.591,813.591,813.591,813.591,0.3659999999999854
813.408,813.408,813.408,813.408,2017-02-12,813.774,813.774,813.774,813.774,813.591,813.591,813.591,813.591,0.3659999999999854
815.46,820.85,815.427,819.228,2017-02-13,816.0,820.99,815.85,819.243,815.73,820.9200000000001,815.6385,819.2355,0.0150000000001
819.819,822.86,816.0,820.379,2017-02-14,821.143,823.0,816.37,820.455,820.481,822.9300000000001,816.185,820.417,0.0760000000000218
819.016,822.72,818.47,818.966,2017-02-15,819.27,822.98,818.5,818.985,819.143,822.85,818.485,818.9755,0.0190000000000054
819.175,824.35,818.78,823.957,2017-02-16,819.93,824.43,819.39,824.274,819.5525,824.39,819.085,824.1155,0.3170000000000073
823.01,828.05,821.6,828.045,2017-02-17,823.03,828.084,822.19,828.084,823.02,828.067,821.895,828.0645,0.0389999999999872
828.045,828.045,828.045,828.045,2017-02-18,828.084,828.084,828.084,828.084,828.0645,828.0645,828.0645,828.0645,0.0389999999999872
828.045,828.045,828.045,828.045,2017-02-19,828.084,828.084,828.084,828.084,828.0645,828.0645,828.0645,828.0645,0.0389999999999872
828.045,828.045,828.045,828.045,2017-02-20,828.084,828.084,828.084,828.084,828.0645,828.0645,828.0645,828.0645,0.0389999999999872
828.66,833.384,828.35,831.317,2017-02-21,829.04,833.5,828.54,831.671,828.8499999999999,833.442,828.4449999999999,831.494,0.3540000000000418
829.396,833.14,828.57,830.519,2017-02-22,830.413,833.25,828.85,830.761,829.9045,833.1949999999999,828.71,830.64,0.2419999999999618
830.098,831.96,822.869,831.188,2017-02-23,830.301,832.5,822.984,831.341,830.1995,832.23,822.9265,831.2645,0.15300000000002
825.575,828.98,824.045,828.616,2017-02-24,827.735,829.0,824.28,828.644,826.655,828.99,824.1624999999999,828.63,0.02800000000002
828.616,828.616,828.616,828.616,2017-02-25,828.644,828.644,828.644,828.644,828.63,828.63,828.63,828.63,0.02800000000002
828.616,828.616,828.616,828.616,2017-02-26,828.644,828.644,828.644,828.644,828.63,828.63,828.63,828.63,0.02800000000002
824.488,830.35,824.0,829.048,2017-02-27,825.072,830.69,824.12,829.402,824.78,830.52,824.06,829.225,0.3540000000000418
825.499,827.66,820.23,822.936,2017-02-28,825.895,828.5,820.41,823.214,825.697,828.0799999999999,820.3199999999999,823.075,0.27800000000002
827.935,836.21,827.2,835.21,2017-03-01,829.882,836.26,827.77,835.23,828.9085,836.235,827.485,835.22,0.0199999999999818
833.587,834.065,829.5,830.616,2017-03-02,834.835,835.004,829.76,830.631,834.211,834.5345,829.63,830.6234999999999,0.0149999999999863
829.996,831.319,825.75,829.025,2017-03-03,830.601,831.81,825.931,829.141,830.2985,831.5645,825.8405,829.083,0.1159999999999854
829.025,829.025,829.025,829.025,2017-03-04,829.141,829.141,829.141,829.141,829.083,829.083,829.083,829.083,0.1159999999999854
829.025,829.025,829.025,829.025,2017-03-05,829.141,829.141,829.141,829.141,829.083,829.083,829.083,829.083,0.1159999999999854
826.519,828.815,822.338,827.505,2017-03-06,827.433,829.0,822.42,827.791,826.976,828.9075,822.3789999999999,827.648,0.2860000000000582
825.997,833.31,825.996,831.605,2017-03-07,827.753,833.5,827.0,832.014,826.875,833.405,826.498,831.8095000000001,0.4089999999999918
833.497,838.065,831.49,835.146,2017-03-08,834.003,838.2,832.04,835.393,833.75,838.1325,831.765,835.2695,0.2470000000000709
