bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
142.499,144.5,141.995,144.199,2011-01-03,142.502,144.603,142.4,144.301,142.5005,144.5515,142.1975,144.25,0.1019999999999754
144.798,145.499,141.999,141.999,2011-01-04,145.002,145.805,142.1,142.1,144.9,145.652,142.0495,142.0495,0.100999999999999
141.599,141.599,138.997,139.599,2011-01-05,141.701,141.701,139.1,139.701,141.64999999999998,141.64999999999998,139.0485,139.64999999999998,0.1020000000000038
139.599,139.599,139.599,139.599,2011-01-06,139.701,139.701,139.701,139.701,139.64999999999998,139.64999999999998,139.64999999999998,139.64999999999998,0.1020000000000038
140.094,141.9,139.296,141.699,2011-01-07,141.007,142.103,139.6,141.901,140.5505,142.00150000000002,139.44799999999998,141.8,0.2019999999999981
141.699,141.699,141.699,141.699,2011-01-08,141.901,141.901,141.901,141.901,141.8,141.8,141.8,141.8,0.2019999999999981
141.699,141.699,141.699,141.699,2011-01-09,141.901,141.901,141.901,141.901,141.8,141.8,141.8,141.8,0.2019999999999981
140.696,142.0,138.798,139.3,2011-01-10,141.002,142.204,138.9,139.401,140.849,142.102,138.849,139.3505,0.100999999999999
141.497,147.1,141.493,146.299,2011-01-11,142.004,147.204,141.601,146.4,141.7505,147.152,141.547,146.3495,0.100999999999999
146.199,147.699,146.197,146.999,2011-01-12,146.401,147.802,146.3,147.1,146.3,147.7505,146.2485,147.0495,0.100999999999999
146.396,146.699,143.697,144.299,2011-01-13,147.004,147.007,143.801,144.401,146.7,146.853,143.749,144.35000000000002,0.1020000000000038
144.496,144.8,142.696,143.999,2011-01-14,144.804,144.904,142.801,144.1,144.65,144.852,142.74849999999998,144.0495,0.100999999999999
143.999,143.999,143.999,143.999,2011-01-15,144.1,144.1,144.1,144.1,144.0495,144.0495,144.0495,144.0495,0.100999999999999
143.999,143.999,143.999,143.999,2011-01-16,144.1,144.1,144.1,144.1,144.0495,144.0495,144.0495,144.0495,0.100999999999999
145.5,146.099,142.798,143.299,2011-01-17,145.701,146.203,142.901,143.501,145.6005,146.151,142.8495,143.4,0.2019999999999981
144.797,145.0,141.598,142.399,2011-01-18,145.0,145.302,141.8,142.5,144.8985,145.151,141.699,142.4495,0.100999999999999
143.599,143.599,139.098,139.098,2011-01-19,143.7,143.805,139.301,139.302,143.6495,143.702,139.1995,139.2,0.2039999999999793
139.3,139.7,135.997,137.0,2011-01-20,139.701,139.805,136.1,137.101,139.5005,139.7525,136.0485,137.0505,0.100999999999999
137.699,139.2,136.998,139.1,2011-01-21,137.7,139.301,137.1,139.201,137.6995,139.2505,137.04899999999998,139.1505,0.100999999999999
139.1,139.1,139.1,139.1,2011-01-22,139.201,139.201,139.201,139.201,139.1505,139.1505,139.1505,139.1505,0.100999999999999
139.1,139.1,139.1,139.1,2011-01-23,139.201,139.201,139.201,139.201,139.1505,139.1505,139.1505,139.1505,0.100999999999999
138.399,138.8,135.694,135.899,2011-01-24,138.701,139.401,135.8,136.0,138.55,139.1005,135.747,135.9495,0.100999999999999
136.594,138.8,135.797,137.299,2011-01-25,136.901,138.903,135.9,137.502,136.7475,138.8515,135.8485,137.40050000000002,0.2030000000000029
138.695,141.999,138.299,141.999,2011-01-26,138.901,142.101,138.7,142.1,138.798,142.05,138.4995,142.0495,0.100999999999999
140.996,143.0,140.897,141.299,2011-01-27,141.406,143.103,141.001,141.401,141.20100000000002,143.0515,140.949,141.35000000000002,0.1020000000000038
140.996,140.996,139.298,139.999,2011-01-28,141.404,141.506,139.401,140.2,141.2,141.251,139.3495,140.09949999999998,0.2009999999999934
139.999,139.999,139.999,139.999,2011-01-29,140.2,140.2,140.2,140.2,140.09949999999998,140.09949999999998,140.09949999999998,140.09949999999998,0.2009999999999934
139.999,139.999,139.999,139.999,2011-01-30,140.2,140.2,140.2,140.2,140.09949999999998,140.09949999999998,140.09949999999998,140.09949999999998,0.2009999999999934
137.098,137.299,135.696,136.499,2011-01-31,137.203,137.506,135.8,136.6,137.15050000000002,137.4025,135.748,136.5495,0.100999999999999
137.399,138.8,135.596,136.3,2011-02-01,136.901,139.002,135.701,136.401,137.15,138.901,135.6485,136.3505,0.100999999999999
136.794,138.799,129.897,131.198,2011-02-02,137.41,139.004,130.1,131.401,137.102,138.9015,129.99849999999998,131.29950000000002,0.2030000000000029
132.498,134.099,132.0,132.2,2011-02-03,132.7,134.201,132.2,132.301,132.599,134.14999999999998,132.1,132.2505,0.100999999999999
133.899,134.499,132.697,133.2,2011-02-04,134.001,134.702,132.8,133.3,133.95,134.6005,132.7485,133.25,0.1000000000000227
133.2,133.2,133.2,133.2,2011-02-05,133.3,133.3,133.3,133.3,133.25,133.25,133.25,133.25,0.1000000000000227
133.2,133.2,133.2,133.2,2011-02-06,133.3,133.3,133.3,133.3,133.25,133.25,133.25,133.25,0.1000000000000227
134.095,135.3,132.598,132.999,2011-02-07,134.101,135.503,132.8,133.203,134.098,135.4015,132.699,133.101,0.2040000000000077
130.497,133.392,126.498,128.8,2011-02-08,131.002,133.608,126.601,128.901,130.7495,133.5,126.5495,128.8505,0.100999999999999
129.6,130.099,127.498,128.8,2011-02-09,130.104,130.304,127.6,129.001,129.852,130.2015,127.549,128.90050000000002,0.2009999999999934
128.899,128.999,126.798,127.099,2011-02-10,129.503,129.603,126.901,127.203,129.201,129.301,126.8495,127.151,0.1039999999999992
127.2,129.5,126.294,129.3,2011-02-11,127.301,129.603,126.6,129.501,127.2505,129.5515,126.447,129.40050000000002,0.2009999999999934
129.3,129.3,129.3,129.3,2011-02-12,129.501,129.501,129.501,129.501,129.40050000000002,129.40050000000002,129.40050000000002,129.40050000000002,0.2009999999999934
129.3,129.3,129.3,129.3,2011-02-13,129.501,129.501,129.501,129.501,129.40050000000002,129.40050000000002,129.40050000000002,129.40050000000002,0.2009999999999934
