bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
15.729,15.81,15.479,15.585,2011-01-03,15.795,15.852,15.5,15.615,15.762,15.831,15.4895,15.6,0.0299999999999993
15.33,15.37,14.53,14.57,2011-01-04,15.36,15.401,14.54,14.58,15.345,15.3855,14.535,14.575,0.0099999999999997
14.575,14.82,14.3,14.68,2011-01-05,14.575,14.83,14.31,14.69,14.575,14.825,14.305,14.685,0.0099999999999997
14.669,14.68,14.15,14.255,2011-01-06,14.715,14.78,14.165,14.27,14.692,14.73,14.1575,14.2625,0.0149999999999987
14.27,14.47,14.0,14.445,2011-01-07,14.285,14.48,14.025,14.455,14.2775,14.475,14.0125,14.45,0.0099999999999997
14.445,14.445,14.445,14.445,2011-01-08,14.455,14.455,14.455,14.455,14.45,14.45,14.45,14.45,0.0099999999999997
14.445,14.445,14.445,14.445,2011-01-09,14.455,14.455,14.455,14.455,14.45,14.45,14.45,14.45,0.0099999999999997
14.359,14.62,14.105,14.565,2011-01-10,14.445,14.64,14.145,14.58,14.402,14.63,14.125,14.5725,0.0150000000000005
14.485,14.73,14.29,14.695,2011-01-11,14.531,14.74,14.305,14.715,14.508,14.735,14.2975,14.705,0.0199999999999995
14.699,15.069,14.649,14.695,2011-01-12,14.832,15.096,14.655,14.705,14.7655,15.0825,14.652,14.7,0.0099999999999997
14.86,14.935,14.595,14.835,2011-01-13,14.89,14.941,14.61,14.845,14.875,14.938,14.6025,14.84,0.0099999999999997
14.785,15.04,14.65,14.95,2011-01-14,14.8,15.05,14.66,14.96,14.7925,15.045,14.655,14.955,0.0100000000000015
14.95,14.95,14.95,14.95,2011-01-15,14.96,14.96,14.96,14.96,14.955,14.955,14.955,14.955,0.0100000000000015
14.95,14.95,14.95,14.95,2011-01-16,14.96,14.96,14.96,14.96,14.955,14.955,14.955,14.955,0.0100000000000015
14.92,15.04,14.91,14.985,2011-01-17,14.95,15.06,14.935,14.99,14.935,15.05,14.9225,14.9875,0.0050000000000007
14.91,15.035,14.849,15.035,2011-01-18,14.93,15.092,14.86,15.05,14.92,15.0635,14.8545,15.0425,0.0150000000000005
14.97,15.24,14.949,15.1,2011-01-19,15.0,15.245,14.99,15.12,14.985,15.2425,14.9695,15.11,0.0199999999999995
