bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
143.577,146.957,142.596,145.856,2022-10-13,144.023,147.004,143.403,146.414,143.8,146.9805,142.9995,146.135,0.5579999999999927
146.297,147.306,144.077,144.277,2022-10-14,146.793,147.694,144.383,145.113,146.54500000000002,147.5,144.23000000000002,144.695,0.8360000000000127
144.277,144.277,144.277,144.277,2022-10-15,145.113,145.113,145.113,145.113,144.695,144.695,144.695,144.695,0.8360000000000127
144.277,144.277,144.277,144.277,2022-10-16,145.113,145.113,145.113,145.113,144.695,144.695,144.695,144.695,0.8360000000000127
145.096,146.817,144.157,145.266,2022-10-17,145.624,147.053,144.664,145.584,145.36,146.935,144.4105,145.425,0.318000000000012
146.216,148.297,145.906,146.806,2022-10-18,146.244,148.553,145.943,147.594,146.23000000000002,148.425,145.92450000000002,147.2,0.7879999999999825
147.497,148.657,145.126,145.187,2022-10-19,148.063,148.714,145.154,146.003,147.78,148.6855,145.14,145.595,0.8159999999999741
145.846,145.846,141.616,143.277,2022-10-20,146.084,146.084,141.723,143.973,145.965,145.965,141.66950000000003,143.625,0.6960000000000264
143.217,146.807,143.036,144.567,2022-10-21,143.973,147.004,143.843,145.843,143.59500000000003,146.9055,143.4395,145.20499999999998,1.275999999999982
144.567,144.567,144.567,144.567,2022-10-22,145.843,145.843,145.843,145.843,145.20499999999998,145.20499999999998,145.20499999999998,145.20499999999998,1.275999999999982
144.567,144.567,144.567,144.567,2022-10-23,145.843,145.843,145.843,145.843,145.20499999999998,145.20499999999998,145.20499999999998,145.20499999999998,1.275999999999982
144.577,150.377,144.577,149.756,2022-10-24,145.903,150.384,145.563,149.884,145.24,150.38049999999998,145.07,149.82,0.1279999999999859
149.747,156.037,149.747,154.077,2022-10-25,150.403,156.134,150.293,154.163,150.075,156.0855,150.02,154.12,0.0860000000000127
152.467,156.736,151.336,155.407,2022-10-26,153.383,156.844,152.163,156.193,152.925,156.79,151.7495,155.8,0.7860000000000014
155.267,157.556,152.997,156.837,2022-10-27,155.383,157.664,153.323,157.153,155.325,157.61,153.16000000000005,156.995,0.3160000000000025
156.997,159.987,156.487,158.147,2022-10-28,157.053,160.003,156.543,158.573,157.025,159.995,156.515,158.36,0.4260000000000161
158.147,158.147,158.147,158.147,2022-10-29,158.573,158.573,158.573,158.573,158.36,158.36,158.36,158.36,0.4260000000000161
158.147,158.147,158.147,158.147,2022-10-30,158.573,158.573,158.573,158.573,158.36,158.36,158.36,158.36,0.4260000000000161
161.397,162.507,159.407,161.677,2022-10-31,161.793,162.563,159.613,161.863,161.595,162.535,159.51,161.76999999999998,0.186000000000007
162.537,164.977,162.217,163.877,2022-11-01,162.763,165.003,162.343,164.093,162.65,164.99,162.28,163.985,0.2159999999999797
163.877,163.877,163.877,163.877,2022-11-02,164.093,164.093,164.093,164.093,163.985,163.985,163.985,163.985,0.2159999999999797
162.797,166.317,162.547,165.007,2022-11-03,162.883,166.403,162.713,165.693,162.84,166.36,162.63,165.35000000000002,0.686000000000007
165.877,166.697,164.037,164.997,2022-11-04,165.913,166.753,164.103,165.593,165.895,166.725,164.07,165.29500000000002,0.5959999999999752
164.997,164.997,164.997,164.997,2022-11-05,165.593,165.593,165.593,165.593,165.29500000000002,165.29500000000002,165.29500000000002,165.29500000000002,0.5959999999999752
164.997,164.997,164.997,164.997,2022-11-06,165.593,165.593,165.593,165.593,165.29500000000002,165.29500000000002,165.29500000000002,165.29500000000002,0.5959999999999752
164.997,165.757,162.467,164.277,2022-11-07,165.053,166.393,162.693,164.293,165.025,166.075,162.58,164.285,0.0160000000000195
164.497,166.907,163.717,166.017,2022-11-08,165.003,166.943,163.883,166.543,164.75,166.925,163.8,166.28,0.5260000000000105
166.367,169.297,166.367,168.277,2022-11-09,166.823,169.423,166.773,168.653,166.595,169.36,166.57,168.46499999999995,0.3760000000000048
170.147,172.887,169.017,169.997,2022-11-10,170.933,173.003,169.563,170.663,170.54,172.945,169.29,170.33,0.6659999999999968
168.097,170.617,165.197,169.217,2022-11-11,168.883,171.003,165.763,169.493,168.49,170.81,165.48000000000002,169.35500000000002,0.275999999999982
169.217,169.217,169.217,169.217,2022-11-12,169.493,169.493,169.493,169.493,169.35500000000002,169.35500000000002,169.35500000000002,169.35500000000002,0.275999999999982
169.217,169.217,169.217,169.217,2022-11-13,169.493,169.493,169.493,169.493,169.35500000000002,169.35500000000002,169.35500000000002,169.35500000000002,0.275999999999982
170.347,170.387,167.187,169.007,2022-11-14,171.143,171.163,167.273,169.473,170.745,170.775,167.23000000000002,169.24,0.4660000000000082
169.727,171.537,164.537,165.797,2022-11-15,170.003,171.613,164.663,166.213,169.865,171.575,164.60000000000002,166.005,0.4159999999999968
165.777,168.117,165.637,166.767,2022-11-16,166.563,168.283,165.903,167.343,166.17,168.2,165.76999999999998,167.055,0.5759999999999934
166.357,169.497,166.357,167.217,2022-11-17,167.053,169.723,166.563,167.283,166.70499999999998,169.61,166.45999999999998,167.25,0.065999999999974
166.737,168.107,165.207,165.597,2022-11-18,167.153,168.303,165.223,165.853,166.945,168.20499999999998,165.215,165.72500000000002,0.2560000000000002
165.597,165.597,165.597,165.597,2022-11-19,165.853,165.853,165.853,165.853,165.72500000000002,165.72500000000002,165.72500000000002,165.72500000000002,0.2560000000000002
165.597,165.597,165.597,165.597,2022-11-20,165.853,165.853,165.853,165.853,165.72500000000002,165.72500000000002,165.72500000000002,165.72500000000002,0.2560000000000002
165.597,165.597,165.597,165.597,2022-11-21,165.853,165.853,165.853,165.853,165.72500000000002,165.72500000000002,165.72500000000002,165.72500000000002,0.2560000000000002
165.297,169.977,163.607,163.657,2022-11-22,165.373,170.233,163.643,163.813,165.33499999999998,170.10500000000002,163.625,163.735,0.1559999999999775
163.267,165.497,161.567,161.567,2022-11-23,164.063,165.803,161.583,161.673,163.665,165.65,161.575,161.62,0.1059999999999945
161.397,166.707,161.397,164.767,2022-11-24,161.803,166.853,161.803,165.293,161.6,166.78,161.6,165.03,0.5260000000000105
161.257,162.557,159.197,161.997,2022-11-25,161.373,162.713,159.983,162.353,161.315,162.635,159.59,162.175,0.3559999999999945
161.997,161.997,161.997,161.997,2022-11-26,162.353,162.353,162.353,162.353,162.175,162.175,162.175,162.175,0.3559999999999945
161.997,161.997,161.997,161.997,2022-11-27,162.353,162.353,162.353,162.353,162.175,162.175,162.175,162.175,0.3559999999999945
164.047,164.597,160.497,160.677,2022-11-28,164.843,164.843,160.513,161.193,164.445,164.72,160.505,160.935,0.5160000000000196
160.127,161.867,159.187,160.997,2022-11-29,160.593,161.923,159.223,161.203,160.36,161.89499999999998,159.205,161.10000000000002,0.2059999999999888
