bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
1.1252,1.1252,1.1107,1.1146,1991-11-22,1.1252,1.1252,1.1107,1.1146,1.1252,1.1252,1.1107,1.1146,0.0
1.1146,1.1146,1.1146,1.1146,1991-11-23,1.1146,1.1146,1.1146,1.1146,1.1146,1.1146,1.1146,1.1146,0.0
1.1146,1.1146,1.1146,1.1146,1991-11-24,1.1146,1.1146,1.1146,1.1146,1.1146,1.1146,1.1146,1.1146,0.0
1.1155,1.1202,1.1117,1.1179,1991-11-25,1.1155,1.1202,1.1117,1.1179,1.1155,1.1202,1.1117,1.1179,0.0
1.1194,1.1309,1.1038,1.1215,1991-11-26,1.1194,1.1309,1.1038,1.1215,1.1194,1.1309,1.1038,1.1215,0.0
1.1201,1.1262,1.1188,1.1232,1991-11-27,1.1201,1.1262,1.1188,1.1232,1.1201,1.1262,1.1188,1.1232,0.0
1.1216,1.125,1.1162,1.12,1991-11-28,1.1216,1.125,1.1162,1.12,1.1216,1.125,1.1162,1.12,0.0
1.1203,1.1319,1.1203,1.1246,1991-11-29,1.1203,1.1319,1.1203,1.1246,1.1203,1.1319,1.1203,1.1246,0.0
1.1246,1.1246,1.1246,1.1246,1991-11-30,1.1246,1.1246,1.1246,1.1246,1.1246,1.1246,1.1246,1.1246,0.0
1.1246,1.1246,1.1246,1.1246,1991-12-01,1.1246,1.1246,1.1246,1.1246,1.1246,1.1246,1.1246,1.1246,0.0
1.1176,1.12,1.1132,1.1153,1991-12-02,1.1176,1.12,1.1132,1.1153,1.1176,1.12,1.1132,1.1153,0.0
1.1157,1.1237,1.1153,1.1169,1991-12-03,1.1157,1.1237,1.1153,1.1169,1.1157,1.1237,1.1153,1.1169,0.0
1.1183,1.1239,1.1096,1.1101,1991-12-04,1.1183,1.1239,1.1096,1.1101,1.1183,1.1239,1.1096,1.1101,0.0
1.11,1.11,1.0929,1.0931,1991-12-05,1.11,1.11,1.0929,1.0931,1.11,1.11,1.0929,1.0931,0.0
1.0935,1.0962,1.079,1.0919,1991-12-06,1.0935,1.0962,1.079,1.0919,1.0935,1.0962,1.079,1.0919,0.0
1.0919,1.0919,1.0919,1.0919,1991-12-07,1.0919,1.0919,1.0919,1.0919,1.0919,1.0919,1.0919,1.0919,0.0
1.0919,1.0919,1.0919,1.0919,1991-12-08,1.0919,1.0919,1.0919,1.0919,1.0919,1.0919,1.0919,1.0919,0.0
1.0772,1.081,1.0716,1.0749,1991-12-09,1.0772,1.081,1.0716,1.0749,1.0772,1.081,1.0716,1.0749,0.0
1.0715,1.0849,1.068,1.0782,1991-12-10,1.0715,1.0849,1.068,1.0782,1.0715,1.0849,1.068,1.0782,0.0
1.0779,1.0914,1.0711,1.0752,1991-12-11,1.0779,1.0914,1.0711,1.0752,1.0779,1.0914,1.0711,1.0752,0.0
1.0758,1.081,1.071,1.0793,1991-12-12,1.0758,1.081,1.071,1.0793,1.0758,1.081,1.071,1.0793,0.0
1.0787,1.0826,1.0735,1.0767,1991-12-13,1.0787,1.0826,1.0735,1.0767,1.0787,1.0826,1.0735,1.0767,0.0
1.0767,1.0767,1.0767,1.0767,1991-12-14,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,0.0
1.0767,1.0767,1.0767,1.0767,1991-12-15,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,0.0
1.0817,1.0837,1.078,1.0783,1991-12-16,1.0817,1.0837,1.078,1.0783,1.0817,1.0837,1.078,1.0783,0.0
1.0787,1.0809,1.0721,1.0743,1991-12-17,1.0787,1.0809,1.0721,1.0743,1.0787,1.0809,1.0721,1.0743,0.0
1.0765,1.0788,1.0728,1.0771,1991-12-18,1.0765,1.0788,1.0728,1.0771,1.0765,1.0788,1.0728,1.0771,0.0
1.0763,1.0831,1.067,1.067,1991-12-19,1.0763,1.0831,1.067,1.067,1.0763,1.0831,1.067,1.067,0.0
1.0671,1.0681,1.0439,1.0464,1991-12-20,1.0671,1.0681,1.0439,1.0464,1.0671,1.0681,1.0439,1.0464,0.0
1.0464,1.0464,1.0464,1.0464,1991-12-21,1.0464,1.0464,1.0464,1.0464,1.0464,1.0464,1.0464,1.0464,0.0
1.0464,1.0464,1.0464,1.0464,1991-12-22,1.0464,1.0464,1.0464,1.0464,1.0464,1.0464,1.0464,1.0464,0.0
1.042,1.042,1.0186,1.0249,1991-12-23,1.042,1.042,1.0186,1.0249,1.042,1.042,1.0186,1.0249,0.0
1.0264,1.0317,1.0249,1.0272,1991-12-24,1.0264,1.0317,1.0249,1.0272,1.0264,1.0317,1.0249,1.0272,0.0
1.0272,1.0272,1.0272,1.0272,1991-12-25,1.0272,1.0272,1.0272,1.0272,1.0272,1.0272,1.0272,1.0272,0.0
1.0225,1.0274,1.0216,1.0221,1991-12-26,1.0225,1.0274,1.0216,1.0221,1.0225,1.0274,1.0216,1.0221,0.0
1.0221,1.0306,1.0169,1.0294,1991-12-27,1.0221,1.0306,1.0169,1.0294,1.0221,1.0306,1.0169,1.0294,0.0
1.0294,1.0294,1.0294,1.0294,1991-12-28,1.0294,1.0294,1.0294,1.0294,1.0294,1.0294,1.0294,1.0294,0.0
1.0294,1.0294,1.0294,1.0294,1991-12-29,1.0294,1.0294,1.0294,1.0294,1.0294,1.0294,1.0294,1.0294,0.0
1.0332,1.0332,1.0241,1.0313,1991-12-30,1.0332,1.0332,1.0241,1.0313,1.0332,1.0332,1.0241,1.0313,0.0
1.0313,1.0313,1.0313,1.0313,1992-01-01,1.0313,1.0313,1.0313,1.0313,1.0313,1.0313,1.0313,1.0313,0.0
1.0318,1.0362,1.0295,1.0295,1992-01-02,1.0318,1.0362,1.0295,1.0295,1.0318,1.0362,1.0295,1.0295,0.0
1.031,1.0441,1.031,1.0396,1992-01-03,1.031,1.0441,1.031,1.0396,1.031,1.0441,1.031,1.0396,0.0
1.0396,1.0396,1.0396,1.0396,1992-01-04,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,0.0
