bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
46.837,49.327,46.837,48.517,2022-05-12,47.683,49.434,47.193,48.553,47.260000000000005,49.3805,47.015,48.535,0.0359999999999942
49.047,51.557,48.956,50.996,2022-05-13,49.743,51.714,49.463,51.034,49.395,51.6355,49.209500000000006,51.015,0.0379999999999967
50.996,50.996,50.996,50.996,2022-05-14,51.034,51.034,51.034,51.034,51.015,51.015,51.015,51.015,0.0379999999999967
50.996,50.996,50.996,50.996,2022-05-15,51.034,51.034,51.034,51.034,51.015,51.015,51.015,51.015,0.0379999999999967
49.786,50.426,47.967,48.336,2022-05-16,51.084,51.084,48.123,48.384,50.435,50.755,48.045,48.36,0.0480000000000018
48.686,49.236,46.557,46.986,2022-05-17,49.734,49.734,46.623,47.024,49.21,49.485,46.59,47.005,0.0380000000000038
44.017,45.117,42.416,42.907,2022-05-18,45.713,45.714,42.474,42.943,44.865,45.4155,42.44499999999999,42.925,0.0360000000000013
39.816,40.997,38.296,39.906,2022-05-19,40.754,41.014,38.363,40.044,40.285,41.0055,38.3295,39.975,0.1379999999999981
39.787,40.956,36.486,38.727,2022-05-20,40.753,42.074,36.543,38.853,40.27,41.515,36.5145,38.79,0.1260000000000047
38.727,38.727,38.727,38.727,2022-05-21,38.853,38.853,38.853,38.853,38.79,38.79,38.79,38.79,0.1260000000000047
38.727,38.727,38.727,38.727,2022-05-22,38.853,38.853,38.853,38.853,38.79,38.79,38.79,38.79,0.1260000000000047
38.957,39.327,37.307,38.517,2022-05-23,39.733,39.733,37.414,38.543,39.345,39.53,37.3605,38.53,0.0259999999999962
37.517,37.517,35.426,36.127,2022-05-24,38.303,38.303,35.473,36.143,37.91,37.91,35.4495,36.135000000000005,0.0159999999999982
35.657,39.717,35.626,39.257,2022-05-25,36.113,39.764,35.883,39.283,35.885,39.7405,35.7545,39.27,0.0260000000000033
39.156,43.066,39.156,42.537,2022-05-26,40.034,43.124,40.034,42.573,39.595,43.095,39.595,42.555,0.0360000000000013
41.587,43.277,41.587,42.366,2022-05-27,43.033,43.504,41.924,42.394,42.31,43.3905,41.7555,42.38,0.0279999999999986
42.366,42.366,42.366,42.366,2022-05-28,42.394,42.394,42.394,42.394,42.38,42.38,42.38,42.38,0.0279999999999986
42.366,42.366,42.366,42.366,2022-05-29,42.394,42.394,42.394,42.394,42.38,42.38,42.38,42.38,0.0279999999999986
42.366,42.366,42.366,42.366,2022-05-30,42.394,42.394,42.394,42.394,42.38,42.38,42.38,42.38,0.0279999999999986
41.597,42.137,40.767,40.967,2022-05-31,42.593,42.593,40.843,41.013,42.095,42.365,40.80500000000001,40.99,0.0459999999999993
40.747,41.357,39.346,39.566,2022-06-01,41.793,41.794,39.393,39.594,41.27,41.5755,39.3695,39.58,0.0279999999999986
38.957,39.847,37.597,39.176,2022-06-02,39.643,40.024,38.724,39.214,39.3,39.935500000000005,38.1605,39.195,0.0379999999999967
38.437,39.217,37.786,38.077,2022-06-03,39.203,39.524,37.874,38.103,38.82,39.3705,37.83,38.09,0.0260000000000033
38.077,38.077,38.077,38.077,2022-06-04,38.103,38.103,38.103,38.103,38.09,38.09,38.09,38.09,0.0260000000000033
38.077,38.077,38.077,38.077,2022-06-05,38.103,38.103,38.103,38.103,38.09,38.09,38.09,38.09,0.0260000000000033
36.667,37.787,36.526,37.196,2022-06-06,38.963,38.963,36.583,37.224,37.815,38.375,36.5545,37.21,0.0279999999999986
36.267,37.817,36.016,37.656,2022-06-07,36.783,37.854,36.133,37.694,36.525000000000006,37.8355,36.0745,37.675,0.0380000000000038
37.347,37.947,36.696,37.257,2022-06-08,37.593,38.024,36.924,37.293,37.47,37.9855,36.81,37.275,0.0360000000000013
37.006,37.007,35.286,35.306,2022-06-09,37.454,37.644,35.303,35.354,37.23,37.3255,35.2945,35.33,0.0480000000000018
34.227,35.326,33.847,33.867,2022-06-10,34.803,35.464,33.873,33.893,34.515,35.395,33.86,33.879999999999995,0.0260000000000033
33.867,33.867,33.867,33.867,2022-06-11,33.893,33.893,33.893,33.893,33.879999999999995,33.879999999999995,33.879999999999995,33.879999999999995,0.0260000000000033
33.867,33.867,33.867,33.867,2022-06-12,33.893,33.893,33.893,33.893,33.879999999999995,33.879999999999995,33.879999999999995,33.879999999999995,0.0260000000000033
32.197,33.666,31.566,32.847,2022-06-13,34.323,34.324,32.113,32.873,33.260000000000005,33.995,31.8395,32.86,0.0259999999999962
32.734,33.684,32.524,32.784,2022-06-14,33.356,33.746,32.556,32.816,33.045,33.715,32.54,32.8,0.0320000000000035
32.744,34.494,32.714,33.944,2022-06-15,33.566,34.586,32.966,34.016,33.155,34.54,32.84,33.980000000000004,0.0719999999999956
32.614,33.014,31.654,32.084,2022-06-16,34.046,34.056,31.696,32.116,33.33,33.535,31.675,32.1,0.0319999999999964
32.794,33.674,32.204,33.574,2022-06-17,32.896,33.716,32.306,33.596,32.845,33.695,32.254999999999995,33.584999999999994,0.0219999999999984
33.574,33.574,33.574,33.574,2022-06-18,33.596,33.596,33.596,33.596,33.584999999999994,33.584999999999994,33.584999999999994,33.584999999999994,0.0219999999999984
33.574,33.574,33.574,33.574,2022-06-19,33.596,33.596,33.596,33.596,33.584999999999994,33.584999999999994,33.584999999999994,33.584999999999994,0.0219999999999984
33.574,33.574,33.574,33.574,2022-06-20,33.596,33.596,33.596,33.596,33.584999999999994,33.584999999999994,33.584999999999994,33.584999999999994,0.0219999999999984
33.974,34.544,30.054,30.324,2022-06-21,34.516,34.896,30.096,30.376,34.245,34.72,30.075,30.35,0.0519999999999996
29.574,30.944,29.574,29.884,2022-06-22,30.436,31.486,29.706,29.916,30.005000000000003,31.215,29.64,29.9,0.032
29.674,30.124,28.864,29.514,2022-06-23,30.266,31.576,28.906,29.566,29.97,30.85,28.885,29.54,0.0519999999999996
29.604,31.394,29.524,30.934,2022-06-24,30.246,31.476,29.766,30.996,29.925,31.435,29.645,30.965,0.0619999999999976
30.934,30.934,30.934,30.934,2022-06-25,30.996,30.996,30.996,30.996,30.965,30.965,30.965,30.965,0.0619999999999976
30.934,30.934,30.934,30.934,2022-06-26,30.996,30.996,30.996,30.996,30.965,30.965,30.965,30.965,0.0619999999999976
30.954,31.184,30.074,30.744,2022-06-27,31.336,31.436,30.166,30.806,31.145,31.31,30.12,30.775,0.0620000000000011
30.884,31.444,28.874,28.974,2022-06-28,31.356,31.616,28.926,29.016,31.12,31.53,28.9,28.995,0.041999999999998
27.444,27.494,26.174,26.374,2022-06-29,28.026,28.026,26.246,26.416,27.735,27.76,26.21,26.395,0.0420000000000015
26.054,27.284,25.534,26.894,2022-06-30,26.756,27.386,25.836,26.956,26.405,27.335,25.685,26.925,0.0620000000000011
26.084,28.104,25.984,27.834,2022-07-01,26.916,28.176,26.056,27.856,26.5,28.14,26.020000000000003,27.845,0.022000000000002
27.834,27.834,27.834,27.834,2022-07-02,27.856,27.856,27.856,27.856,27.845,27.845,27.845,27.845,0.022000000000002
27.834,27.834,27.834,27.834,2022-07-03,27.856,27.856,27.856,27.856,27.845,27.845,27.845,27.845,0.022000000000002
27.834,27.834,27.834,27.834,2022-07-04,27.856,27.856,27.856,27.856,27.845,27.845,27.845,27.845,0.022000000000002
26.984,27.924,26.654,27.724,2022-07-05,27.596,28.016,26.736,27.766,27.29,27.97,26.695,27.745,0.041999999999998
27.684,27.994,26.414,26.684,2022-07-06,28.006,28.176,26.506,26.736,27.845,28.085,26.46,26.71,0.0519999999999996
26.644,28.234,26.644,28.094,2022-07-07,27.196,28.256,26.856,28.146,26.92,28.245,26.75,28.12,0.0519999999999996
27.634,28.194,27.164,27.584,2022-07-08,28.366,28.366,27.326,27.626,28.0,28.28,27.245,27.605,0.0420000000000015
27.584,27.584,27.584,27.584,2022-07-09,27.626,27.626,27.626,27.626,27.605,27.605,27.605,27.605,0.0420000000000015
