bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
159.446,163.207,158.546,160.597,2022-06-15,160.264,163.964,159.153,161.273,159.85500000000002,163.5855,158.84949999999998,160.935,0.6759999999999877
154.057,156.027,149.426,150.446,2022-06-16,166.783,166.783,150.024,151.124,160.42,161.40499999999997,149.725,150.785,0.6779999999999973
152.316,156.997,148.557,154.737,2022-06-17,153.894,157.234,149.174,155.963,153.10500000000002,157.1155,148.8655,155.35,1.225999999999999
154.737,154.737,154.737,154.737,2022-06-18,155.963,155.963,155.963,155.963,155.35,155.35,155.35,155.35,1.225999999999999
154.737,154.737,154.737,154.737,2022-06-19,155.963,155.963,155.963,155.963,155.35,155.35,155.35,155.35,1.225999999999999
154.737,154.737,154.737,154.737,2022-06-20,155.963,155.963,155.963,155.963,155.35,155.35,155.35,155.35,1.225999999999999
154.446,159.506,153.156,154.476,2022-06-21,166.364,166.364,153.633,155.644,160.405,162.935,153.3945,155.06,1.1680000000000064
147.216,154.387,147.216,148.486,2022-06-22,151.354,155.644,148.543,149.344,149.28500000000005,155.0155,147.8795,148.915,0.8580000000000041
141.877,150.317,141.877,149.766,2022-06-23,151.213,158.024,143.54,150.204,146.54500000000002,154.1705,142.70850000000002,149.985,0.4380000000000166
150.246,161.637,142.656,159.786,2022-06-24,152.234,162.194,151.933,161.054,151.24,161.9155,147.2945,160.42000000000002,1.268000000000001
159.786,159.786,159.786,159.786,2022-06-25,161.054,161.054,161.054,161.054,160.42000000000002,160.42000000000002,160.42000000000002,160.42000000000002,1.268000000000001
159.786,159.786,159.786,159.786,2022-06-26,161.054,161.054,161.054,161.054,160.42000000000002,160.42000000000002,160.42000000000002,160.42000000000002,1.268000000000001
158.706,160.777,154.277,155.857,2022-06-27,169.174,169.174,155.793,157.493,163.94,164.9755,155.035,156.675,1.6359999999999957
153.246,159.347,147.217,148.066,2022-06-28,161.274,162.144,148.023,148.814,157.26,160.7455,147.62,148.44,0.7479999999999905
138.907,146.936,138.906,142.247,2022-06-29,149.883,149.884,141.233,143.693,144.395,148.41,140.0695,142.97000000000003,1.445999999999998
138.216,141.037,135.166,136.136,2022-06-30,142.484,142.703,135.723,136.534,140.35000000000002,141.87,135.4445,136.33499999999998,0.3979999999999961
133.297,138.046,132.416,137.397,2022-07-01,137.483,139.284,133.413,138.543,135.39,138.665,132.9145,137.97,1.146000000000015
137.397,137.397,137.397,137.397,2022-07-02,138.543,138.543,138.543,138.543,137.97,137.97,137.97,137.97,1.146000000000015
137.397,137.397,137.397,137.397,2022-07-03,138.543,138.543,138.543,138.543,137.97,137.97,137.97,137.97,1.146000000000015
137.397,137.397,137.397,137.397,2022-07-04,138.543,138.543,138.543,138.543,137.97,137.97,137.97,137.97,1.146000000000015
129.146,147.797,129.146,146.667,2022-07-05,136.844,148.114,135.604,148.103,132.995,147.9555,132.375,147.385,1.436000000000007
144.987,151.407,140.027,146.527,2022-07-06,152.263,154.074,144.823,147.973,148.625,152.7405,142.425,147.25,1.4460000000000264
146.556,154.597,140.287,153.677,2022-07-07,149.674,155.603,147.324,154.983,148.115,155.10000000000002,143.8055,154.32999999999998,1.3060000000000116
151.077,153.376,148.637,151.517,2022-07-08,153.973,155.014,150.714,153.273,152.525,154.195,149.6755,152.39499999999998,1.7560000000000002
151.517,151.517,151.517,151.517,2022-07-09,153.273,153.273,153.273,153.273,152.39499999999998,152.39499999999998,152.39499999999998,152.39499999999998,1.7560000000000002
151.517,151.517,151.517,151.517,2022-07-10,153.273,153.273,153.273,153.273,152.39499999999998,152.39499999999998,152.39499999999998,152.39499999999998,1.7560000000000002
149.846,150.666,145.787,146.867,2022-07-11,152.384,152.744,146.444,147.683,151.115,151.70499999999998,146.1155,147.27499999999998,0.8160000000000025
146.096,150.217,144.706,145.967,2022-07-12,149.174,153.874,145.774,147.373,147.635,152.0455,145.24,146.67000000000002,1.4059999999999775
143.107,147.267,137.097,144.067,2022-07-13,146.053,151.624,141.994,145.533,144.57999999999998,149.44549999999998,139.5455,144.8,1.4659999999999798
141.477,142.407,137.727,138.416,2022-07-14,145.173,149.583,138.103,139.074,143.325,145.995,137.91500000000002,138.745,0.6580000000000155
139.676,141.586,137.296,139.276,2022-07-15,142.394,148.083,138.528,140.794,141.035,144.8345,137.91199999999998,140.03500000000005,1.518000000000001
139.276,139.276,139.276,139.276,2022-07-16,140.794,140.794,140.794,140.794,140.03500000000005,140.03500000000005,140.03500000000005,140.03500000000005,1.518000000000001
139.276,139.276,139.276,139.276,2022-07-17,140.794,140.794,140.794,140.794,140.03500000000005,140.03500000000005,140.03500000000005,140.03500000000005,1.518000000000001
139.187,145.707,139.187,141.516,2022-07-18,143.473,146.174,140.633,142.534,141.33,145.9405,139.91000000000005,142.02499999999998,1.018000000000001
142.926,148.137,141.107,146.786,2022-07-19,146.374,148.484,143.854,148.254,144.64999999999998,148.3105,142.4805,147.51999999999998,1.467999999999989
144.487,152.167,138.826,151.247,2022-07-20,148.543,152.814,147.094,152.803,146.515,152.4905,142.95999999999998,152.025,1.5559999999999832
150.036,156.207,148.837,155.447,2022-07-21,152.064,156.474,151.523,156.333,151.05,156.3405,150.18,155.89,0.8859999999999957
156.036,160.086,153.147,155.647,2022-07-22,156.924,161.253,154.893,157.123,156.48000000000002,160.6695,154.01999999999998,156.385,1.475999999999999
155.647,155.647,155.647,155.647,2022-07-23,157.123,157.123,157.123,157.123,156.385,156.385,156.385,156.385,1.475999999999999
155.647,155.647,155.647,155.647,2022-07-24,157.123,157.123,157.123,157.123,156.385,156.385,156.385,156.385,1.475999999999999
154.407,154.657,148.856,151.167,2022-07-25,157.863,158.084,149.364,151.933,156.135,156.3705,149.11,151.55,0.7659999999999911
141.706,144.806,139.147,139.297,2022-07-26,146.794,152.663,139.513,140.013,144.25,148.73450000000005,139.32999999999998,139.655,0.7160000000000082
140.006,144.947,138.146,143.606,2022-07-27,143.134,147.683,138.874,144.394,141.57,146.315,138.51,144.0,0.7880000000000109
143.696,146.427,140.277,143.496,2022-07-28,145.724,148.423,141.103,144.844,144.70999999999998,147.425,140.69,144.17000000000002,1.3479999999999848
142.107,144.147,137.216,140.437,2022-07-29,145.643,146.104,137.683,141.673,143.875,145.1255,137.4495,141.055,1.23599999999999
140.437,140.437,140.437,140.437,2022-07-30,141.673,141.673,141.673,141.673,141.055,141.055,141.055,141.055,1.23599999999999
140.437,140.437,140.437,140.437,2022-07-31,141.673,141.673,141.673,141.673,141.055,141.055,141.055,141.055,1.23599999999999
138.897,151.357,138.316,149.487,2022-08-01,141.803,151.794,140.013,150.303,140.35,151.5755,139.1645,149.89499999999998,0.8160000000000025
148.487,150.007,146.687,147.906,2022-08-02,150.963,150.964,147.263,148.674,149.725,150.4855,146.97500000000002,148.29000000000002,0.7680000000000007
147.556,155.807,141.676,154.536,2022-08-03,151.474,157.534,149.594,155.704,149.515,156.6705,145.635,155.12,1.1680000000000064
154.616,157.987,148.387,157.316,2022-08-04,156.604,158.574,154.204,158.454,155.61,158.28050000000002,151.2955,157.885,1.1380000000000052
152.916,157.317,152.316,154.337,2022-08-05,157.424,158.033,153.123,155.413,155.17000000000002,157.675,152.71949999999998,154.875,1.0760000000000218
154.337,154.337,154.337,154.337,2022-08-06,155.413,155.413,155.413,155.413,154.875,154.875,154.875,154.875,1.0760000000000218
154.337,154.337,154.337,154.337,2022-08-07,155.413,155.413,155.413,155.413,154.875,154.875,154.875,154.875,1.0760000000000218
154.617,164.246,154.617,161.377,2022-08-08,157.053,164.524,157.053,162.183,155.83499999999998,164.385,155.83499999999998,161.78,0.8059999999999832
158.696,159.077,153.137,153.477,2022-08-09,162.994,162.994,153.523,154.003,160.845,161.0355,153.32999999999998,153.74,0.525999999999982
148.657,159.866,148.657,156.357,2022-08-10,158.283,163.393,156.834,157.513,153.47,161.6295,152.7455,156.935,1.156000000000006
157.586,164.057,157.586,163.895,2022-08-11,160.554,164.614,159.624,164.133,159.07,164.3355,158.60500000000002,164.014,0.2379999999999995
163.977,166.537,162.167,163.146,2022-08-12,166.473,172.854,162.704,164.294,165.22500000000002,169.6955,162.4355,163.72,1.1480000000000246
163.146,163.146,163.146,163.146,2022-08-13,164.294,164.294,164.294,164.294,163.72,163.72,163.72,163.72,1.1480000000000246
163.146,163.146,163.146,163.146,2022-08-14,164.294,164.294,164.294,164.294,163.72,163.72,163.72,163.72,1.1480000000000246
160.047,162.687,157.886,159.367,2022-08-15,163.693,165.594,158.333,160.483,161.87,164.1405,158.1095,159.925,1.116000000000014
157.297,173.217,155.707,167.456,2022-08-16,160.963,173.534,160.504,168.134,159.13,173.3755,158.1055,167.795,0.6779999999999973
163.806,173.806,157.886,169.576,2022-08-17,167.364,174.184,163.254,170.254,165.585,173.995,160.57,169.915,0.6779999999999973
166.837,169.686,163.287,168.326,2022-08-18,171.783,171.904,164.953,169.144,169.31,170.79500000000002,164.12,168.735,0.818000000000012
165.656,169.076,161.406,162.766,2022-08-19,169.304,171.494,161.753,163.914,167.48000000000002,170.285,161.5795,163.33999999999995,1.147999999999996
162.766,162.766,162.766,162.766,2022-08-20,163.914,163.914,163.914,163.914,163.33999999999995,163.33999999999995,163.33999999999995,163.33999999999995,1.147999999999996
162.766,162.766,162.766,162.766,2022-08-21,163.914,163.914,163.914,163.914,163.33999999999995,163.33999999999995,163.33999999999995,163.33999999999995,1.147999999999996
157.936,159.216,153.396,153.477,2022-08-22,168.614,168.614,153.783,154.503,163.275,163.91500000000002,153.5895,153.99,1.025999999999982
152.917,158.897,151.316,158.126,2022-08-23,155.143,159.374,153.234,159.374,154.03,159.13549999999998,152.275,158.75,1.2479999999999905
155.976,165.107,150.176,163.676,2022-08-24,159.724,165.573,156.403,164.274,157.85,165.34,153.28949999999998,163.975,0.5980000000000132
142.296,158.647,141.177,146.736,2022-08-25,146.574,161.184,142.513,147.194,144.435,159.9155,141.845,146.96499999999995,0.4579999999999984
146.957,148.627,141.126,144.687,2022-08-26,148.683,149.414,141.563,145.333,147.82,149.0205,141.34449999999998,145.01,0.6459999999999866
144.687,144.687,144.687,144.687,2022-08-27,145.333,145.333,145.333,145.333,145.01,145.01,145.01,145.01,0.6459999999999866
144.687,144.687,144.687,144.687,2022-08-28,145.333,145.333,145.333,145.333,145.01,145.01,145.01,145.01,0.6459999999999866
140.406,148.397,140.406,142.826,2022-08-29,144.064,148.994,142.343,143.984,142.235,148.69549999999998,141.3745,143.405,1.1580000000000157
143.237,145.397,140.796,141.176,2022-08-30,145.773,151.303,141.303,141.954,144.505,148.35,141.0495,141.565,0.77800000000002
139.046,141.667,137.576,139.586,2022-08-31,143.024,144.464,138.303,140.914,141.035,143.0655,137.9395,140.25,1.3279999999999743
