bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
1.458,1.466,1.451,1.461,2020-12-17,1.463,1.471,1.456,1.467,1.4605,1.4685,1.4535,1.464,0.006
1.451,1.478,1.445,1.458,2020-12-18,1.459,1.484,1.452,1.463,1.455,1.481,1.4485,1.4605,0.0050000000000001
1.458,1.458,1.458,1.458,2020-12-19,1.463,1.463,1.463,1.463,1.4605,1.4605,1.4605,1.4605,0.0050000000000001
1.457,1.457,1.457,1.457,2020-12-20,1.462,1.462,1.462,1.462,1.4595,1.4595,1.4595,1.4595,0.0049999999999998
1.373,1.422,1.34,1.393,2020-12-21,1.469,1.469,1.373,1.398,1.421,1.4455,1.3565,1.3955,0.0049999999999998
1.385,1.43,1.384,1.423,2020-12-22,1.415,1.435,1.406,1.428,1.4,1.4325,1.395,1.4255,0.0049999999999998
1.416,1.477,1.416,1.476,2020-12-23,1.44,1.482,1.433,1.481,1.428,1.4795,1.4245,1.4785,0.0050000000000001
1.476,1.476,1.476,1.476,2020-12-24,1.481,1.481,1.481,1.481,1.4785,1.4785,1.4785,1.4785,0.0050000000000001
1.476,1.476,1.476,1.476,2020-12-25,1.481,1.481,1.481,1.481,1.4785,1.4785,1.4785,1.4785,0.0050000000000001
1.476,1.476,1.476,1.476,2020-12-26,1.481,1.481,1.481,1.481,1.4785,1.4785,1.4785,1.4785,0.0050000000000001
1.476,1.476,1.476,1.476,2020-12-27,1.481,1.481,1.481,1.481,1.4785,1.4785,1.4785,1.4785,0.0050000000000001
1.468,1.521,1.468,1.5,2020-12-28,1.508,1.526,1.495,1.505,1.488,1.5235,1.4815,1.5025,0.0049999999999998
1.491,1.504,1.469,1.489,2020-12-29,1.512,1.512,1.484,1.494,1.5015,1.508,1.4765,1.4915,0.0049999999999998
1.481,1.502,1.48,1.487,2020-12-30,1.5,1.507,1.488,1.492,1.4905,1.5045,1.484,1.4895,0.0049999999999998
1.487,1.487,1.487,1.487,2021-01-01,1.492,1.492,1.492,1.492,1.4895,1.4895,1.4895,1.4895,0.0049999999999998
