bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
132.517,136.817,131.656,135.716,2022-05-12,135.283,137.124,132.573,135.964,133.89999999999998,136.97050000000002,132.11450000000002,135.84,0.2479999999999904
137.026,143.107,137.026,142.346,2022-05-13,139.954,143.274,138.143,142.544,138.49,143.1905,137.5845,142.445,0.1980000000000075
142.346,142.346,142.346,142.346,2022-05-14,142.544,142.544,142.544,142.544,142.445,142.445,142.445,142.445,0.1980000000000075
142.346,142.346,142.346,142.346,2022-05-15,142.544,142.544,142.544,142.544,142.445,142.445,142.445,142.445,0.1980000000000075
139.057,141.527,138.677,139.216,2022-05-16,141.843,142.104,138.994,139.334,140.45,141.8155,138.8355,139.275,0.117999999999995
141.217,143.916,139.496,142.847,2022-05-17,144.133,144.754,139.933,142.993,142.675,144.33499999999998,139.7145,142.92000000000002,0.1459999999999865
137.736,141.176,135.356,136.227,2022-05-18,143.904,143.904,135.494,136.343,140.82,142.54,135.425,136.285,0.1159999999999854
135.636,146.816,135.636,143.716,2022-05-19,138.514,147.094,137.273,143.854,137.075,146.95499999999998,136.4545,143.78500000000005,0.1380000000000052
145.166,147.067,140.706,146.527,2022-05-20,151.114,151.114,141.143,146.693,148.14,149.09050000000002,140.9245,146.61,0.1660000000000252
146.527,146.527,146.527,146.527,2022-05-21,146.693,146.693,146.693,146.693,146.61,146.61,146.61,146.61,0.1660000000000252
146.527,146.527,146.527,146.527,2022-05-22,146.693,146.693,146.693,146.693,146.61,146.61,146.61,146.61,0.1660000000000252
144.937,148.386,144.856,147.577,2022-05-23,147.923,149.024,145.314,147.723,146.43,148.70499999999998,145.08499999999998,147.65,0.146000000000015
144.116,146.627,142.177,143.916,2022-05-24,146.984,147.124,142.683,144.074,145.55,146.8755,142.43,143.995,0.1580000000000154
142.197,146.077,141.237,144.806,2022-05-25,144.583,146.303,142.073,144.964,143.39,146.19,141.655,144.885,0.157999999999987
143.826,149.366,143.396,148.606,2022-05-26,146.484,149.904,144.823,148.734,145.155,149.635,144.1095,148.67000000000002,0.1280000000000143
149.876,156.227,149.876,156.086,2022-05-27,150.474,156.314,150.463,156.184,150.175,156.2705,150.1695,156.135,0.0979999999999847
156.086,156.086,156.086,156.086,2022-05-28,156.184,156.184,156.184,156.184,156.135,156.135,156.135,156.135,0.0979999999999847
156.086,156.086,156.086,156.086,2022-05-29,156.184,156.184,156.184,156.184,156.135,156.135,156.135,156.135,0.0979999999999847
156.086,156.086,156.086,156.086,2022-05-30,156.184,156.184,156.184,156.184,156.135,156.135,156.135,156.135,0.0979999999999847
152.687,155.497,151.406,153.667,2022-05-31,156.173,157.513,151.904,153.743,154.43,156.505,151.655,153.70499999999998,0.0759999999999934
149.727,157.647,149.727,153.167,2022-06-01,159.153,159.153,151.973,153.263,154.44,158.39999999999998,150.85000000000002,153.215,0.0960000000000036
152.167,161.667,150.527,161.397,2022-06-02,155.893,161.704,152.784,161.473,154.03,161.6855,151.6555,161.435,0.0760000000000218
157.347,159.837,156.936,158.426,2022-06-03,160.363,160.463,157.473,158.634,158.85500000000002,160.14999999999998,157.2045,158.52999999999997,0.2079999999999984
158.426,158.426,158.426,158.426,2022-06-04,158.634,158.634,158.634,158.634,158.52999999999997,158.52999999999997,158.52999999999997,158.52999999999997,0.2079999999999984
158.426,158.426,158.426,158.426,2022-06-05,158.634,158.634,158.634,158.634,158.52999999999997,158.52999999999997,158.52999999999997,158.52999999999997,0.2079999999999984
159.496,163.986,159.197,160.177,2022-06-06,161.764,164.544,159.403,160.393,160.63,164.265,159.3,160.285,0.2160000000000081
157.316,162.926,157.316,162.176,2022-06-07,159.544,163.084,158.674,162.354,158.43,163.005,157.995,162.265,0.1780000000000257
160.157,161.987,158.576,159.727,2022-06-08,163.533,163.533,158.903,159.973,161.845,162.76,158.7395,159.85000000000002,0.2460000000000093
158.327,159.966,155.686,155.687,2022-06-09,162.463,162.463,155.853,155.893,160.39499999999998,161.2145,155.7695,155.79000000000002,0.2059999999999888
150.576,151.746,147.586,148.986,2022-06-10,153.664,153.664,147.863,149.204,152.12,152.70499999999998,147.7245,149.095,0.2180000000000177
148.986,148.986,148.986,148.986,2022-06-11,149.204,149.204,149.204,149.204,149.095,149.095,149.095,149.095,0.2180000000000177
148.986,148.986,148.986,148.986,2022-06-12,149.204,149.204,149.204,149.204,149.095,149.095,149.095,149.095,0.2180000000000177
142.056,144.996,140.747,141.577,2022-06-13,146.654,146.654,140.964,141.743,144.35500000000002,145.825,140.8555,141.66,0.1659999999999968
142.066,144.037,139.656,143.266,2022-06-14,143.934,144.234,140.283,143.514,143.0,144.1355,139.96949999999998,143.39,0.2480000000000188
143.487,149.836,143.487,147.557,2022-06-15,147.983,150.024,144.174,147.833,145.735,149.93,143.8305,147.695,0.2760000000000104
142.647,144.087,139.546,140.977,2022-06-16,144.273,144.964,139.834,141.173,143.45999999999998,144.5255,139.69,141.075,0.1959999999999979
140.977,140.977,140.977,140.977,2022-06-17,141.173,141.173,141.173,141.173,141.075,141.075,141.075,141.075,0.1959999999999979
140.977,140.977,140.977,140.977,2022-06-18,141.173,141.173,141.173,141.173,141.075,141.075,141.075,141.075,0.1959999999999979
140.977,140.977,140.977,140.977,2022-06-19,141.173,141.173,141.173,141.173,141.075,141.075,141.075,141.075,0.1959999999999979
140.977,140.977,140.977,140.977,2022-06-20,141.173,141.173,141.173,141.173,141.075,141.075,141.075,141.075,0.1959999999999979
144.797,150.007,144.767,148.007,2022-06-21,145.783,150.224,145.584,148.193,145.29,150.1155,145.1755,148.10000000000002,0.186000000000007
144.956,149.226,143.957,145.776,2022-06-22,151.924,151.924,145.244,146.034,148.44,150.575,144.6005,145.905,0.2579999999999813
145.697,151.237,144.646,151.127,2022-06-23,149.833,151.344,145.433,151.333,147.765,151.2905,145.03949999999998,151.23000000000002,0.2059999999999888
