bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
116.5,117.13,115.33,116.78,2017-05-11,117.0,117.18,115.43,116.79,116.75,117.155,115.38,116.785,0.0100000000000051
116.06,116.93,116.06,116.17,2017-05-12,116.49,116.99,116.18,116.18,116.275,116.96,116.12,116.175,0.0100000000000051
116.17,116.17,116.17,116.17,2017-05-13,116.18,116.18,116.18,116.18,116.175,116.175,116.175,116.175,0.0100000000000051
116.17,116.17,116.17,116.17,2017-05-14,116.18,116.18,116.18,116.18,116.175,116.175,116.175,116.175,0.0100000000000051
116.27,117.93,116.25,117.25,2017-05-15,116.57,117.98,116.36,117.26,116.42,117.955,116.305,117.255,0.0100000000000051
116.67,117.64,116.56,116.69,2017-05-16,117.62,117.72,116.61,116.7,117.145,117.68,116.585,116.695,0.0100000000000051
115.48,116.2,114.86,115.13,2017-05-17,115.76,116.3,114.91,115.15,115.62,116.25,114.885,115.14,0.0200000000000102
115.46,116.33,115.2,115.73,2017-05-18,115.76,116.39,115.32,115.74,115.61,116.36,115.26,115.735,0.0099999999999909
115.71,116.98,115.38,116.82,2017-05-19,115.9,117.02,115.5,116.84,115.805,117.0,115.44,116.83,0.0200000000000102
116.82,116.82,116.82,116.82,2017-05-20,116.84,116.84,116.84,116.84,116.83,116.83,116.83,116.83,0.0200000000000102
116.82,116.82,116.82,116.82,2017-05-21,116.84,116.84,116.84,116.84,116.83,116.83,116.83,116.83,0.0200000000000102
116.93,117.45,116.38,116.84,2017-05-22,117.35,117.5,116.43,116.86,117.14,117.475,116.405,116.85,0.019999999999996
116.92,118.43,116.42,118.17,2017-05-23,117.36,118.49,116.48,118.18,117.14,118.46,116.45,118.175,0.0100000000000051
118.01,118.21,117.39,117.706,2017-05-24,118.1,118.274,117.43,117.812,118.055,118.242,117.41,117.759,0.1059999999999945
116.689,118.377,116.689,118.028,2017-05-25,117.951,118.41,117.45,118.144,117.32,118.3935,117.0695,118.086,0.1159999999999996
118.1,118.4,117.538,117.95,2017-05-26,118.36,118.47,117.58,117.96,118.23,118.435,117.559,117.955,0.0099999999999909
117.95,117.95,117.95,117.95,2017-05-27,117.96,117.96,117.96,117.96,117.955,117.955,117.955,117.955,0.0099999999999909
117.95,117.95,117.95,117.95,2017-05-28,117.96,117.96,117.96,117.96,117.955,117.955,117.955,117.955,0.0099999999999909
117.95,117.95,117.95,117.95,2017-05-29,117.96,117.96,117.96,117.96,117.955,117.955,117.955,117.955,0.0099999999999909
117.4,117.548,116.67,117.158,2017-05-30,117.79,117.79,116.71,117.253,117.595,117.669,116.69,117.2055,0.0949999999999988
117.0,117.38,116.508,117.28,2017-05-31,117.45,117.46,116.54,117.29,117.225,117.42,116.524,117.285,0.0100000000000051
116.987,117.79,116.75,117.778,2017-06-01,117.75,117.844,116.83,117.842,117.3685,117.817,116.79,117.81,0.0639999999999929
117.1,117.93,116.6,116.88,2017-06-02,117.8,118.03,116.63,116.9,117.45,117.98,116.615,116.89,0.0200000000000102
116.88,116.88,116.88,116.88,2017-06-03,116.9,116.9,116.9,116.9,116.89,116.89,116.89,116.89,0.0200000000000102
116.88,116.88,116.88,116.88,2017-06-04,116.9,116.9,116.9,116.9,116.89,116.89,116.89,116.89,0.0200000000000102
116.478,118.59,116.478,118.166,2017-06-05,118.523,118.6,116.689,118.254,117.5005,118.595,116.5835,118.21,0.088000000000008
118.0,118.09,116.8,117.2,2017-06-06,118.08,118.18,116.81,117.21,118.04,118.135,116.805,117.205,0.0099999999999909
116.82,119.97,116.76,119.386,2017-06-07,116.99,119.98,116.88,119.442,116.905,119.975,116.82,119.414,0.0559999999999973
119.5,122.44,119.5,122.248,2017-06-08,119.99,122.5,119.76,122.353,119.745,122.47,119.63,122.3005,0.1049999999999897
121.6,124.4,121.6,124.358,2017-06-09,122.0,124.442,122.0,124.442,121.8,124.421,121.8,124.4,0.0839999999999889
124.358,124.358,124.358,124.358,2017-06-10,124.442,124.442,124.442,124.442,124.4,124.4,124.4,124.4,0.0839999999999889
124.358,124.358,124.358,124.358,2017-06-11,124.442,124.442,124.442,124.442,124.4,124.4,124.4,124.4,0.0839999999999889
124.01,125.67,124.01,125.548,2017-06-12,124.45,125.93,124.43,125.634,124.23,125.8,124.22,125.591,0.0859999999999985
125.62,126.37,125.55,126.019,2017-06-13,125.99,126.45,125.682,126.154,125.805,126.41,125.616,126.0865,0.1349999999999909
125.5,127.65,125.1,127.287,2017-06-14,126.0,127.68,125.22,127.373,125.75,127.665,125.16,127.33,0.0859999999999985
125.478,126.87,125.478,126.728,2017-06-15,129.764,129.764,126.15,126.821,127.621,128.317,125.814,126.7745,0.0930000000000035
118.928,127.12,118.928,126.158,2017-06-16,124.68,127.3,122.954,126.224,121.804,127.21,120.941,126.191,0.0660000000000025
126.158,126.158,126.158,126.158,2017-06-17,126.224,126.224,126.224,126.224,126.191,126.191,126.191,126.191,0.0660000000000025
126.158,126.158,126.158,126.158,2017-06-18,126.224,126.224,126.224,126.224,126.191,126.191,126.191,126.191,0.0660000000000025
124.556,127.71,124.556,127.388,2017-06-19,126.913,127.75,126.27,127.493,125.7345,127.73,125.413,127.4405,0.1049999999999897
119.487,127.27,119.487,126.006,2017-06-20,128.162,128.162,125.81,126.103,123.8245,127.716,122.6485,126.0545,0.0969999999999942
126.11,126.24,124.48,124.87,2017-06-21,126.47,126.47,124.49,124.9,126.29,126.355,124.485,124.885,0.0300000000000011
124.37,124.8,123.87,124.05,2017-06-22,124.75,124.87,123.88,124.06,124.56,124.835,123.875,124.055,0.0100000000000051
123.81,124.44,123.81,124.1,2017-06-23,124.85,124.85,123.89,124.11,124.33,124.645,123.85,124.105,0.0100000000000051
124.1,124.1,124.1,124.1,2017-06-24,124.11,124.11,124.11,124.11,124.105,124.105,124.105,124.105,0.0100000000000051
124.1,124.1,124.1,124.1,2017-06-25,124.11,124.11,124.11,124.11,124.105,124.105,124.105,124.105,0.0100000000000051
124.0,124.29,123.06,123.63,2017-06-26,124.97,124.97,123.15,123.64,124.485,124.63,123.105,123.635,0.0100000000000051
123.68,124.97,123.35,124.65,2017-06-27,124.19,124.98,123.4,124.69,123.935,124.975,123.375,124.67,0.039999999999992
124.63,127.09,124.63,126.75,2017-06-28,125.43,127.11,125.31,126.77,125.03,127.1,124.97,126.76,0.019999999999996
127.6,127.89,124.37,125.06,2017-06-29,127.7,128.0,124.46,125.09,127.65,127.945,124.415,125.075,0.0300000000000011
125.13,125.63,124.52,125.21,2017-06-30,125.45,125.64,124.79,125.24,125.29,125.635,124.655,125.225,0.0300000000000011
125.21,125.21,125.21,125.21,2017-07-01,125.24,125.24,125.24,125.24,125.225,125.225,125.225,125.225,0.0300000000000011
125.21,125.21,125.21,125.21,2017-07-02,125.24,125.24,125.24,125.24,125.225,125.225,125.225,125.225,0.0300000000000011
