bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
52.806,54.017,50.687,54.016,2022-05-12,52.854,55.333,52.753,54.064,52.83,54.675,51.72,54.04,0.0480000000000018
54.256,55.926,52.217,55.467,2022-05-13,56.974,56.974,54.483,55.493,55.615,56.45,53.35,55.48,0.0260000000000033
55.467,55.467,55.467,55.467,2022-05-14,55.493,55.493,55.493,55.493,55.48,55.48,55.48,55.48,0.0260000000000033
55.467,55.467,55.467,55.467,2022-05-15,55.493,55.493,55.493,55.493,55.48,55.48,55.48,55.48,0.0260000000000033
54.967,57.177,52.717,56.486,2022-05-16,57.793,57.793,55.623,56.534,56.38,57.485,54.17,56.51,0.0480000000000018
57.007,57.906,56.597,57.586,2022-05-17,57.543,57.944,56.694,57.624,57.275,57.925,56.6455,57.605,0.0380000000000038
56.947,58.267,56.786,57.036,2022-05-18,57.523,58.353,56.873,57.074,57.235,58.31,56.8295,57.055,0.0379999999999967
56.146,59.056,56.086,58.936,2022-05-19,57.174,59.164,56.704,59.014,56.66,59.11,56.395,58.975,0.0780000000000029
58.997,59.737,57.986,59.186,2022-05-20,59.843,59.943,58.074,59.224,59.42,59.84,58.03,59.205,0.0379999999999967
59.186,59.186,59.186,59.186,2022-05-21,59.224,59.224,59.224,59.224,59.205,59.205,59.205,59.205,0.0379999999999967
59.186,59.186,59.186,59.186,2022-05-22,59.224,59.224,59.224,59.224,59.205,59.205,59.205,59.205,0.0379999999999967
59.327,61.167,59.106,60.937,2022-05-23,60.123,61.204,59.224,60.963,59.725,61.185500000000005,59.165,60.95,0.0260000000000033
60.597,62.177,60.206,62.026,2022-05-24,60.993,62.224,60.264,62.064,60.795,62.2005,60.235,62.045,0.0379999999999967
61.226,62.367,61.226,61.976,2022-05-25,62.194,62.504,61.423,62.014,61.71,62.4355,61.3245,61.995000000000005,0.0380000000000038
61.937,64.017,61.937,63.176,2022-05-26,63.333,64.044,62.524,63.224,62.635,64.03049999999999,62.2305,63.2,0.0479999999999947
62.347,63.037,61.206,62.747,2022-05-27,63.193,63.394,61.254,62.763,62.77,63.2155,61.23,62.755,0.0159999999999982
62.747,62.747,62.747,62.747,2022-05-28,62.763,62.763,62.763,62.763,62.755,62.755,62.755,62.755,0.0159999999999982
62.747,62.747,62.747,62.747,2022-05-29,62.763,62.763,62.763,62.763,62.755,62.755,62.755,62.755,0.0159999999999982
62.747,62.747,62.747,62.747,2022-05-30,62.763,62.763,62.763,62.763,62.755,62.755,62.755,62.755,0.0159999999999982
62.177,63.966,62.176,62.526,2022-05-31,63.153,64.004,62.403,62.544,62.665,63.985,62.2895,62.535,0.0179999999999935
62.696,63.167,61.736,62.307,2022-06-01,63.594,63.594,61.813,62.343,63.145,63.3805,61.7745,62.325,0.0360000000000013
62.106,62.996,59.516,62.476,2022-06-02,62.834,63.194,62.113,62.504,62.47,63.095,60.8145,62.49,0.0279999999999986
61.946,62.616,59.626,61.986,2022-06-03,62.694,64.914,61.783,62.014,62.32,63.765,60.7045,62.0,0.0280000000000057
61.986,61.986,61.986,61.986,2022-06-04,62.014,62.014,62.014,62.014,62.0,62.0,62.0,62.0,0.0280000000000057
61.986,61.986,61.986,61.986,2022-06-05,62.014,62.014,62.014,62.014,62.0,62.0,62.0,62.0,0.0280000000000057
61.186,62.347,61.186,61.697,2022-06-06,62.824,62.824,61.403,61.733,62.005,62.5855,61.2945,61.715,0.0359999999999942
61.166,62.517,61.166,62.357,2022-06-07,61.484,62.543,61.354,62.383,61.325,62.53,61.26,62.370000000000005,0.0260000000000033
61.547,62.247,61.296,61.987,2022-06-08,62.483,62.564,61.324,62.023,62.015,62.4055,61.31,62.005,0.0360000000000013
61.007,61.627,60.786,61.106,2022-06-09,61.673,61.913,60.873,61.264,61.34,61.77,60.8295,61.185,0.1580000000000012
60.146,60.217,57.986,57.987,2022-06-10,60.744,60.833,58.013,58.013,60.445,60.525,57.9995,58.0,0.0259999999999962
57.987,57.987,57.987,57.987,2022-06-11,58.013,58.013,58.013,58.013,58.0,58.0,58.0,58.0,0.0259999999999962
57.987,57.987,57.987,57.987,2022-06-12,58.013,58.013,58.013,58.013,58.0,58.0,58.0,58.0,0.0259999999999962
55.956,56.897,55.726,56.226,2022-06-13,57.264,57.264,55.784,56.264,56.61,57.0805,55.755,56.245000000000005,0.0380000000000038
55.864,56.664,55.514,56.364,2022-06-14,56.746,56.796,55.966,56.416,56.305,56.73,55.74,56.39,0.0519999999999996
56.384,57.084,54.774,55.494,2022-06-15,57.346,57.546,54.936,55.606,56.865,57.315,54.855,55.55,0.1120000000000018
54.094,54.674,53.644,54.054,2022-06-16,55.036,55.036,53.696,54.156,54.565,54.855,53.67,54.105,0.1019999999999967
54.214,54.274,52.644,53.144,2022-06-17,54.256,54.436,52.676,53.166,54.235,54.355,52.66,53.155,0.0219999999999984
53.144,53.144,53.144,53.144,2022-06-18,53.166,53.166,53.166,53.166,53.155,53.155,53.155,53.155,0.0219999999999984
53.144,53.144,53.144,53.144,2022-06-19,53.166,53.166,53.166,53.166,53.155,53.155,53.155,53.155,0.0219999999999984
53.144,53.144,53.144,53.144,2022-06-20,53.166,53.166,53.166,53.166,53.155,53.155,53.155,53.155,0.0219999999999984
53.534,55.604,53.534,55.344,2022-06-21,54.776,55.686,53.986,55.406,54.155,55.645,53.76,55.375,0.0619999999999976
53.574,54.614,53.344,53.404,2022-06-22,55.186,55.186,53.446,53.446,54.38,54.9,53.395,53.425,0.0419999999999944
53.214,53.474,50.724,50.904,2022-06-23,53.956,53.956,50.766,50.976,53.585,53.715,50.745,50.94,0.0719999999999956
50.994,53.574,50.964,53.534,2022-06-24,51.626,53.746,51.356,53.626,51.31,53.66,51.16,53.58,0.0919999999999987
53.534,53.534,53.534,53.534,2022-06-25,53.626,53.626,53.626,53.626,53.58,53.58,53.58,53.58,0.0919999999999987
53.534,53.534,53.534,53.534,2022-06-26,53.626,53.626,53.626,53.626,53.58,53.58,53.58,53.58,0.0919999999999987
53.114,54.304,52.964,54.224,2022-06-27,54.106,54.386,53.096,54.296,53.61,54.345,53.03,54.26,0.0720000000000027
54.424,55.694,53.864,54.234,2022-06-28,55.116,55.766,53.916,54.316,54.77,55.73,53.89,54.275000000000006,0.0820000000000007
53.784,54.934,53.754,54.494,2022-06-29,54.686,55.016,54.006,54.566,54.235,54.975,53.88,54.53,0.0720000000000027
53.674,54.724,53.464,54.144,2022-06-30,54.046,54.786,53.586,54.216,53.86,54.755,53.525,54.18,0.0720000000000027
53.204,54.394,52.624,54.104,2022-07-01,54.216,54.516,52.666,54.126,53.71,54.455,52.645,54.115,0.0219999999999984
54.104,54.104,54.104,54.104,2022-07-02,54.126,54.126,54.126,54.126,54.115,54.115,54.115,54.115,0.0219999999999984
54.104,54.104,54.104,54.104,2022-07-03,54.126,54.126,54.126,54.126,54.115,54.115,54.115,54.115,0.0219999999999984
54.104,54.104,54.104,54.104,2022-07-04,54.126,54.126,54.126,54.126,54.115,54.115,54.115,54.115,0.0219999999999984
52.284,53.014,51.204,52.064,2022-07-05,53.356,53.356,51.276,52.106,52.82,53.185,51.24,52.085,0.0420000000000015
51.824,52.354,50.444,52.034,2022-07-06,52.566,52.566,50.546,52.096,52.195,52.46,50.495000000000005,52.065,0.0619999999999976
52.074,53.554,52.074,52.804,2022-07-07,53.846,53.846,52.776,52.866,52.96,53.7,52.425,52.835,0.0619999999999976
52.224,53.144,52.014,52.704,2022-07-08,53.206,53.646,52.116,52.766,52.715,53.395,52.065,52.735,0.0619999999999976
52.704,52.704,52.704,52.704,2022-07-09,52.766,52.766,52.766,52.766,52.735,52.735,52.735,52.735,0.0619999999999976
52.704,52.704,52.704,52.704,2022-07-10,52.766,52.766,52.766,52.766,52.735,52.735,52.735,52.735,0.0619999999999976
51.854,52.964,51.854,52.894,2022-07-11,52.696,53.086,52.346,52.936,52.275,53.025,52.1,52.915,0.0420000000000015
52.024,53.484,52.024,52.534,2022-07-12,53.146,53.526,52.186,52.576,52.585,53.505,52.105,52.555,0.0420000000000015
51.464,52.374,51.394,51.924,2022-07-13,52.486,52.626,51.646,51.996,51.975,52.5,51.52,51.96,0.0720000000000027
51.104,51.554,50.004,51.454,2022-07-14,51.706,52.016,50.046,51.516,51.405,51.785,50.025,51.485,0.0619999999999976
51.754,52.484,51.444,51.964,2022-07-15,52.366,52.826,51.676,52.006,52.06,52.655,51.56,51.985,0.0420000000000015
51.964,51.964,51.964,51.964,2022-07-16,52.006,52.006,52.006,52.006,51.985,51.985,51.985,51.985,0.0420000000000015
51.964,51.964,51.964,51.964,2022-07-17,52.006,52.006,52.006,52.006,51.985,51.985,51.985,51.985,0.0420000000000015
52.364,53.004,51.924,52.204,2022-07-18,52.826,53.156,52.026,52.286,52.595,53.08,51.975,52.245000000000005,0.0820000000000007
52.154,54.194,52.064,53.674,2022-07-19,53.096,54.246,52.626,53.766,52.625,54.22,52.345,53.72,0.0919999999999987
53.204,54.244,53.074,53.994,2022-07-20,54.006,54.356,53.506,54.046,53.605,54.3,53.29,54.02,0.0519999999999996
53.344,53.874,52.744,53.854,2022-07-21,54.076,54.126,52.846,53.906,53.71,54.0,52.795,53.88,0.0519999999999996
53.614,54.454,53.474,53.984,2022-07-22,54.726,54.806,53.596,54.056,54.17,54.63,53.535,54.02,0.0719999999999956
53.984,53.984,53.984,53.984,2022-07-23,54.056,54.056,54.056,54.056,54.02,54.02,54.02,54.02,0.0719999999999956
53.984,53.984,53.984,53.984,2022-07-24,54.056,54.056,54.056,54.056,54.02,54.02,54.02,54.02,0.0719999999999956
53.984,55.594,53.984,55.444,2022-07-25,54.866,55.636,54.246,55.506,54.425,55.615,54.115,55.475,0.0619999999999976
55.724,55.974,54.944,55.434,2022-07-26,56.526,56.526,55.056,55.486,56.125,56.25,55.0,55.46,0.0519999999999996
54.914,56.884,54.834,56.574,2022-07-27,56.026,56.936,55.006,56.626,55.47,56.91,54.92,56.6,0.0519999999999996
56.042,57.214,56.042,56.914,2022-07-28,57.076,57.466,56.306,56.986,56.559,57.34,56.174,56.95,0.0719999999999956
56.514,58.024,56.514,57.554,2022-07-29,57.906,58.166,57.266,57.576,57.21,58.095,56.89,57.565,0.0219999999999984
57.554,57.554,57.554,57.554,2022-07-30,57.576,57.576,57.576,57.576,57.565,57.565,57.565,57.565,0.0219999999999984
57.554,57.554,57.554,57.554,2022-07-31,57.576,57.576,57.576,57.576,57.565,57.565,57.565,57.565,0.0219999999999984
56.804,57.434,56.294,56.874,2022-08-01,58.046,58.046,56.356,56.946,57.425,57.74,56.325,56.91,0.0719999999999956
56.404,56.914,55.664,55.714,2022-08-02,57.076,57.246,55.706,55.776,56.74,57.08,55.685,55.745000000000005,0.0620000000000047
55.494,56.074,55.364,55.674,2022-08-03,56.316,56.536,55.576,55.746,55.905,56.305,55.47,55.71,0.0720000000000027
55.104,55.734,54.474,55.054,2022-08-04,56.026,56.026,54.766,55.436,55.565,55.88,54.62,55.245000000000005,0.3819999999999979
55.774,58.394,55.774,57.884,2022-08-05,57.736,58.506,57.036,58.036,56.755,58.45,56.405,57.96,0.152000000000001
57.884,57.884,57.884,57.884,2022-08-06,58.036,58.036,58.036,58.036,57.96,57.96,57.96,57.96,0.152000000000001
57.884,57.884,57.884,57.884,2022-08-07,58.036,58.036,58.036,58.036,57.96,57.96,57.96,57.96,0.152000000000001
58.524,60.564,58.524,58.904,2022-08-08,59.686,60.786,59.036,59.066,59.105,60.675,58.78,58.985,0.161999999999999
58.644,60.064,58.644,59.674,2022-08-09,59.616,60.496,59.226,59.756,59.13,60.28,58.935,59.715,0.0820000000000007
60.224,60.874,59.584,60.044,2022-08-10,61.046,61.166,59.806,60.096,60.635,61.02,59.695,60.06999999999999,0.0519999999999996
59.854,61.044,59.854,60.194,2022-08-11,60.666,61.086,60.186,60.246,60.26,61.065,60.02,60.22,0.0519999999999996
59.984,61.754,59.964,61.714,2022-08-12,61.026,61.816,60.196,61.766,60.505,61.785,60.08,61.74,0.0519999999999996
61.714,61.714,61.714,61.714,2022-08-13,61.766,61.766,61.766,61.766,61.74,61.74,61.74,61.74,0.0519999999999996
61.714,61.714,61.714,61.714,2022-08-14,61.766,61.766,61.766,61.766,61.74,61.74,61.74,61.74,0.0519999999999996
60.704,61.794,60.274,61.564,2022-08-15,61.746,61.856,60.696,61.636,61.225,61.825,60.485,61.6,0.0720000000000027
61.144,62.304,61.144,62.074,2022-08-16,61.856,63.006,61.696,62.116,61.5,62.655,61.42,62.095,0.0420000000000015
61.254,61.874,60.924,61.844,2022-08-17,62.136,62.146,61.266,61.886,61.695,62.010000000000005,61.095,61.865,0.0420000000000015
62.274,62.774,61.984,62.354,2022-08-18,62.866,63.006,62.166,62.416,62.57,62.89,62.075,62.385,0.0619999999999976
61.414,61.884,61.114,61.294,2022-08-19,62.306,62.306,61.156,61.376,61.86,62.095,61.135,61.335,0.0820000000000007
61.294,61.294,61.294,61.294,2022-08-20,61.376,61.376,61.376,61.376,61.335,61.335,61.335,61.335,0.0820000000000007
61.294,61.294,61.294,61.294,2022-08-21,61.376,61.376,61.376,61.376,61.335,61.335,61.335,61.335,0.0820000000000007
60.234,61.324,60.154,61.004,2022-08-22,61.026,61.436,60.626,61.106,60.63,61.38,60.39,61.055,0.1020000000000038
60.724,61.954,60.724,61.724,2022-08-23,61.636,62.046,61.306,61.796,61.18,62.0,61.015,61.76,0.0720000000000027
61.324,62.434,61.164,61.854,2022-08-24,62.206,62.716,61.236,61.936,61.765,62.575,61.2,61.895,0.0820000000000007
61.844,63.324,61.844,63.244,2022-08-25,62.926,63.486,62.206,63.316,62.385000000000005,63.405,62.025000000000006,63.28,0.0720000000000027
63.314,63.734,62.224,62.294,2022-08-26,63.806,64.026,62.296,62.376,63.56,63.88,62.26,62.335,0.0820000000000007
62.294,62.294,62.294,62.294,2022-08-27,62.376,62.376,62.376,62.376,62.335,62.335,62.335,62.335,0.0820000000000007
62.294,62.294,62.294,62.294,2022-08-28,62.376,62.376,62.376,62.376,62.335,62.335,62.335,62.335,0.0820000000000007
61.224,62.454,61.084,61.894,2022-08-29,61.876,62.596,61.376,61.936,61.55,62.525,61.23,61.915,0.0420000000000015
61.254,61.834,60.534,61.724,2022-08-30,62.416,62.416,60.736,61.776,61.835,62.125,60.635,61.75,0.0520000000000067
61.584,62.184,61.084,61.394,2022-08-31,62.326,62.506,61.226,61.476,61.955,62.345,61.155,61.435,0.0820000000000007
60.194,60.854,59.914,60.764,2022-09-01,61.516,61.516,60.016,60.826,60.855,61.185,59.965,60.795,0.0619999999999976
60.884,62.194,60.564,61.134,2022-09-02,61.776,62.526,61.026,61.176,61.33,62.36,60.795,61.155,0.0420000000000015
61.134,61.134,61.134,61.134,2022-09-03,61.176,61.176,61.176,61.176,61.155,61.155,61.155,61.155,0.0420000000000015
61.134,61.134,61.134,61.134,2022-09-04,61.176,61.176,61.176,61.176,61.155,61.155,61.155,61.155,0.0420000000000015
61.134,61.134,61.134,61.134,2022-09-05,61.176,61.176,61.176,61.176,61.155,61.155,61.155,61.155,0.0420000000000015
61.054,61.674,59.994,60.314,2022-09-06,61.986,62.296,60.036,60.416,61.52,61.985,60.015,60.365,0.1019999999999967
59.474,61.974,59.214,61.774,2022-09-07,60.036,62.076,59.826,61.846,59.755,62.025,59.52,61.81,0.0719999999999956
61.014,62.114,60.834,61.984,2022-09-08,62.186,62.336,61.126,62.066,61.6,62.225,60.98,62.025000000000006,0.0820000000000007
62.134,62.964,61.574,62.474,2022-09-09,62.886,63.136,61.816,62.536,62.510000000000005,63.05,61.695,62.505,0.0620000000000047
62.474,62.474,62.474,62.474,2022-09-10,62.536,62.536,62.536,62.536,62.505,62.505,62.505,62.505,0.0620000000000047
62.474,62.474,62.474,62.474,2022-09-11,62.536,62.536,62.536,62.536,62.505,62.505,62.505,62.505,0.0620000000000047
61.714,62.694,61.244,62.084,2022-09-12,63.106,63.476,61.306,62.186,62.41,63.085,61.275,62.135000000000005,0.1019999999999967
60.764,63.784,60.544,62.614,2022-09-13,61.916,63.886,61.206,62.686,61.34,63.835,60.875,62.65,0.0720000000000027
62.294,64.274,62.284,63.824,2022-09-14,63.126,64.486,62.816,63.846,62.71,64.38,62.55,63.835,0.0219999999999984
63.544,63.924,61.864,62.084,2022-09-15,64.176,65.006,61.976,62.166,63.86,64.465,61.92,62.125,0.0819999999999936
61.084,61.594,60.174,61.284,2022-09-16,62.176,62.436,60.406,61.366,61.63,62.015,60.29,61.325,0.0820000000000007
61.284,61.284,61.284,61.284,2022-09-17,61.366,61.366,61.366,61.366,61.325,61.325,61.325,61.325,0.0820000000000007
61.284,61.284,61.284,61.284,2022-09-18,61.366,61.366,61.366,61.366,61.325,61.325,61.325,61.325,0.0820000000000007
59.994,61.634,59.934,61.374,2022-09-19,60.976,62.016,60.556,61.446,60.485,61.825,60.245,61.41,0.0719999999999956
60.684,61.554,60.094,61.354,2022-09-20,61.426,61.676,60.256,61.426,61.055,61.615,60.175,61.39,0.0720000000000027
61.634,62.124,59.174,59.184,2022-09-21,62.526,62.526,59.246,59.276,62.08,62.325,59.21,59.23,0.0920000000000058
59.424,60.564,58.744,59.724,2022-09-22,60.676,60.866,59.756,59.786,60.05,60.715,59.25,59.755,0.0620000000000047
58.554,58.754,57.024,57.894,2022-09-23,59.206,59.206,57.106,57.956,58.88,58.98,57.065,57.925,0.0620000000000047
57.894,57.894,57.894,57.894,2022-09-24,57.956,57.956,57.956,57.956,57.925,57.925,57.925,57.925,0.0620000000000047
57.894,57.894,57.894,57.894,2022-09-25,57.956,57.956,57.956,57.956,57.925,57.925,57.925,57.925,0.0620000000000047
56.944,58.944,56.834,57.614,2022-09-26,58.196,59.146,57.526,57.736,57.57,59.045,57.18000000000001,57.675,0.1219999999999998
57.784,58.502,56.854,57.234,2022-09-27,58.746,58.776,56.916,57.286,58.265,58.639,56.885,57.260000000000005,0.0519999999999996
56.844,58.684,56.844,58.334,2022-09-28,57.966,58.736,57.226,58.396,57.405,58.71,57.035,58.365,0.0619999999999976
57.404,57.964,56.434,57.174,2022-09-29,58.676,58.676,56.626,57.216,58.040000000000006,58.32,56.53,57.195,0.0420000000000015
56.324,57.984,56.304,56.974,2022-09-30,57.486,58.046,56.436,57.276,56.905,58.015,56.370000000000005,57.125,0.3020000000000067
56.974,56.974,56.974,56.974,2022-10-01,57.276,57.276,57.276,57.276,57.125,57.125,57.125,57.125,0.3020000000000067
56.974,56.974,56.974,56.974,2022-10-02,57.276,57.276,57.276,57.276,57.125,57.125,57.125,57.125,0.3020000000000067
57.574,59.454,57.574,59.124,2022-10-03,58.546,59.486,57.936,59.206,58.06,59.47,57.755,59.165000000000006,0.0820000000000007
59.444,61.804,59.444,61.734,2022-10-04,60.266,61.856,59.976,61.836,59.855,61.83,59.71,61.785,0.1019999999999967
60.564,61.904,60.564,61.454,2022-10-05,61.646,62.056,61.016,61.536,61.105,61.98,60.79,61.495000000000005,0.0820000000000007
60.664,61.934,60.664,60.784,2022-10-06,61.846,62.106,60.766,60.886,61.255,62.02,60.715,60.835,0.1020000000000038
60.314,61.184,60.044,60.774,2022-10-07,61.036,61.546,60.126,60.876,60.675,61.365,60.085,60.825,0.1019999999999967
60.774,60.774,60.774,60.774,2022-10-08,60.876,60.876,60.876,60.876,60.825,60.825,60.825,60.825,0.1019999999999967
60.774,60.774,60.774,60.774,2022-10-09,60.876,60.876,60.876,60.876,60.825,60.825,60.825,60.825,0.1019999999999967
60.694,61.744,60.694,61.014,2022-10-10,61.626,61.876,60.756,61.096,61.16,61.81,60.725,61.055,0.0819999999999936
60.224,61.724,59.794,60.684,2022-10-11,61.116,61.806,60.276,60.756,60.67,61.765,60.035,60.72,0.0720000000000027
60.294,61.054,60.154,60.754,2022-10-12,61.216,61.926,60.196,60.836,60.755,61.49,60.175,60.795,0.0820000000000007
59.384,63.224,59.384,62.934,2022-10-13,60.316,63.566,60.036,63.016,59.85,63.395,59.71,62.975,0.0820000000000007
63.044,63.194,58.474,58.714,2022-10-14,63.616,64.006,58.616,58.836,63.33,63.6,58.545,58.775,0.1219999999999998
58.714,58.714,58.714,58.714,2022-10-15,58.836,58.836,58.836,58.836,58.775,58.775,58.775,58.775,0.1219999999999998
58.714,58.714,58.714,58.714,2022-10-16,58.836,58.836,58.836,58.836,58.775,58.775,58.775,58.775,0.1219999999999998
59.274,60.974,59.264,60.314,2022-10-17,60.226,61.076,59.906,60.386,59.75,61.025,59.585,60.35,0.0720000000000027
