bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
16.7757,16.7949,16.6279,16.6973,2024-05-15,16.7871,16.8092,16.6945,16.7151,16.781399999999998,16.80205,16.6612,16.7062,0.0178000000000011
16.6972,16.7054,16.6236,16.685,2024-05-16,16.7153,16.7464,16.6358,16.7115,16.706249999999997,16.725900000000003,16.6297,16.69825,0.0265000000000021
16.6893,16.7308,16.6557,16.6777,2024-05-17,16.7082,16.752,16.6774,16.6996,16.69875,16.7414,16.66655,16.688650000000003,0.0218999999999987
16.6777,16.6777,16.6777,16.6777,2024-05-18,16.6996,16.6996,16.6996,16.6996,16.688650000000003,16.688650000000003,16.688650000000003,16.688650000000003,0.0218999999999987
16.6288,16.6849,16.6288,16.6789,2024-05-19,16.7413,16.7413,16.6945,16.6962,16.685049999999997,16.713099999999997,16.66165,16.68755,0.0173000000000023
16.6796,16.7385,16.6485,16.6966,2024-05-20,16.696,16.7468,16.6649,16.7138,16.687800000000003,16.742649999999998,16.6567,16.705199999999998,0.0171999999999989
16.6973,16.6981,16.6408,16.6867,2024-05-21,16.714,16.7488,16.654,16.723,16.70565,16.72345,16.647399999999998,16.70485,0.0363000000000006
16.6865,16.7176,16.6436,16.6696,2024-05-22,16.7234,16.733,16.6743,16.6853,16.70495,16.7253,16.658949999999997,16.67745,0.0157000000000024
16.6699,16.7137,16.6342,16.6486,2024-05-23,16.6857,16.7253,16.6579,16.6651,16.677799999999998,16.7195,16.646050000000002,16.65685,0.0165000000000006
16.6484,16.6555,16.595,16.6092,2024-05-24,16.6652,16.6793,16.6226,16.6372,16.656799999999997,16.6674,16.6088,16.6232,0.0279999999999986
16.6092,16.6092,16.6092,16.6092,2024-05-25,16.6372,16.6372,16.6372,16.6372,16.6232,16.6232,16.6232,16.6232,0.0279999999999986
16.5859,16.6152,16.5846,16.6046,2024-05-26,16.6411,16.6514,16.6185,16.6209,16.613500000000002,16.6333,16.60155,16.61275,0.0162999999999975
16.6045,16.7034,16.6003,16.6665,2024-05-27,16.6223,16.7149,16.616,16.6839,16.6134,16.70915,16.608150000000002,16.6752,0.017400000000002
16.6676,16.6761,16.6063,16.6439,2024-05-28,16.6836,16.6926,16.6198,16.6608,16.6756,16.684350000000002,16.61305,16.65235,0.0168999999999996
16.6437,16.7043,16.6239,16.691,2024-05-29,16.6604,16.7193,16.6369,16.7044,16.65205,16.7118,16.6304,16.697699999999998,0.0134000000000007
16.6917,16.7187,16.6526,16.6764,2024-05-30,16.7051,16.7335,16.6774,16.6924,16.6984,16.7261,16.665,16.6844,0.0159999999999982
16.6763,16.7444,16.6534,16.6868,2024-05-31,16.6936,16.7566,16.6661,16.7153,16.68495,16.7505,16.659750000000003,16.701050000000002,0.0284999999999975
16.6868,16.6868,16.6868,16.6868,2024-06-01,16.7153,16.7153,16.7153,16.7153,16.701050000000002,16.701050000000002,16.701050000000002,16.701050000000002,0.0284999999999975
16.6184,16.691,16.6184,16.69,2024-06-02,16.7598,16.7618,16.6934,16.7073,16.6891,16.726399999999998,16.655900000000003,16.69865,0.0172999999999987
16.69,16.7208,16.5502,16.5904,2024-06-03,16.7067,16.7311,16.597,16.6081,16.69835,16.72595,16.5736,16.599249999999998,0.0177000000000013
16.5926,16.668,16.555,16.5981,2024-06-04,16.6098,16.6799,16.5659,16.6152,16.6012,16.673949999999998,16.56045,16.606650000000002,0.0171000000000027
