bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
6.756,6.896,6.606,6.737,2022-10-13,6.784,6.914,6.633,6.753,6.77,6.904999999999999,6.6195,6.745,0.016
6.757,6.787,6.477,6.477,2022-10-14,6.783,6.814,6.493,6.503,6.77,6.8005,6.485,6.49,0.0259999999999998
6.477,6.477,6.477,6.477,2022-10-15,6.503,6.503,6.503,6.503,6.49,6.49,6.49,6.49,0.0259999999999998
6.477,6.477,6.477,6.477,2022-10-16,6.503,6.503,6.503,6.503,6.49,6.49,6.49,6.49,0.0259999999999998
6.606,6.967,6.606,6.876,2022-10-17,6.654,6.994,6.654,6.924,6.63,6.980499999999999,6.63,6.9,0.048
6.917,7.017,6.906,6.987,2022-10-18,6.933,7.044,6.923,7.013,6.925,7.0305,6.9145,7.0,0.0259999999999998
6.946,6.997,6.747,6.766,2022-10-19,6.964,7.024,6.763,6.794,6.955,7.0105,6.755,6.779999999999999,0.0279999999999995
6.807,6.967,6.746,6.796,2022-10-20,6.843,6.984,6.763,6.824,6.825,6.9755,6.7545,6.8100000000000005,0.0279999999999995
6.777,7.007,6.726,6.997,2022-10-21,6.793,7.034,6.753,7.033,6.785,7.0205,6.7395,7.015000000000001,0.0360000000000004
6.997,6.997,6.997,6.997,2022-10-22,7.033,7.033,7.033,7.033,7.015000000000001,7.015000000000001,7.015000000000001,7.015000000000001,0.0360000000000004
6.997,6.997,6.997,6.997,2022-10-23,7.033,7.033,7.033,7.033,7.015000000000001,7.015000000000001,7.015000000000001,7.015000000000001,0.0360000000000004
6.967,7.067,6.926,7.046,2022-10-24,7.053,7.084,6.944,7.064,7.01,7.0755,6.9350000000000005,7.055,0.0179999999999997
7.046,7.297,7.036,7.237,2022-10-25,7.064,7.324,7.064,7.273,7.055,7.310499999999999,7.05,7.255,0.0359999999999995
7.227,7.427,7.196,7.397,2022-10-26,7.243,7.444,7.213,7.423,7.235,7.435499999999999,7.2045,7.41,0.0259999999999998
7.177,7.226,6.826,7.007,2022-10-27,7.223,7.264,6.844,7.053,7.199999999999999,7.245,6.835,7.029999999999999,0.0460000000000002
7.039,7.439,6.969,7.438,2022-10-28,7.051,7.462,6.991,7.452,7.045,7.4505,6.98,7.445,0.0140000000000002
7.438,7.438,7.438,7.438,2022-10-29,7.452,7.452,7.452,7.452,7.445,7.445,7.445,7.445,0.0140000000000002
7.438,7.438,7.438,7.438,2022-10-30,7.452,7.452,7.452,7.452,7.445,7.445,7.445,7.445,0.0140000000000002
7.499,7.719,7.468,7.698,2022-10-31,7.521,7.732,7.482,7.722,7.51,7.7255,7.475,7.710000000000001,0.024
7.599,7.939,7.598,7.768,2022-11-01,7.621,7.952,7.611,7.792,7.61,7.9455,7.6045,7.779999999999999,0.024
7.768,7.768,7.768,7.768,2022-11-02,7.792,7.792,7.792,7.792,7.779999999999999,7.779999999999999,7.779999999999999,7.779999999999999,0.024
7.428,7.449,7.259,7.398,2022-11-03,7.442,7.462,7.281,7.412,7.435,7.4555,7.27,7.404999999999999,0.0140000000000002
7.679,7.899,7.619,7.869,2022-11-04,7.691,7.931,7.631,7.931,7.685,7.915,7.625,7.9,0.0620000000000002
7.869,7.869,7.869,7.869,2022-11-05,7.931,7.931,7.931,7.931,7.9,7.9,7.9,7.9,0.0620000000000002
7.869,7.869,7.869,7.869,2022-11-06,7.931,7.931,7.931,7.931,7.9,7.9,7.9,7.9,0.0620000000000002
7.889,8.019,7.848,7.869,2022-11-07,7.901,8.022,7.861,7.901,7.895,8.0205,7.8545,7.885,0.032
7.908,8.129,7.859,8.018,2022-11-08,7.932,8.142,7.881,8.032,7.92,8.1355,7.87,8.025,0.0139999999999993
7.988,8.089,7.918,7.928,2022-11-09,8.022,8.102,7.931,7.972,8.005,8.095500000000001,7.9245,7.95,0.0440000000000004
8.069,8.549,8.069,8.469,2022-11-10,8.101,8.562,8.101,8.531,8.085,8.555499999999999,8.085,8.5,0.0620000000000011
8.559,8.989,8.558,8.928,2022-11-11,8.591,9.002,8.581,8.952,8.575,8.9955,8.5695,8.940000000000001,0.0239999999999991
8.928,8.928,8.928,8.928,2022-11-12,8.952,8.952,8.952,8.952,8.940000000000001,8.940000000000001,8.940000000000001,8.940000000000001,0.0239999999999991
8.928,8.928,8.928,8.928,2022-11-13,8.952,8.952,8.952,8.952,8.940000000000001,8.940000000000001,8.940000000000001,8.940000000000001,0.0239999999999991
8.878,8.878,8.708,8.709,2022-11-14,8.912,8.912,8.732,8.751,8.895,8.895,8.719999999999999,8.73,0.0419999999999998
8.848,9.019,8.668,8.708,2022-11-15,8.872,9.032,8.691,8.742,8.86,9.0255,8.6795,8.725000000000001,0.0340000000000006
8.689,8.909,8.628,8.888,2022-11-16,8.711,8.922,8.661,8.912,8.7,8.915500000000002,8.6445,8.9,0.0240000000000009
8.798,8.829,8.698,8.779,2022-11-17,8.832,8.851,8.721,8.791,8.815000000000001,8.84,8.7095,8.785,0.0120000000000004
8.809,8.879,8.708,8.738,2022-11-18,8.831,8.892,8.731,8.752,8.82,8.8855,8.7195,8.745000000000001,0.0140000000000011
8.738,8.738,8.738,8.738,2022-11-19,8.752,8.752,8.752,8.752,8.745000000000001,8.745000000000001,8.745000000000001,8.745000000000001,0.0140000000000011
8.738,8.738,8.738,8.738,2022-11-20,8.752,8.752,8.752,8.752,8.745000000000001,8.745000000000001,8.745000000000001,8.745000000000001,0.0140000000000011
8.738,8.738,8.738,8.738,2022-11-21,8.752,8.752,8.752,8.752,8.745000000000001,8.745000000000001,8.745000000000001,8.745000000000001,0.0140000000000011
8.708,8.769,8.598,8.719,2022-11-22,8.742,8.792,8.612,8.731,8.725000000000001,8.7805,8.605,8.725,0.0120000000000004
8.688,8.959,8.588,8.898,2022-11-23,8.702,8.972,8.601,8.912,8.695,8.965499999999999,8.5945,8.905000000000001,0.0140000000000011
8.919,8.989,8.908,8.969,2022-11-24,8.941,9.002,8.921,8.981,8.93,8.9955,8.9145,8.975,0.0120000000000004
8.988,8.988,8.718,8.739,2022-11-25,9.002,9.002,8.732,8.751,8.995000000000001,8.995000000000001,8.725,8.745000000000001,0.0119999999999986
8.739,8.739,8.739,8.739,2022-11-26,8.751,8.751,8.751,8.751,8.745000000000001,8.745000000000001,8.745000000000001,8.745000000000001,0.0119999999999986
8.739,8.739,8.739,8.739,2022-11-27,8.751,8.751,8.751,8.751,8.745000000000001,8.745000000000001,8.745000000000001,8.745000000000001,0.0119999999999986
8.739,8.829,8.548,8.589,2022-11-28,8.751,8.852,8.562,8.621,8.745000000000001,8.8405,8.555,8.605,0.032
8.579,8.679,8.438,8.448,2022-11-29,8.601,8.691,8.451,8.472,8.59,8.685,8.444500000000001,8.46,0.0239999999999991
8.448,8.879,8.428,8.819,2022-11-30,8.472,8.911,8.451,8.871,8.46,8.895,8.4395,8.845,0.0519999999999996
8.808,8.859,8.658,8.679,2022-12-01,8.832,8.872,8.681,8.721,8.82,8.8655,8.6695,8.7,0.0419999999999998
8.628,8.668,8.488,8.498,2022-12-02,8.662,8.692,8.501,8.512,8.645,8.68,8.494499999999999,8.504999999999999,0.0140000000000011
