bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
7.216,7.74,6.919,7.257,2018-01-02,7.225,7.752,6.928,7.267,7.220499999999999,7.746,6.9235,7.262,0.0100000000000006
7.504,7.749,7.068,7.275,2018-01-03,7.514,7.759,7.079,7.283,7.509,7.754,7.073499999999999,7.279,0.008
7.405,7.918,7.156,7.768,2018-01-04,7.415,7.929,7.164,7.778,7.41,7.923500000000001,7.16,7.773,0.0099999999999997
7.61,7.925,7.25,7.598,2018-01-05,7.62,7.935,7.258,7.607,7.615,7.93,7.254,7.6025,0.0090000000000003
7.598,7.598,7.598,7.598,2018-01-06,7.607,7.607,7.607,7.607,7.6025,7.6025,7.6025,7.6025,0.0090000000000003
7.598,7.598,7.598,7.598,2018-01-07,7.607,7.607,7.607,7.607,7.6025,7.6025,7.6025,7.6025,0.0090000000000003
7.656,7.873,7.315,7.488,2018-01-08,7.666,7.897,7.339,7.497,7.661,7.885,7.327,7.4925,0.0089999999999994
7.639,7.917,7.26,7.671,2018-01-09,7.647,7.927,7.27,7.681,7.643000000000001,7.922,7.265,7.676,0.0099999999999997
7.695,7.938,7.327,7.572,2018-01-10,7.706,7.954,7.337,7.582,7.7005,7.946,7.332,7.577,0.0099999999999997
7.635,7.921,6.77,7.603,2018-01-11,7.647,7.933,6.778,7.61,7.641,7.927,6.773999999999999,7.6065,0.0070000000000005
7.711,8.073,7.424,7.848,2018-01-12,7.729,8.083,7.433,7.858,7.720000000000001,8.078,7.4285,7.853,0.0099999999999997
7.848,7.848,7.848,7.848,2018-01-13,7.858,7.858,7.858,7.858,7.853,7.853,7.853,7.853,0.0099999999999997
7.848,7.848,7.848,7.848,2018-01-14,7.858,7.858,7.858,7.858,7.853,7.853,7.853,7.853,0.0099999999999997
7.74,8.249,7.07,7.761,2018-01-15,7.752,8.258,7.083,7.771,7.746,8.253499999999999,7.0765,7.766,0.0099999999999997
7.852,8.313,7.579,7.979,2018-01-16,7.861,8.323,7.589,7.989,7.8565,8.318000000000001,7.584,7.984,0.0099999999999997
8.155,8.481,7.725,8.214,2018-01-17,8.165,8.488,7.737,8.223,8.16,8.4845,7.731,8.2185,0.0090000000000003
8.18,8.736,7.907,8.509,2018-01-18,8.19,8.745,7.917,8.517,8.184999999999999,8.7405,7.912,8.513,0.0079999999999991
8.421,8.86,8.049,8.438,2018-01-19,8.453,8.871,8.058,8.447,8.437,8.8655,8.0535,8.442499999999999,0.0089999999999985
8.438,8.438,8.438,8.438,2018-01-20,8.447,8.447,8.447,8.447,8.442499999999999,8.442499999999999,8.442499999999999,8.442499999999999,0.0089999999999985
8.438,8.438,8.438,8.438,2018-01-21,8.447,8.447,8.447,8.447,8.442499999999999,8.442499999999999,8.442499999999999,8.442499999999999,0.0089999999999985
8.355,8.761,8.022,8.329,2018-01-22,8.365,8.77,8.044,8.34,8.36,8.7655,8.033000000000001,8.3345,0.0109999999999992
8.146,9.112,7.882,8.551,2018-01-23,8.156,9.124,7.891,8.561,8.151,9.118,7.8865,8.556000000000001,0.0099999999999997
8.824,9.078,8.326,8.687,2018-01-24,8.846,9.087,8.338,8.696,8.835,9.0825,8.332,8.6915,0.0090000000000003
8.996,9.121,8.201,8.47,2018-01-25,9.005,9.132,8.212,8.48,9.0005,9.1265,8.2065,8.475000000000001,0.0099999999999997
8.449,9.246,8.32,8.94,2018-01-26,8.459,9.263,8.332,8.949,8.454,9.2545,8.326,8.9445,0.0090000000000003
8.94,8.94,8.94,8.94,2018-01-27,8.949,8.949,8.949,8.949,8.9445,8.9445,8.9445,8.9445,0.0090000000000003
8.94,8.94,8.94,8.94,2018-01-28,8.949,8.949,8.949,8.949,8.9445,8.9445,8.9445,8.9445,0.0090000000000003
9.122,10.211,8.561,9.003,2018-01-29,9.142,10.22,8.579,9.018,9.132,10.2155,8.57,9.0105,0.0150000000000005
9.111,9.532,8.488,8.915,2018-01-30,9.129,9.542,8.496,8.925,9.12,9.537,8.492,8.92,0.0100000000000015
9.3,9.347,8.317,9.139,2018-01-31,9.368,9.368,8.337,9.15,9.334,9.3575,8.327,9.1445,0.011000000000001
8.8,9.458,8.67,8.911,2018-02-01,8.811,9.47,8.679,8.921,8.8055,9.464,8.6745,8.916,0.0099999999999997
9.092,9.3,8.445,8.839,2018-02-02,9.103,9.31,8.455,8.849,9.0975,9.305,8.45,8.844000000000001,0.0099999999999997
8.839,8.839,8.839,8.839,2018-02-03,8.849,8.849,8.849,8.849,8.844000000000001,8.844000000000001,8.844000000000001,8.844000000000001,0.0099999999999997
8.839,8.839,8.839,8.839,2018-02-04,8.849,8.849,8.849,8.849,8.844000000000001,8.844000000000001,8.844000000000001,8.844000000000001,0.0099999999999997
8.505,9.35,7.928,9.208,2018-02-05,8.516,9.359,7.938,9.218,8.5105,9.3545,7.933,9.213,0.0099999999999997
9.097,9.473,7.949,8.288,2018-02-06,9.104,9.481,7.959,8.294,9.1005,9.477,7.954,8.291,0.0060000000000002
8.795,9.074,7.805,8.066,2018-02-07,8.806,9.088,7.814,8.077,8.8005,9.081,7.8095,8.0715,0.0109999999999992
8.491,8.912,7.654,8.111,2018-02-08,8.509,8.922,7.662,8.12,8.5,8.917000000000002,7.657999999999999,8.1155,0.0089999999999985
7.876,8.189,7.309,7.746,2018-02-09,7.884,8.199,7.321,7.758,7.880000000000001,8.193999999999999,7.314999999999999,7.752000000000001,0.0119999999999995
7.746,7.746,7.746,7.746,2018-02-10,7.758,7.758,7.758,7.758,7.752000000000001,7.752000000000001,7.752000000000001,7.752000000000001,0.0119999999999995
7.746,7.746,7.746,7.746,2018-02-11,7.758,7.758,7.758,7.758,7.752000000000001,7.752000000000001,7.752000000000001,7.752000000000001,0.0119999999999995
