bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
106.4,106.8,105.7,106.2,2019-08-04,107.0,107.6,106.4,106.8,106.7,107.2,106.05,106.5,0.5999999999999943
106.1,112.4,106.1,109.8,2019-08-05,106.9,113.1,106.8,110.6,106.5,112.75,106.45,110.2,0.7999999999999972
109.8,111.3,103.9,106.5,2019-08-06,110.7,111.9,104.5,107.2,110.25,111.6,104.2,106.85,0.7000000000000028
106.6,110.8,105.5,107.2,2019-08-07,107.1,111.4,106.3,108.1,106.85,111.1,105.9,107.65,0.8999999999999915
107.3,107.7,103.8,105.7,2019-08-08,108.0,108.5,104.4,106.6,107.65,108.1,104.1,106.15,0.8999999999999915
105.8,106.1,102.7,103.0,2019-08-09,106.5,106.7,103.3,103.6,106.15,106.4,103.0,103.3,0.5999999999999943
103.0,103.0,103.0,103.0,2019-08-10,103.6,103.6,103.6,103.6,103.3,103.3,103.3,103.3,0.5999999999999943
106.0,106.8,105.5,106.6,2019-08-11,106.8,107.5,106.2,107.4,106.4,107.15,105.85,107.0,0.8000000000000114
106.3,106.4,101.9,104.3,2019-08-12,107.1,107.3,102.6,104.8,106.7,106.85,102.25,104.55,0.5
104.2,107.7,100.4,101.4,2019-08-13,104.9,108.5,101.1,102.0,104.55,108.1,100.75,101.7,0.5999999999999943
101.3,102.4,95.2,96.0,2019-08-14,102.2,103.0,95.8,96.7,101.75,102.7,95.5,96.35,0.7000000000000028
95.9,97.3,90.9,94.4,2019-08-15,96.8,98.0,91.5,95.2,96.35,97.65,91.2,94.8,0.7999999999999972
94.5,95.3,90.9,93.5,2019-08-16,95.1,96.1,91.5,94.1,94.8,95.7,91.2,93.8,0.5999999999999943
93.5,93.5,93.5,93.5,2019-08-17,94.1,94.1,94.1,94.1,93.8,93.8,93.8,93.8,0.5999999999999943
95.4,95.6,94.4,94.4,2019-08-18,96.3,96.4,95.1,95.2,95.85,96.0,94.75,94.8,0.7999999999999972
94.5,97.3,93.7,97.1,2019-08-19,95.1,98.0,94.3,97.7,94.8,97.65,94.0,97.4,0.6000000000000085
97.0,97.4,93.2,93.6,2019-08-20,97.9,98.0,93.9,94.4,97.45,97.7,93.55,94.0,0.8000000000000114
93.7,93.8,86.8,89.8,2019-08-21,94.3,94.5,87.5,90.6,94.0,94.15,87.15,90.2,0.7999999999999972
89.9,92.0,87.8,90.6,2019-08-22,90.5,92.7,88.5,91.2,90.2,92.35,88.15,90.9,0.6000000000000085
90.5,96.4,89.9,93.3,2019-08-23,91.3,97.2,90.7,93.9,90.9,96.8,90.3,93.6,0.6000000000000085
93.3,93.3,93.3,93.3,2019-08-24,93.9,93.9,93.9,93.9,93.6,93.6,93.6,93.6,0.6000000000000085
90.3,91.0,90.2,90.8,2019-08-25,91.2,91.9,91.0,91.8,90.75,91.45,90.6,91.3,1.0
90.9,93.6,90.7,92.1,2019-08-26,91.7,94.3,91.4,92.7,91.3,93.95,91.05,92.4,0.6000000000000085
92.0,92.2,89.8,90.4,2019-08-27,92.8,92.8,90.4,91.0,92.4,92.5,90.1,90.7,0.5999999999999943
