bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
2.501,2.532,2.49,2.53,2011-01-03,2.505,2.533,2.491,2.532,2.503,2.5325,2.4905,2.531,0.0020000000000002
2.538,2.541,2.517,2.532,2011-01-04,2.542,2.544,2.518,2.534,2.54,2.5425,2.5175,2.533,0.0019999999999997
2.532,2.577,2.522,2.573,2011-01-05,2.537,2.579,2.525,2.574,2.5345,2.5780000000000003,2.5235,2.5735,0.0009999999999998
2.572,2.594,2.557,2.559,2011-01-06,2.574,2.595,2.56,2.561,2.573,2.5945,2.5585,2.56,0.0019999999999997
2.543,2.563,2.517,2.527,2011-01-07,2.549,2.568,2.519,2.53,2.5460000000000003,2.5655,2.518,2.5285,0.0029999999999996
2.527,2.527,2.527,2.527,2011-01-08,2.53,2.53,2.53,2.53,2.5285,2.5285,2.5285,2.5285,0.0029999999999996
2.527,2.527,2.527,2.527,2011-01-09,2.53,2.53,2.53,2.53,2.5285,2.5285,2.5285,2.5285,0.0029999999999996
2.5,2.5,2.47,2.484,2011-01-10,2.508,2.509,2.471,2.485,2.504,2.5045,2.4705000000000004,2.4845,0.0009999999999998
2.48,2.507,2.473,2.507,2011-01-11,2.485,2.509,2.475,2.509,2.4825,2.508,2.474,2.508,0.0019999999999997
2.501,2.59,2.501,2.583,2011-01-12,2.505,2.591,2.504,2.587,2.503,2.5905,2.5025,2.585,0.004
2.582,2.629,2.582,2.611,2011-01-13,2.598,2.632,2.586,2.614,2.59,2.6305,2.584,2.6125,0.0029999999999996
2.611,2.651,2.596,2.648,2011-01-14,2.614,2.653,2.598,2.65,2.6125,2.652,2.597,2.649,0.0019999999999997
2.648,2.648,2.648,2.648,2011-01-15,2.65,2.65,2.65,2.65,2.649,2.649,2.649,2.649,0.0019999999999997
2.648,2.648,2.648,2.648,2011-01-16,2.65,2.65,2.65,2.65,2.649,2.649,2.649,2.649,0.0019999999999997
2.632,2.645,2.605,2.637,2011-01-17,2.634,2.648,2.607,2.638,2.633,2.6465,2.606,2.6375,0.0009999999999998
2.63,2.688,2.623,2.683,2011-01-18,2.637,2.69,2.625,2.685,2.6335,2.689,2.624,2.684,0.0020000000000002
2.68,2.72,2.68,2.705,2011-01-19,2.688,2.722,2.682,2.708,2.684,2.721,2.681,2.7065,0.0030000000000001
2.694,2.772,2.691,2.76,2011-01-20,2.696,2.775,2.696,2.762,2.6950000000000003,2.7735,2.6935,2.761,0.0020000000000002
2.754,2.831,2.742,2.806,2011-01-21,2.758,2.835,2.748,2.81,2.756,2.833,2.745,2.808,0.004
2.806,2.806,2.806,2.806,2011-01-22,2.81,2.81,2.81,2.81,2.808,2.808,2.808,2.808,0.004
2.806,2.806,2.806,2.806,2011-01-23,2.81,2.81,2.81,2.81,2.808,2.808,2.808,2.808,0.004
2.8,2.859,2.784,2.817,2011-01-24,2.8,2.867,2.8,2.819,2.8,2.863,2.792,2.818,0.0019999999999997
2.815,2.821,2.761,2.777,2011-01-25,2.815,2.824,2.766,2.782,2.815,2.8225,2.7635,2.7795,0.0049999999999998
2.762,2.798,2.71,2.714,2011-01-26,2.782,2.802,2.711,2.716,2.772,2.8,2.7105,2.715,0.0020000000000002
2.72,2.782,2.716,2.78,2011-01-27,2.721,2.783,2.718,2.781,2.7205000000000004,2.7825,2.717,2.7805,0.0010000000000003
2.758,2.801,2.742,2.761,2011-01-28,2.77,2.805,2.743,2.766,2.764,2.803,2.7425,2.7635,0.0049999999999998
2.761,2.761,2.761,2.761,2011-01-29,2.766,2.766,2.766,2.766,2.7635,2.7635,2.7635,2.7635,0.0049999999999998
2.761,2.761,2.761,2.761,2011-01-30,2.766,2.766,2.766,2.766,2.7635,2.7635,2.7635,2.7635,0.0049999999999998
2.747,2.808,2.741,2.8,2011-01-31,2.751,2.809,2.75,2.803,2.749,2.8085,2.7455,2.8015,0.0030000000000001
2.8,2.878,2.798,2.86,2011-02-01,2.805,2.879,2.799,2.861,2.8025,2.8785,2.7985,2.8605,0.0010000000000003
2.863,2.886,2.837,2.862,2011-02-02,2.867,2.887,2.84,2.863,2.865,2.8865,2.8385,2.8625,0.0009999999999998
