bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
135.067,135.628,133.798,134.657,2018-02-01,135.613,135.892,134.002,134.793,135.34,135.76,133.9,134.72500000000002,0.1359999999999956
137.987,138.008,132.938,134.327,2018-02-02,138.733,138.733,133.162,134.553,138.36,138.3705,133.05,134.44,0.2259999999999991
134.327,134.327,134.327,134.327,2018-02-03,134.553,134.553,134.553,134.553,134.44,134.44,134.44,134.44,0.2259999999999991
134.327,134.327,134.327,134.327,2018-02-04,134.553,134.553,134.553,134.553,134.44,134.44,134.44,134.44,0.2259999999999991
133.138,137.008,132.507,134.287,2018-02-05,134.002,137.113,132.892,134.333,133.57,137.0605,132.6995,134.31,0.0459999999999922
132.468,137.558,131.677,137.227,2018-02-06,132.982,137.722,132.012,137.342,132.725,137.64,131.84449999999998,137.2845,0.1150000000000091
136.228,137.388,133.937,134.738,2018-02-07,136.623,137.513,134.002,134.812,136.4255,137.4505,133.9695,134.775,0.0740000000000122
135.007,135.508,131.507,131.527,2018-02-08,135.503,135.662,131.602,131.602,135.255,135.585,131.55450000000002,131.5645,0.075000000000017
133.018,135.248,131.127,134.737,2018-02-09,133.242,135.302,131.212,134.773,133.13,135.27499999999998,131.1695,134.755,0.0360000000000013
134.737,134.737,134.737,134.737,2018-02-10,134.773,134.773,134.773,134.773,134.755,134.755,134.755,134.755,0.0360000000000013
134.737,134.737,134.737,134.737,2018-02-11,134.773,134.773,134.773,134.773,134.755,134.755,134.755,134.755,0.0360000000000013
135.408,137.958,135.407,136.988,2018-02-12,135.983,137.993,135.823,137.053,135.69549999999998,137.9755,135.615,137.0205,0.0649999999999977
136.327,137.708,136.327,137.457,2018-02-13,137.033,137.743,136.612,137.502,136.68,137.7255,136.46949999999998,137.4795,0.0450000000000159
137.177,139.968,136.407,139.738,2018-02-14,137.483,140.012,136.502,139.752,137.32999999999998,139.99,136.4545,139.745,0.01400000000001
139.768,140.497,137.897,139.618,2018-02-15,140.002,140.623,137.973,139.642,139.885,140.56,137.935,139.63,0.0240000000000009
139.268,141.547,139.117,141.018,2018-02-16,139.632,141.672,139.612,141.052,139.45,141.6095,139.3645,141.035,0.0339999999999918
141.018,141.018,141.018,141.018,2018-02-17,141.052,141.052,141.052,141.052,141.035,141.035,141.035,141.035,0.0339999999999918
141.018,141.018,141.018,141.018,2018-02-18,141.052,141.052,141.052,141.052,141.035,141.035,141.035,141.035,0.0339999999999918
141.018,141.018,141.018,141.018,2018-02-19,141.052,141.052,141.052,141.052,141.035,141.035,141.035,141.035,0.0339999999999918
139.948,140.978,139.028,139.368,2018-02-20,140.752,141.343,139.133,139.403,140.35000000000002,141.1605,139.0805,139.38549999999998,0.0349999999999965
139.377,142.117,139.267,139.798,2018-02-21,139.703,142.242,139.693,139.852,139.54000000000002,142.1795,139.48000000000002,139.825,0.054000000000002
139.888,141.267,139.597,140.167,2018-02-22,140.802,141.352,139.663,140.213,140.345,141.3095,139.63,140.19,0.0459999999999922
140.677,142.438,140.288,142.418,2018-02-23,141.113,142.473,140.382,142.423,140.89499999999998,142.4555,140.335,142.4205,0.0049999999999954
142.418,142.418,142.418,142.418,2018-02-24,142.423,142.423,142.423,142.423,142.4205,142.4205,142.4205,142.4205,0.0049999999999954
142.418,142.418,142.418,142.418,2018-02-25,142.423,142.423,142.423,142.423,142.4205,142.4205,142.4205,142.4205,0.0049999999999954
142.497,143.558,142.24,143.287,2018-02-26,142.733,143.682,142.362,143.323,142.615,143.62,142.301,143.305,0.0360000000000013
142.498,143.178,139.508,139.927,2018-02-27,143.023,143.313,139.592,140.043,142.76049999999998,143.2455,139.55,139.985,0.1160000000000138
139.868,140.677,138.507,138.507,2018-02-28,140.742,140.852,138.533,138.603,140.305,140.7645,138.51999999999998,138.555,0.0960000000000036
138.155,139.188,136.977,138.427,2018-03-01,138.383,139.322,137.112,138.502,138.269,139.255,137.0445,138.4645,0.075000000000017
137.518,140.708,137.488,140.537,2018-03-02,137.892,140.753,137.772,140.573,137.70499999999998,140.7305,137.63,140.555,0.0360000000000013
140.537,140.537,140.537,140.537,2018-03-03,140.573,140.573,140.573,140.573,140.555,140.555,140.555,140.555,0.0360000000000013
140.537,140.537,140.537,140.537,2018-03-04,140.573,140.573,140.573,140.573,140.555,140.555,140.555,140.555,0.0360000000000013
140.108,141.798,139.428,141.578,2018-03-05,140.982,141.852,139.792,141.632,140.54500000000002,141.825,139.61,141.60500000000002,0.054000000000002
141.997,143.017,141.637,142.617,2018-03-06,142.373,143.252,141.763,142.743,142.185,143.1345,141.7,142.68,0.1260000000000047
141.397,143.828,141.397,143.487,2018-03-07,141.753,143.893,141.692,143.513,141.575,143.8605,141.5445,143.5,0.0260000000000104
143.597,144.398,142.738,144.328,2018-03-08,143.903,144.433,142.882,144.362,143.75,144.4155,142.81,144.345,0.0339999999999918
145.207,145.268,144.387,145.018,2018-03-09,145.413,145.413,144.563,145.052,145.31,145.34050000000002,144.475,145.035,0.0339999999999918
145.018,145.018,145.018,145.018,2018-03-10,145.052,145.052,145.052,145.052,145.035,145.035,145.035,145.035,0.0339999999999918
145.018,145.018,145.018,145.018,2018-03-11,145.052,145.052,145.052,145.052,145.035,145.035,145.035,145.035,0.0339999999999918
