bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
99.156,112.067,99.156,109.927,2022-05-12,117.454,117.454,107.593,110.333,108.305,114.7605,103.3745,110.13,0.4059999999999917
109.947,115.797,109.947,114.676,2022-05-13,116.093,118.643,112.214,115.564,113.02,117.22,111.0805,115.12,0.887999999999991
114.676,114.676,114.676,114.676,2022-05-14,115.564,115.564,115.564,115.564,115.12,115.12,115.12,115.12,0.887999999999991
114.676,114.676,114.676,114.676,2022-05-15,115.564,115.564,115.564,115.564,115.12,115.12,115.12,115.12,0.887999999999991
114.676,114.676,114.676,114.676,2022-05-16,115.564,115.564,115.564,115.564,115.12,115.12,115.12,115.12,0.887999999999991
104.277,116.287,104.277,115.747,2022-05-17,118.993,118.993,111.993,116.953,111.635,117.64,108.135,116.35,1.206000000000003
103.267,116.727,103.267,112.797,2022-05-18,122.523,122.523,112.243,113.383,112.895,119.625,107.755,113.09,0.5859999999999985
99.227,115.916,99.227,114.046,2022-05-19,117.263,117.263,112.344,114.214,108.245,116.5895,105.7855,114.13,0.1679999999999921
108.427,115.057,108.427,113.907,2022-05-20,120.353,120.354,111.684,114.053,114.39,117.7055,110.0555,113.98,0.1460000000000008
113.907,113.907,113.907,113.907,2022-05-21,114.053,114.053,114.053,114.053,113.98,113.98,113.98,113.98,0.1460000000000008
113.907,113.907,113.907,113.907,2022-05-22,114.053,114.053,114.053,114.053,113.98,113.98,113.98,113.98,0.1460000000000008
109.516,116.327,109.516,115.756,2022-05-23,117.744,118.884,112.053,117.044,113.63,117.6055,110.7845,116.4,1.2879999999999967
106.657,114.427,106.657,114.017,2022-05-24,123.183,123.183,111.164,114.263,114.92,118.805,108.9105,114.14,0.2460000000000093
107.996,117.347,107.996,115.856,2022-05-25,118.644,118.644,114.073,117.004,113.32,117.9955,111.0345,116.43,1.1480000000000103
113.566,119.097,113.566,118.307,2022-05-26,122.464,122.464,116.013,119.033,118.015,120.7805,114.7895,118.67,0.7259999999999991
113.707,122.127,113.707,121.987,2022-05-27,125.563,125.563,120.083,122.693,119.635,123.845,116.895,122.34,0.7060000000000031
121.987,121.987,121.987,121.987,2022-05-28,122.693,122.693,122.693,122.693,122.34,122.34,122.34,122.34,0.7060000000000031
121.987,121.987,121.987,121.987,2022-05-29,122.693,122.693,122.693,122.693,122.34,122.34,122.34,122.34,0.7060000000000031
121.987,121.987,121.987,121.987,2022-05-30,122.693,122.693,122.693,122.693,122.34,122.34,122.34,122.34,0.7060000000000031
112.696,123.006,112.696,120.487,2022-05-31,126.384,126.384,120.423,121.743,119.54,124.695,116.5595,121.115,1.2560000000000002
110.397,121.777,110.397,118.216,2022-06-01,126.023,126.023,118.843,119.544,118.21,123.9,114.62,118.88,1.328000000000003
110.376,121.227,109.246,119.777,2022-06-02,124.764,124.764,118.133,121.103,117.57,122.9955,113.6895,120.44,1.3259999999999934
111.146,121.417,111.146,120.367,2022-06-03,125.814,125.814,119.873,121.093,118.48,123.6155,115.5095,120.73,0.7259999999999991
120.367,120.367,120.367,120.367,2022-06-04,121.093,121.093,121.093,121.093,120.73,120.73,120.73,120.73,0.7259999999999991
120.367,120.367,120.367,120.367,2022-06-05,121.093,121.093,121.093,121.093,120.73,120.73,120.73,120.73,0.7259999999999991
112.377,123.197,112.377,119.897,2022-06-06,126.843,126.843,120.023,121.153,119.61,125.02,116.2,120.525,1.2560000000000002
116.636,119.726,116.557,117.577,2022-06-07,124.844,127.553,117.253,118.643,120.74,123.6395,116.905,118.11,1.0660000000000025
109.837,117.577,109.837,116.217,2022-06-08,126.433,126.433,115.874,117.253,118.135,122.005,112.8555,116.735,1.0360000000000014
110.917,116.366,110.917,113.116,2022-06-09,121.383,121.383,113.213,113.904,116.15,118.8745,112.065,113.51,0.7879999999999967
113.116,113.116,113.116,113.116,2022-06-10,113.904,113.904,113.904,113.904,113.51,113.51,113.51,113.51,0.7879999999999967
113.116,113.116,113.116,113.116,2022-06-11,113.904,113.904,113.904,113.904,113.51,113.51,113.51,113.51,0.7879999999999967
113.116,113.116,113.116,113.116,2022-06-12,113.904,113.904,113.904,113.904,113.51,113.51,113.51,113.51,0.7879999999999967
100.797,105.887,100.797,103.726,2022-06-13,111.973,111.973,101.183,103.854,106.385,108.93,100.99,103.79,0.1280000000000001
96.136,105.797,96.136,104.586,2022-06-14,109.104,109.104,103.693,105.714,102.62,107.4505,99.9145,105.15,1.128
101.507,107.926,101.507,105.737,2022-06-15,107.573,110.534,104.904,106.743,104.54,109.23,103.2055,106.24,1.0060000000000002
105.737,105.737,105.737,105.737,2022-06-16,106.743,106.743,106.743,106.743,106.24,106.24,106.24,106.24,1.0060000000000002
105.737,105.737,105.737,105.737,2022-06-17,106.743,106.743,106.743,106.743,106.24,106.24,106.24,106.24,1.0060000000000002
105.737,105.737,105.737,105.737,2022-06-18,106.743,106.743,106.743,106.743,106.24,106.24,106.24,106.24,1.0060000000000002
105.737,105.737,105.737,105.737,2022-06-19,106.743,106.743,106.743,106.743,106.24,106.24,106.24,106.24,1.0060000000000002
105.737,105.737,105.737,105.737,2022-06-20,106.743,106.743,106.743,106.743,106.24,106.24,106.24,106.24,1.0060000000000002
104.297,105.117,101.867,103.496,2022-06-21,106.703,106.703,102.473,104.224,105.5,105.91,102.17,103.86,0.7280000000000086
101.466,104.137,99.306,103.067,2022-06-22,110.724,110.964,101.773,103.623,106.095,107.5505,100.5395,103.345,0.5560000000000116
96.777,104.987,96.777,101.496,2022-06-23,107.543,107.543,101.623,102.474,102.16,106.265,99.2,101.985,0.9780000000000086
101.496,101.496,101.496,101.496,2022-06-24,102.474,102.474,102.474,102.474,101.985,101.985,101.985,101.985,0.9780000000000086
101.496,101.496,101.496,101.496,2022-06-25,102.474,102.474,102.474,102.474,101.985,101.985,101.985,101.985,0.9780000000000086
101.496,101.496,101.496,101.496,2022-06-26,102.474,102.474,102.474,102.474,101.985,101.985,101.985,101.985,0.9780000000000086
103.336,109.047,103.336,107.337,2022-06-27,116.914,116.914,106.634,108.463,110.125,112.9805,104.985,107.9,1.1259999999999906
108.177,110.866,104.746,104.756,2022-06-28,114.623,114.623,105.183,105.824,111.4,112.7445,104.9645,105.29,1.0679999999999978
95.627,104.347,95.627,102.516,2022-06-29,110.633,110.633,100.923,103.534,103.13,107.49,98.275,103.025,1.018000000000001
95.117,102.057,91.317,100.587,2022-06-30,106.743,106.743,98.99,103.763,100.93,104.4,95.1535,102.175,3.176000000000002
91.546,100.676,91.546,98.337,2022-07-01,110.254,110.254,97.093,98.923,100.9,105.465,94.3195,98.63,0.5859999999999985
98.337,98.337,98.337,98.337,2022-07-02,98.923,98.923,98.923,98.923,98.63,98.63,98.63,98.63,0.5859999999999985
98.337,98.337,98.337,98.337,2022-07-03,98.923,98.923,98.923,98.923,98.63,98.63,98.63,98.63,0.5859999999999985
98.337,98.337,98.337,98.337,2022-07-04,98.923,98.923,98.923,98.923,98.63,98.63,98.63,98.63,0.5859999999999985
91.317,101.116,91.317,100.636,2022-07-05,102.043,102.043,94.053,101.524,96.68,101.5795,92.685,101.08,0.8880000000000052
90.777,100.707,90.776,99.077,2022-07-06,106.013,106.013,98.333,99.663,98.395,103.36,94.5545,99.37,0.5859999999999985
91.277,101.157,90.876,100.256,2022-07-07,105.103,105.104,99.784,101.354,98.19,103.1305,95.33,100.805,1.097999999999999
95.297,101.617,95.296,100.627,2022-07-08,105.963,105.963,99.053,101.593,100.63,103.79,97.1745,101.11,0.9660000000000082
100.627,100.627,100.627,100.627,2022-07-09,101.593,101.593,101.593,101.593,101.11,101.11,101.11,101.11,0.9660000000000082
100.627,100.627,100.627,100.627,2022-07-10,101.593,101.593,101.593,101.593,101.11,101.11,101.11,101.11,0.9660000000000082
93.566,100.15,93.566,98.517,2022-07-11,104.714,104.714,98.834,99.573,99.14,102.432,96.2,99.045,1.0559999999999974
91.477,99.357,91.477,96.697,2022-07-12,102.913,102.914,96.374,97.213,97.195,101.1355,93.9255,96.955,0.5159999999999911
88.937,96.617,88.936,96.006,2022-07-13,99.333,99.333,93.433,97.064,94.135,97.975,91.1845,96.535,1.0579999999999927
88.607,95.167,88.607,93.817,2022-07-14,99.723,99.723,93.153,94.763,94.165,97.445,90.88,94.29,0.9460000000000122
89.796,97.667,89.796,97.657,2022-07-15,102.354,104.874,94.814,98.213,96.075,101.2705,92.305,97.935,0.5559999999999974
97.657,97.657,97.657,97.657,2022-07-16,98.213,98.213,98.213,98.213,97.935,97.935,97.935,97.935,0.5559999999999974
97.657,97.657,97.657,97.657,2022-07-17,98.213,98.213,98.213,98.213,97.935,97.935,97.935,97.935,0.5559999999999974
93.536,100.806,93.536,97.427,2022-07-18,112.334,112.334,97.513,98.343,102.935,106.57,95.5245,97.885,0.9159999999999968
93.557,102.647,93.556,101.83,2022-07-19,111.323,111.323,100.373,102.4,102.44,106.985,96.9645,102.115,0.5700000000000074
95.91,102.95,95.91,102.33,2022-07-20,106.97,106.97,101.21,103.36,101.44,104.96,98.56,102.845,1.0300000000000011
94.96,103.16,94.96,103.16,2022-07-21,106.41,106.41,101.61,103.72,100.685,104.785,98.285,103.44,0.5600000000000023
99.16,103.68,98.57,101.6,2022-07-22,111.65,111.65,101.3,102.89,105.405,107.665,99.935,102.245,1.2900000000000065
