bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
16.476,16.477,16.417,16.477,2022-05-11,16.544,16.544,16.463,16.503,16.509999999999998,16.5105,16.44,16.490000000000002,0.0259999999999998
16.236,16.457,16.236,16.397,2022-05-12,16.444,16.703,16.303,16.703,16.34,16.58,16.2695,16.549999999999997,0.3060000000000009
16.257,16.377,16.256,16.317,2022-05-13,16.543,16.623,16.343,16.623,16.4,16.5,16.299500000000002,16.47,0.3060000000000009
16.317,16.317,16.317,16.317,2022-05-14,16.623,16.623,16.623,16.623,16.47,16.47,16.47,16.47,0.3060000000000009
16.317,16.317,16.317,16.317,2022-05-15,16.623,16.623,16.623,16.623,16.47,16.47,16.47,16.47,0.3060000000000009
16.336,16.517,16.217,16.517,2022-05-16,16.624,16.624,16.343,16.583,16.479999999999997,16.5705,16.28,16.549999999999997,0.0659999999999989
16.437,16.537,16.356,16.356,2022-05-17,16.663,16.684,16.423,16.484,16.55,16.610500000000002,16.389499999999998,16.42,0.1280000000000001
16.296,16.497,16.276,16.356,2022-05-18,16.524,16.583,16.403,16.464,16.41,16.54,16.3395,16.41,0.1079999999999969
16.297,16.317,15.996,15.997,2022-05-19,16.443,16.443,16.084,16.103,16.37,16.380000000000003,16.04,16.05,0.1060000000000016
15.997,16.097,15.956,16.037,2022-05-20,16.103,16.184,16.023,16.103,16.05,16.140500000000003,15.9895,16.07,0.0660000000000025
16.037,16.037,16.037,16.037,2022-05-21,16.103,16.103,16.103,16.103,16.07,16.07,16.07,16.07,0.0660000000000025
16.037,16.037,16.037,16.037,2022-05-22,16.103,16.103,16.103,16.103,16.07,16.07,16.07,16.07,0.0660000000000025
16.096,16.377,16.037,16.276,2022-05-23,16.284,16.423,16.183,16.384,16.189999999999998,16.4,16.11,16.33,0.1080000000000005
16.177,16.317,16.096,16.096,2022-05-24,16.443,16.443,16.184,16.184,16.310000000000002,16.380000000000003,16.14,16.14,0.0880000000000009
16.117,16.397,16.117,16.357,2022-05-25,16.263,16.663,16.263,16.663,16.19,16.53,16.19,16.509999999999998,0.3060000000000009
16.296,16.356,16.236,16.297,2022-05-26,16.464,16.503,16.303,16.323,16.38,16.4295,16.2695,16.310000000000002,0.0259999999999998
16.256,16.357,16.216,16.236,2022-05-27,16.524,16.524,16.283,16.324,16.39,16.4405,16.2495,16.28,0.0880000000000009
16.236,16.236,16.236,16.236,2022-05-28,16.324,16.324,16.324,16.324,16.28,16.28,16.28,16.28,0.0880000000000009
16.236,16.236,16.236,16.236,2022-05-29,16.324,16.324,16.324,16.324,16.28,16.28,16.28,16.28,0.0880000000000009
16.357,16.477,16.237,16.317,2022-05-30,16.463,16.544,16.363,16.383,16.41,16.5105,16.299999999999997,16.35,0.0659999999999989
16.296,16.556,16.296,16.536,2022-05-31,16.364,16.643,16.364,16.584,16.33,16.5995,16.33,16.560000000000002,0.0479999999999982
16.536,16.637,16.476,16.556,2022-06-01,16.824,16.824,16.543,16.604,16.68,16.7305,16.5095,16.58,0.0479999999999982
16.457,16.717,16.436,16.636,2022-06-02,16.663,16.844,16.623,16.844,16.560000000000002,16.7805,16.5295,16.740000000000002,0.2080000000000019
16.536,16.737,16.536,16.677,2022-06-03,16.844,16.844,16.643,16.723,16.69,16.7905,16.5895,16.7,0.0459999999999993
16.677,16.677,16.677,16.677,2022-06-04,16.723,16.723,16.723,16.723,16.7,16.7,16.7,16.7,0.0459999999999993
16.677,16.677,16.677,16.677,2022-06-05,16.723,16.723,16.723,16.723,16.7,16.7,16.7,16.7,0.0459999999999993
16.636,16.697,16.597,16.636,2022-06-06,16.724,16.864,16.643,16.864,16.68,16.7805,16.62,16.75,0.2280000000000015
16.517,16.776,16.517,16.776,2022-06-07,16.763,16.844,16.643,16.844,16.64,16.810000000000002,16.58,16.810000000000002,0.0680000000000013
