bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
162.04,162.38,161.82,161.87,2016-05-02,162.07,162.41,161.85,161.91,162.055,162.39499999999998,161.83499999999998,161.89,0.039999999999992
162.01,163.11,161.89,162.87,2016-05-03,162.04,163.14,161.92,162.9,162.02499999999998,163.125,161.90499999999997,162.885,0.0300000000000011
162.89,163.07,162.66,163.03,2016-05-04,162.92,163.1,162.69,163.06,162.90499999999997,163.08499999999998,162.675,163.04500000000002,0.0300000000000011
162.98,163.84,162.72,163.82,2016-05-05,163.01,163.87,162.75,163.85,162.995,163.85500000000002,162.735,163.83499999999998,0.0300000000000011
163.75,163.92,163.4,163.6,2016-05-06,163.79,163.95,163.43,163.63,163.76999999999998,163.935,163.41500000000002,163.615,0.0300000000000011
163.6,163.6,163.6,163.6,2016-05-07,163.63,163.63,163.63,163.63,163.615,163.615,163.615,163.615,0.0300000000000011
163.6,163.6,163.6,163.6,2016-05-08,163.63,163.63,163.63,163.63,163.615,163.615,163.615,163.615,0.0300000000000011
163.52,164.12,163.49,164.07,2016-05-09,163.55,164.15,163.52,164.1,163.53500000000005,164.135,163.505,164.08499999999998,0.0300000000000011
164.04,164.34,163.85,164.18,2016-05-10,164.07,164.37,163.88,164.21,164.055,164.35500000000002,163.865,164.195,0.0300000000000011
164.24,164.33,163.96,164.23,2016-05-11,164.27,164.36,163.99,164.26,164.255,164.34500000000003,163.97500000000002,164.245,0.0300000000000011
164.18,164.47,163.61,163.77,2016-05-12,164.21,164.5,163.64,163.8,164.195,164.485,163.625,163.78500000000005,0.0300000000000011
163.93,164.28,163.75,164.24,2016-05-13,163.97,164.31,163.78,164.27,163.95,164.29500000000002,163.765,164.255,0.0300000000000011
164.24,164.24,164.24,164.24,2016-05-14,164.27,164.27,164.27,164.27,164.255,164.255,164.255,164.255,0.0300000000000011
164.24,164.24,164.24,164.24,2016-05-15,164.27,164.27,164.27,164.27,164.255,164.255,164.255,164.255,0.0300000000000011
164.18,164.23,163.73,163.86,2016-05-16,164.21,164.26,163.76,163.89,164.195,164.245,163.745,163.875,0.0299999999999727
163.8,164.16,163.48,163.94,2016-05-17,163.83,164.19,163.51,163.97,163.815,164.175,163.495,163.95499999999998,0.0300000000000011
163.88,163.94,163.15,163.28,2016-05-18,163.92,163.97,163.18,163.31,163.89999999999998,163.95499999999998,163.16500000000002,163.29500000000002,0.0300000000000011
163.18,163.7,163.05,163.59,2016-05-19,163.22,163.73,163.08,163.62,163.2,163.71499999999995,163.065,163.60500000000002,0.0300000000000011
163.64,163.73,163.32,163.62,2016-05-20,163.68,163.76,163.35,163.66,163.66,163.745,163.33499999999998,163.64,0.039999999999992
163.62,163.62,163.62,163.62,2016-05-21,163.66,163.66,163.66,163.66,163.64,163.64,163.64,163.64,0.039999999999992
163.62,163.62,163.62,163.62,2016-05-22,163.66,163.66,163.66,163.66,163.64,163.64,163.64,163.64,0.039999999999992
163.66,164.05,163.33,163.56,2016-05-23,163.7,164.08,163.36,163.59,163.68,164.065,163.34500000000003,163.575,0.0300000000000011
163.67,163.75,163.39,163.52,2016-05-24,163.7,163.78,163.42,163.55,163.685,163.765,163.40499999999997,163.53500000000005,0.0300000000000011
163.53,163.93,163.12,163.73,2016-05-25,163.56,163.96,163.15,163.76,163.54500000000002,163.945,163.135,163.745,0.0300000000000011
163.87,164.17,163.56,164.04,2016-05-26,163.9,164.2,163.59,164.07,163.885,164.185,163.575,164.055,0.0300000000000011
164.02,164.34,163.89,163.94,2016-05-27,164.06,164.37,163.92,163.97,164.04000000000002,164.35500000000002,163.90499999999997,163.95499999999998,0.0300000000000011
163.94,163.94,163.94,163.94,2016-05-28,163.97,163.97,163.97,163.97,163.95499999999998,163.95499999999998,163.95499999999998,163.95499999999998,0.0300000000000011
163.94,163.94,163.94,163.94,2016-05-29,163.97,163.97,163.97,163.97,163.95499999999998,163.95499999999998,163.95499999999998,163.95499999999998,0.0300000000000011
163.93,163.95,163.52,163.66,2016-05-30,163.96,163.98,163.55,163.73,163.945,163.96499999999995,163.53500000000005,163.695,0.0699999999999931
163.72,164.19,163.38,164.11,2016-05-31,163.75,164.22,163.41,164.14,163.735,164.20499999999998,163.39499999999998,164.125,0.0299999999999727
164.17,164.41,164.05,164.05,2016-06-01,164.2,164.44,164.08,164.08,164.185,164.425,164.065,164.065,0.0300000000000011
164.13,164.57,163.86,164.44,2016-06-02,164.17,164.6,163.89,164.47,164.14999999999998,164.58499999999998,163.875,164.45499999999998,0.0300000000000011
164.42,165.21,164.39,165.18,2016-06-03,164.46,165.24,164.42,165.21,164.44,165.22500000000002,164.40499999999997,165.195,0.0300000000000011
165.18,165.18,165.18,165.18,2016-06-04,165.21,165.21,165.21,165.21,165.195,165.195,165.195,165.195,0.0300000000000011
165.18,165.18,165.18,165.18,2016-06-05,165.21,165.21,165.21,165.21,165.195,165.195,165.195,165.195,0.0300000000000011
165.06,165.15,164.84,164.92,2016-06-06,165.09,165.18,164.87,164.96,165.075,165.16500000000002,164.85500000000002,164.94,0.0400000000000204
164.93,165.47,164.83,165.31,2016-06-07,164.96,165.5,164.86,165.34,164.945,165.485,164.84500000000003,165.325,0.0300000000000011
164.34,164.67,164.14,164.32,2016-06-08,164.38,164.7,164.17,164.35,164.36,164.685,164.15499999999997,164.33499999999998,0.0300000000000011
164.48,164.79,164.42,164.68,2016-06-09,164.51,164.82,164.45,164.71,164.495,164.805,164.435,164.695,0.0300000000000011
164.64,164.97,164.54,164.84,2016-06-10,164.68,165.0,164.57,164.87,164.66,164.985,164.555,164.85500000000002,0.0300000000000011
