bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
6.3776,6.383,6.2463,6.2601,1999-06-07,6.3776,6.383,6.2463,6.2601,6.3776,6.383,6.2463,6.2601,0.0
6.2767,6.4034,6.2525,6.3991,1999-06-08,6.2767,6.4034,6.2525,6.3991,6.2767,6.4034,6.2525,6.3991,0.0
6.3764,6.4309,6.3686,6.4124,1999-06-09,6.3764,6.4309,6.3686,6.4124,6.3764,6.4309,6.3686,6.4124,0.0
6.4142,6.4649,6.3903,6.4206,1999-06-10,6.4142,6.4649,6.3903,6.4206,6.4142,6.4649,6.3903,6.4206,0.0
6.4355,6.4612,6.335,6.3914,1999-06-11,6.4355,6.4612,6.335,6.3914,6.4355,6.4612,6.335,6.3914,0.0
6.3914,6.3914,6.3914,6.3914,1999-06-12,6.3914,6.3914,6.3914,6.3914,6.3914,6.3914,6.3914,6.3914,0.0
6.3914,6.3914,6.3914,6.3914,1999-06-13,6.3914,6.3914,6.3914,6.3914,6.3914,6.3914,6.3914,6.3914,0.0
6.3805,6.3943,6.3339,6.3468,1999-06-14,6.3805,6.3943,6.3339,6.3468,6.3805,6.3943,6.3339,6.3468,0.0
6.3353,6.3623,6.3204,6.3516,1999-06-15,6.3353,6.3623,6.3204,6.3516,6.3353,6.3623,6.3204,6.3516,0.0
6.3535,6.355,6.2555,6.2684,1999-06-16,6.3535,6.355,6.2555,6.2684,6.3535,6.355,6.2555,6.2684,0.0
6.2562,6.3024,6.2302,6.2459,1999-06-17,6.2562,6.3024,6.2302,6.2459,6.2562,6.3024,6.2302,6.2459,0.0
6.2598,6.2715,6.1582,6.2306,1999-06-18,6.2598,6.2715,6.1582,6.2306,6.2598,6.2715,6.1582,6.2306,0.0
6.2306,6.2306,6.2306,6.2306,1999-06-19,6.2306,6.2306,6.2306,6.2306,6.2306,6.2306,6.2306,6.2306,0.0
6.2306,6.2306,6.2306,6.2306,1999-06-20,6.2306,6.2306,6.2306,6.2306,6.2306,6.2306,6.2306,6.2306,0.0
