bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
36.992,37.132,36.963,37.083,2024-09-17,37.007,37.151,36.977,37.102,36.9995,37.1415,36.97,37.0925,0.0189999999999983
37.137,37.165,36.903,36.942,2024-09-18,37.15,37.182,36.927,37.035,37.1435,37.1735,36.915,36.9885,0.0929999999999964
37.103,37.148,36.87,36.978,2024-09-19,37.124,37.161,36.915,37.001,37.1135,37.1545,36.8925,36.9895,0.0229999999999961
36.969,36.999,36.742,36.749,2024-09-20,36.985,37.013,36.764,36.769,36.977,37.006,36.753,36.759,0.019999999999996
36.749,36.749,36.749,36.749,2024-09-21,36.769,36.769,36.769,36.769,36.759,36.759,36.759,36.759,0.019999999999996
36.749,36.749,36.749,36.749,2024-09-22,36.769,36.769,36.769,36.769,36.759,36.759,36.759,36.759,0.019999999999996
36.74,36.781,36.551,36.58,2024-09-23,36.76,36.797,36.567,36.598,36.75,36.789,36.559,36.589,0.0180000000000006
36.591,36.658,36.398,36.494,2024-09-24,36.621,36.673,36.415,36.518,36.606,36.6655,36.4065,36.506,0.0240000000000009
36.474,36.631,36.404,36.419,2024-09-25,36.495,36.645,36.427,36.438,36.4845,36.638000000000005,36.4155,36.4285,0.0190000000000054
36.474,36.482,36.175,36.238,2024-09-26,36.501,36.506,36.196,36.259,36.4875,36.494,36.1855,36.2485,0.0210000000000007
36.188,36.273,36.028,36.149,2024-09-27,36.221,36.292,36.051,36.169,36.2045,36.2825,36.0395,36.159,0.019999999999996
36.149,36.149,36.149,36.149,2024-09-28,36.169,36.169,36.169,36.169,36.159,36.159,36.159,36.159,0.019999999999996
36.149,36.149,36.149,36.149,2024-09-29,36.169,36.169,36.169,36.169,36.159,36.159,36.159,36.159,0.019999999999996
36.148,36.159,35.877,36.072,2024-09-30,36.181,36.187,35.891,36.097,36.1645,36.173,35.884,36.084500000000006,0.0249999999999985
36.077,36.218,35.908,35.995,2024-10-01,36.112,36.232,35.932,36.013,36.0945,36.225,35.92,36.004,0.0180000000000006
36.002,36.355,35.935,36.287,2024-10-02,36.022,36.369,35.952,36.305,36.012,36.362,35.9435,36.296,0.0180000000000006
36.311,36.618,36.31,36.497,2024-10-03,36.331,36.632,36.328,36.521,36.321,36.625,36.319,36.509,0.0240000000000009
36.532,36.669,36.254,36.532,2024-10-04,36.569,36.688,36.27,36.561,36.5505,36.6785,36.262,36.5465,0.0290000000000034
36.532,36.532,36.532,36.532,2024-10-05,36.561,36.561,36.561,36.561,36.5465,36.5465,36.5465,36.5465,0.0290000000000034
36.532,36.532,36.532,36.532,2024-10-06,36.561,36.561,36.561,36.561,36.5465,36.5465,36.5465,36.5465,0.0290000000000034
