bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
1.295,1.3094,1.2895,1.3077,1991-10-09,1.295,1.3094,1.2895,1.3077,1.295,1.3094,1.2895,1.3077,0.0
1.3077,1.3139,1.301,1.3022,1991-10-10,1.3077,1.3139,1.301,1.3022,1.3077,1.3139,1.301,1.3022,0.0
1.3077,1.3139,1.301,1.3022,1991-10-11,1.3077,1.3139,1.301,1.3022,1.3077,1.3139,1.301,1.3022,0.0
1.3022,1.3022,1.3022,1.3022,1991-10-12,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,0.0
1.3022,1.3022,1.3022,1.3022,1991-10-13,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,0.0
1.3028,1.3073,1.2963,1.2975,1991-10-14,1.3028,1.3073,1.2963,1.2975,1.3028,1.3073,1.2963,1.2975,0.0
1.2967,1.2985,1.2889,1.2905,1991-10-15,1.2967,1.2985,1.2889,1.2905,1.2967,1.2985,1.2889,1.2905,0.0
1.2905,1.3012,1.2905,1.2985,1991-10-16,1.2905,1.3012,1.2905,1.2985,1.2905,1.3012,1.2905,1.2985,0.0
1.2985,1.3028,1.2946,1.3022,1991-10-17,1.2985,1.3028,1.2946,1.3022,1.2985,1.3028,1.2946,1.3022,0.0
1.2985,1.3028,1.2946,1.3022,1991-10-18,1.2985,1.3028,1.2946,1.3022,1.2985,1.3028,1.2946,1.3022,0.0
1.3022,1.3022,1.3022,1.3022,1991-10-19,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,0.0
1.3022,1.3022,1.3022,1.3022,1991-10-20,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,1.3022,0.0
1.3059,1.309,1.3008,1.301,1991-10-21,1.3059,1.309,1.3008,1.301,1.3059,1.309,1.3008,1.301,0.0
1.3016,1.302,1.2953,1.2953,1991-10-22,1.3016,1.302,1.2953,1.2953,1.3016,1.302,1.2953,1.2953,0.0
1.2953,1.2965,1.2809,1.2889,1991-10-23,1.2953,1.2965,1.2809,1.2889,1.2953,1.2965,1.2809,1.2889,0.0
1.2901,1.2979,1.2893,1.2979,1991-10-24,1.2901,1.2979,1.2893,1.2979,1.2901,1.2979,1.2893,1.2979,0.0
1.2971,1.3006,1.2926,1.2953,1991-10-25,1.2971,1.3006,1.2926,1.2953,1.2971,1.3006,1.2926,1.2953,0.0
1.2953,1.2953,1.2953,1.2953,1991-10-26,1.2953,1.2953,1.2953,1.2953,1.2953,1.2953,1.2953,1.2953,0.0
1.2953,1.2953,1.2953,1.2953,1991-10-27,1.2953,1.2953,1.2953,1.2953,1.2953,1.2953,1.2953,1.2953,0.0
1.2932,1.2944,1.2789,1.2799,1991-10-28,1.2932,1.2944,1.2789,1.2799,1.2932,1.2944,1.2789,1.2799,0.0
1.2795,1.3049,1.2779,1.3008,1991-10-29,1.2795,1.3049,1.2779,1.3008,1.2795,1.3049,1.2779,1.3008,0.0
1.3008,1.3167,1.2998,1.3137,1991-10-30,1.3008,1.3167,1.2998,1.3137,1.3008,1.3167,1.2998,1.3137,0.0
1.3137,1.3182,1.309,1.3155,1991-10-31,1.3137,1.3182,1.309,1.3155,1.3137,1.3182,1.309,1.3155,0.0
1.3151,1.3331,1.3122,1.3327,1991-11-01,1.3151,1.3331,1.3122,1.3327,1.3151,1.3331,1.3122,1.3327,0.0
1.3327,1.3327,1.3327,1.3327,1991-11-02,1.3327,1.3327,1.3327,1.3327,1.3327,1.3327,1.3327,1.3327,0.0
1.3327,1.3327,1.3327,1.3327,1991-11-03,1.3327,1.3327,1.3327,1.3327,1.3327,1.3327,1.3327,1.3327,0.0
1.3335,1.3452,1.3272,1.337,1991-11-04,1.3335,1.3452,1.3272,1.337,1.3335,1.3452,1.3272,1.337,0.0
1.337,1.3395,1.3313,1.3368,1991-11-05,1.337,1.3395,1.3313,1.3368,1.337,1.3395,1.3313,1.3368,0.0
1.3368,1.3493,1.3337,1.3442,1991-11-06,1.3368,1.3493,1.3337,1.3442,1.3368,1.3493,1.3337,1.3442,0.0
1.3433,1.348,1.3343,1.3349,1991-11-07,1.3433,1.348,1.3343,1.3349,1.3433,1.348,1.3343,1.3349,0.0
1.3349,1.3485,1.3315,1.344,1991-11-08,1.3349,1.3485,1.3315,1.344,1.3349,1.3485,1.3315,1.344,0.0
1.344,1.344,1.344,1.344,1991-11-09,1.344,1.344,1.344,1.344,1.344,1.344,1.344,1.344,0.0
1.344,1.344,1.344,1.344,1991-11-10,1.344,1.344,1.344,1.344,1.344,1.344,1.344,1.344,0.0
1.3399,1.3528,1.336,1.3489,1991-11-11,1.3399,1.3528,1.336,1.3489,1.3399,1.3528,1.336,1.3489,0.0
1.3483,1.3556,1.3478,1.3536,1991-11-12,1.3483,1.3556,1.3478,1.3536,1.3483,1.3556,1.3478,1.3536,0.0
1.3536,1.3609,1.3448,1.3517,1991-11-13,1.3536,1.3609,1.3448,1.3517,1.3536,1.3609,1.3448,1.3517,0.0
1.3523,1.3626,1.3474,1.3568,1991-11-14,1.3523,1.3626,1.3474,1.3568,1.3523,1.3626,1.3474,1.3568,0.0
1.3568,1.366,1.3474,1.366,1991-11-15,1.3568,1.366,1.3474,1.366,1.3568,1.366,1.3474,1.366,0.0
1.366,1.366,1.366,1.366,1991-11-16,1.366,1.366,1.366,1.366,1.366,1.366,1.366,1.366,0.0
1.366,1.366,1.366,1.366,1991-11-17,1.366,1.366,1.366,1.366,1.366,1.366,1.366,1.366,0.0
1.3744,1.3775,1.3689,1.3701,1991-11-18,1.3744,1.3775,1.3689,1.3701,1.3744,1.3775,1.3689,1.3701,0.0
1.3701,1.3863,1.365,1.383,1991-11-19,1.3701,1.3863,1.365,1.383,1.3701,1.3863,1.365,1.383,0.0
1.383,1.3969,1.3806,1.3904,1991-11-20,1.383,1.3969,1.3806,1.3904,1.383,1.3969,1.3806,1.3904,0.0
1.3902,1.4051,1.3793,1.3877,1991-11-21,1.3902,1.4051,1.3793,1.3877,1.3902,1.4051,1.3793,1.3877,0.0
1.3881,1.41,1.3863,1.4064,1991-11-22,1.3881,1.41,1.3863,1.4064,1.3881,1.41,1.3863,1.4064,0.0
1.4064,1.4064,1.4064,1.4064,1991-11-23,1.4064,1.4064,1.4064,1.4064,1.4064,1.4064,1.4064,1.4064,0.0
1.4064,1.4064,1.4064,1.4064,1991-11-24,1.4064,1.4064,1.4064,1.4064,1.4064,1.4064,1.4064,1.4064,0.0
1.4062,1.4105,1.3978,1.3978,1991-11-25,1.4062,1.4105,1.3978,1.3978,1.4062,1.4105,1.3978,1.3978,0.0
1.3984,1.4064,1.3685,1.3812,1991-11-26,1.3984,1.4064,1.3685,1.3812,1.3984,1.4064,1.3685,1.3812,0.0
1.3826,1.3884,1.3716,1.3763,1991-11-27,1.3826,1.3884,1.3716,1.3763,1.3826,1.3884,1.3716,1.3763,0.0
1.3769,1.3785,1.3714,1.3732,1991-11-28,1.3769,1.3785,1.3714,1.3732,1.3769,1.3785,1.3714,1.3732,0.0
1.3736,1.3736,1.3568,1.366,1991-11-29,1.3736,1.3736,1.3568,1.366,1.3736,1.3736,1.3568,1.366,0.0
1.366,1.366,1.366,1.366,1991-11-30,1.366,1.366,1.366,1.366,1.366,1.366,1.366,1.366,0.0
1.366,1.366,1.366,1.366,1991-12-01,1.366,1.366,1.366,1.366,1.366,1.366,1.366,1.366,0.0
1.3726,1.3812,1.3699,1.3751,1991-12-02,1.3726,1.3812,1.3699,1.3751,1.3726,1.3812,1.3699,1.3751,0.0
1.3751,1.38,1.3712,1.3783,1991-12-03,1.3751,1.38,1.3712,1.3783,1.3751,1.38,1.3712,1.3783,0.0
1.3789,1.3959,1.3734,1.3955,1991-12-04,1.3789,1.3959,1.3734,1.3955,1.3789,1.3959,1.3734,1.3955,0.0
1.3955,1.4064,1.3898,1.4049,1991-12-05,1.3955,1.4064,1.3898,1.4049,1.3955,1.4064,1.3898,1.4049,0.0
1.4051,1.4205,1.4015,1.4182,1991-12-06,1.4051,1.4205,1.4015,1.4182,1.4051,1.4205,1.4015,1.4182,0.0
1.4182,1.4182,1.4182,1.4182,1991-12-07,1.4182,1.4182,1.4182,1.4182,1.4182,1.4182,1.4182,1.4182,0.0
1.4182,1.4182,1.4182,1.4182,1991-12-08,1.4182,1.4182,1.4182,1.4182,1.4182,1.4182,1.4182,1.4182,0.0
1.4135,1.4168,1.4084,1.4154,1991-12-09,1.4135,1.4168,1.4084,1.4154,1.4135,1.4168,1.4084,1.4154,0.0
1.4213,1.4213,1.4023,1.4096,1991-12-10,1.4213,1.4213,1.4023,1.4096,1.4213,1.4213,1.4023,1.4096,0.0
1.407,1.4168,1.3961,1.4168,1991-12-11,1.407,1.4168,1.3961,1.4168,1.407,1.4168,1.3961,1.4168,0.0
1.4174,1.4221,1.4098,1.4098,1991-12-12,1.4174,1.4221,1.4098,1.4098,1.4174,1.4221,1.4098,1.4098,0.0
1.415,1.4193,1.4037,1.4062,1991-12-13,1.415,1.4193,1.4037,1.4062,1.415,1.4193,1.4037,1.4062,0.0
1.4062,1.4062,1.4062,1.4062,1991-12-14,1.4062,1.4062,1.4062,1.4062,1.4062,1.4062,1.4062,1.4062,0.0
1.4062,1.4062,1.4062,1.4062,1991-12-15,1.4062,1.4062,1.4062,1.4062,1.4062,1.4062,1.4062,1.4062,0.0
1.409,1.4205,1.4072,1.4201,1991-12-16,1.409,1.4205,1.4072,1.4201,1.409,1.4205,1.4072,1.4201,0.0
1.4172,1.4281,1.4166,1.427,1991-12-17,1.4172,1.4281,1.4166,1.427,1.4172,1.4281,1.4166,1.427,0.0
1.4258,1.4305,1.4236,1.4258,1991-12-18,1.4258,1.4305,1.4236,1.4258,1.4258,1.4305,1.4236,1.4258,0.0
1.4274,1.4526,1.4235,1.4518,1991-12-19,1.4274,1.4526,1.4235,1.4518,1.4274,1.4526,1.4235,1.4518,0.0
1.4514,1.4743,1.4508,1.4718,1991-12-20,1.4514,1.4743,1.4508,1.4718,1.4514,1.4743,1.4508,1.4718,0.0
1.4718,1.4718,1.4718,1.4718,1991-12-21,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,0.0
1.4718,1.4718,1.4718,1.4718,1991-12-22,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,0.0
1.4817,1.5038,1.4767,1.4952,1991-12-23,1.4817,1.5038,1.4767,1.4952,1.4817,1.5038,1.4767,1.4952,0.0
1.4972,1.4972,1.4872,1.4923,1991-12-24,1.4972,1.4972,1.4872,1.4923,1.4972,1.4972,1.4872,1.4923,0.0
1.4923,1.4923,1.4923,1.4923,1991-12-25,1.4923,1.4923,1.4923,1.4923,1.4923,1.4923,1.4923,1.4923,0.0
1.5056,1.5076,1.5013,1.5038,1991-12-26,1.5056,1.5076,1.5013,1.5038,1.5056,1.5076,1.5013,1.5038,0.0
1.5038,1.5097,1.4931,1.4931,1991-12-27,1.5038,1.5097,1.4931,1.4931,1.5038,1.5097,1.4931,1.4931,0.0
1.4931,1.4931,1.4931,1.4931,1991-12-28,1.4931,1.4931,1.4931,1.4931,1.4931,1.4931,1.4931,1.4931,0.0
1.4931,1.4931,1.4931,1.4931,1991-12-29,1.4931,1.4931,1.4931,1.4931,1.4931,1.4931,1.4931,1.4931,0.0
1.4851,1.4968,1.4851,1.4913,1991-12-30,1.4851,1.4968,1.4851,1.4913,1.4851,1.4968,1.4851,1.4913,0.0
1.4913,1.4913,1.4913,1.4913,1992-01-01,1.4913,1.4913,1.4913,1.4913,1.4913,1.4913,1.4913,1.4913,0.0
1.4858,1.4901,1.4684,1.47,1992-01-02,1.4858,1.4901,1.4684,1.47,1.4858,1.4901,1.4684,1.47,0.0
1.4694,1.4817,1.4479,1.4546,1992-01-03,1.4694,1.4817,1.4479,1.4546,1.4694,1.4817,1.4479,1.4546,0.0
1.4546,1.4546,1.4546,1.4546,1992-01-04,1.4546,1.4546,1.4546,1.4546,1.4546,1.4546,1.4546,1.4546,0.0
1.4546,1.4546,1.4546,1.4546,1992-01-05,1.4546,1.4546,1.4546,1.4546,1.4546,1.4546,1.4546,1.4546,0.0
1.4538,1.4761,1.4538,1.4731,1992-01-06,1.4538,1.4761,1.4538,1.4731,1.4538,1.4761,1.4538,1.4731,0.0
1.4714,1.4855,1.4657,1.4847,1992-01-07,1.4714,1.4855,1.4657,1.4847,1.4714,1.4855,1.4657,1.4847,0.0
1.4856,1.4866,1.4714,1.4792,1992-01-08,1.4856,1.4866,1.4714,1.4792,1.4856,1.4866,1.4714,1.4792,0.0
1.4794,1.4833,1.4309,1.4422,1992-01-09,1.4794,1.4833,1.4309,1.4422,1.4794,1.4833,1.4309,1.4422,0.0
1.4424,1.4546,1.4221,1.4246,1992-01-10,1.4424,1.4546,1.4221,1.4246,1.4424,1.4546,1.4221,1.4246,0.0
1.4246,1.4246,1.4246,1.4246,1992-01-11,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,0.0
1.4246,1.4246,1.4246,1.4246,1992-01-12,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,0.0
1.4246,1.4246,1.4246,1.4246,1992-01-13,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,1.4246,0.0
1.428,1.435,1.4088,1.4103,1992-01-14,1.428,1.435,1.4088,1.4103,1.428,1.435,1.4088,1.4103,0.0
1.4139,1.4148,1.383,1.3908,1992-01-15,1.4139,1.4148,1.383,1.3908,1.4139,1.4148,1.383,1.3908,0.0
1.391,1.4039,1.3855,1.398,1992-01-16,1.391,1.4039,1.3855,1.398,1.391,1.4039,1.3855,1.398,0.0
1.397,1.4172,1.3814,1.4164,1992-01-17,1.397,1.4172,1.3814,1.4164,1.397,1.4172,1.3814,1.4164,0.0
1.4164,1.4164,1.4164,1.4164,1992-01-18,1.4164,1.4164,1.4164,1.4164,1.4164,1.4164,1.4164,1.4164,0.0
1.4164,1.4164,1.4164,1.4164,1992-01-19,1.4164,1.4164,1.4164,1.4164,1.4164,1.4164,1.4164,1.4164,0.0
1.4178,1.4192,1.4053,1.417,1992-01-20,1.4178,1.4192,1.4053,1.417,1.4178,1.4192,1.4053,1.417,0.0
1.4168,1.427,1.4158,1.4209,1992-01-21,1.4168,1.427,1.4158,1.4209,1.4168,1.427,1.4158,1.4209,0.0
1.4207,1.427,1.4154,1.419,1992-01-22,1.4207,1.427,1.4154,1.419,1.4207,1.427,1.4154,1.419,0.0
1.4195,1.4211,1.4039,1.4092,1992-01-23,1.4195,1.4211,1.4039,1.4092,1.4195,1.4211,1.4039,1.4092,0.0
