bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
14.425,14.56,14.147,14.218,2017-11-02,14.43,14.57,14.162,14.232,14.4275,14.565,14.1545,14.225,0.0139999999999993
14.177,14.268,14.037,14.138,2017-11-03,14.253,14.282,14.052,14.152,14.215,14.275,14.0445,14.145,0.0139999999999993
14.138,14.138,14.138,14.138,2017-11-04,14.152,14.152,14.152,14.152,14.145,14.145,14.145,14.145,0.0139999999999993
14.138,14.138,14.138,14.138,2017-11-05,14.152,14.152,14.152,14.152,14.145,14.145,14.145,14.145,0.0139999999999993
14.317,14.638,14.128,14.627,2017-11-06,14.393,14.653,14.142,14.643,14.355,14.6455,14.135,14.635000000000002,0.016
14.428,14.558,14.357,14.538,2017-11-07,14.532,14.572,14.372,14.552,14.48,14.565,14.3645,14.545,0.0139999999999993
14.557,14.928,14.477,14.867,2017-11-08,14.613,14.943,14.492,14.883,14.585,14.9355,14.4845,14.875,0.0159999999999982
14.608,14.788,14.467,14.708,2017-11-09,14.682,14.803,14.482,14.722,14.645,14.7955,14.4745,14.715,0.0139999999999993
14.687,14.968,14.388,14.398,2017-11-10,14.773,14.982,14.402,14.412,14.73,14.975,14.395,14.405,0.0140000000000011
14.398,14.398,14.398,14.398,2017-11-11,14.412,14.412,14.412,14.412,14.405,14.405,14.405,14.405,0.0140000000000011
14.398,14.398,14.398,14.398,2017-11-12,14.412,14.412,14.412,14.412,14.405,14.405,14.405,14.405,0.0140000000000011
14.317,14.628,14.307,14.428,2017-11-13,14.353,14.643,14.323,14.442,14.335,14.6355,14.315,14.435,0.0139999999999993
14.258,14.278,13.567,13.798,2017-11-14,14.312,14.313,13.572,13.812,14.285,14.2955,13.5695,13.805,0.0139999999999993
13.597,13.778,13.218,13.628,2017-11-15,13.613,13.793,13.232,13.642,13.605,13.7855,13.225,13.635,0.0139999999999993
13.668,13.758,13.487,13.608,2017-11-16,13.722,13.903,13.502,13.622,13.695,13.8305,13.4945,13.615,0.0139999999999993
13.498,13.918,13.498,13.857,2017-11-17,13.582,13.933,13.522,13.873,13.54,13.9255,13.51,13.864999999999998,0.016
13.857,13.857,13.857,13.857,2017-11-18,13.873,13.873,13.873,13.873,13.864999999999998,13.864999999999998,13.864999999999998,13.864999999999998,0.016
13.857,13.857,13.857,13.857,2017-11-19,13.873,13.873,13.873,13.873,13.864999999999998,13.864999999999998,13.864999999999998,13.864999999999998,0.016
13.707,14.018,13.487,13.948,2017-11-20,13.793,14.032,13.732,13.962,13.75,14.025,13.6095,13.955,0.0139999999999993
14.057,14.278,14.057,14.147,2017-11-21,14.113,14.293,14.082,14.163,14.085,14.2855,14.0695,14.155,0.016
