bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
420.25,432.377,419.237,427.674,2011-01-04,421.097,434.034,420.949,427.925,420.6735,433.2055,420.093,427.7995,0.2510000000000332
428.969,432.299,427.085,430.492,2011-01-05,429.416,434.045,427.405,430.609,429.1925,433.172,427.245,430.5505,0.1169999999999618
429.188,432.588,427.498,428.284,2011-01-06,431.207,433.013,427.84,428.402,430.1975,432.8005,427.669,428.343,0.117999999999995
429.529,433.193,425.969,432.693,2011-01-07,430.34,433.417,426.458,432.918,429.9345,433.305,426.2135,432.8055,0.2250000000000227
432.693,432.693,432.693,432.693,2011-01-08,432.918,432.918,432.918,432.918,432.8055,432.8055,432.8055,432.8055,0.2250000000000227
432.693,432.693,432.693,432.693,2011-01-09,432.918,432.918,432.918,432.918,432.8055,432.8055,432.8055,432.8055,0.2250000000000227
431.177,432.998,424.981,428.696,2011-01-10,432.713,434.751,425.208,428.902,431.9450000000001,433.8745,425.0945,428.799,0.2059999999999604
430.482,437.397,427.186,430.994,2011-01-11,430.884,437.515,427.668,431.302,430.683,437.456,427.427,431.148,0.3079999999999927
430.943,435.991,428.399,433.271,2011-01-12,430.902,436.501,430.61,433.905,430.9225,436.246,429.5045,433.588,0.6339999999999577
433.428,438.468,432.748,434.483,2011-01-13,434.885,438.81,433.005,435.004,434.1565,438.639,432.8765,434.7435,0.521000000000015
433.269,437.58,432.469,434.699,2011-01-14,433.415,438.402,432.804,435.103,433.342,437.991,432.6365,434.901,0.4039999999999963
434.699,434.699,434.699,434.699,2011-01-15,435.103,435.103,435.103,435.103,434.901,434.901,434.901,434.901,0.4039999999999963
434.699,434.699,434.699,434.699,2011-01-16,435.103,435.103,435.103,435.103,434.901,434.901,434.901,434.901,0.4039999999999963
434.581,436.697,432.966,434.398,2011-01-17,438.086,438.386,433.203,434.613,436.3335,437.5415,433.0845,434.5055,0.214999999999975
435.561,439.686,434.168,436.699,2011-01-18,437.471,440.879,435.63,437.514,436.516,440.2825,434.899,437.1065,0.8149999999999977
438.687,441.956,433.987,436.297,2011-01-19,439.02,442.167,435.704,436.612,438.8535,442.0615,434.8455,436.45450000000005,0.3149999999999977
436.988,438.393,433.669,436.59,2011-01-20,436.721,440.027,434.05,437.025,436.8545,439.21,433.8595,436.8075,0.4350000000000023
436.563,438.991,432.073,436.984,2011-01-21,437.834,439.645,432.504,437.308,437.1985,439.318,432.2885,437.146,0.3240000000000123
436.984,436.984,436.984,436.984,2011-01-22,437.308,437.308,437.308,437.308,437.146,437.146,437.146,437.146,0.3240000000000123
