bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
3440.2,3492.0,3426.7,3491.8,2018-09-21,3442.3,3494.1,3428.7,3493.9,3441.25,3493.05,3427.7,3492.8500000000004,2.099999999999909
3491.8,3491.8,3491.8,3491.8,2018-09-22,3493.9,3493.9,3493.9,3493.9,3492.8500000000004,3492.8500000000004,3492.8500000000004,3492.8500000000004,2.099999999999909
3491.8,3491.8,3491.8,3491.8,2018-09-23,3493.9,3493.9,3493.9,3493.9,3492.8500000000004,3492.8500000000004,3492.8500000000004,3492.8500000000004,2.099999999999909
3493.7,3510.5,3401.8,3499.0,2018-09-24,3494.9,3511.3,3402.8,3500.1,3494.3,3510.9,3402.3,3499.55,1.099999999999909
3499.2,3518.5,3321.5,3450.0,2018-09-25,3500.8,3520.8,3322.3,3451.0,3500.0,3519.65,3321.9,3450.5,1.0
3454.8,3462.8,3391.8,3423.8,2018-09-26,3477.2,3477.2,3402.1,3429.2,3466.0,3470.0,3396.95,3426.5,5.399999999999636
3455.8,3473.9,3399.9,3407.4,2018-09-27,3478.2,3484.2,3408.2,3410.2,3467.0,3479.05,3404.05,3408.8,2.799999999999727
3453.8,3460.9,3411.8,3439.7,2018-09-28,3460.2,3468.2,3418.1,3442.3,3457.0,3464.55,3414.95,3441.0,2.600000000000364
3439.7,3439.7,3439.7,3439.7,2018-09-29,3442.3,3442.3,3442.3,3442.3,3441.0,3441.0,3441.0,3441.0,2.600000000000364
3439.7,3439.7,3439.7,3439.7,2018-09-30,3442.3,3442.3,3442.3,3442.3,3441.0,3441.0,3441.0,3441.0,2.600000000000364
3387.8,3460.9,3377.8,3433.9,2018-10-01,3396.2,3464.1,3385.2,3439.1,3392.0,3462.5,3381.5,3436.5,5.199999999999818
3456.8,3500.4,3451.8,3481.7,2018-10-02,3468.2,3509.2,3463.2,3482.5,3462.5,3504.8,3457.5,3482.1,0.8000000000001819
3428.9,3433.8,3336.8,3338.5,2018-10-03,3442.1,3442.1,3341.1,3348.1,3435.5,3437.95,3338.95,3343.3,9.599999999999907
3384.9,3392.7,3337.8,3342.8,2018-10-04,3395.2,3403.2,3339.4,3351.2,3390.05,3397.95,3338.6000000000004,3347.0,8.399999999999636
3309.9,3339.8,3307.8,3326.8,2018-10-05,3318.1,3345.2,3312.1,3332.2,3314.0,3342.5,3309.95,3329.5,5.399999999999636
3326.8,3326.8,3326.8,3326.8,2018-10-06,3332.2,3332.2,3332.2,3332.2,3329.5,3329.5,3329.5,3329.5,5.399999999999636
3326.8,3326.8,3326.8,3326.8,2018-10-07,3332.2,3332.2,3332.2,3332.2,3329.5,3329.5,3329.5,3329.5,5.399999999999636
3326.8,3326.8,3326.8,3326.8,2018-10-08,3332.2,3332.2,3332.2,3332.2,3329.5,3329.5,3329.5,3329.5,5.399999999999636
3243.9,3245.9,3210.8,3226.5,2018-10-09,3249.1,3250.2,3218.3,3227.1,3246.5,3248.05,3214.55,3226.8,0.599999999999909
3229.8,3240.9,3181.8,3199.9,2018-10-10,3236.2,3247.2,3194.1,3209.1,3233.0,3244.05,3187.95,3204.5,9.199999999999818
3099.9,3112.2,3064.8,3079.8,2018-10-11,3111.1,3124.1,3069.8,3094.2,3105.5,3118.15,3067.3,3087.0,14.399999999999636
3050.9,3089.6,3049.8,3089.4,2018-10-12,3061.1,3093.2,3057.1,3091.5,3056.0,3091.4,3053.45,3090.45,2.099999999999909
3089.4,3089.4,3089.4,3089.4,2018-10-13,3091.5,3091.5,3091.5,3091.5,3090.45,3090.45,3090.45,3090.45,2.099999999999909
3089.4,3089.4,3089.4,3089.4,2018-10-14,3091.5,3091.5,3091.5,3091.5,3090.45,3090.45,3090.45,3090.45,2.099999999999909
3051.8,3055.8,3003.8,3009.9,2018-10-15,3060.2,3066.2,3011.1,3014.3,3056.0,3061.0,3007.45,3012.1000000000004,4.400000000000091
3022.8,3066.8,3014.8,3062.9,2018-10-16,3029.1,3072.1,3023.1,3072.1,3025.95,3069.45,3018.95,3067.5,9.199999999999818
3078.8,3095.7,3066.8,3095.5,2018-10-17,3089.2,3099.2,3073.1,3096.3,3084.0,3097.45,3069.95,3095.9,0.8000000000001819
3093.9,3102.9,3076.8,3087.8,2018-10-18,3102.1,3107.2,3083.1,3093.2,3098.0,3105.05,3079.95,3090.5,5.399999999999636
3047.8,3062.9,3030.8,3060.8,2018-10-19,3059.2,3069.2,3035.2,3061.6,3053.5,3066.05,3033.0,3061.2,0.7999999999997272
3060.8,3060.8,3060.8,3060.8,2018-10-20,3061.6,3061.6,3061.6,3061.6,3061.2,3061.2,3061.2,3061.2,0.7999999999997272
