bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
1.89669,1.89698,1.87107,1.87762,2024-09-17,1.89811,1.89866,1.87414,1.88222,1.8974,1.89782,1.872605,1.87992,0.0045999999999999
1.88006,1.886,1.86561,1.87253,2024-09-18,1.88704,1.88743,1.87266,1.87783,1.88355,1.886715,1.869135,1.87518,0.0053
1.87359,1.88724,1.86791,1.88171,2024-09-19,1.88152,1.89074,1.87061,1.8864,1.877555,1.88899,1.86926,1.884055,0.00469
1.87376,1.88001,1.85482,1.86076,2024-09-20,1.88196,1.88263,1.86103,1.8704,1.87786,1.88132,1.857925,1.86558,0.00964
1.86076,1.86076,1.86076,1.86076,2024-09-21,1.8704,1.8704,1.8704,1.8704,1.86558,1.86558,1.86558,1.86558,0.00964
1.86076,1.86076,1.86076,1.86076,2024-09-22,1.8704,1.8704,1.8704,1.8704,1.86558,1.86558,1.86558,1.86558,0.00964
1.85897,1.87148,1.85653,1.86106,2024-09-23,1.86331,1.87273,1.85873,1.86743,1.86114,1.872105,1.85763,1.864245,0.0063699999999999
1.85304,1.87123,1.8513,1.86717,2024-09-24,1.85963,1.87663,1.85322,1.87052,1.856335,1.87393,1.85226,1.868845,0.0033499999999999
1.86036,1.88207,1.85797,1.8761,2024-09-25,1.86478,1.88491,1.86182,1.8835,1.86257,1.88349,1.859895,1.8798,0.0073999999999998
1.87084,1.90471,1.87051,1.88274,2024-09-26,1.87824,1.90771,1.87589,1.8868,1.87454,1.90621,1.8732,1.88477,0.0040599999999999
1.88698,1.8914,1.85977,1.86764,2024-09-27,1.89139,1.89399,1.8703,1.87348,1.889185,1.892695,1.865035,1.87056,0.00584
1.86764,1.86764,1.86764,1.86764,2024-09-28,1.87348,1.87348,1.87348,1.87348,1.87056,1.87056,1.87056,1.87056,0.00584
1.86764,1.86764,1.86764,1.86764,2024-09-29,1.87348,1.87348,1.87348,1.87348,1.87056,1.87056,1.87056,1.87056,0.00584
1.88463,1.89198,1.87384,1.87722,2024-09-30,1.89474,1.89507,1.8787,1.88368,1.889685,1.893525,1.87627,1.88045,0.0064599999999999
