bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
120.0,121.748,119.449,121.199,2011-01-03,120.151,121.801,119.751,121.301,120.0755,121.7745,119.6,121.25,0.1020000000000038
121.848,121.85,119.399,119.449,2011-01-04,122.055,122.057,119.45,119.551,121.9515,121.9535,119.4245,119.5,0.1020000000000038
119.248,119.596,117.65,118.649,2011-01-05,119.401,119.851,117.751,118.7,119.3245,119.7235,117.7005,118.6745,0.0510000000000019
118.542,119.799,117.549,117.849,2011-01-06,119.202,119.901,117.6,118.0,118.872,119.85,117.5745,117.9245,0.1509999999999962
117.898,118.65,116.049,116.35,2011-01-07,118.453,118.753,116.1,116.4,118.1755,118.7015,116.0745,116.375,0.0500000000000113
116.35,116.35,116.35,116.35,2011-01-08,116.4,116.4,116.4,116.4,116.375,116.375,116.375,116.375,0.0500000000000113
116.35,116.35,116.35,116.35,2011-01-09,116.4,116.4,116.4,116.4,116.375,116.375,116.375,116.375,0.0500000000000113
115.849,115.899,114.448,115.099,2011-01-10,115.952,116.002,114.55,115.151,115.9005,115.9505,114.499,115.125,0.0519999999999925
115.35,119.45,114.447,119.3,2011-01-11,115.4,119.55,114.701,119.35,115.375,119.5,114.574,119.325,0.0499999999999971
119.398,122.299,118.849,119.699,2011-01-12,119.702,122.401,118.951,119.75,119.55,122.35,118.9,119.7245,0.0510000000000019
119.9,120.2,118.599,118.85,2011-01-13,120.001,120.504,118.65,118.901,119.9505,120.352,118.6245,118.8755,0.0510000000000019
118.95,120.399,118.449,118.649,2011-01-14,119.05,120.451,118.55,118.75,119.0,120.425,118.4995,118.6995,0.100999999999999
118.649,118.649,118.649,118.649,2011-01-15,118.75,118.75,118.75,118.75,118.6995,118.6995,118.6995,118.6995,0.100999999999999
118.649,118.649,118.649,118.649,2011-01-16,118.75,118.75,118.75,118.75,118.6995,118.6995,118.6995,118.6995,0.100999999999999
118.748,119.246,115.349,117.05,2011-01-17,119.102,119.602,115.501,117.1,118.925,119.424,115.425,117.075,0.0499999999999971
117.546,119.0,116.996,118.049,2011-01-18,117.95,119.051,117.101,118.1,117.748,119.0255,117.0485,118.0745,0.0509999999999877
117.395,117.95,114.598,115.199,2011-01-19,117.902,118.008,114.65,115.301,117.6485,117.979,114.624,115.25,0.1020000000000038
115.499,115.499,112.199,113.949,2011-01-20,115.503,115.603,112.301,114.1,115.501,115.551,112.25,114.0245,0.1509999999999962
114.099,115.399,112.998,114.599,2011-01-21,114.353,115.45,113.101,114.702,114.226,115.4245,113.0495,114.6505,0.1029999999999944
114.599,114.599,114.599,114.599,2011-01-22,114.702,114.702,114.702,114.702,114.6505,114.6505,114.6505,114.6505,0.1029999999999944
114.599,114.599,114.599,114.599,2011-01-23,114.702,114.702,114.702,114.702,114.6505,114.6505,114.6505,114.6505,0.1029999999999944
114.396,114.949,113.2,113.6,2011-01-24,114.653,115.004,113.3,113.65,114.5245,114.9765,113.25,113.625,0.0500000000000113
113.747,115.45,113.399,114.649,2011-01-25,113.851,115.501,113.551,114.751,113.799,115.4755,113.475,114.7,0.1020000000000038
114.85,117.5,114.298,117.3,2011-01-26,115.0,117.551,114.452,117.351,114.925,117.5255,114.375,117.3255,0.0510000000000019
117.399,117.95,114.949,114.949,2011-01-27,117.704,118.001,115.0,115.001,117.5515,117.9755,114.9745,114.975,0.0520000000000067
115.098,115.45,113.3,113.449,2011-01-28,115.4,115.601,113.35,113.55,115.249,115.5255,113.325,113.4995,0.100999999999999
113.449,113.449,113.449,113.449,2011-01-29,113.55,113.55,113.55,113.55,113.4995,113.4995,113.4995,113.4995,0.100999999999999
113.449,113.449,113.449,113.449,2011-01-30,113.55,113.55,113.55,113.55,113.4995,113.4995,113.4995,113.4995,0.100999999999999
113.145,116.948,112.649,116.6,2011-01-31,113.501,117.002,112.75,116.75,113.323,116.975,112.6995,116.675,0.1500000000000056
117.247,117.65,115.299,116.849,2011-02-01,117.253,117.7,115.35,116.901,117.25,117.675,115.3245,116.875,0.0519999999999925
116.85,117.15,115.049,116.15,2011-02-02,117.001,117.303,115.1,116.201,116.9255,117.2265,115.0745,116.1755,0.0509999999999877
115.996,116.299,114.049,115.8,2011-02-03,116.456,116.456,114.1,115.901,116.226,116.3775,114.0745,115.8505,0.100999999999999
116.449,116.5,113.399,113.599,2011-02-04,116.653,116.703,113.5,113.701,116.551,116.6015,113.4495,113.65,0.1019999999999896
113.599,113.599,113.599,113.599,2011-02-05,113.701,113.701,113.701,113.701,113.65,113.65,113.65,113.65,0.1019999999999896
113.599,113.599,113.599,113.599,2011-02-06,113.701,113.701,113.701,113.701,113.65,113.65,113.65,113.65,0.1019999999999896
114.099,115.25,114.048,114.8,2011-02-07,114.201,115.301,114.101,114.85,114.15,115.2755,114.0745,114.825,0.0499999999999971
115.15,116.45,115.046,116.149,2011-02-08,115.403,116.501,115.151,116.251,115.2765,116.4755,115.0985,116.2,0.1020000000000038
116.399,117.899,116.249,116.849,2011-02-09,116.501,117.95,116.45,116.951,116.45,117.9245,116.3495,116.9,0.1019999999999896
116.8,118.049,116.298,117.95,2011-02-10,116.951,118.101,116.35,118.101,116.8755,118.075,116.324,118.0255,0.1509999999999962
117.999,118.25,115.749,117.9,2011-02-11,118.151,118.408,115.8,118.052,118.075,118.329,115.7745,117.976,0.152000000000001
117.9,117.9,117.9,117.9,2011-02-12,118.052,118.052,118.052,118.052,117.976,117.976,117.976,117.976,0.152000000000001
117.9,117.9,117.9,117.9,2011-02-13,118.052,118.052,118.052,118.052,117.976,117.976,117.976,117.976,0.152000000000001
117.4,117.75,116.648,116.85,2011-02-14,117.45,117.851,116.7,117.103,117.425,117.8005,116.674,116.9765,0.2530000000000001
117.098,117.499,115.349,115.6,2011-02-15,117.3,117.802,115.4,115.7,117.199,117.6505,115.3745,115.65,0.1000000000000085
116.049,116.049,112.85,113.599,2011-02-16,116.1,116.201,113.0,113.65,116.0745,116.125,112.925,113.6245,0.0510000000000019
115.7,116.85,115.2,115.799,2011-02-17,115.8,116.901,115.25,115.851,115.75,116.8755,115.225,115.825,0.0519999999999925
116.748,116.8,114.549,115.4,2011-02-18,116.701,116.912,114.65,115.45,116.7245,116.856,114.5995,115.425,0.0499999999999971
115.4,115.4,115.4,115.4,2011-02-19,115.45,115.45,115.45,115.45,115.425,115.425,115.425,115.425,0.0499999999999971
115.4,115.4,115.4,115.4,2011-02-20,115.45,115.45,115.45,115.45,115.425,115.425,115.425,115.425,0.0499999999999971
115.35,115.9,113.85,113.999,2011-02-21,115.502,116.0,114.0,114.25,115.426,115.95,113.925,114.1245,0.2510000000000048
113.649,114.149,112.498,113.95,2011-02-22,113.751,114.201,112.55,114.0,113.7,114.175,112.524,113.975,0.0499999999999971
113.698,113.7,111.798,111.949,2011-02-23,113.85,114.004,111.85,112.051,113.774,113.852,111.824,112.0,0.1020000000000038
110.999,111.449,109.798,110.55,2011-02-24,111.102,111.502,109.901,110.7,111.0505,111.4755,109.8495,110.625,0.1500000000000056
110.899,111.45,109.998,110.95,2011-02-25,111.001,111.501,110.101,111.001,110.95,111.4755,110.0495,110.9755,0.0510000000000019
110.95,110.95,110.95,110.95,2011-02-26,111.001,111.001,111.001,111.001,110.9755,110.9755,110.9755,110.9755,0.0510000000000019
110.95,110.95,110.95,110.95,2011-02-27,111.001,111.001,111.001,111.001,110.9755,110.9755,110.9755,110.9755,0.0510000000000019
110.699,111.199,109.999,110.05,2011-02-28,110.801,111.351,110.05,110.151,110.75,111.275,110.0245,110.1005,0.100999999999999
110.046,113.35,110.046,110.899,2011-03-01,110.454,113.451,110.2,111.001,110.25,113.4005,110.123,110.95,0.1020000000000038
110.598,111.15,110.049,110.299,2011-03-02,110.801,111.201,110.1,110.4,110.6995,111.1755,110.0745,110.3495,0.100999999999999
110.45,111.4,109.849,109.85,2011-03-03,110.651,111.451,109.95,109.95,110.5505,111.4255,109.8995,109.9,0.1000000000000085
110.147,111.8,109.599,110.0,2011-03-04,110.35,111.851,109.7,110.1,110.2485,111.8255,109.6495,110.05,0.0999999999999943
110.0,110.0,110.0,110.0,2011-03-05,110.1,110.1,110.1,110.1,110.05,110.05,110.05,110.05,0.0999999999999943
110.0,110.0,110.0,110.0,2011-03-06,110.1,110.1,110.1,110.1,110.05,110.05,110.05,110.05,0.0999999999999943
109.95,111.55,109.448,110.649,2011-03-07,110.001,111.65,109.6,110.801,109.9755,111.6,109.524,110.725,0.152000000000001
110.9,110.9,108.299,109.05,2011-03-08,111.15,111.202,108.35,109.152,111.025,111.051,108.3245,109.101,0.1020000000000038
109.35,110.75,108.747,108.899,2011-03-09,109.554,110.801,108.902,109.001,109.452,110.7755,108.8245,108.95,0.1020000000000038
108.498,109.05,107.749,108.398,2011-03-10,108.652,109.102,107.85,108.551,108.575,109.076,107.7995,108.4745,0.1530000000000058
107.349,108.8,107.297,108.25,2011-03-11,107.753,108.851,107.4,108.3,107.551,108.8255,107.3485,108.275,0.0499999999999971
108.25,108.25,108.25,108.25,2011-03-12,108.3,108.3,108.3,108.3,108.275,108.275,108.275,108.275,0.0499999999999971
108.25,108.25,108.25,108.25,2011-03-13,108.3,108.3,108.3,108.3,108.275,108.275,108.275,108.275,0.0499999999999971
107.445,107.948,105.6,105.75,2011-03-14,107.907,108.15,105.7,105.801,107.676,108.049,105.65,105.7755,0.0510000000000019
102.997,103.247,98.498,100.5,2011-03-15,103.505,104.005,98.62,100.551,103.251,103.626,98.559,100.5255,0.0510000000000019
100.65,101.95,99.32,99.699,2011-03-16,100.801,102.001,99.36,99.942,100.7255,101.9755,99.34,99.8205,0.242999999999995
99.872,100.95,99.46,100.049,2011-03-17,100.451,101.001,99.611,100.151,100.1615,100.9755,99.5355,100.1,0.1019999999999896
100.249,101.899,100.096,101.399,2011-03-18,100.35,101.951,100.201,101.451,100.2995,101.925,100.1485,101.425,0.0519999999999925
