bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
3459.2,3524.3,3449.0,3511.9,2018-09-21,3461.2,3526.3,3450.8,3514.1,3460.2,3525.3,3449.9,3513.0,2.199999999999818
3511.9,3511.9,3511.9,3511.9,2018-09-22,3514.1,3514.1,3514.1,3514.1,3513.0,3513.0,3513.0,3513.0,2.199999999999818
3511.9,3511.9,3511.9,3511.9,2018-09-23,3514.1,3514.1,3514.1,3514.1,3513.0,3513.0,3513.0,3513.0,2.199999999999818
2980.0,3508.1,2949.9,3470.8,2018-09-24,2980.5,3509.1,2950.5,3471.8,2980.25,3508.6,2950.2,3471.3,1.0
3479.6,3484.2,3179.5,3436.9,2018-09-25,3482.7,3485.1,3180.5,3438.1,3481.15,3484.65,3180.0,3437.5,1.199999999999818
3444.7,3444.8,3361.8,3403.8,2018-09-26,3452.2,3453.1,3370.1,3409.2,3448.45,3448.95,3365.95,3406.5,5.399999999999636
3398.8,3442.9,3381.9,3391.8,2018-09-27,3416.2,3446.2,3392.7,3400.2,3407.5,3444.55,3387.3,3396.0,8.399999999999636
3466.8,3487.9,3420.8,3459.8,2018-09-28,3474.2,3492.1,3426.1,3461.2,3470.5,3490.0,3423.45,3460.5,1.3999999999996362
3459.8,3459.8,3459.8,3459.8,2018-09-29,3461.2,3461.2,3461.2,3461.2,3460.5,3460.5,3460.5,3460.5,1.3999999999996362
3459.8,3459.8,3459.8,3459.8,2018-09-30,3461.2,3461.2,3461.2,3461.2,3460.5,3460.5,3460.5,3460.5,1.3999999999996362
3443.8,3464.9,3406.8,3422.9,2018-10-01,3451.3,3472.2,3412.1,3424.2,3447.55,3468.55,3409.45,3423.55,1.2999999999997272
3443.8,3459.8,3361.8,3378.4,2018-10-02,3458.2,3475.2,3366.3,3380.1,3451.0,3467.5,3364.05,3379.25,1.699999999999818
3390.8,3451.9,3381.8,3388.9,2018-10-03,3418.2,3462.2,3388.7,3391.1,3404.5,3457.05,3385.25,3390.0,2.199999999999818
3498.8,3510.9,3416.8,3443.9,2018-10-04,3500.2,3512.3,3422.2,3454.1,3499.5,3511.6000000000004,3419.5,3449.0,10.199999999999818
3369.8,3434.7,3355.8,3401.8,2018-10-05,3386.2,3446.2,3365.3,3407.2,3378.0,3440.45,3360.55,3404.5,5.399999999999636
3401.8,3401.8,3401.8,3401.8,2018-10-06,3407.2,3407.2,3407.2,3407.2,3404.5,3404.5,3404.5,3404.5,5.399999999999636
