bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
50.3,51.06,50.17,50.98,2017-05-11,50.59,51.08,50.22,50.99,50.445,51.07,50.195,50.985,0.0100000000000051
50.71,50.89,50.28,50.38,2017-05-12,50.94,50.95,50.3,50.39,50.825,50.92,50.29,50.385000000000005,0.009999999999998
50.38,50.38,50.38,50.38,2017-05-13,50.39,50.39,50.39,50.39,50.385000000000005,50.385000000000005,50.385000000000005,50.385000000000005,0.009999999999998
50.38,50.38,50.38,50.38,2017-05-14,50.39,50.39,50.39,50.39,50.385000000000005,50.385000000000005,50.385000000000005,50.385000000000005,0.009999999999998
50.51,51.22,50.4,51.03,2017-05-15,50.66,51.25,50.53,51.05,50.585,51.235,50.465,51.04,0.019999999999996
51.1,51.43,50.64,51.42,2017-05-16,51.2,51.44,50.82,51.43,51.150000000000006,51.435,50.73,51.425,0.009999999999998
50.94,51.29,50.15,50.23,2017-05-17,51.12,51.34,50.17,50.24,51.03,51.315,50.16,50.235,0.0100000000000051
50.0,51.49,49.9,51.07,2017-05-18,50.16,51.5,49.97,51.09,50.08,51.495000000000005,49.935,51.08,0.0200000000000031
51.08,52.31,51.04,52.14,2017-05-19,51.24,52.33,51.14,52.15,51.16,52.32,51.09,52.145,0.009999999999998
52.14,52.14,52.14,52.14,2017-05-20,52.15,52.15,52.15,52.15,52.145,52.145,52.145,52.145,0.009999999999998
52.14,52.14,52.14,52.14,2017-05-21,52.15,52.15,52.15,52.15,52.145,52.145,52.145,52.145,0.009999999999998
52.16,52.7,52.09,52.44,2017-05-22,52.35,52.72,52.19,52.45,52.255,52.71,52.14,52.445,0.0100000000000051
52.82,53.24,51.51,51.63,2017-05-23,52.9,53.4,51.52,51.64,52.86,53.32,51.515,51.635000000000005,0.009999999999998
51.21,52.04,51.04,51.938,2017-05-24,51.39,52.05,51.1,52.012,51.3,52.045,51.07,51.975,0.073999999999998
51.836,52.39,51.47,51.68,2017-05-25,52.434,52.44,51.48,51.761,52.135,52.415,51.475,51.7205,0.081000000000003
51.337,51.67,51.337,51.46,2017-05-26,51.702,51.84,51.37,51.531,51.5195,51.755,51.3535,51.4955,0.0709999999999979
51.46,51.46,51.46,51.46,2017-05-27,51.531,51.531,51.531,51.531,51.4955,51.4955,51.4955,51.4955,0.0709999999999979
51.46,51.46,51.46,51.46,2017-05-28,51.531,51.531,51.531,51.531,51.4955,51.4955,51.4955,51.4955,0.0709999999999979
51.46,51.46,51.46,51.46,2017-05-29,51.531,51.531,51.531,51.531,51.4955,51.4955,51.4955,51.4955,0.0709999999999979
51.408,51.62,50.93,51.459,2017-05-30,51.802,51.802,50.97,51.522,51.605,51.711,50.95,51.4905,0.0629999999999952
