bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
825.89,827.29,821.84,821.84,2020-03-03,825.91,827.31,821.86,821.86,825.9,827.3,821.85,821.85,0.0199999999999818
840.09,840.19,823.39,823.39,2020-03-04,840.11,840.21,823.41,823.41,840.1,840.2,823.4,823.4,0.0199999999999818
827.79,827.79,817.99,817.99,2020-03-05,827.81,827.81,818.01,818.01,827.8,827.8,818.0,818.0,0.0199999999999818
785.09,787.84,782.69,787.84,2020-03-06,785.11,787.86,782.71,787.86,785.1,787.85,782.7,787.85,0.0199999999999818
787.84,787.84,787.84,787.84,2020-03-07,787.86,787.86,787.86,787.86,787.85,787.85,787.85,787.85,0.0199999999999818
787.84,787.84,787.84,787.84,2020-03-08,787.86,787.86,787.86,787.86,787.85,787.85,787.85,787.85,0.0199999999999818
745.74,745.74,745.74,745.74,2020-03-09,745.76,745.76,745.76,745.76,745.75,745.75,745.75,745.75,0.0199999999999818
746.24,746.24,746.24,746.24,2020-03-10,746.26,746.26,746.26,746.26,746.25,746.25,746.25,746.25,0.0199999999999818
744.19,744.19,742.59,742.59,2020-03-11,744.21,744.21,742.61,742.61,744.2,744.2,742.6,742.6,0.0199999999999818
719.09,719.09,719.09,719.09,2020-03-12,719.11,719.11,719.11,719.11,719.1,719.1,719.1,719.1,0.0199999999999818
709.99,709.99,691.84,691.84,2020-03-13,710.01,710.01,691.86,691.86,710.0,710.0,691.85,691.85,0.0199999999999818
691.84,691.84,691.84,691.84,2020-03-14,691.86,691.86,691.86,691.86,691.85,691.85,691.85,691.85,0.0199999999999818
691.84,691.84,691.84,691.84,2020-03-15,691.86,691.86,691.86,691.86,691.85,691.85,691.85,691.85,0.0199999999999818
668.89,674.89,668.39,672.49,2020-03-16,668.91,674.91,668.41,672.51,668.9,674.9,668.4,672.5,0.0199999999999818
670.49,670.49,670.49,670.49,2020-03-17,670.51,670.51,670.51,670.51,670.5,670.5,670.5,670.5,0.0199999999999818
694.49,694.49,694.49,694.49,2020-03-18,694.51,694.51,694.51,694.51,694.5,694.5,694.5,694.5,0.0199999999999818
685.29,685.29,685.29,685.29,2020-03-19,685.31,685.31,685.31,685.31,685.3,685.3,685.3,685.3,0.0199999999999818
685.29,685.29,685.29,685.29,2020-03-20,685.31,685.31,685.31,685.31,685.3,685.3,685.3,685.3,0.0199999999999818
685.29,685.29,685.29,685.29,2020-03-21,685.31,685.31,685.31,685.31,685.3,685.3,685.3,685.3,0.0199999999999818
685.29,685.29,685.29,685.29,2020-03-22,685.31,685.31,685.31,685.31,685.3,685.3,685.3,685.3,0.0199999999999818
657.59,657.59,653.24,653.24,2020-03-23,657.61,657.61,653.26,653.26,657.6,657.6,653.25,653.25,0.0199999999999818
688.94,688.94,688.94,688.94,2020-03-24,688.96,688.96,688.96,688.96,688.95,688.95,688.95,688.95,0.0199999999999818
688.94,688.94,688.94,688.94,2020-03-25,688.96,688.96,688.96,688.96,688.95,688.95,688.95,688.95,0.0199999999999818
716.99,716.99,716.99,716.99,2020-03-26,717.01,717.01,717.01,717.01,717.0,717.0,717.0,717.0,0.0199999999999818
700.99,700.99,687.49,687.49,2020-03-27,701.01,701.01,687.51,687.51,701.0,701.0,687.5,687.5,0.0199999999999818
687.49,687.49,687.49,687.49,2020-03-28,687.51,687.51,687.51,687.51,687.5,687.5,687.5,687.5,0.0199999999999818
687.49,687.49,687.49,687.49,2020-03-29,687.51,687.51,687.51,687.51,687.5,687.5,687.5,687.5,0.0199999999999818
702.29,705.09,692.39,692.39,2020-03-30,702.31,705.11,692.41,692.41,702.3,705.1,692.4,692.4,0.0199999999999818
708.09,708.09,704.24,704.24,2020-03-31,708.11,708.11,704.26,704.26,708.1,708.1,704.25,704.25,0.0199999999999818
687.39,687.39,675.99,675.99,2020-04-01,687.41,687.41,676.01,676.01,687.4,687.4,676.0,676.0,0.0199999999999818
675.99,675.99,675.99,675.99,2020-04-02,676.01,676.01,676.01,676.01,676.0,676.0,676.0,676.0,0.0199999999999818
659.29,675.29,659.29,675.29,2020-04-03,659.31,675.31,659.31,675.31,659.3,675.3,659.3,675.3,0.0199999999999818
675.29,675.29,675.29,675.29,2020-04-04,675.31,675.31,675.31,675.31,675.3,675.3,675.3,675.3,0.0199999999999818
675.29,675.29,675.29,675.29,2020-04-05,675.31,675.31,675.31,675.31,675.3,675.3,675.3,675.3,0.0199999999999818
708.49,708.49,708.39,708.39,2020-04-06,708.51,708.51,708.41,708.41,708.5,708.5,708.4,708.4,0.0199999999999818
738.39,738.39,732.49,736.34,2020-04-07,738.41,738.41,732.51,736.36,738.4,738.4,732.5,736.35,0.0199999999999818
727.94,727.94,727.94,727.94,2020-04-08,727.96,727.96,727.96,727.96,727.95,727.95,727.95,727.95,0.0199999999999818
727.94,727.94,727.94,727.94,2020-04-09,727.96,727.96,727.96,727.96,727.95,727.95,727.95,727.95,0.0199999999999818
727.94,727.94,727.94,727.94,2020-04-10,727.96,727.96,727.96,727.96,727.95,727.95,727.95,727.95,0.0199999999999818
727.94,727.94,727.94,727.94,2020-04-11,727.96,727.96,727.96,727.96,727.95,727.95,727.95,727.95,0.0199999999999818
727.94,727.94,727.94,727.94,2020-04-12,727.96,727.96,727.96,727.96,727.95,727.95,727.95,727.95,0.0199999999999818
