bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
190.736,192.447,185.616,188.386,2022-06-15,191.394,193.524,186.324,189.374,191.065,192.9855,185.97000000000003,188.88,0.9879999999999995
172.966,184.146,172.966,182.576,2022-06-16,188.674,191.074,181.103,183.214,180.82,187.61,177.0345,182.895,0.6380000000000052
185.207,187.407,181.606,184.516,2022-06-17,185.893,188.184,182.493,185.694,185.55,187.7955,182.0495,185.105,1.1779999999999973
184.516,184.516,184.516,184.516,2022-06-18,185.694,185.694,185.694,185.694,185.105,185.105,185.105,185.105,1.1779999999999973
184.516,184.516,184.516,184.516,2022-06-19,185.694,185.694,185.694,185.694,185.105,185.105,185.105,185.105,1.1779999999999973
184.516,184.516,184.516,184.516,2022-06-20,185.694,185.694,185.694,185.694,185.105,185.105,185.105,185.105,1.1779999999999973
180.997,192.057,180.997,190.856,2022-06-21,196.003,196.003,188.274,192.344,188.5,194.03,184.6355,191.6,1.4879999999999995
176.127,191.267,176.127,187.117,2022-06-22,192.043,195.004,187.383,187.923,184.085,193.1355,181.755,187.52,0.8060000000000116
183.936,187.767,174.017,177.286,2022-06-23,196.664,196.664,174.573,178.604,190.3,192.2155,174.29500000000002,177.945,1.318000000000012
177.746,190.767,176.596,187.957,2022-06-24,181.914,195.004,180.373,189.433,179.82999999999998,192.8855,178.4845,188.695,1.475999999999999
187.957,187.957,187.957,187.957,2022-06-25,189.433,189.433,189.433,189.433,188.695,188.695,188.695,188.695,1.475999999999999
187.957,187.957,187.957,187.957,2022-06-26,189.433,189.433,189.433,189.433,188.695,188.695,188.695,188.695,1.475999999999999
185.716,191.967,185.716,191.016,2022-06-27,192.874,196.954,186.943,192.604,189.295,194.4605,186.3295,191.81,1.5880000000000225
187.176,195.957,187.176,191.067,2022-06-28,195.754,202.404,190.073,192.103,191.465,199.1805,188.6245,191.585,1.0360000000000014
176.827,189.876,176.827,186.247,2022-06-29,191.493,192.804,184.943,187.193,184.16,191.34,180.885,186.72000000000003,0.945999999999998
173.746,185.566,173.746,183.656,2022-06-30,190.514,192.333,177.543,184.734,182.13,188.9495,175.6445,184.195,1.078000000000003
177.027,184.667,170.016,181.036,2022-07-01,184.013,185.994,176.533,181.134,180.52,185.3305,173.2745,181.085,0.0979999999999847
181.036,181.036,181.036,181.036,2022-07-02,181.134,181.134,181.134,181.134,181.085,181.085,181.085,181.085,0.0979999999999847
181.036,181.036,181.036,181.036,2022-07-03,181.134,181.134,181.134,181.134,181.085,181.085,181.085,181.085,0.0979999999999847
181.036,181.036,181.036,181.036,2022-07-04,181.134,181.134,181.134,181.134,181.085,181.085,181.085,181.085,0.0979999999999847
167.097,185.416,166.377,185.046,2022-07-05,185.823,186.014,173.723,185.544,176.46,185.715,170.05,185.295,0.4980000000000188
166.657,184.906,166.657,175.897,2022-07-06,185.623,192.994,173.864,177.163,176.14,188.95,170.2605,176.53,1.2660000000000196
175.737,182.167,167.777,180.657,2022-07-07,185.773,187.554,179.913,181.393,180.755,184.8605,173.845,181.025,0.73599999999999
169.086,183.997,169.086,181.497,2022-07-08,188.874,188.874,179.334,182.313,178.98000000000002,186.4355,174.21,181.905,0.8159999999999741
181.497,181.497,181.497,181.497,2022-07-09,182.313,182.313,182.313,182.313,181.905,181.905,181.905,181.905,0.8159999999999741
181.497,181.497,181.497,181.497,2022-07-10,182.313,182.313,182.313,182.313,181.905,181.905,181.905,181.905,0.8159999999999741
177.657,179.567,175.166,175.896,2022-07-11,189.903,189.903,175.934,177.104,183.78,184.735,175.55,176.5,1.2080000000000268
165.377,181.147,162.216,177.087,2022-07-12,183.163,183.163,175.893,178.343,174.27,182.155,169.05450000000002,177.71499999999995,1.2560000000000002
170.897,177.907,168.146,176.426,2022-07-13,186.593,186.594,174.303,177.914,178.745,182.2505,171.22449999999998,177.17,1.4879999999999995
172.446,173.737,169.036,171.926,2022-07-14,186.574,186.574,169.933,173.274,179.51,180.1555,169.4845,172.6,1.3480000000000132
164.667,179.697,164.667,178.736,2022-07-15,184.403,184.403,173.833,179.324,174.535,182.05,169.25,179.03,0.5880000000000223
178.736,178.736,178.736,178.736,2022-07-16,179.324,179.324,179.324,179.324,179.03,179.03,179.03,179.03,0.5880000000000223
178.736,178.736,178.736,178.736,2022-07-17,179.324,179.324,179.324,179.324,179.03,179.03,179.03,179.03,0.5880000000000223
174.017,184.647,173.826,178.726,2022-07-18,190.253,190.253,178.053,179.614,182.135,187.45,175.9395,179.17000000000002,0.8880000000000052
170.967,187.877,170.966,186.407,2022-07-19,183.883,188.194,181.813,187.653,177.425,188.0355,176.3895,187.03,1.245999999999981
183.987,193.557,183.986,191.517,2022-07-20,198.413,198.413,185.614,193.023,191.2,195.985,184.8,192.27,1.5060000000000002
185.996,194.177,180.826,194.007,2022-07-21,198.494,198.494,190.714,194.793,192.245,196.3355,185.77,194.4,0.7860000000000014
180.496,196.387,180.496,192.217,2022-07-22,199.944,199.944,190.523,192.983,190.22,198.1655,185.5095,192.6,0.7659999999999911
192.217,192.217,192.217,192.217,2022-07-23,192.983,192.983,192.983,192.983,192.6,192.6,192.6,192.6,0.7659999999999911
192.217,192.217,192.217,192.217,2022-07-24,192.983,192.983,192.983,192.983,192.6,192.6,192.6,192.6,0.7659999999999911
180.496,195.897,180.496,195.087,2022-07-25,195.254,200.854,191.553,196.443,187.875,198.3755,186.0245,195.765,1.356000000000023
175.237,196.267,175.237,193.416,2022-07-26,193.683,201.463,192.743,194.444,184.46,198.865,183.99,193.93,1.0279999999999916
188.966,198.767,185.247,196.957,2022-07-27,202.714,202.714,194.883,197.863,195.84,200.7405,190.065,197.41,0.906000000000006
188.916,203.847,188.916,202.817,2022-07-28,203.714,208.604,194.633,204.353,196.315,206.2255,191.7745,203.585,1.5360000000000014
193.536,210.856,193.536,209.306,2022-07-29,213.204,213.204,204.123,210.704,203.37,212.03,198.8295,210.005,1.397999999999996
209.306,209.306,209.306,209.306,2022-07-30,210.704,210.704,210.704,210.704,210.005,210.005,210.005,210.005,1.397999999999996
209.306,209.306,209.306,209.306,2022-07-31,210.704,210.704,210.704,210.704,210.005,210.005,210.005,210.005,1.397999999999996
200.717,209.087,198.726,206.307,2022-08-01,218.093,218.094,205.584,207.883,209.405,213.5905,202.155,207.095,1.5760000000000218
205.017,212.367,202.856,211.077,2022-08-02,210.443,212.934,204.023,211.413,207.73,212.6505,203.4395,211.245,0.3360000000000127
