bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
26.741,26.888,26.72,26.781,2020-09-22,26.749,26.904,26.739,26.802,26.745,26.896,26.7295,26.7915,0.0210000000000007
26.779,26.906,26.663,26.889,2020-09-23,26.8,26.919,26.704,26.899,26.7895,26.9125,26.6835,26.894,0.0100000000000015
26.798,26.89,26.705,26.89,2020-09-24,26.806,26.909,26.717,26.909,26.802,26.8995,26.711,26.8995,0.0189999999999983
26.848,26.89,26.735,26.75,2020-09-25,26.863,26.923,26.747,26.757,26.8555,26.9065,26.741,26.753500000000003,0.0070000000000014
26.75,26.75,26.75,26.75,2020-09-26,26.757,26.757,26.757,26.757,26.753500000000003,26.753500000000003,26.753500000000003,26.753500000000003,0.0070000000000014
26.75,26.75,26.75,26.75,2020-09-27,26.757,26.757,26.757,26.757,26.753500000000003,26.753500000000003,26.753500000000003,26.753500000000003,0.0070000000000014
26.631,27.078,26.629,26.747,2020-09-28,26.641,27.087,26.641,26.76,26.636,27.0825,26.635,26.753500000000003,0.0130000000000016
26.727,26.904,26.545,26.736,2020-09-29,26.739,26.914,26.566,26.749,26.733,26.909,26.5555,26.7425,0.0129999999999981
26.712,26.859,26.656,26.859,2020-09-30,26.722,26.875,26.677,26.875,26.717,26.867,26.6665,26.867,0.0159999999999982
26.836,26.962,26.703,26.755,2020-10-01,26.853,26.978,26.721,26.769,26.8445,26.97,26.712,26.762,0.0139999999999993
26.652,26.784,26.632,26.757,2020-10-02,26.663,26.795,26.643,26.767,26.6575,26.7895,26.637500000000003,26.762,0.009999999999998
26.757,26.757,26.757,26.757,2020-10-03,26.767,26.767,26.767,26.767,26.762,26.762,26.762,26.762,0.009999999999998
26.757,26.757,26.757,26.757,2020-10-04,26.767,26.767,26.767,26.767,26.762,26.762,26.762,26.762,0.009999999999998
26.653,26.866,26.645,26.825,2020-10-05,26.671,26.881,26.655,26.835,26.662,26.8735,26.65,26.83,0.0100000000000015
26.846,26.93,26.775,26.887,2020-10-06,26.862,26.948,26.816,26.903,26.854,26.939,26.7955,26.895,0.0159999999999982
26.737,26.971,26.686,26.95,2020-10-07,26.749,26.987,26.709,26.966,26.743,26.979,26.6975,26.958,0.0160000000000017
26.895,26.99,26.611,26.77,2020-10-08,26.908,27.006,26.649,26.787,26.9015,26.998,26.630000000000003,26.7785,0.0169999999999994
26.814,26.892,26.64,26.777,2020-10-09,26.826,26.911,26.684,26.788,26.82,26.9015,26.662,26.7825,0.0109999999999992
26.777,26.777,26.777,26.777,2020-10-10,26.788,26.788,26.788,26.788,26.7825,26.7825,26.7825,26.7825,0.0109999999999992
26.777,26.777,26.777,26.777,2020-10-11,26.788,26.788,26.788,26.788,26.7825,26.7825,26.7825,26.7825,0.0109999999999992
26.75,26.832,26.571,26.714,2020-10-12,26.768,26.847,26.593,26.732,26.759,26.8395,26.582,26.723,0.0180000000000006
26.69,26.728,26.572,26.659,2020-10-13,26.704,26.744,26.591,26.673,26.697000000000003,26.736,26.5815,26.666,0.0139999999999993
26.604,26.635,26.426,26.609,2020-10-14,26.616,26.647,26.439,26.623,26.61,26.641,26.4325,26.616,0.0139999999999993
26.409,26.453,26.243,26.337,2020-10-15,26.425,26.506,26.253,26.35,26.417,26.4795,26.248,26.3435,0.0130000000000016
26.368,26.413,26.229,26.229,2020-10-16,26.38,26.435,26.248,26.248,26.374,26.424,26.2385,26.2385,0.0190000000000019
26.229,26.229,26.229,26.229,2020-10-17,26.248,26.248,26.248,26.248,26.2385,26.2385,26.2385,26.2385,0.0190000000000019
26.229,26.229,26.229,26.229,2020-10-18,26.248,26.248,26.248,26.248,26.2385,26.2385,26.2385,26.2385,0.0190000000000019
26.357,26.483,26.185,26.216,2020-10-19,26.371,26.524,26.232,26.232,26.364,26.503500000000003,26.2085,26.224,0.0159999999999982
26.224,26.431,26.224,26.358,2020-10-20,26.285,26.447,26.24,26.368,26.2545,26.439,26.232,26.363,0.009999999999998
26.454,26.527,26.369,26.481,2020-10-21,26.467,26.543,26.383,26.495,26.4605,26.535,26.376,26.488,0.0139999999999993
26.423,26.579,26.352,26.471,2020-10-22,26.433,26.597,26.378,26.481,26.428,26.588,26.365,26.476,0.0100000000000015
26.447,26.716,26.406,26.497,2020-10-23,26.462,26.736,26.418,26.508,26.4545,26.726,26.412,26.5025,0.0109999999999992
26.497,26.497,26.497,26.497,2020-10-24,26.508,26.508,26.508,26.508,26.5025,26.5025,26.5025,26.5025,0.0109999999999992
26.497,26.497,26.497,26.497,2020-10-25,26.508,26.508,26.508,26.508,26.5025,26.5025,26.5025,26.5025,0.0109999999999992
26.368,26.626,26.348,26.513,2020-10-26,26.388,26.637,26.388,26.528,26.378,26.631500000000003,26.368,26.5205,0.014999999999997
26.465,26.585,26.339,26.379,2020-10-27,26.477,26.602,26.353,26.393,26.471,26.5935,26.346,26.386000000000003,0.0139999999999993
26.165,26.349,26.123,26.155,2020-10-28,26.181,26.365,26.142,26.17,26.173,26.357,26.1325,26.1625,0.0150000000000005
26.275,26.362,25.963,26.192,2020-10-29,26.289,26.378,25.985,26.206,26.282,26.37,25.974,26.199,0.0139999999999993
26.295,26.38,26.189,26.285,2020-10-30,26.309,26.393,26.214,26.293,26.302,26.3865,26.2015,26.289,0.0079999999999991
26.285,26.285,26.285,26.285,2020-10-31,26.293,26.293,26.293,26.293,26.289,26.289,26.289,26.289,0.0079999999999991
26.285,26.285,26.285,26.285,2020-11-01,26.293,26.293,26.293,26.293,26.289,26.289,26.289,26.289,0.0079999999999991
26.218,26.367,26.173,26.194,2020-11-02,26.233,26.39,26.19,26.204,26.2255,26.378500000000003,26.1815,26.199,0.0100000000000015
26.202,26.424,25.88,26.367,2020-11-03,26.217,26.444,25.89,26.381,26.2095,26.434,25.885,26.374,0.0139999999999993
26.145,26.306,26.04,26.179,2020-11-04,26.161,26.322,26.056,26.194,26.153,26.314,26.048,26.1865,0.0150000000000005
26.163,26.292,26.088,26.2,2020-11-05,26.179,26.307,26.108,26.211,26.171,26.2995,26.098,26.2055,0.0109999999999992
26.258,26.379,26.156,26.227,2020-11-06,26.272,26.4,26.174,26.245,26.265,26.3895,26.165,26.236,0.0180000000000006
26.227,26.227,26.227,26.227,2020-11-07,26.245,26.245,26.245,26.245,26.236,26.236,26.236,26.236,0.0180000000000006
26.227,26.227,26.227,26.227,2020-11-08,26.245,26.245,26.245,26.245,26.236,26.236,26.236,26.236,0.0180000000000006
26.296,26.924,26.172,26.765,2020-11-09,26.312,26.938,26.191,26.782,26.304,26.931,26.1815,26.7735,0.0169999999999994
26.98,27.007,26.553,26.856,2020-11-10,26.992,27.024,26.572,26.87,26.986,27.015500000000003,26.5625,26.863,0.0139999999999993
26.725,27.136,26.703,26.809,2020-11-11,26.737,27.149,26.719,26.826,26.731,27.1425,26.711,26.817500000000003,0.0169999999999994
26.77,26.827,26.661,26.71,2020-11-12,26.78,26.861,26.679,26.724,26.775,26.844,26.67,26.717,0.0139999999999993
26.562,26.697,26.54,26.589,2020-11-13,26.574,26.71,26.554,26.603,26.568,26.7035,26.547,26.596,0.0140000000000028
26.589,26.589,26.589,26.589,2020-11-14,26.603,26.603,26.603,26.603,26.596,26.596,26.596,26.596,0.0140000000000028
26.589,26.589,26.589,26.589,2020-11-15,26.603,26.603,26.603,26.603,26.596,26.596,26.596,26.596,0.0140000000000028
26.551,26.772,26.507,26.579,2020-11-16,26.577,26.79,26.53,26.594,26.564,26.781,26.518500000000003,26.5865,0.0150000000000005
26.406,26.804,26.404,26.516,2020-11-17,26.417,26.819,26.417,26.531,26.4115,26.8115,26.4105,26.5235,0.0150000000000005
26.479,26.606,26.434,26.537,2020-11-18,26.49,26.618,26.444,26.549,26.4845,26.612,26.439,26.543,0.0120000000000004
26.46,26.606,26.443,26.443,2020-11-19,26.472,26.624,26.456,26.456,26.466,26.615,26.4495,26.4495,0.0129999999999981
26.407,26.557,26.399,26.416,2020-11-20,26.423,26.569,26.413,26.43,26.415,26.563,26.406,26.423,0.0139999999999993
26.416,26.416,26.416,26.416,2020-11-21,26.43,26.43,26.43,26.43,26.423,26.423,26.423,26.423,0.0139999999999993
26.416,26.416,26.416,26.416,2020-11-22,26.43,26.43,26.43,26.43,26.423,26.423,26.423,26.423,0.0139999999999993
26.416,26.55,26.367,26.485,2020-11-23,26.429,26.565,26.38,26.502,26.4225,26.5575,26.3735,26.4935,0.0169999999999994
26.588,26.588,26.402,26.501,2020-11-24,26.6,26.6,26.416,26.516,26.594,26.594,26.409,26.5085,0.014999999999997
26.475,26.595,26.359,26.477,2020-11-25,26.486,26.61,26.377,26.497,26.4805,26.6025,26.368,26.487,0.0199999999999995
26.459,26.652,26.404,26.435,2020-11-26,26.468,26.669,26.419,26.444,26.4635,26.6605,26.4115,26.4395,0.0090000000000003
26.426,26.505,26.374,26.43,2020-11-27,26.444,26.517,26.387,26.441,26.435,26.511,26.3805,26.4355,0.0109999999999992
26.43,26.43,26.43,26.43,2020-11-28,26.441,26.441,26.441,26.441,26.4355,26.4355,26.4355,26.4355,0.0109999999999992
26.43,26.43,26.43,26.43,2020-11-29,26.441,26.441,26.441,26.441,26.4355,26.4355,26.4355,26.4355,0.0109999999999992
26.473,26.573,26.362,26.474,2020-11-30,26.491,26.592,26.378,26.491,26.482,26.5825,26.37,26.4825,0.0169999999999994
