bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
96.992,99.354,96.466,99.354,2011-01-04,97.159,99.077,96.119,99.077,97.0755,99.2155,96.2925,99.2155,-0.277000000000001
99.564,101.654,99.359,101.654,2011-01-05,99.329,101.837,99.083,101.837,99.4465,101.7455,99.221,101.7455,0.1830000000000069
101.869,105.2,101.659,104.396,2011-01-06,102.095,105.305,101.843,104.505,101.982,105.2525,101.751,104.4505,0.1089999999999946
104.387,105.099,103.695,103.925,2011-01-07,104.73,105.216,103.801,103.608,104.5585,105.1575,103.748,103.7665,-0.316999999999993
103.925,103.925,103.925,103.925,2011-01-08,103.608,103.608,103.608,103.608,103.7665,103.7665,103.7665,103.7665,-0.316999999999993
103.925,103.925,103.925,103.925,2011-01-09,103.608,103.608,103.608,103.608,103.7665,103.7665,103.7665,103.7665,-0.316999999999993
103.48,103.92,101.689,102.398,2011-01-10,103.074,103.602,101.807,102.507,103.277,103.761,101.748,102.4525,0.1090000000000088
102.678,105.9,102.405,105.89,2011-01-11,102.787,106.012,102.514,106.003,102.7325,105.956,102.4595,105.9465,0.1129999999999995
105.676,109.298,105.544,108.897,2011-01-12,106.513,109.414,106.01,109.108,106.0945,109.356,105.777,109.0025,0.2109999999999985
108.633,111.194,108.395,110.295,2011-01-13,109.115,111.315,108.601,110.403,108.874,111.2545,108.498,110.349,0.108000000000004
109.897,110.399,108.885,109.999,2011-01-14,110.319,110.618,109.001,110.305,110.108,110.5085,108.943,110.152,0.3060000000000116
109.999,109.999,109.999,109.999,2011-01-15,110.305,110.305,110.305,110.305,110.152,110.152,110.152,110.152,0.3060000000000116
109.999,109.999,109.999,109.999,2011-01-16,110.305,110.305,110.305,110.305,110.152,110.152,110.152,110.152,0.3060000000000116
109.774,110.894,107.191,107.889,2011-01-17,110.313,111.324,107.817,108.113,110.0435,111.109,107.504,108.001,0.2240000000000037
108.094,111.197,107.984,110.898,2011-01-18,109.47,111.303,108.502,111.003,108.782,111.25,108.243,110.9505,0.1050000000000039
110.985,112.398,109.492,109.693,2011-01-19,111.019,112.513,109.601,109.801,111.002,112.4555,109.5465,109.747,0.108000000000004
109.483,110.6,108.884,109.293,2011-01-20,109.916,110.814,109.101,109.509,109.6995,110.707,108.9925,109.401,0.2159999999999939
109.273,110.3,108.976,109.8,2011-01-21,109.804,110.507,109.004,109.903,109.5385,110.4035,108.99,109.8515,0.1030000000000086
109.8,109.8,109.8,109.8,2011-01-22,109.903,109.903,109.903,109.903,109.8515,109.8515,109.8515,109.8515,0.1030000000000086
109.8,109.8,109.8,109.8,2011-01-23,109.903,109.903,109.903,109.903,109.8515,109.8515,109.8515,109.8515,0.1030000000000086
109.695,110.599,108.586,110.289,2011-01-24,109.804,110.809,108.802,110.416,109.7495,110.704,108.694,110.3525,0.1269999999999953
110.664,110.686,107.985,108.194,2011-01-25,110.423,110.724,108.101,108.305,110.5435,110.705,108.043,108.2495,0.1110000000000042
108.594,110.597,108.394,109.094,2011-01-26,108.383,110.515,108.311,109.407,108.4885,110.556,108.3525,109.2505,0.3130000000000024
109.198,113.3,108.487,112.49,2011-01-27,109.413,113.413,108.605,112.805,109.3055,113.3565,108.546,112.6475,0.3150000000000119
112.165,114.099,111.396,113.094,2011-01-28,112.608,114.312,111.712,113.303,112.3865,114.2055,111.554,113.1985,0.2090000000000031
113.094,113.094,113.094,113.094,2011-01-29,113.303,113.303,113.303,113.303,113.1985,113.1985,113.1985,113.1985,0.2090000000000031
113.094,113.094,113.094,113.094,2011-01-30,113.303,113.303,113.303,113.303,113.1985,113.1985,113.1985,113.1985,0.2090000000000031
112.681,113.087,111.258,111.191,2011-01-31,112.899,113.025,110.702,111.403,112.79,113.056,110.98,111.297,0.2120000000000033
111.995,117.098,110.984,115.896,2011-02-01,112.103,117.216,111.104,116.108,112.049,117.157,111.044,116.002,0.2120000000000033
116.064,117.694,114.493,115.494,2011-02-02,116.315,117.919,114.701,115.806,116.1895,117.8065,114.597,115.65,0.3119999999999976
115.085,116.699,114.486,115.394,2011-02-03,115.314,116.823,114.601,115.602,115.1995,116.761,114.5435,115.498,0.2079999999999984
115.581,117.399,115.281,115.894,2011-02-04,115.607,117.614,115.502,116.007,115.594,117.5065,115.3915,115.9505,0.1129999999999995
115.894,115.894,115.894,115.894,2011-02-05,116.007,116.007,116.007,116.007,115.9505,115.9505,115.9505,115.9505,0.1129999999999995
115.894,115.894,115.894,115.894,2011-02-06,116.007,116.007,116.007,116.007,115.9505,115.9505,115.9505,115.9505,0.1129999999999995
115.899,117.998,115.869,117.798,2011-02-07,116.132,118.206,116.012,117.907,116.0155,118.102,115.9405,117.8525,0.1089999999999946
117.798,120.194,117.468,120.098,2011-02-08,117.908,120.308,117.908,120.204,117.853,120.251,117.688,120.151,0.1059999999999945
120.374,122.299,119.793,121.297,2011-02-09,120.506,122.407,120.002,121.506,120.44,122.353,119.8975,121.4015,0.2090000000000031
120.998,121.098,118.092,118.997,2011-02-10,121.108,121.323,118.202,119.202,121.053,121.2105,118.147,119.0995,0.2049999999999983
118.987,123.499,118.493,122.692,2011-02-11,118.923,123.624,118.706,123.112,118.955,123.5615,118.5995,122.902,0.4200000000000017
122.692,122.692,122.692,122.692,2011-02-12,123.112,123.112,123.112,123.112,122.902,122.902,122.902,122.902,0.4200000000000017
122.692,122.692,122.692,122.692,2011-02-13,123.112,123.112,123.112,123.112,122.902,122.902,122.902,122.902,0.4200000000000017
122.393,123.3,121.491,121.587,2011-02-14,122.919,123.401,121.601,121.808,122.656,123.3505,121.546,121.6975,0.2210000000000036
121.399,122.197,120.092,120.662,2011-02-15,121.607,122.315,120.9,121.221,121.503,122.256,120.496,120.9415,0.5589999999999975
120.995,121.8,120.585,121.393,2011-02-16,121.327,122.009,120.701,121.508,121.161,121.9045,120.643,121.4505,0.1149999999999948
121.396,121.787,120.687,120.984,2011-02-17,121.715,122.009,120.815,121.202,121.5555,121.898,120.751,121.093,0.2180000000000035
120.897,121.199,119.884,120.499,2011-02-18,121.108,121.409,120.101,120.604,121.0025,121.304,119.9925,120.5515,0.1050000000000039
120.499,120.499,120.499,120.499,2011-02-19,120.604,120.604,120.604,120.604,120.5515,120.5515,120.5515,120.5515,0.1050000000000039
120.499,120.499,120.499,120.499,2011-02-20,120.604,120.604,120.604,120.604,120.5515,120.5515,120.5515,120.5515,0.1050000000000039
120.09,120.993,118.692,119.092,2011-02-21,121.016,121.107,118.8,119.205,120.553,121.05,118.746,119.1485,0.1129999999999995
117.393,118.587,117.076,118.194,2011-02-22,118.94,119.033,117.501,118.303,118.1665,118.81,117.2885,118.2485,0.1089999999999946
117.796,119.198,116.582,117.295,2011-02-23,118.289,119.424,116.805,117.5,118.0425,119.311,116.6935,117.3975,0.2049999999999983
117.025,117.284,115.493,115.8,2011-02-24,117.257,117.49,115.614,116.101,117.141,117.387,115.5535,115.9505,0.3010000000000019
115.98,117.7,115.092,117.376,2011-02-25,115.608,117.915,114.604,117.806,115.794,117.8075,114.848,117.591,0.4299999999999926
117.376,117.376,117.376,117.376,2011-02-26,117.806,117.806,117.806,117.806,117.591,117.591,117.591,117.591,0.4299999999999926
117.376,117.376,117.376,117.376,2011-02-27,117.806,117.806,117.806,117.806,117.591,117.591,117.591,117.591,0.4299999999999926
117.997,120.097,116.287,119.793,2011-02-28,117.703,120.212,116.502,120.006,117.85,120.1545,116.3945,119.8995,0.2129999999999938
118.999,119.099,117.086,117.596,2011-03-01,118.901,119.423,117.204,117.704,118.95,119.261,117.145,117.65,0.1079999999999898
