bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
21.697,21.857,21.546,21.767,2022-05-13,21.953,21.953,21.713,21.783,21.825,21.905,21.6295,21.775,0.0160000000000017
21.767,21.767,21.767,21.767,2022-05-14,21.783,21.783,21.783,21.783,21.775,21.775,21.775,21.775,0.0160000000000017
21.767,21.767,21.767,21.767,2022-05-15,21.783,21.783,21.783,21.783,21.775,21.775,21.775,21.775,0.0160000000000017
21.616,21.937,21.616,21.906,2022-05-16,21.784,21.954,21.773,21.924,21.7,21.945500000000003,21.6945,21.915,0.0180000000000006
21.656,22.036,21.656,22.017,2022-05-17,22.094,22.094,21.874,22.043,21.875,22.065,21.765,22.03,0.0259999999999998
21.827,21.906,21.746,21.856,2022-05-18,21.913,22.004,21.794,21.874,21.87,21.955,21.77,21.865,0.0179999999999971
21.716,21.906,21.676,21.717,2022-05-19,21.784,21.954,21.693,21.733,21.75,21.93,21.6845,21.725,0.0160000000000017
21.807,21.907,21.726,21.896,2022-05-20,21.943,21.943,21.744,21.914,21.875,21.925,21.735,21.905,0.0180000000000006
21.896,21.896,21.896,21.896,2022-05-21,21.914,21.914,21.914,21.914,21.905,21.905,21.905,21.905,0.0180000000000006
21.896,21.896,21.896,21.896,2022-05-22,21.914,21.914,21.914,21.914,21.905,21.905,21.905,21.905,0.0180000000000006
21.817,21.907,21.796,21.887,2022-05-23,22.103,22.103,21.814,21.903,21.96,22.005000000000003,21.805,21.895,0.0159999999999982
21.726,21.917,21.726,21.867,2022-05-24,21.864,21.934,21.813,21.883,21.795,21.9255,21.7695,21.875,0.0159999999999982
21.826,22.157,21.826,22.007,2022-05-25,22.044,22.173,21.904,22.023,21.935,22.165,21.865,22.015,0.0159999999999982
21.906,22.137,21.906,22.046,2022-05-26,22.014,22.154,21.994,22.064,21.96,22.1455,21.95,22.055,0.0180000000000006
22.027,22.117,21.996,22.086,2022-05-27,22.243,22.244,22.053,22.104,22.135,22.1805,22.0245,22.095,0.0180000000000006
22.086,22.086,22.086,22.086,2022-05-28,22.104,22.104,22.104,22.104,22.095,22.095,22.095,22.095,0.0180000000000006
22.086,22.086,22.086,22.086,2022-05-29,22.104,22.104,22.104,22.104,22.095,22.095,22.095,22.095,0.0180000000000006
22.086,22.086,22.086,22.086,2022-05-30,22.104,22.104,22.104,22.104,22.095,22.095,22.095,22.095,0.0180000000000006
22.027,22.117,22.006,22.037,2022-05-31,22.073,22.134,22.033,22.053,22.05,22.1255,22.0195,22.045,0.0160000000000017
22.006,22.057,21.937,22.007,2022-06-01,22.174,22.174,21.953,22.023,22.09,22.1155,21.945,22.015,0.0159999999999982
21.967,22.147,21.967,22.127,2022-06-02,22.093,22.164,22.044,22.143,22.03,22.1555,22.0055,22.135,0.0160000000000017
