bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
377.299,379.8,371.786,372.695,2011-01-04,377.915,379.929,372.1,373.102,377.607,379.8645,371.943,372.8985,0.4069999999999822
371.571,371.6,364.375,370.999,2011-01-05,372.436,372.707,364.603,371.301,372.0035,372.1535,364.489,371.15,0.3019999999999641
371.792,379.386,371.792,378.053,2011-01-06,374.692,379.65,374.492,378.931,373.242,379.518,373.142,378.492,0.8779999999999859
378.291,379.199,376.265,377.591,2011-01-07,379.78,379.807,377.109,377.807,379.0355,379.503,376.687,377.699,0.2160000000000081
377.591,377.591,377.591,377.591,2011-01-08,377.807,377.807,377.807,377.807,377.699,377.699,377.699,377.699,0.2160000000000081
377.591,377.591,377.591,377.591,2011-01-09,377.807,377.807,377.807,377.807,377.699,377.699,377.699,377.699,0.2160000000000081
376.6,376.6,372.06,375.999,2011-01-10,378.301,379.301,372.411,376.106,377.4505,377.9505,372.2355,376.0525,0.1069999999999709
375.711,382.899,374.911,380.494,2011-01-11,376.628,383.108,376.135,380.627,376.1695,383.0035,375.523,380.5605000000001,0.1329999999999813
380.398,388.496,378.795,379.7,2011-01-12,382.303,388.934,379.116,380.403,381.3505,388.715,378.9555,380.0515,0.7030000000000314
380.391,382.496,373.17,376.784,2011-01-13,381.032,383.126,376.507,377.734,380.7115,382.811,374.8385,377.259,0.9499999999999886
366.581,376.699,365.162,374.094,2011-01-14,366.903,377.647,365.806,374.203,366.742,377.173,365.484,374.1485,0.1089999999999804
374.094,374.094,374.094,374.094,2011-01-15,374.203,374.203,374.203,374.203,374.1485,374.1485,374.1485,374.1485,0.1089999999999804
374.094,374.094,374.094,374.094,2011-01-16,374.203,374.203,374.203,374.203,374.1485,374.1485,374.1485,374.1485,0.1089999999999804
374.143,374.686,368.9,369.598,2011-01-17,376.375,376.975,369.305,369.805,375.259,375.8305,369.1025,369.7015,0.2069999999999936
