bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
165.516,172.706,165.516,171.287,2022-05-13,171.114,174.304,167.724,172.663,168.315,173.505,166.62,171.97500000000002,1.3760000000000048
171.287,171.287,171.287,171.287,2022-05-14,172.663,172.663,172.663,172.663,171.97500000000002,171.97500000000002,171.97500000000002,171.97500000000002,1.3760000000000048
171.287,171.287,171.287,171.287,2022-05-15,172.663,172.663,172.663,172.663,171.97500000000002,171.97500000000002,171.97500000000002,171.97500000000002,1.3760000000000048
162.447,173.087,162.447,170.847,2022-05-16,178.763,178.763,169.653,172.643,170.60500000000002,175.925,166.05,171.745,1.7959999999999925
171.677,179.307,171.467,177.707,2022-05-17,173.873,179.973,173.873,178.903,172.77499999999998,179.64,172.67000000000002,178.305,1.195999999999998
175.656,178.016,170.456,171.796,2022-05-18,185.344,185.344,171.154,173.054,180.5,181.68,170.805,172.425,1.2580000000000098
169.957,176.907,168.466,173.776,2022-05-19,175.363,177.563,171.843,174.944,172.66,177.235,170.15449999999998,174.36,1.167999999999978
169.636,177.207,169.636,174.017,2022-05-20,184.714,184.714,173.114,174.193,177.175,180.9605,171.375,174.10500000000002,0.1760000000000161
174.017,174.017,174.017,174.017,2022-05-21,174.193,174.193,174.193,174.193,174.10500000000002,174.10500000000002,174.10500000000002,174.10500000000002,0.1760000000000161
174.017,174.017,174.017,174.017,2022-05-22,174.193,174.193,174.193,174.193,174.10500000000002,174.10500000000002,174.10500000000002,174.10500000000002,0.1760000000000161
175.017,177.186,172.986,175.356,2022-05-23,181.983,181.984,174.374,175.864,178.5,179.585,173.68,175.61,0.5080000000000098
165.297,173.046,159.636,160.146,2022-05-24,181.993,181.993,160.084,161.404,173.64499999999998,177.5195,159.86,160.77499999999998,1.2580000000000098
154.317,167.737,154.317,165.436,2022-05-25,171.593,171.593,162.454,166.604,162.95499999999998,169.665,158.3855,166.02,1.1680000000000064
162.617,171.456,162.617,170.996,2022-05-26,176.413,176.413,167.164,171.474,169.515,173.9345,164.89049999999995,171.235,0.4779999999999802
164.477,176.547,164.477,175.777,2022-05-27,180.623,180.623,171.973,177.303,172.55,178.58499999999998,168.22500000000002,176.54,1.5260000000000105
175.777,175.777,175.777,175.777,2022-05-28,177.303,177.303,177.303,177.303,176.54,176.54,176.54,176.54,1.5260000000000105
175.777,175.777,175.777,175.777,2022-05-29,177.303,177.303,177.303,177.303,176.54,176.54,176.54,176.54,1.5260000000000105
175.777,175.777,175.777,175.777,2022-05-30,177.303,177.303,177.303,177.303,176.54,176.54,176.54,176.54,1.5260000000000105
164.076,176.987,164.076,174.407,2022-05-31,183.034,183.034,174.713,175.343,173.555,180.01049999999998,169.3945,174.875,0.9359999999999786
171.606,176.837,171.606,175.236,2022-06-01,187.864,187.864,173.453,176.274,179.735,182.3505,172.52949999999998,175.755,1.038000000000011
169.907,176.326,169.907,175.297,2022-06-02,185.853,185.853,173.293,176.303,177.88,181.0895,171.60000000000002,175.8,1.0060000000000002
167.116,176.936,167.116,174.986,2022-06-03,182.204,185.853,175.134,176.644,174.66000000000005,181.3945,171.125,175.815,1.6580000000000157
174.986,174.986,174.986,174.986,2022-06-04,176.644,176.644,176.644,176.644,175.815,175.815,175.815,175.815,1.6580000000000157
174.986,174.986,174.986,174.986,2022-06-05,176.644,176.644,176.644,176.644,175.815,175.815,175.815,175.815,1.6580000000000157
167.306,176.127,167.306,174.776,2022-06-06,186.864,186.864,174.153,176.214,177.085,181.4955,170.7295,175.495,1.4379999999999882
172.516,176.807,169.887,176.167,2022-06-07,177.234,177.414,173.044,176.593,174.875,177.1105,171.46550000000002,176.38,0.4259999999999877
164.216,176.367,164.216,172.107,2022-06-08,181.224,181.224,172.393,173.193,172.72,178.7955,168.30450000000002,172.65,1.0860000000000127
167.007,173.786,167.007,170.767,2022-06-09,181.863,181.863,171.623,172.403,174.435,177.8245,169.315,171.58499999999998,1.6359999999999957
160.007,169.627,160.007,166.377,2022-06-10,179.063,179.063,166.304,167.553,169.535,174.345,163.15550000000002,166.965,1.1759999999999875
166.377,166.377,166.377,166.377,2022-06-11,167.553,167.553,167.553,167.553,166.965,166.965,166.965,166.965,1.1759999999999875
166.377,166.377,166.377,166.377,2022-06-12,167.553,167.553,167.553,167.553,166.965,166.965,166.965,166.965,1.1759999999999875
163.046,163.047,158.046,159.586,2022-06-13,172.364,172.374,158.664,161.304,167.70499999999998,167.7105,158.355,160.445,1.717999999999989
151.346,165.787,151.346,164.977,2022-06-14,162.754,172.174,160.314,165.263,157.05,168.9805,155.82999999999998,165.12,0.2860000000000013
163.636,168.396,161.657,166.156,2022-06-15,169.594,170.173,165.203,167.994,166.615,169.28449999999998,163.43,167.075,1.8379999999999936
151.107,162.256,151.107,159.387,2022-06-16,170.393,170.393,158.273,159.903,160.75,166.3245,154.69,159.64499999999998,0.5159999999999911
161.466,162.597,158.746,159.806,2022-06-17,162.344,163.654,159.273,160.594,161.905,163.1255,159.0095,160.2,0.7879999999999825
159.806,159.806,159.806,159.806,2022-06-18,160.594,160.594,160.594,160.594,160.2,160.2,160.2,160.2,0.7879999999999825
159.806,159.806,159.806,159.806,2022-06-19,160.594,160.594,160.594,160.594,160.2,160.2,160.2,160.2,0.7879999999999825
159.806,159.806,159.806,159.806,2022-06-20,160.594,160.594,160.594,160.594,160.2,160.2,160.2,160.2,0.7879999999999825
153.946,163.846,153.946,159.267,2022-06-21,169.464,169.464,160.173,160.883,161.70499999999998,166.655,157.0595,160.075,1.616000000000014
157.987,161.526,156.427,159.557,2022-06-22,167.513,167.513,158.113,160.593,162.75,164.5195,157.26999999999998,160.075,1.0360000000000014
151.857,161.596,151.857,159.906,2022-06-23,166.193,166.193,159.093,161.454,159.025,163.8945,155.475,160.68,1.5480000000000018
159.387,166.327,159.386,163.607,2022-06-24,169.093,169.094,163.693,165.273,164.24,167.7105,161.5395,164.44,1.6659999999999968
163.607,163.607,163.607,163.607,2022-06-25,165.273,165.273,165.273,165.273,164.44,164.44,164.44,164.44,1.6659999999999968
163.607,163.607,163.607,163.607,2022-06-26,165.273,165.273,165.273,165.273,164.44,164.44,164.44,164.44,1.6659999999999968
164.506,167.527,162.856,166.907,2022-06-27,172.354,172.354,164.633,167.673,168.43,169.9405,163.74450000000002,167.29000000000002,0.7659999999999911
161.426,170.437,161.426,165.596,2022-06-28,178.134,178.134,166.333,167.254,169.77999999999997,174.2855,163.8795,166.425,1.657999999999987
