bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
21.987,22.266,21.766,21.997,2022-06-15,22.003,22.284,21.783,22.013,21.995,22.275,21.7745,22.005000000000003,0.0160000000000017
21.666,22.067,21.616,21.806,2022-06-16,21.924,22.083,21.644,21.824,21.795,22.075,21.63,21.815,0.0180000000000006
21.866,21.987,21.517,21.846,2022-06-17,21.934,22.204,21.563,21.864,21.9,22.0955,21.54,21.855,0.0180000000000006
21.846,21.846,21.846,21.846,2022-06-18,21.864,21.864,21.864,21.864,21.855,21.855,21.855,21.855,0.0180000000000006
21.846,21.846,21.846,21.846,2022-06-19,21.864,21.864,21.864,21.864,21.855,21.855,21.855,21.855,0.0180000000000006
21.846,21.846,21.846,21.846,2022-06-20,21.864,21.864,21.864,21.864,21.855,21.855,21.855,21.855,0.0180000000000006
21.846,22.407,21.786,22.077,2022-06-21,22.244,22.424,22.043,22.093,22.045,22.4155,21.9145,22.085,0.0159999999999982
21.497,22.387,21.497,22.137,2022-06-22,22.203,22.414,21.974,22.153,21.85,22.4005,21.7355,22.145,0.0159999999999982
21.867,22.206,21.727,22.076,2022-06-23,22.453,22.453,21.743,22.094,22.16,22.3295,21.735,22.085,0.0180000000000006
22.206,22.557,21.977,22.456,2022-06-24,22.334,22.573,22.023,22.484,22.27,22.565,22.0,22.47,0.0280000000000022
22.456,22.456,22.456,22.456,2022-06-25,22.484,22.484,22.484,22.484,22.47,22.47,22.47,22.47,0.0280000000000022
22.456,22.456,22.456,22.456,2022-06-26,22.484,22.484,22.484,22.484,22.47,22.47,22.47,22.47,0.0280000000000022
22.497,22.777,22.416,22.687,2022-06-27,22.673,22.794,22.434,22.713,22.585,22.7855,22.425,22.700000000000003,0.0259999999999998
22.656,22.717,22.077,22.266,2022-06-28,22.754,22.824,22.113,22.294,22.705,22.7705,22.095,22.28,0.0280000000000022
21.777,22.487,21.777,22.287,2022-06-29,22.913,22.913,22.183,22.313,22.345,22.7,21.98,22.3,0.0259999999999998
22.037,22.176,21.856,21.946,2022-06-30,22.213,22.314,21.873,21.964,22.125,22.245,21.8645,21.955,0.0179999999999971
21.627,22.296,21.627,22.246,2022-07-01,23.023,23.023,21.893,22.264,22.325,22.6595,21.76,22.255,0.0180000000000006
22.246,22.246,22.246,22.246,2022-07-02,22.264,22.264,22.264,22.264,22.255,22.255,22.255,22.255,0.0180000000000006
22.246,22.246,22.246,22.246,2022-07-03,22.264,22.264,22.264,22.264,22.255,22.255,22.255,22.255,0.0180000000000006
22.246,22.246,22.246,22.246,2022-07-04,22.264,22.264,22.264,22.264,22.255,22.255,22.255,22.255,0.0180000000000006
22.186,22.187,21.856,22.116,2022-07-05,22.554,22.554,21.883,22.144,22.37,22.3705,21.8695,22.13,0.0279999999999986
21.786,22.657,21.786,22.526,2022-07-06,22.414,22.684,22.073,22.554,22.1,22.6705,21.9295,22.54,0.0279999999999986
22.336,23.037,22.336,22.957,2022-07-07,22.754,23.064,22.734,22.983,22.545,23.0505,22.535,22.97,0.0259999999999998
22.536,23.177,22.536,23.056,2022-07-08,22.914,23.193,22.773,23.074,22.725,23.185,22.6545,23.065,0.0180000000000006
23.056,23.056,23.056,23.056,2022-07-09,23.074,23.074,23.074,23.074,23.065,23.065,23.065,23.065,0.0180000000000006
23.056,23.056,23.056,23.056,2022-07-10,23.074,23.074,23.074,23.074,23.065,23.065,23.065,23.065,0.0180000000000006
22.816,23.067,22.766,22.876,2022-07-11,22.964,23.173,22.783,22.894,22.89,23.12,22.7745,22.885,0.0179999999999971
21.897,23.296,21.897,23.056,2022-07-12,23.883,23.883,22.923,23.084,22.89,23.5895,22.41,23.07,0.0279999999999986
22.527,23.227,22.527,22.927,2022-07-13,23.733,23.733,22.753,22.963,23.130000000000003,23.48,22.64,22.945,0.0360000000000013
22.777,23.376,22.407,23.357,2022-07-14,22.943,23.424,22.484,23.373,22.86,23.4,22.445500000000003,23.365,0.0160000000000017
23.407,23.837,23.407,23.507,2022-07-15,23.543,23.854,23.464,23.523,23.475,23.8455,23.4355,23.515,0.0159999999999982
23.507,23.507,23.507,23.507,2022-07-16,23.523,23.523,23.523,23.523,23.515,23.515,23.515,23.515,0.0159999999999982
23.507,23.507,23.507,23.507,2022-07-17,23.523,23.523,23.523,23.523,23.515,23.515,23.515,23.515,0.0159999999999982
23.297,24.027,23.297,23.757,2022-07-18,23.873,24.044,23.583,23.793,23.585,24.0355,23.44,23.775,0.0359999999999978
23.786,24.766,23.786,24.676,2022-07-19,24.184,24.784,23.964,24.694,23.985,24.775,23.875,24.685,0.0180000000000006
24.627,25.066,24.586,24.726,2022-07-20,24.733,25.123,24.653,24.744,24.68,25.0945,24.6195,24.735,0.0180000000000006
24.257,25.026,24.257,25.007,2022-07-21,25.353,25.353,24.573,25.033,24.805,25.1895,24.415,25.020000000000003,0.0259999999999998
25.007,25.007,25.007,25.007,2022-07-22,25.033,25.033,25.033,25.033,25.020000000000003,25.020000000000003,25.020000000000003,25.020000000000003,0.0259999999999998
25.007,25.007,25.007,25.007,2022-07-23,25.033,25.033,25.033,25.033,25.020000000000003,25.020000000000003,25.020000000000003,25.020000000000003,0.0259999999999998
25.007,25.007,25.007,25.007,2022-07-24,25.033,25.033,25.033,25.033,25.020000000000003,25.020000000000003,25.020000000000003,25.020000000000003,0.0259999999999998
25.007,25.007,25.007,25.007,2022-07-25,25.033,25.033,25.033,25.033,25.020000000000003,25.020000000000003,25.020000000000003,25.020000000000003,0.0259999999999998
