bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
20.326,22.617,20.326,22.456,2022-05-13,22.504,22.693,21.194,22.574,21.415,22.655,20.76,22.515,0.1180000000000021
22.456,22.456,22.456,22.456,2022-05-14,22.574,22.574,22.574,22.574,22.515,22.515,22.515,22.515,0.1180000000000021
22.456,22.456,22.456,22.456,2022-05-15,22.574,22.574,22.574,22.574,22.515,22.515,22.515,22.515,0.1180000000000021
21.856,22.977,21.827,21.966,2022-05-16,22.434,23.044,21.903,21.984,22.145000000000003,23.0105,21.865,21.975,0.0180000000000006
22.536,22.947,20.546,22.077,2022-05-17,23.254,23.254,20.613,22.093,22.895000000000003,23.1005,20.5795,22.085,0.0159999999999982
21.316,21.857,20.546,20.947,2022-05-18,21.684,22.053,20.603,20.963,21.5,21.955,20.5745,20.955,0.0160000000000017
19.496,21.587,19.196,21.076,2022-05-19,21.814,21.814,20.963,21.094,20.655,21.7005,20.079500000000003,21.085,0.0180000000000006
21.287,21.626,19.846,20.637,2022-05-20,22.223,22.224,19.913,20.673,21.755,21.925,19.8795,20.655,0.0359999999999978
20.637,20.637,20.637,20.637,2022-05-21,20.673,20.673,20.673,20.673,20.655,20.655,20.655,20.655,0.0359999999999978
20.637,20.637,20.637,20.637,2022-05-22,20.673,20.673,20.673,20.673,20.655,20.655,20.655,20.655,0.0359999999999978
20.787,23.107,20.526,21.706,2022-05-23,21.353,23.214,20.744,21.724,21.07,23.1605,20.635,21.715,0.0180000000000006
21.016,21.347,20.466,20.917,2022-05-24,21.974,21.974,20.533,20.943,21.495,21.6605,20.4995,20.93,0.0259999999999998
20.497,21.896,20.496,21.377,2022-05-25,20.823,22.284,20.823,21.463,20.66,22.09,20.6595,21.42,0.086000000000002
13.726,17.106,13.496,16.407,2022-05-26,13.944,17.214,13.603,16.513,13.835,17.16,13.5495,16.46,0.1060000000000016
16.207,17.146,16.207,16.816,2022-05-27,16.933,17.204,16.433,16.834,16.57,17.175,16.32,16.825,0.0180000000000006
16.816,16.816,16.816,16.816,2022-05-28,16.834,16.834,16.834,16.834,16.825,16.825,16.825,16.825,0.0180000000000006
16.816,16.816,16.816,16.816,2022-05-29,16.834,16.834,16.834,16.834,16.825,16.825,16.825,16.825,0.0180000000000006
16.816,16.816,16.816,16.816,2022-05-30,16.834,16.834,16.834,16.834,16.825,16.825,16.825,16.825,0.0180000000000006
16.547,17.077,16.007,16.166,2022-05-31,16.693,17.164,16.023,16.204,16.62,17.1205,16.015,16.185000000000002,0.0380000000000002
