bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
20.582,20.671,20.577,20.622,2024-09-17,20.594,20.684,20.588,20.638,20.588,20.6775,20.582500000000003,20.630000000000003,0.0160000000000017
20.673,20.723,20.601,20.635,2024-09-18,20.684,20.735,20.615,20.69,20.6785,20.729,20.608,20.6625,0.0549999999999997
20.734,20.775,20.622,20.704,2024-09-19,20.747,20.788,20.636,20.72,20.7405,20.7815,20.629,20.712,0.0159999999999982
20.658,20.691,20.512,20.544,2024-09-20,20.672,20.703,20.524,20.56,20.665,20.697,20.518,20.552,0.0159999999999982
20.544,20.544,20.544,20.544,2024-09-21,20.56,20.56,20.56,20.56,20.552,20.552,20.552,20.552,0.0159999999999982
20.544,20.544,20.544,20.544,2024-09-22,20.56,20.56,20.56,20.56,20.552,20.552,20.552,20.552,0.0159999999999982
20.527,20.66,20.497,20.637,2024-09-23,20.542,20.673,20.51,20.651,20.5345,20.6665,20.503500000000003,20.644,0.0139999999999993
20.638,20.738,20.59,20.694,2024-09-24,20.656,20.756,20.601,20.711,20.647,20.747,20.5955,20.7025,0.0169999999999994
20.701,20.712,20.49,20.509,2024-09-25,20.719,20.724,20.506,20.523,20.71,20.718,20.498,20.516,0.0139999999999993
20.499,20.537,20.438,20.506,2024-09-26,20.517,20.55,20.452,20.52,20.508,20.5435,20.445,20.513,0.0139999999999993
20.494,20.606,20.417,20.551,2024-09-27,20.516,20.619,20.429,20.567,20.505,20.6125,20.423,20.559,0.0160000000000017
20.551,20.551,20.551,20.551,2024-09-28,20.567,20.567,20.567,20.567,20.559,20.559,20.559,20.559,0.0160000000000017
20.551,20.551,20.551,20.551,2024-09-29,20.567,20.567,20.567,20.567,20.559,20.559,20.559,20.559,0.0160000000000017
20.547,20.625,20.434,20.611,2024-09-30,20.572,20.65,20.445,20.628,20.5595,20.6375,20.4395,20.6195,0.0169999999999994
20.553,20.614,20.379,20.454,2024-10-01,20.574,20.625,20.392,20.469,20.5635,20.6195,20.3855,20.4615,0.0150000000000005
20.435,20.638,20.417,20.585,2024-10-02,20.457,20.65,20.432,20.599,20.446,20.644,20.4245,20.592,0.0139999999999993
20.569,20.686,20.553,20.568,2024-10-03,20.583,20.698,20.564,20.584,20.576,20.692,20.5585,20.576,0.0159999999999982
20.579,20.621,20.395,20.513,2024-10-04,20.603,20.634,20.419,20.533,20.591,20.6275,20.407,20.523000000000003,0.0199999999999995
20.513,20.513,20.513,20.513,2024-10-05,20.533,20.533,20.533,20.533,20.523000000000003,20.523000000000003,20.523000000000003,20.523000000000003,0.0199999999999995
20.513,20.513,20.513,20.513,2024-10-06,20.533,20.533,20.533,20.533,20.523000000000003,20.523000000000003,20.523000000000003,20.523000000000003,0.0199999999999995
20.516,20.643,20.463,20.483,2024-10-07,20.532,20.655,20.473,20.498,20.524,20.649,20.468,20.4905,0.0150000000000005
20.498,20.568,20.444,20.546,2024-10-08,20.53,20.581,20.458,20.566,20.514000000000003,20.5745,20.451,20.556,0.0199999999999995
20.567,20.586,20.26,20.286,2024-10-09,20.592,20.601,20.272,20.314,20.5795,20.5935,20.266,20.3,0.0279999999999986
20.335,20.449,20.308,20.365,2024-10-10,20.351,20.498,20.322,20.38,20.343,20.4735,20.315,20.3725,0.0150000000000005
20.374,20.387,20.212,20.262,2024-10-11,20.4,20.403,20.227,20.275,20.387,20.395,20.2195,20.2685,0.0129999999999981
20.262,20.262,20.262,20.262,2024-10-12,20.275,20.275,20.275,20.275,20.2685,20.2685,20.2685,20.2685,0.0129999999999981
20.262,20.262,20.262,20.262,2024-10-13,20.275,20.275,20.275,20.275,20.2685,20.2685,20.2685,20.2685,0.0129999999999981
20.251,20.283,20.167,20.266,2024-10-14,20.267,20.297,20.177,20.281,20.259,20.29,20.172,20.2735,0.0150000000000005
20.259,20.357,20.217,20.224,2024-10-15,20.284,20.368,20.235,20.238,20.2715,20.3625,20.226,20.231,0.0139999999999993
20.16,20.248,20.091,20.107,2024-10-16,20.179,20.28,20.113,20.135,20.1695,20.264000000000003,20.102,20.121,0.0280000000000022
