bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
2.1278,2.131,2.1146,2.1308,2024-05-15,2.1294,2.14,2.1166,2.1339,2.1286,2.1355,2.1156,2.13235,0.0031000000000003
2.1308,2.1312,2.1149,2.1227,2024-05-16,2.1339,2.134,2.1205,2.127,2.13235,2.1326,2.1177,2.12485,0.0042999999999997
2.1228,2.1276,2.1126,2.1249,2024-05-17,2.127,2.1347,2.1205,2.1293,2.1249,2.13115,2.11655,2.1271,0.0044000000000004
2.1249,2.1249,2.1249,2.1249,2024-05-18,2.1293,2.1293,2.1293,2.1293,2.1271,2.1271,2.1271,2.1271,0.0044000000000004
2.1151,2.1275,2.1125,2.1266,2024-05-19,2.1363,2.1391,2.128,2.1295,2.1257,2.1333,2.12025,2.12805,0.0029000000000003
2.1266,2.1336,2.1212,2.1255,2024-05-20,2.1296,2.1352,2.126,2.1288,2.1281,2.1344000000000003,2.1236,2.1271500000000003,0.0032999999999998
2.1254,2.1367,2.1197,2.1326,2024-05-21,2.1287,2.1469,2.1228,2.1388,2.12705,2.1418,2.12125,2.1357,0.0061999999999997
2.1326,2.1398,2.1267,2.131,2024-05-22,2.1389,2.142,2.1299,2.134,2.13575,2.1409,2.1283000000000003,2.1325,0.0030000000000001
2.1311,2.1488,2.1296,2.1418,2024-05-23,2.134,2.152,2.1325,2.1447,2.13255,2.1504000000000003,2.13105,2.14325,0.0028999999999999
2.1418,2.1545,2.1395,2.1437,2024-05-24,2.1447,2.1561,2.1411,2.1499,2.14325,2.1553,2.1403,2.1468,0.0062000000000002
2.1437,2.1437,2.1437,2.1437,2024-05-25,2.1499,2.1499,2.1499,2.1499,2.1468,2.1468,2.1468,2.1468,0.0062000000000002
2.1273,2.143,2.127,2.1425,2024-05-26,2.1557,2.1558,2.1425,2.1455,2.1415,2.1494,2.13475,2.144,0.0030000000000001
2.1426,2.1684,2.1419,2.166,2024-05-27,2.1456,2.1743,2.145,2.1691,2.1441,2.1713500000000003,2.14345,2.16755,0.0030999999999998
2.1662,2.1694,2.1523,2.1584,2024-05-28,2.169,2.1709,2.1594,2.1613,2.1676,2.17015,2.15585,2.15985,0.0029000000000003
2.1584,2.1712,2.1557,2.1611,2024-05-29,2.1613,2.1732,2.16,2.1637,2.15985,2.1722,2.15785,2.1624,0.0026000000000001
2.1612,2.174,2.1535,2.1619,2024-05-30,2.1637,2.176,2.1584,2.1647,2.16245,2.175,2.15595,2.1633,0.0027999999999996
2.1619,2.1738,2.1616,2.1659,2024-05-31,2.1648,2.1756,2.1641,2.1716,2.1633500000000003,2.1747,2.16285,2.16875,0.0057
2.1659,2.1659,2.1659,2.1659,2024-06-01,2.1716,2.1716,2.1716,2.1716,2.16875,2.16875,2.16875,2.16875,0.0057
2.1531,2.1654,2.1505,2.1653,2024-06-02,2.1784,2.1799,2.1655,2.1684,2.16575,2.17265,2.1580000000000004,2.16685,0.0031000000000003
2.1652,2.1756,2.1541,2.1632,2024-06-03,2.1683,2.1773,2.1618,2.1665,2.16675,2.17645,2.15795,2.16485,0.0033000000000003
2.1635,2.1656,2.1431,2.1496,2024-06-04,2.1667,2.1691,2.1458,2.1525,2.1651,2.16735,2.14445,2.15105,0.0028999999999999
2.1495,2.1573,2.1321,2.1409,2024-06-05,2.1525,2.16,2.1387,2.144,2.151,2.15865,2.1354,2.14245,0.0031000000000003
2.1411,2.1457,2.1273,2.1343,2024-06-06,2.1446,2.1473,2.1338,2.1374,2.14285,2.1465,2.13055,2.13585,0.0030999999999998
2.1341,2.1435,2.1264,2.127,2024-06-07,2.1375,2.1476,2.1286,2.132,2.1358,2.14555,2.1275,2.1295,0.0050000000000003
2.127,2.127,2.127,2.127,2024-06-08,2.132,2.132,2.132,2.132,2.1295,2.1295,2.1295,2.1295,0.0050000000000003
2.1237,2.1305,2.1233,2.1297,2024-06-09,2.1376,2.1437,2.1313,2.1354,2.13065,2.1371,2.1273,2.13255,0.0057
2.1298,2.1508,2.1202,2.1475,2024-06-10,2.1354,2.1549,2.1309,2.1506,2.1326,2.15285,2.12555,2.14905,0.0030999999999998
