bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
0.34727,0.34782,0.34551,0.34642,2024-09-17,0.34734,0.34791,0.34578,0.34668,0.347305,0.347865,0.345645,0.34655,0.0002599999999999
0.34643,0.35057,0.3457,0.3467,2024-09-18,0.34666,0.35088,0.34588,0.34697,0.346545,0.350725,0.34579,0.346835,0.0002699999999999
0.34668,0.35184,0.34465,0.34953,2024-09-19,0.34699,0.35192,0.34492,0.34978,0.346835,0.3518799999999999,0.344785,0.349655,0.0002499999999999
0.34953,0.35155,0.34763,0.34984,2024-09-20,0.34977,0.35166,0.34779,0.3507,0.34965,0.3516049999999999,0.3477099999999999,0.3502699999999999,0.00086
0.34984,0.34984,0.34984,0.34984,2024-09-21,0.3507,0.3507,0.3507,0.3507,0.3502699999999999,0.3502699999999999,0.3502699999999999,0.3502699999999999,0.00086
0.34969,0.35034,0.34944,0.35001,2024-09-22,0.35066,0.3511,0.35013,0.35085,0.350175,0.35072,0.349785,0.35043,0.00084
0.35015,0.35102,0.34829,0.35017,2024-09-23,0.351,0.35118,0.34837,0.35041,0.3505749999999999,0.3510999999999999,0.34833,0.35029,0.00024
0.35017,0.35331,0.34957,0.35322,2024-09-24,0.35043,0.35367,0.3498,0.35348,0.3503,0.3534899999999999,0.349685,0.35335,0.00026
0.35322,0.3533,0.34683,0.34703,2024-09-25,0.35347,0.35359,0.34694,0.34728,0.353345,0.353445,0.346885,0.347155,0.0002499999999999
0.34708,0.3497,0.34602,0.34857,2024-09-26,0.34731,0.3498,0.34613,0.34885,0.347195,0.34975,0.346075,0.3487099999999999,0.00028
0.34857,0.35071,0.34716,0.34922,2024-09-27,0.34886,0.35084,0.34727,0.35011,0.348715,0.350775,0.347215,0.349665,0.00089
0.34922,0.34922,0.34922,0.34922,2024-09-28,0.35011,0.35011,0.35011,0.35011,0.349665,0.349665,0.349665,0.349665,0.00089
0.34917,0.35008,0.34902,0.34999,2024-09-29,0.35012,0.35044,0.3497,0.35032,0.349645,0.35026,0.34936,0.350155,0.0003299999999999
0.34997,0.35028,0.347,0.34808,2024-09-30,0.35032,0.3505,0.34725,0.34836,0.350145,0.35039,0.347125,0.34822,0.00028
0.34809,0.34879,0.34532,0.34595,2024-10-01,0.34836,0.34901,0.34554,0.34619,0.348225,0.3489,0.34543,0.34607,0.00024
0.34594,0.34909,0.34558,0.3472,2024-10-02,0.34619,0.3492,0.34585,0.34747,0.346065,0.349145,0.345715,0.347335,0.0002699999999999
0.34719,0.34755,0.34488,0.34636,2024-10-03,0.34747,0.34763,0.34499,0.34661,0.34733,0.34759,0.344935,0.346485,0.0002499999999999
0.34634,0.34705,0.34279,0.34408,2024-10-04,0.34661,0.34714,0.34338,0.34499,0.346475,0.347095,0.343085,0.344535,0.00091
0.34408,0.34408,0.34408,0.34408,2024-10-05,0.34499,0.34499,0.34499,0.34499,0.344535,0.344535,0.344535,0.344535,0.00091
0.3441,0.34424,0.34345,0.34397,2024-10-06,0.34504,0.34504,0.34386,0.34423,0.34457,0.34464,0.343655,0.3440999999999999,0.0002599999999999
0.34395,0.3461,0.34389,0.34494,2024-10-07,0.34423,0.34618,0.34413,0.34521,0.34409,0.34614,0.34401,0.345075,0.0002699999999999
0.34494,0.34552,0.34182,0.34285,2024-10-08,0.34524,0.34566,0.34198,0.34314,0.34509,0.34559,0.3419,0.342995,0.00029
0.34284,0.34311,0.33949,0.3406,2024-10-09,0.34313,0.3433,0.3396,0.341,0.342985,0.343205,0.339545,0.3408,0.0004
0.34069,0.34225,0.33922,0.342,2024-10-10,0.34092,0.34261,0.34002,0.34227,0.340805,0.34243,0.33962,0.342135,0.0002699999999999
0.34197,0.34378,0.34114,0.3428,2024-10-11,0.34226,0.34391,0.34126,0.34369,0.342115,0.3438449999999999,0.3412,0.343245,0.00089
