bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
29.206,30.926,29.206,30.307,2022-05-13,30.004,31.004,29.913,30.463,29.605,30.965,29.5595,30.385,0.1560000000000023
30.307,30.307,30.307,30.307,2022-05-14,30.463,30.463,30.463,30.463,30.385,30.385,30.385,30.385,0.1560000000000023
30.307,30.307,30.307,30.307,2022-05-15,30.463,30.463,30.463,30.463,30.385,30.385,30.385,30.385,0.1560000000000023
30.007,31.646,30.007,31.006,2022-05-16,31.203,31.803,30.923,31.084,30.605,31.7245,30.465,31.045,0.0779999999999994
31.947,31.997,30.467,31.116,2022-05-17,32.173,32.174,30.554,31.154,32.06,32.0855,30.5105,31.135,0.0380000000000002
30.937,31.336,29.906,30.547,2022-05-18,31.533,31.593,30.253,30.703,31.235,31.4645,30.0795,30.625,0.1559999999999988
29.356,30.956,29.066,30.467,2022-05-19,31.414,31.414,29.243,30.523,30.385,31.185,29.1545,30.495,0.0560000000000009
30.536,30.837,29.726,30.767,2022-05-20,31.004,31.234,29.834,30.853,30.770000000000003,31.0355,29.78,30.81,0.086000000000002
30.767,30.767,30.767,30.767,2022-05-21,30.853,30.853,30.853,30.853,30.81,30.81,30.81,30.81,0.086000000000002
30.767,30.767,30.767,30.767,2022-05-22,30.853,30.853,30.853,30.853,30.81,30.81,30.81,30.81,0.086000000000002
30.856,31.626,30.007,30.466,2022-05-23,31.584,31.824,30.143,30.614,31.22,31.725,30.075000000000003,30.54,0.1479999999999997
29.637,30.637,29.047,30.377,2022-05-24,30.053,30.764,29.294,30.403,29.845,30.7005,29.1705,30.39,0.0259999999999998
29.997,31.727,29.997,31.517,2022-05-25,30.833,31.824,30.474,31.623,30.415,31.7755,30.2355,31.57,0.1060000000000016
32.097,32.387,30.837,31.347,2022-05-26,32.243,32.544,30.903,31.443,32.17,32.4655,30.87,31.395000000000003,0.096
31.016,32.957,30.607,32.877,2022-05-27,31.804,33.004,31.233,32.893,31.41,32.9805,30.92,32.885000000000005,0.0159999999999982
32.877,32.877,32.877,32.877,2022-05-28,32.893,32.893,32.893,32.893,32.885000000000005,32.885000000000005,32.885000000000005,32.885000000000005,0.0159999999999982
32.877,32.877,32.877,32.877,2022-05-29,32.893,32.893,32.893,32.893,32.885000000000005,32.885000000000005,32.885000000000005,32.885000000000005,0.0159999999999982
32.877,32.877,32.877,32.877,2022-05-30,32.893,32.893,32.893,32.893,32.885000000000005,32.885000000000005,32.885000000000005,32.885000000000005,0.0159999999999982
32.027,34.637,32.027,32.986,2022-05-31,33.983,34.984,32.713,33.264,33.004999999999995,34.810500000000005,32.370000000000005,33.125,0.2780000000000058
33.567,34.626,33.226,34.316,2022-06-01,33.793,34.654,33.294,34.434,33.68,34.64,33.26,34.375,0.117999999999995
