bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
8.853,10.3,8.275,8.994,2020-10-01,10.884,11.62,9.586,10.825,9.8685,10.96,8.9305,9.9095,1.8309999999999995
8.765,8.765,8.162,8.359,2020-10-02,10.146,10.759,10.137,10.161,9.4555,9.762,9.1495,9.26,1.802
8.359,8.359,8.359,8.359,2020-10-03,10.161,10.161,10.161,10.161,9.26,9.26,9.26,9.26,1.802
8.359,8.359,8.359,8.359,2020-10-04,10.161,10.161,10.161,10.161,9.26,9.26,9.26,9.26,1.802
7.852,9.099,7.647,8.094,2020-10-05,10.287,10.422,8.988,10.167,9.0695,9.7605,8.317499999999999,9.1305,2.0730000000000004
7.978,10.145,7.57,9.293,2020-10-06,10.089,11.483,8.909,10.921,9.0335,10.814,8.2395,10.107,1.628
8.978,10.766,7.326,10.32,2020-10-07,10.969,12.027,9.678,10.329,9.9735,11.3965,8.502,10.3245,0.0090000000000003
9.218,10.709,8.726,10.071,2020-10-08,11.079,11.671,9.776,10.087,10.1485,11.19,9.251,10.079,0.016
10.073,10.532,8.613,9.075,2020-10-09,10.095,11.622,9.822,10.895,10.084,11.077,9.2175,9.985,1.8200000000000005
9.075,9.075,9.075,9.075,2020-10-10,10.895,10.895,10.895,10.895,9.985,9.985,9.985,9.985,1.8200000000000005
9.075,9.075,9.075,9.075,2020-10-11,10.895,10.895,10.895,10.895,9.985,9.985,9.985,9.985,1.8200000000000005
8.891,10.333,8.489,8.996,2020-10-12,11.231,11.456,9.367,10.841,10.061,10.8945,8.928,9.9185,1.8449999999999989
8.783,9.907,8.08,8.814,2020-10-13,10.937,11.212,9.415,10.855,9.86,10.5595,8.747499999999999,9.8345,2.0410000000000004
8.577,9.991,7.978,8.392,2020-10-14,10.49,10.996,9.066,10.337,9.5335,10.4935,8.522,9.3645,1.9450000000000005
8.378,9.914,7.78,8.869,2020-10-15,10.356,11.237,8.839,10.917,9.367,10.5755,8.3095,9.893,2.048
8.888,10.146,7.855,8.787,2020-10-16,10.897,11.281,9.356,10.592,9.8925,10.7135,8.6055,9.6895,1.805
8.787,8.787,8.787,8.787,2020-10-17,10.592,10.592,10.592,10.592,9.6895,9.6895,9.6895,9.6895,1.805
8.787,8.787,8.787,8.787,2020-10-18,10.592,10.592,10.592,10.592,9.6895,9.6895,9.6895,9.6895,1.805
9.628,10.146,8.197,8.878,2020-10-19,9.784,11.221,9.247,10.778,9.706,10.6835,8.722,9.828,1.9000000000000004
8.436,9.941,7.948,8.432,2020-10-20,10.757,10.978,9.229,10.249,9.5965,10.4595,8.5885,9.3405,1.817
9.315,10.078,7.867,7.962,2020-10-21,9.515,10.654,9.155,10.277,9.415,10.366,8.511,9.1195,2.3149999999999995
8.45,10.44,7.908,8.656,2020-10-22,9.981,11.083,9.04,10.652,9.2155,10.7615,8.474,9.654,1.9959999999999989
8.674,10.097,8.161,9.522,2020-10-23,10.686,11.122,9.259,9.552,9.68,10.6095,8.71,9.537,0.0299999999999993
9.522,9.522,9.522,9.522,2020-10-24,9.552,9.552,9.552,9.552,9.537,9.537,9.537,9.537,0.0299999999999993
9.522,9.522,9.522,9.522,2020-10-25,9.552,9.552,9.552,9.552,9.537,9.537,9.537,9.537,0.0299999999999993
9.492,10.273,8.128,9.0,2020-10-26,9.783,11.313,9.219,10.735,9.6375,10.793,8.6735,9.8675,1.7349999999999994
8.836,11.072,8.595,9.836,2020-10-27,10.918,12.65,9.633,12.072,9.877,11.861,9.114,10.954,2.235999999999999
9.997,11.155,8.769,10.501,2020-10-28,11.927,12.309,9.93,10.51,10.962,11.732,9.3495,10.5055,0.0090000000000003
9.751,11.428,9.244,10.557,2020-10-29,12.029,12.34,10.274,10.578,10.89,11.884,9.759,10.5675,0.020999999999999
9.472,10.967,8.788,9.024,2020-10-30,11.657,12.071,9.554,11.287,10.5645,11.519,9.171,10.1555,2.2630000000000017
9.024,9.024,9.024,9.024,2020-10-31,11.287,11.287,11.287,11.287,10.1555,10.1555,10.1555,10.1555,2.2630000000000017
9.024,9.024,9.024,9.024,2020-11-01,11.287,11.287,11.287,11.287,10.1555,10.1555,10.1555,10.1555,2.2630000000000017
10.03,10.854,8.93,9.377,2020-11-02,10.293,11.902,9.963,11.583,10.1615,11.378,9.4465,10.48,2.2059999999999995
9.863,15.426,9.113,10.545,2020-11-03,11.303,15.584,10.239,10.578,10.583,15.505,9.676,10.5615,0.0329999999999994
10.446,11.192,9.19,9.8,2020-11-04,10.466,12.163,10.262,11.828,10.456,11.6775,9.726,10.814,2.0279999999999987
10.678,12.263,9.44,10.999,2020-11-05,10.722,13.476,10.531,12.779,10.7,12.8695,9.9855,11.889,1.7799999999999994
10.868,14.711,9.927,13.174,2020-11-06,12.968,15.433,11.508,15.385,11.918,15.072,10.7175,14.2795,2.2110000000000003
13.174,13.174,13.174,13.174,2020-11-07,15.385,15.385,15.385,15.385,14.2795,14.2795,14.2795,14.2795,2.2110000000000003
13.174,13.174,13.174,13.174,2020-11-08,15.385,15.385,15.385,15.385,14.2795,14.2795,14.2795,14.2795,2.2110000000000003
14.267,15.891,12.568,14.259,2020-11-09,15.266,19.221,13.921,15.787,14.7665,17.556,13.2445,15.023,1.5280000000000005
13.768,14.927,12.569,13.054,2020-11-10,15.536,16.271,13.898,15.136,14.652,15.599,13.2335,14.095,2.081999999999999
13.848,16.541,10.964,15.503,2020-11-11,13.983,17.883,13.913,17.357,13.915500000000002,17.212,12.4385,16.43,1.8539999999999992
15.032,17.085,8.511,14.363,2020-11-12,16.998,18.804,13.54,16.064,16.015,17.944499999999998,11.0255,15.2135,1.7010000000000003
13.707,15.924,11.139,15.034,2020-11-13,15.693,17.267,14.49,17.11,14.7,16.5955,12.8145,16.072,2.0759999999999987
15.034,15.034,15.034,15.034,2020-11-14,17.11,17.11,17.11,17.11,16.072,16.072,16.072,16.072,2.0759999999999987
15.034,15.034,15.034,15.034,2020-11-15,17.11,17.11,17.11,17.11,16.072,16.072,16.072,16.072,2.0759999999999987
14.752,17.682,13.687,15.033,2020-11-16,17.231,18.962,15.015,17.358,15.991500000000002,18.322,14.351,16.1955,2.325000000000001
15.121,16.801,14.188,16.801,2020-11-17,16.94,18.981,15.543,18.394,16.0305,17.891,14.8655,17.597499999999997,1.593
16.809,18.441,14.852,17.097,2020-11-18,18.945,19.739,17.603,18.759,17.877000000000002,19.09,16.2275,17.928,1.661999999999999
17.509,18.393,16.56,16.662,2020-11-19,19.226,19.723,18.111,19.001,18.3675,19.058,17.3355,17.8315,2.339000000000002
17.493,18.845,17.406,18.017,2020-11-20,19.968,20.275,18.729,19.668,18.7305,19.56,18.0675,18.8425,1.6509999999999998
18.017,18.017,18.017,18.017,2020-11-21,19.668,19.668,19.668,19.668,18.8425,18.8425,18.8425,18.8425,1.6509999999999998
18.017,18.017,18.017,18.017,2020-11-22,19.668,19.668,19.668,19.668,18.8425,18.8425,18.8425,18.8425,1.6509999999999998
17.843,22.269,17.318,20.615,2020-11-23,19.531,23.784,18.652,22.545,18.687,23.0265,17.985,21.58,1.9300000000000035
19.9,25.715,19.504,22.948,2020-11-24,22.13,27.919,21.577,24.924,21.015,26.817,20.5405,23.936,1.975999999999999
22.808,31.803,21.209,22.523,2020-11-25,24.931,31.959,22.822,24.342,23.8695,31.881,22.0155,23.4325,1.818999999999999
22.523,22.523,22.523,22.523,2020-11-26,24.342,24.342,24.342,24.342,23.4325,23.4325,23.4325,23.4325,1.818999999999999
29.794,31.868,25.907,26.902,2020-11-27,31.852,33.15,27.503,28.927,30.823,32.509,26.705,27.9145,2.0249999999999986
