bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
2.5025,2.5058,2.4765,2.4949,1991-01-30,2.5025,2.5058,2.4765,2.4949,2.5025,2.5058,2.4765,2.4949,0.0
2.5051,2.5174,2.4974,2.5121,1991-01-31,2.5051,2.5174,2.4974,2.5121,2.5051,2.5174,2.4974,2.5121,0.0
2.5195,2.5333,2.5121,2.5275,1991-02-01,2.5195,2.5333,2.5121,2.5275,2.5195,2.5333,2.5121,2.5275,0.0
2.5275,2.5275,2.5275,2.5275,1991-02-02,2.5275,2.5275,2.5275,2.5275,2.5275,2.5275,2.5275,2.5275,0.0
2.5275,2.5275,2.5275,2.5275,1991-02-03,2.5275,2.5275,2.5275,2.5275,2.5275,2.5275,2.5275,2.5275,0.0
2.5249,2.5404,2.5159,2.5319,1991-02-04,2.5249,2.5404,2.5159,2.5319,2.5249,2.5404,2.5159,2.5319,0.0
2.5304,2.5629,2.5278,2.5627,1991-02-05,2.5304,2.5629,2.5278,2.5627,2.5304,2.5629,2.5278,2.5627,0.0
2.5598,2.5721,2.5529,2.5677,1991-02-06,2.5598,2.5721,2.5529,2.5677,2.5598,2.5721,2.5529,2.5677,0.0
2.5613,2.5667,2.5413,2.546,1991-02-07,2.5613,2.5667,2.5413,2.546,2.5613,2.5667,2.5413,2.546,0.0
2.5491,2.5578,2.54,2.5483,1991-02-08,2.5491,2.5578,2.54,2.5483,2.5491,2.5578,2.54,2.5483,0.0
2.5483,2.5483,2.5483,2.5483,1991-02-09,2.5483,2.5483,2.5483,2.5483,2.5483,2.5483,2.5483,2.5483,0.0
2.5483,2.5483,2.5483,2.5483,1991-02-10,2.5483,2.5483,2.5483,2.5483,2.5483,2.5483,2.5483,2.5483,0.0
2.5456,2.5679,2.543,2.5598,1991-02-11,2.5456,2.5679,2.543,2.5598,2.5456,2.5679,2.543,2.5598,0.0
2.5608,2.5618,2.5422,2.5426,1991-02-12,2.5608,2.5618,2.5422,2.5426,2.5608,2.5618,2.5422,2.5426,0.0
2.547,2.5496,2.5123,2.5204,1991-02-13,2.547,2.5496,2.5123,2.5204,2.547,2.5496,2.5123,2.5204,0.0
2.5201,2.5261,2.509,2.5119,1991-02-14,2.5201,2.5261,2.509,2.5119,2.5201,2.5261,2.509,2.5119,0.0
2.5155,2.5185,2.4924,2.4965,1991-02-15,2.5155,2.5185,2.4924,2.4965,2.5155,2.5185,2.4924,2.4965,0.0
2.4965,2.4965,2.4965,2.4965,1991-02-16,2.4965,2.4965,2.4965,2.4965,2.4965,2.4965,2.4965,2.4965,0.0
2.4965,2.4965,2.4965,2.4965,1991-02-17,2.4965,2.4965,2.4965,2.4965,2.4965,2.4965,2.4965,2.4965,0.0
2.4942,2.5028,2.481,2.4825,1991-02-18,2.4942,2.5028,2.481,2.4825,2.4942,2.5028,2.481,2.4825,0.0
2.4892,2.4909,2.4657,2.4721,1991-02-19,2.4892,2.4909,2.4657,2.4721,2.4892,2.4909,2.4657,2.4721,0.0
2.4882,2.4905,2.4678,2.4767,1991-02-20,2.4882,2.4905,2.4678,2.4767,2.4882,2.4905,2.4678,2.4767,0.0
2.4771,2.4918,2.4695,2.4815,1991-02-21,2.4771,2.4918,2.4695,2.4815,2.4771,2.4918,2.4695,2.4815,0.0
2.4789,2.4991,2.471,2.4788,1991-02-22,2.4789,2.4991,2.471,2.4788,2.4789,2.4991,2.471,2.4788,0.0
2.4788,2.4788,2.4788,2.4788,1991-02-23,2.4788,2.4788,2.4788,2.4788,2.4788,2.4788,2.4788,2.4788,0.0
2.4788,2.4788,2.4788,2.4788,1991-02-24,2.4788,2.4788,2.4788,2.4788,2.4788,2.4788,2.4788,2.4788,0.0
2.4704,2.4831,2.4534,2.4606,1991-02-25,2.4704,2.4831,2.4534,2.4606,2.4704,2.4831,2.4534,2.4606,0.0
2.4678,2.4771,2.4374,2.4473,1991-02-26,2.4678,2.4771,2.4374,2.4473,2.4678,2.4771,2.4374,2.4473,0.0
2.4481,2.4579,2.4384,2.4438,1991-02-27,2.4481,2.4579,2.4384,2.4438,2.4481,2.4579,2.4384,2.4438,0.0
2.4411,2.4567,2.4273,2.4346,1991-02-28,2.4411,2.4567,2.4273,2.4346,2.4411,2.4567,2.4273,2.4346,0.0
2.426,2.4327,2.4112,2.4117,1991-03-01,2.426,2.4327,2.4112,2.4117,2.426,2.4327,2.4112,2.4117,0.0
2.4117,2.4117,2.4117,2.4117,1991-03-02,2.4117,2.4117,2.4117,2.4117,2.4117,2.4117,2.4117,2.4117,0.0
2.4117,2.4117,2.4117,2.4117,1991-03-03,2.4117,2.4117,2.4117,2.4117,2.4117,2.4117,2.4117,2.4117,0.0
2.4202,2.4476,2.4173,2.443,1991-03-04,2.4202,2.4476,2.4173,2.443,2.4202,2.4476,2.4173,2.443,0.0
2.446,2.4714,2.446,2.4512,1991-03-05,2.446,2.4714,2.446,2.4512,2.446,2.4714,2.446,2.4512,0.0
2.4536,2.4631,2.4414,2.4627,1991-03-06,2.4536,2.4631,2.4414,2.4627,2.4536,2.4631,2.4414,2.4627,0.0
2.4561,2.4685,2.4483,2.4666,1991-03-07,2.4561,2.4685,2.4483,2.4666,2.4561,2.4685,2.4483,2.4666,0.0
2.4616,2.4643,2.4257,2.4262,1991-03-08,2.4616,2.4643,2.4257,2.4262,2.4616,2.4643,2.4257,2.4262,0.0
2.4262,2.4262,2.4262,2.4262,1991-03-09,2.4262,2.4262,2.4262,2.4262,2.4262,2.4262,2.4262,2.4262,0.0
2.4262,2.4262,2.4262,2.4262,1991-03-10,2.4262,2.4262,2.4262,2.4262,2.4262,2.4262,2.4262,2.4262,0.0
2.4285,2.4341,2.4026,2.4088,1991-03-11,2.4285,2.4341,2.4026,2.4088,2.4285,2.4341,2.4026,2.4088,0.0
