bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
41.456,42.497,41.456,42.377,2022-05-12,41.494,42.524,41.484,42.403,41.475,42.5105,41.47,42.39,0.0259999999999962
42.677,44.047,42.596,44.026,2022-05-13,42.883,44.074,42.634,44.054,42.78,44.0605,42.615,44.040000000000006,0.0279999999999986
44.026,44.026,44.026,44.026,2022-05-14,44.054,44.054,44.054,44.054,44.040000000000006,44.040000000000006,44.040000000000006,44.040000000000006,0.0279999999999986
44.026,44.026,44.026,44.026,2022-05-15,44.054,44.054,44.054,44.054,44.040000000000006,44.040000000000006,44.040000000000006,44.040000000000006,0.0279999999999986
43.906,44.457,43.826,44.106,2022-05-16,43.984,44.494,43.914,44.124,43.945,44.4755,43.870000000000005,44.115,0.0180000000000006
44.286,44.546,43.776,43.967,2022-05-17,44.394,44.574,43.803,44.013,44.34,44.56,43.7895,43.99,0.0459999999999993
43.357,43.656,42.436,42.456,2022-05-18,43.473,43.724,42.463,42.474,43.415,43.69,42.4495,42.465,0.0179999999999935
42.007,42.167,41.476,42.126,2022-05-19,42.133,42.214,41.494,42.164,42.07,42.1905,41.485,42.145,0.0380000000000038
42.267,43.067,42.246,42.617,2022-05-20,42.353,43.094,42.324,42.643,42.31,43.0805,42.285,42.63,0.0260000000000033
42.617,42.617,42.617,42.617,2022-05-21,42.643,42.643,42.643,42.643,42.63,42.63,42.63,42.63,0.0260000000000033
42.617,42.617,42.617,42.617,2022-05-22,42.643,42.643,42.643,42.643,42.63,42.63,42.63,42.63,0.0260000000000033
43.126,43.417,42.586,42.826,2022-05-23,43.214,43.464,42.623,42.854,43.17,43.4405,42.6045,42.84,0.0279999999999986
42.477,43.367,42.466,42.887,2022-05-24,42.563,43.404,42.533,42.913,42.52,43.3855,42.4995,42.9,0.0259999999999962
42.507,42.857,42.126,42.817,2022-05-25,42.593,42.884,42.163,42.853,42.55,42.8705,42.1445,42.835,0.0360000000000013
42.696,42.877,42.356,42.567,2022-05-26,42.764,42.944,42.374,42.583,42.73,42.9105,42.365,42.575,0.0159999999999982
42.687,44.097,42.626,44.087,2022-05-27,42.763,44.124,42.704,44.113,42.725,44.1105,42.665,44.1,0.0259999999999962
44.087,44.087,44.087,44.087,2022-05-28,44.113,44.113,44.113,44.113,44.1,44.1,44.1,44.1,0.0259999999999962
44.087,44.087,44.087,44.087,2022-05-29,44.113,44.113,44.113,44.113,44.1,44.1,44.1,44.1,0.0259999999999962
44.047,44.457,43.936,44.237,2022-05-30,44.143,44.504,43.964,44.263,44.095,44.4805,43.95,44.25,0.0259999999999962
44.017,44.126,42.916,42.977,2022-05-31,44.093,44.164,42.943,43.013,44.05500000000001,44.145,42.9295,42.995,0.0360000000000013
42.777,42.996,41.806,42.197,2022-06-01,42.873,43.024,41.843,42.213,42.825,43.010000000000005,41.8245,42.205,0.0159999999999982
42.226,42.556,41.836,42.556,2022-06-02,42.314,42.584,41.873,42.584,42.27,42.57,41.8545,42.57,0.0280000000000057
43.106,43.387,42.336,42.407,2022-06-03,43.224,43.414,42.363,42.423,43.165,43.4005,42.3495,42.415,0.0160000000000053
42.407,42.407,42.407,42.407,2022-06-04,42.423,42.423,42.423,42.423,42.415,42.415,42.415,42.415,0.0160000000000053
42.407,42.407,42.407,42.407,2022-06-05,42.423,42.423,42.423,42.423,42.415,42.415,42.415,42.415,0.0160000000000053
42.736,43.077,42.536,42.906,2022-06-06,42.844,43.094,42.563,42.944,42.79,43.0855,42.5495,42.925,0.0380000000000038
42.926,43.337,42.426,43.317,2022-06-07,43.004,43.364,42.473,43.343,42.965,43.3505,42.4495,43.33,0.0260000000000033
43.546,43.817,43.126,43.786,2022-06-08,43.634,43.844,43.193,43.814,43.59,43.8305,43.1595,43.8,0.0279999999999986
43.497,43.897,43.176,43.536,2022-06-09,43.583,43.934,43.213,43.564,43.54,43.9155,43.194500000000005,43.55,0.0279999999999986
43.086,43.257,42.336,42.447,2022-06-10,43.184,43.363,42.373,42.473,43.135,43.31,42.3545,42.46,0.0259999999999962
42.447,42.447,42.447,42.447,2022-06-11,42.473,42.473,42.473,42.473,42.46,42.46,42.46,42.46,0.0259999999999962
42.447,42.447,42.447,42.447,2022-06-12,42.473,42.473,42.473,42.473,42.46,42.46,42.46,42.46,0.0259999999999962
42.207,42.587,41.776,42.186,2022-06-13,42.303,42.624,41.813,42.214,42.255,42.605500000000006,41.7945,42.2,0.0279999999999986
42.368,42.388,40.678,40.858,2022-06-14,42.422,42.422,40.702,40.882,42.395,42.405,40.69,40.87,0.0240000000000009
41.188,42.418,40.758,42.388,2022-06-15,41.202,42.442,40.782,42.412,41.195,42.43,40.77,42.4,0.0240000000000009
42.098,42.228,41.228,41.528,2022-06-16,42.132,42.282,41.252,41.562,42.115,42.255,41.24,41.545,0.0339999999999989
41.578,42.048,41.078,41.708,2022-06-17,41.642,42.082,41.102,41.722,41.61,42.065,41.09,41.715,0.0140000000000028
41.708,41.708,41.708,41.708,2022-06-18,41.722,41.722,41.722,41.722,41.715,41.715,41.715,41.715,0.0140000000000028
41.708,41.708,41.708,41.708,2022-06-19,41.722,41.722,41.722,41.722,41.715,41.715,41.715,41.715,0.0140000000000028
41.518,41.698,39.918,40.228,2022-06-20,41.582,41.762,39.942,40.252,41.55,41.73,39.93,40.24,0.0240000000000009
40.408,41.088,40.118,40.948,2022-06-21,40.552,41.102,40.152,40.962,40.48,41.095,40.135000000000005,40.955,0.0140000000000028
40.818,41.588,40.348,41.578,2022-06-22,40.832,41.612,40.372,41.602,40.825,41.6,40.36,41.59,0.0239999999999938
41.408,42.318,41.258,42.268,2022-06-23,41.442,42.342,41.332,42.302,41.425,42.33,41.295,42.285,0.0339999999999989
42.578,43.828,42.578,43.588,2022-06-24,42.782,43.852,42.612,43.622,42.68,43.84,42.595,43.605,0.0339999999999989
43.588,43.588,43.588,43.588,2022-06-25,43.622,43.622,43.622,43.622,43.605,43.605,43.605,43.605,0.0339999999999989
43.588,43.588,43.588,43.588,2022-06-26,43.622,43.622,43.622,43.622,43.605,43.605,43.605,43.605,0.0339999999999989
43.798,44.668,43.708,44.648,2022-06-27,43.842,44.692,43.732,44.672,43.82,44.68,43.72,44.66,0.0239999999999938
44.358,45.098,44.328,44.618,2022-06-28,44.462,45.152,44.422,44.652,44.41,45.125,44.375,44.635000000000005,0.0339999999999989
44.328,44.708,43.608,44.478,2022-06-29,44.402,44.732,43.642,44.502,44.365,44.72,43.625,44.49,0.0240000000000009
44.248,44.948,43.728,44.658,2022-06-30,44.352,44.972,43.752,44.672,44.3,44.96,43.74,44.665,0.0139999999999957
43.788,45.418,43.608,45.418,2022-07-01,43.802,45.432,43.682,45.432,43.795,45.425,43.645,45.425,0.0140000000000028
45.418,45.418,45.418,45.418,2022-07-02,45.432,45.432,45.432,45.432,45.425,45.425,45.425,45.425,0.0140000000000028
45.418,45.418,45.418,45.418,2022-07-03,45.432,45.432,45.432,45.432,45.425,45.425,45.425,45.425,0.0140000000000028
45.618,46.428,45.618,46.338,2022-07-04,45.702,46.452,45.702,46.362,45.66,46.44,45.66,46.35,0.0240000000000009
46.728,46.928,45.778,46.558,2022-07-05,46.742,46.952,45.792,46.582,46.735,46.94,45.785,46.57,0.0240000000000009
46.998,47.688,46.638,47.328,2022-07-06,47.062,47.722,46.662,47.352,47.03,47.705,46.65,47.34,0.0239999999999938
47.498,47.948,46.768,47.918,2022-07-07,47.542,47.962,46.802,47.932,47.52,47.955,46.785,47.925,0.0140000000000028
47.978,48.118,46.898,47.478,2022-07-08,47.992,48.162,46.932,47.502,47.985,48.14,46.915000000000006,47.49,0.0240000000000009
47.478,47.478,47.478,47.478,2022-07-09,47.502,47.502,47.502,47.502,47.49,47.49,47.49,47.49,0.0240000000000009
47.478,47.478,47.478,47.478,2022-07-10,47.502,47.502,47.502,47.502,47.49,47.49,47.49,47.49,0.0240000000000009
47.258,47.848,47.248,47.658,2022-07-11,47.402,47.872,47.302,47.682,47.33,47.86,47.275,47.67,0.0240000000000009
47.328,47.488,46.158,46.578,2022-07-12,47.382,47.522,46.192,46.612,47.355,47.505,46.175,46.595,0.0339999999999989
46.528,46.708,45.448,46.168,2022-07-13,46.552,46.732,45.542,46.192,46.54,46.72,45.495000000000005,46.18,0.0240000000000009
45.998,46.458,45.368,45.498,2022-07-14,46.042,46.492,45.412,45.522,46.02,46.475,45.39,45.51,0.0240000000000009
45.878,46.348,45.438,46.278,2022-07-15,45.922,46.382,45.462,46.292,45.9,46.365,45.45,46.285,0.0140000000000028
46.278,46.278,46.278,46.278,2022-07-16,46.292,46.292,46.292,46.292,46.285,46.285,46.285,46.285,0.0140000000000028
46.278,46.278,46.278,46.278,2022-07-17,46.292,46.292,46.292,46.292,46.285,46.285,46.285,46.285,0.0140000000000028
46.278,46.738,45.558,45.618,2022-07-18,46.332,46.772,45.582,45.632,46.305,46.755,45.57,45.625,0.0139999999999957
45.278,45.838,44.788,45.788,2022-07-19,45.322,45.872,44.822,45.822,45.3,45.855,44.805,45.805,0.034000000000006
45.858,45.968,45.398,45.728,2022-07-20,45.872,46.002,45.432,45.742,45.865,45.985,45.415000000000006,45.735,0.0139999999999957
45.708,47.688,45.598,47.338,2022-07-21,45.752,47.722,45.612,47.372,45.73,47.705,45.605,47.355,0.0339999999999989
47.298,47.708,46.658,46.898,2022-07-22,47.422,47.752,46.692,46.922,47.36,47.73,46.675,46.91,0.0239999999999938
46.898,46.898,46.898,46.898,2022-07-23,46.922,46.922,46.922,46.922,46.91,46.91,46.91,46.91,0.0239999999999938
46.898,46.898,46.898,46.898,2022-07-24,46.922,46.922,46.922,46.922,46.91,46.91,46.91,46.91,0.0239999999999938
46.518,46.988,46.078,46.378,2022-07-25,46.532,47.022,46.102,46.402,46.525,47.005,46.09,46.39,0.0240000000000009
46.158,46.658,46.038,46.438,2022-07-26,46.262,46.682,46.072,46.472,46.21,46.67,46.055,46.455,0.0339999999999989
46.808,47.208,46.338,46.878,2022-07-27,46.932,47.232,46.362,46.902,46.870000000000005,47.22,46.35,46.89,0.0240000000000009
47.158,48.338,46.598,48.338,2022-07-28,47.372,48.362,46.652,48.362,47.265,48.35,46.625,48.35,0.0240000000000009
48.628,49.178,48.218,48.778,2022-07-29,48.642,49.202,48.262,48.802,48.635000000000005,49.19,48.24,48.79,0.0240000000000009
48.778,48.778,48.778,48.778,2022-07-30,48.802,48.802,48.802,48.802,48.79,48.79,48.79,48.79,0.0240000000000009
48.778,48.778,48.778,48.778,2022-07-31,48.802,48.802,48.802,48.802,48.79,48.79,48.79,48.79,0.0240000000000009
48.668,48.848,48.278,48.618,2022-08-01,48.682,48.872,48.302,48.642,48.675,48.86,48.29,48.63,0.0240000000000009
48.128,48.698,47.448,48.518,2022-08-02,48.202,48.712,47.482,48.552,48.165,48.705,47.465,48.535,0.0339999999999989
48.498,48.998,48.338,48.828,2022-08-03,48.572,49.022,48.382,48.872,48.535,49.01,48.36,48.85,0.0439999999999969
49.198,49.368,48.518,48.728,2022-08-04,49.252,49.402,48.542,48.762,49.225,49.385000000000005,48.53,48.745000000000005,0.0339999999999989
48.848,49.078,48.048,48.378,2022-08-05,48.912,49.122,48.072,48.402,48.88,49.1,48.06,48.39,0.0240000000000009
48.378,48.378,48.378,48.378,2022-08-06,48.402,48.402,48.402,48.402,48.39,48.39,48.39,48.39,0.0240000000000009
48.378,48.378,48.378,48.378,2022-08-07,48.402,48.402,48.402,48.402,48.39,48.39,48.39,48.39,0.0240000000000009
48.658,48.858,48.368,48.618,2022-08-08,48.742,48.932,48.402,48.642,48.7,48.895,48.385000000000005,48.63,0.0240000000000009
48.358,48.708,47.618,47.688,2022-08-09,48.432,48.772,47.632,47.712,48.395,48.74,47.625,47.7,0.0240000000000009
47.168,48.198,46.998,48.148,2022-08-10,47.192,48.222,47.022,48.172,47.18,48.21,47.01,48.16,0.0239999999999938
48.128,48.828,48.128,48.608,2022-08-11,48.162,48.852,48.162,48.642,48.145,48.84,48.145,48.625,0.034000000000006
48.298,48.448,47.818,48.398,2022-08-12,48.382,48.472,47.852,48.422,48.34,48.46,47.835,48.41,0.0239999999999938
48.398,48.398,48.398,48.398,2022-08-13,48.422,48.422,48.422,48.422,48.41,48.41,48.41,48.41,0.0239999999999938
