bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
397.33,400.8,396.04,397.368,2017-11-02,400.0,403.0,396.81,397.472,398.665,401.9,396.425,397.42,0.103999999999985
399.998,408.465,398.397,408.338,2017-11-03,400.222,408.553,400.212,408.412,400.11,408.509,399.3045,408.375,0.0739999999999554
408.338,408.338,408.338,408.338,2017-11-04,408.412,408.412,408.412,408.412,408.375,408.375,408.375,408.375,0.0739999999999554
408.338,408.338,408.338,408.338,2017-11-05,408.412,408.412,408.412,408.412,408.375,408.375,408.375,408.375,0.0739999999999554
409.998,416.487,406.277,406.618,2017-11-06,412.793,417.002,406.592,406.632,411.3955,416.7445,406.4345,406.625,0.01400000000001
406.627,411.088,401.767,403.488,2017-11-07,408.003,411.743,402.032,403.962,407.315,411.4155,401.8995,403.725,0.4739999999999895
417.997,431.79,405.008,415.137,2017-11-08,418.063,432.502,405.632,415.263,418.03,432.146,405.32,415.2,0.1259999999999763
410.088,412.487,396.627,406.048,2017-11-09,414.022,414.022,397.082,406.212,412.055,413.2545,396.8545,406.13,0.1639999999999872
403.692,404.998,397.998,404.408,2017-11-10,405.452,407.003,398.732,404.542,404.572,406.0005,398.365,404.475,0.1339999999999577
404.408,404.408,404.408,404.408,2017-11-11,404.542,404.542,404.542,404.542,404.475,404.475,404.475,404.475,0.1339999999999577
404.408,404.408,404.408,404.408,2017-11-12,404.542,404.542,404.542,404.542,404.475,404.475,404.475,404.475,0.1339999999999577
398.027,401.737,391.127,393.457,2017-11-13,400.003,402.263,391.422,393.622,399.015,402.0,391.2745,393.5395,0.1650000000000204
391.997,393.698,383.797,384.787,2017-11-14,393.303,395.593,383.94,384.803,392.65,394.6455,383.8685,384.795,0.0160000000000195
384.887,388.688,382.997,386.137,2017-11-15,384.993,389.003,383.813,386.413,384.94,388.8455,383.405,386.275,0.2760000000000104
386.988,395.588,381.558,394.687,2017-11-16,389.002,395.803,382.412,394.752,387.995,395.6955,381.985,394.7195,0.0649999999999977
393.358,396.158,390.517,391.457,2017-11-17,394.502,396.543,390.652,391.753,393.93,396.3505,390.5845,391.605,0.2959999999999922
391.457,391.457,391.457,391.457,2017-11-18,391.753,391.753,391.753,391.753,391.605,391.605,391.605,391.605,0.2959999999999922
391.457,391.457,391.457,391.457,2017-11-19,391.753,391.753,391.753,391.753,391.605,391.605,391.605,391.605,0.2959999999999922
390.498,392.988,383.477,385.048,2017-11-20,392.372,393.413,383.713,385.222,391.435,393.2005,383.595,385.135,0.1739999999999781
384.028,388.018,383.298,384.447,2017-11-21,385.202,388.762,383.482,384.513,384.615,388.39,383.39,384.48,0.065999999999974
384.437,388.118,383.998,387.548,2017-11-22,384.553,388.483,384.553,387.612,384.495,388.3005,384.2755,387.58,0.0640000000000213
387.548,387.548,387.548,387.548,2017-11-23,387.612,387.612,387.612,387.612,387.58,387.58,387.58,387.58,0.0640000000000213
388.457,392.448,384.087,384.787,2017-11-24,389.143,393.003,384.322,385.002,388.8,392.7255,384.2045,384.8945,0.2150000000000318
384.787,384.787,384.787,384.787,2017-11-25,385.002,385.002,385.002,385.002,384.8945,384.8945,384.8945,384.8945,0.2150000000000318
384.787,384.787,384.787,384.787,2017-11-26,385.002,385.002,385.002,385.002,384.8945,384.8945,384.8945,384.8945,0.2150000000000318
