bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
194.327,200.087,192.426,196.707,2022-05-13,198.093,200.543,196.234,197.053,196.21,200.315,194.33,196.88,0.3460000000000036
196.707,196.707,196.707,196.707,2022-05-14,197.053,197.053,197.053,197.053,196.88,196.88,196.88,196.88,0.3460000000000036
196.707,196.707,196.707,196.707,2022-05-15,197.053,197.053,197.053,197.053,196.88,196.88,196.88,196.88,0.3460000000000036
195.676,198.787,194.447,196.726,2022-05-16,198.634,200.124,195.143,196.954,197.155,199.4555,194.795,196.84,0.2280000000000086
197.137,199.676,194.476,197.667,2022-05-17,200.053,201.373,194.913,197.923,198.595,200.5245,194.6945,197.795,0.2560000000000002
193.697,196.266,190.096,191.207,2022-05-18,195.843,196.924,190.313,191.403,194.77,196.595,190.2045,191.305,0.1959999999999979
190.106,199.527,190.106,197.376,2022-05-19,192.994,199.994,191.314,197.544,191.55,199.7605,190.71,197.46,0.1680000000000063
198.526,201.966,192.856,197.556,2022-05-20,199.854,202.774,193.733,197.844,199.19,202.37,193.2945,197.7,0.2879999999999825
197.556,197.556,197.556,197.556,2022-05-21,197.844,197.844,197.844,197.844,197.7,197.7,197.7,197.7,0.2879999999999825
197.556,197.556,197.556,197.556,2022-05-22,197.844,197.844,197.844,197.844,197.7,197.7,197.7,197.7,0.2879999999999825
195.046,199.337,194.996,198.377,2022-05-23,201.454,202.593,195.623,198.763,198.25,200.965,195.3095,198.57,0.3859999999999957
189.157,196.777,189.156,195.307,2022-05-24,197.923,198.463,193.153,195.563,193.54,197.62,191.1545,195.435,0.2560000000000002
193.686,196.297,191.867,195.336,2022-05-25,195.974,196.943,192.693,195.644,194.83,196.62,192.28,195.49,0.3079999999999927
196.797,202.807,195.366,201.997,2022-05-26,198.463,204.203,196.943,202.273,197.63,203.505,196.1545,202.135,0.275999999999982
201.646,208.376,201.646,208.077,2022-05-27,204.204,208.854,204.094,208.343,202.925,208.615,202.87,208.21,0.2659999999999911
208.077,208.077,208.077,208.077,2022-05-28,208.343,208.343,208.343,208.343,208.21,208.21,208.21,208.21,0.2659999999999911
208.077,208.077,208.077,208.077,2022-05-29,208.343,208.343,208.343,208.343,208.21,208.21,208.21,208.21,0.2659999999999911
208.077,208.077,208.077,208.077,2022-05-30,208.343,208.343,208.343,208.343,208.21,208.21,208.21,208.21,0.2659999999999911
205.317,206.597,201.916,203.097,2022-05-31,207.853,208.524,202.594,203.323,206.585,207.5605,202.255,203.21,0.2259999999999991
202.546,206.946,201.106,202.567,2022-06-01,216.104,216.104,201.693,202.813,209.325,211.525,201.3995,202.69,0.2459999999999809
203.086,211.346,200.556,211.007,2022-06-02,204.314,211.843,202.463,211.353,203.7,211.5945,201.5095,211.18,0.3460000000000036
