bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
44.359,44.563,44.349,44.459,2020-12-17,44.391,44.601,44.381,44.499,44.375,44.582,44.365,44.479,0.0399999999999991
44.469,45.069,44.469,44.81,2020-12-18,44.741,45.111,44.588,44.85,44.605,45.09,44.5285,44.83,0.0399999999999991
44.81,44.81,44.81,44.81,2020-12-19,44.85,44.85,44.85,44.85,44.83,44.83,44.83,44.83,0.0399999999999991
44.809,44.809,44.809,44.809,2020-12-20,44.851,44.851,44.851,44.851,44.83,44.83,44.83,44.83,0.0420000000000015
44.3,44.77,43.69,44.039,2020-12-21,45.09,45.09,43.736,44.081,44.695,44.93000000000001,43.713,44.06,0.0420000000000015
44.02,44.43,43.97,44.35,2020-12-22,44.34,44.5,44.03,44.4,44.18000000000001,44.465,44.0,44.375,0.0499999999999971
44.1,44.721,44.1,44.349,2020-12-23,44.92,44.92,44.24,44.401,44.510000000000005,44.8205,44.17,44.375,0.0520000000000067
44.349,44.349,44.349,44.349,2020-12-24,44.401,44.401,44.401,44.401,44.375,44.375,44.375,44.375,0.0520000000000067
44.349,44.349,44.349,44.349,2020-12-25,44.401,44.401,44.401,44.401,44.375,44.375,44.375,44.375,0.0520000000000067
44.349,44.349,44.349,44.349,2020-12-26,44.401,44.401,44.401,44.401,44.375,44.375,44.375,44.375,0.0520000000000067
44.349,44.349,44.349,44.349,2020-12-27,44.401,44.401,44.401,44.401,44.375,44.375,44.375,44.375,0.0520000000000067
44.12,45.092,44.119,44.7,2020-12-28,44.72,45.14,44.468,44.73,44.42,45.116,44.2935,44.715,0.029999999999994
44.45,45.131,44.45,45.02,2020-12-29,45.07,45.17,44.618,45.06,44.760000000000005,45.1505,44.534000000000006,45.040000000000006,0.0399999999999991
44.73,45.68,44.73,45.33,2020-12-30,45.42,45.73,45.128,45.39,45.075,45.705,44.929,45.36,0.0600000000000022
45.33,45.33,45.33,45.33,2021-01-01,45.39,45.39,45.39,45.39,45.36,45.36,45.36,45.36,0.0600000000000022
45.33,45.33,45.33,45.33,2021-01-02,45.39,45.39,45.39,45.39,45.36,45.36,45.36,45.36,0.0600000000000022
45.33,45.33,45.33,45.33,2021-01-03,45.39,45.39,45.39,45.39,45.36,45.36,45.36,45.36,0.0600000000000022
45.0,45.23,44.76,44.79,2021-01-04,45.54,45.54,44.84,44.84,45.27,45.385,44.8,44.815,0.0500000000000042
44.839,45.569,44.659,45.279,2021-01-05,45.001,45.591,44.721,45.32,44.92,45.58,44.69,45.2995,0.0409999999999968
45.229,45.229,43.46,43.47,2021-01-06,45.391,45.391,43.52,43.52,45.31,45.31,43.49,43.495000000000005,0.0500000000000042
43.709,43.819,41.969,42.049,2021-01-07,43.851,43.921,41.991,42.101,43.78,43.870000000000005,41.98,42.075,0.0519999999999996
42.009,42.949,41.919,42.769,2021-01-08,42.081,42.991,42.051,42.851,42.045,42.97,41.985,42.81,0.0820000000000007
42.769,42.769,42.769,42.769,2021-01-09,42.851,42.851,42.851,42.851,42.81,42.81,42.81,42.81,0.0820000000000007
42.769,42.769,42.769,42.769,2021-01-10,42.851,42.851,42.851,42.851,42.81,42.81,42.81,42.81,0.0820000000000007
42.609,43.079,42.189,42.789,2021-01-11,42.741,43.121,42.241,42.841,42.675,43.1,42.215,42.815,0.0519999999999996
42.839,42.979,42.509,42.819,2021-01-12,43.011,43.151,42.561,42.861,42.925,43.065,42.535,42.84,0.0419999999999944
42.749,43.669,42.659,43.589,2021-01-13,42.891,43.701,42.771,43.641,42.82,43.685,42.715,43.615,0.0519999999999996
43.559,44.149,43.369,43.959,2021-01-14,43.741,44.201,43.431,44.021,43.65,44.175,43.4,43.99,0.0619999999999976
43.709,43.959,43.459,43.619,2021-01-15,43.831,44.051,43.521,43.671,43.77,44.005,43.49,43.645,0.0519999999999996
43.619,43.619,43.619,43.619,2021-01-16,43.671,43.671,43.671,43.671,43.645,43.645,43.645,43.645,0.0519999999999996
43.619,43.619,43.619,43.619,2021-01-17,43.671,43.671,43.671,43.671,43.645,43.645,43.645,43.645,0.0519999999999996
43.529,43.829,43.379,43.669,2021-01-18,44.731,44.731,43.461,43.711,44.13,44.28,43.42,43.69,0.0420000000000015
43.739,44.049,43.539,43.539,2021-01-19,43.901,44.081,43.571,43.581,43.82,44.065,43.555,43.56,0.0420000000000015
43.379,43.919,42.359,42.459,2021-01-20,43.491,43.961,42.401,42.501,43.435,43.94,42.38,42.48,0.0419999999999944
42.629,43.069,42.519,42.659,2021-01-21,42.751,43.141,42.561,42.711,42.69,43.105,42.54,42.685,0.0519999999999996
42.469,42.969,41.629,42.829,2021-01-22,42.991,42.991,41.681,42.881,42.73,42.98,41.655,42.855,0.0519999999999996
42.829,42.829,42.829,42.829,2021-01-23,42.881,42.881,42.881,42.881,42.855,42.855,42.855,42.855,0.0519999999999996
42.829,42.829,42.829,42.829,2021-01-24,42.881,42.881,42.881,42.881,42.855,42.855,42.855,42.855,0.0519999999999996
42.949,43.049,42.079,42.599,2021-01-25,43.131,43.191,42.131,42.651,43.04,43.120000000000005,42.105,42.625,0.0520000000000067
42.259,42.629,42.199,42.469,2021-01-26,42.461,42.661,42.231,42.521,42.36,42.645,42.215,42.495000000000005,0.0519999999999996
42.219,42.999,41.979,42.509,2021-01-27,42.491,43.071,42.051,42.561,42.355,43.035,42.015,42.535,0.0519999999999996
42.459,42.459,41.589,42.069,2021-01-28,42.771,42.811,41.621,42.111,42.615,42.635000000000005,41.605,42.09,0.0419999999999944
41.469,42.809,40.939,42.639,2021-01-29,41.621,42.871,41.141,42.671,41.545,42.84,41.04,42.655,0.0319999999999964
42.639,42.639,42.639,42.639,2021-01-30,42.671,42.671,42.671,42.671,42.655,42.655,42.655,42.655,0.0319999999999964
