bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
261.903,279.368,258.793,277.771,2020-11-23,264.28,280.817,260.813,277.926,263.0915,280.0925,259.803,277.8485,0.1549999999999727
277.756,283.659,266.82,272.313,2020-11-24,277.914,285.275,268.244,273.714,277.835,284.467,267.53200000000004,273.0135,1.4010000000000105
272.517,278.52,263.26,277.381,2020-11-25,273.617,280.051,265.588,279.472,273.067,279.2855,264.424,278.4265,2.091000000000008
277.381,277.381,277.381,277.381,2020-11-26,279.472,279.472,279.472,279.472,278.4265,278.4265,278.4265,278.4265,2.091000000000008
276.824,281.24,268.605,274.35,2020-11-27,278.415,283.267,272.113,275.843,277.6195,282.25350000000003,270.35900000000004,275.0965,1.492999999999995
274.35,274.35,274.35,274.35,2020-11-28,275.843,275.843,275.843,275.843,275.0965,275.0965,275.0965,275.0965,1.492999999999995
274.35,274.35,274.35,274.35,2020-11-29,275.843,275.843,275.843,275.843,275.0965,275.0965,275.0965,275.0965,1.492999999999995
272.095,293.643,266.875,292.671,2020-11-30,275.615,295.0,267.762,293.19,273.855,294.3215,267.3185,292.9305,0.5190000000000055
292.652,294.872,278.111,283.83,2020-12-01,293.129,298.992,279.615,285.39,292.8905,296.932,278.863,284.61,1.5600000000000025
283.449,303.264,272.46,280.739,2020-12-02,285.676,306.286,274.099,281.166,284.5625,304.775,273.2795,280.9525,0.4270000000000209
279.98,292.005,274.098,288.455,2020-12-03,281.834,293.406,274.561,290.524,280.90700000000004,292.70550000000003,274.3295,289.4895,2.069000000000017
288.688,297.955,284.748,295.23,2020-12-04,290.788,299.424,286.71,296.006,289.738,298.68949999999995,285.729,295.618,0.7759999999999536
295.23,295.23,295.23,295.23,2020-12-05,296.006,296.006,296.006,296.006,295.618,295.618,295.618,295.618,0.7759999999999536
295.23,295.23,295.23,295.23,2020-12-06,296.006,296.006,296.006,296.006,295.618,295.618,295.618,295.618,0.7759999999999536
287.396,303.338,283.486,298.538,2020-12-07,289.703,305.673,285.821,300.284,288.5495,304.5055,284.6535,299.411,1.745999999999981
298.678,309.39,293.584,305.652,2020-12-08,301.297,311.563,295.835,307.574,299.9875,310.4765,294.7095,306.613,1.9220000000000252
305.92,332.84,301.922,305.884,2020-12-09,306.422,335.535,303.379,307.402,306.17100000000005,334.1875,302.6505,306.64300000000003,1.5179999999999725
305.007,322.241,282.029,320.557,2020-12-10,307.506,323.886,284.25,321.852,306.2565,323.0635,283.1395,321.2045,1.294999999999959
320.363,331.79,296.025,328.885,2020-12-11,321.774,333.173,298.491,330.785,321.0685,332.4815,297.258,329.83500000000004,1.900000000000034
328.885,328.885,328.885,328.885,2020-12-12,330.785,330.785,330.785,330.785,329.83500000000004,329.83500000000004,329.83500000000004,329.83500000000004,1.900000000000034
328.885,328.885,328.885,328.885,2020-12-13,330.785,330.785,330.785,330.785,329.83500000000004,329.83500000000004,329.83500000000004,329.83500000000004,1.900000000000034
330.34,335.772,294.213,323.352,2020-12-14,332.716,339.027,296.54,325.169,331.528,337.3995,295.3765,324.2605,1.8170000000000075
323.423,330.811,286.725,320.201,2020-12-15,325.36,332.331,288.326,320.652,324.3915,331.571,287.5255,320.42650000000003,0.450999999999965
319.842,341.792,299.422,340.202,2020-12-16,321.382,343.33,300.851,342.081,320.612,342.561,300.1365,341.1415,1.879000000000019
340.642,348.002,325.191,328.496,2020-12-17,341.316,349.743,326.7,328.671,340.979,348.8725,325.9455,328.5835,0.1750000000000113
328.446,343.525,315.583,339.76,2020-12-18,328.829,344.973,317.388,341.64,328.63750000000005,344.249,316.4855,340.7,1.8799999999999957
339.76,339.76,339.76,339.76,2020-12-19,341.64,341.64,341.64,341.64,340.7,340.7,340.7,340.7,1.8799999999999957
339.76,339.76,339.76,339.76,2020-12-20,341.64,341.64,341.64,341.64,340.7,340.7,340.7,340.7,1.8799999999999957
340.908,358.653,322.205,355.194,2020-12-21,347.738,360.138,324.676,355.484,344.323,359.3955,323.4405,355.339,0.2899999999999636
354.144,361.479,335.999,354.325,2020-12-22,356.585,362.793,344.753,356.083,355.3645,362.136,340.376,355.204,1.7580000000000382
351.508,360.668,346.717,347.997,2020-12-23,353.092,373.693,348.082,363.003,352.29999999999995,367.1805,347.3995,355.5,15.005999999999972
347.998,363.188,347.497,356.788,2020-12-24,363.002,374.923,355.932,356.982,355.5,369.0555,351.71450000000004,356.885,0.1940000000000168
356.788,356.788,356.788,356.788,2020-12-25,356.982,356.982,356.982,356.982,356.885,356.885,356.885,356.885,0.1940000000000168
356.788,356.788,356.788,356.788,2020-12-26,356.982,356.982,356.982,356.982,356.885,356.885,356.885,356.885,0.1940000000000168
356.788,356.788,356.788,356.788,2020-12-27,356.982,356.982,356.982,356.982,356.885,356.885,356.885,356.885,0.1940000000000168
360.097,360.098,337.707,340.407,2020-12-28,360.633,361.003,339.782,340.953,360.365,360.5505,338.7445,340.67999999999995,0.5459999999999923
338.997,344.598,332.047,339.497,2020-12-29,339.313,345.563,332.782,339.773,339.155,345.08050000000003,332.4145,339.635,0.2760000000000104
338.997,343.688,333.497,335.997,2020-12-30,353.153,353.153,333.752,347.993,346.07500000000005,348.4205,333.6245,341.995,11.99599999999998
330.998,330.998,330.998,330.998,2021-01-01,340.002,340.002,340.002,340.002,335.5,335.5,335.5,335.5,9.004000000000019
330.998,330.998,330.998,330.998,2021-01-02,340.002,340.002,340.002,340.002,335.5,335.5,335.5,335.5,9.004000000000019
330.998,330.998,330.998,330.998,2021-01-03,340.002,340.002,340.002,340.002,335.5,335.5,335.5,335.5,9.004000000000019
335.648,336.277,315.998,316.888,2021-01-04,336.562,337.883,316.603,317.932,336.105,337.08,316.3005,317.41,1.0440000000000396
317.997,335.188,317.997,330.948,2021-01-05,334.333,345.473,324.282,345.462,326.165,340.33050000000003,321.1395,338.205,14.51400000000001
319.998,347.748,316.607,342.158,2021-01-06,325.812,348.103,321.632,343.592,322.905,347.9255,319.1195,342.875,1.433999999999969
351.848,379.308,351.848,379.118,2021-01-07,365.002,380.003,353.233,379.292,358.425,379.6555,352.5405,379.205,0.1739999999999781
391.308,402.397,386.757,399.047,2021-01-08,392.552,404.083,387.993,399.503,391.93,403.24,387.375,399.275,0.4559999999999604
399.047,399.047,399.047,399.047,2021-01-09,399.503,399.503,399.503,399.503,399.275,399.275,399.275,399.275,0.4559999999999604
399.047,399.047,399.047,399.047,2021-01-10,399.503,399.503,399.503,399.503,399.275,399.275,399.275,399.275,0.4559999999999604
389.997,415.668,389.997,402.957,2021-01-11,390.633,422.233,390.633,422.233,390.315,418.9505,390.315,412.595,19.27600000000001
404.997,419.587,404.997,414.598,2021-01-12,416.003,420.283,406.463,415.602,410.5,419.935,405.73,415.1,1.0039999999999625
416.997,422.368,404.118,407.708,2021-01-13,421.083,423.082,404.803,422.872,419.04,422.725,404.4605,415.29,15.163999999999987
411.378,422.377,409.997,418.498,2021-01-14,412.412,423.503,411.602,419.082,411.895,422.94,410.7995,418.79,0.5840000000000032
401.277,425.537,401.277,407.498,2021-01-15,421.033,426.993,407.492,409.352,411.155,426.265,404.3845,408.425,1.853999999999985
407.498,407.498,407.498,407.498,2021-01-16,409.352,409.352,409.352,409.352,408.425,408.425,408.425,408.425,1.853999999999985
407.498,407.498,407.498,407.498,2021-01-17,409.352,409.352,409.352,409.352,408.425,408.425,408.425,408.425,1.853999999999985
407.498,407.498,407.498,407.498,2021-01-18,409.352,409.352,409.352,409.352,408.425,408.425,408.425,408.425,1.853999999999985
420.127,437.898,420.127,433.988,2021-01-19,427.503,438.992,422.343,434.132,423.815,438.4450000000001,421.235,434.06,0.1440000000000054
442.808,446.168,424.997,427.667,2021-01-20,460.532,460.532,426.153,429.053,451.67,453.35,425.5750000000001,428.36,1.386000000000024
428.998,429.658,417.767,423.458,2021-01-21,431.512,431.513,419.133,425.322,430.255,430.5855,418.45,424.39,1.863999999999976
422.497,429.348,417.508,422.847,2021-01-22,423.413,430.293,418.463,423.033,422.955,429.8205,417.9855,422.94,0.1860000000000354
422.847,422.847,422.847,422.847,2021-01-23,423.033,423.033,423.033,423.033,422.94,422.94,422.94,422.94,0.1860000000000354
422.847,422.847,422.847,422.847,2021-01-24,423.033,423.033,423.033,423.033,422.94,422.94,422.94,422.94,0.1860000000000354
430.838,443.787,414.997,426.598,2021-01-25,431.692,444.003,415.772,426.892,431.265,443.895,415.3845,426.745,0.2939999999999827
419.197,428.787,399.997,403.107,2021-01-26,433.333,433.333,400.453,404.933,426.265,431.06,400.225,404.02,1.825999999999965
393.387,419.618,383.307,401.977,2021-01-27,406.403,420.003,384.503,403.973,399.895,419.8105,383.905,402.975,1.9960000000000375
405.407,408.177,391.158,401.628,2021-01-28,406.813,409.423,392.873,404.082,406.11,408.8,392.0155,402.855,2.454000000000008
400.968,405.497,383.087,389.017,2021-01-29,402.962,410.162,384.292,389.553,401.965,407.8295,383.6895,389.285,0.5360000000000014
389.017,389.017,389.017,389.017,2021-01-30,389.553,389.553,389.553,389.553,389.285,389.285,389.285,389.285,0.5360000000000014
389.017,389.017,389.017,389.017,2021-01-31,389.553,389.553,389.553,389.553,389.285,389.285,389.285,389.285,0.5360000000000014
392.998,416.127,392.997,415.998,2021-02-01,405.002,417.003,393.993,416.202,399.0,416.565,393.495,416.1,0.2040000000000077
419.498,419.717,407.998,417.857,2021-02-02,420.272,423.513,409.343,419.003,419.885,421.615,408.6705,418.43,1.1459999999999582
419.497,432.177,419.497,423.997,2021-02-03,425.003,433.103,422.802,425.213,422.25,432.64,421.1495,424.605,1.2160000000000082
409.998,432.367,409.998,432.328,2021-02-04,428.802,435.242,421.592,432.682,419.4,433.8045,415.795,432.505,0.3540000000000418
429.998,442.757,423.257,439.827,2021-02-05,437.002,444.183,431.082,441.093,433.5,443.47,427.1695,440.46,1.2660000000000196
439.827,439.827,439.827,439.827,2021-02-06,441.093,441.093,441.093,441.093,440.46,440.46,440.46,440.46,1.2660000000000196
439.827,439.827,439.827,439.827,2021-02-07,441.093,441.093,441.093,441.093,440.46,440.46,440.46,440.46,1.2660000000000196
443.978,448.858,431.497,433.107,2021-02-08,444.112,450.003,432.103,436.383,444.045,449.4305,431.8,434.745,3.2759999999999536
433.858,483.668,433.008,467.148,2021-02-09,435.942,485.173,434.702,467.302,434.9,484.4205,433.855,467.225,0.1539999999999963
469.948,477.767,448.997,469.697,2021-02-10,480.002,480.002,450.352,470.243,474.975,478.8845,449.6745,469.97,0.5459999999999923
464.998,478.657,461.417,465.497,2021-02-11,477.002,479.953,463.403,465.963,471.0,479.305,462.41,465.73,0.4660000000000082
459.997,469.798,455.487,468.257,2021-02-12,476.313,476.313,458.922,469.803,468.155,473.0555,457.20450000000005,469.03,1.5459999999999925
468.257,468.257,468.257,468.257,2021-02-13,469.803,469.803,469.803,469.803,469.03,469.03,469.03,469.03,1.5459999999999925
468.257,468.257,468.257,468.257,2021-02-14,469.803,469.803,469.803,469.803,469.03,469.03,469.03,469.03,1.5459999999999925
468.257,468.257,468.257,468.257,2021-02-15,469.803,469.803,469.803,469.803,469.03,469.03,469.03,469.03,1.5459999999999925
472.998,486.248,464.958,469.448,2021-02-16,488.812,488.813,466.532,471.212,480.905,487.5305,465.745,470.33,1.76400000000001
449.998,457.117,435.377,455.288,2021-02-17,468.422,468.423,436.403,458.422,459.21,462.77,435.89,456.855,3.1340000000000146
435.097,461.987,435.097,452.118,2021-02-18,453.953,464.323,442.222,454.412,444.525,463.155,438.6595,453.265,2.2939999999999827
