bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
5.0573,5.0581,5.0389,5.0413,2024-09-17,5.0622,5.0703,5.0461,5.0523,5.059749999999999,5.0642,5.0425,5.046799999999999,0.0110000000000001
5.0443,5.0454,5.0234,5.0334,2024-09-18,5.051,5.0573,5.038,5.0439,5.04765,5.051349999999999,5.0307,5.0386500000000005,0.0104999999999995
5.0366,5.0464,5.0317,5.0403,2024-09-19,5.0439,5.0559,5.0389,5.0514,5.04025,5.05115,5.035299999999999,5.04585,0.0110999999999998
5.0414,5.045,5.0316,5.0375,2024-09-20,5.0483,5.0669,5.0392,5.0615,5.04485,5.05595,5.0354,5.0495,0.024
5.0375,5.0375,5.0375,5.0375,2024-09-21,5.0615,5.0615,5.0615,5.0615,5.0495,5.0495,5.0495,5.0495,0.024
5.0375,5.0375,5.0375,5.0375,2024-09-22,5.0615,5.0615,5.0615,5.0615,5.0495,5.0495,5.0495,5.0495,0.024
5.033,5.0524,5.0319,5.0437,2024-09-23,5.059,5.0591,5.0396,5.0582,5.046,5.05575,5.03575,5.05095,0.0144999999999999
5.046,5.0543,5.0355,5.0366,2024-09-24,5.0596,5.0609,5.0416,5.0468,5.0528,5.0576,5.03855,5.0417000000000005,0.0102000000000002
5.0388,5.0556,5.0337,5.0488,2024-09-25,5.0438,5.067,5.0433,5.0633,5.0413,5.0613,5.0385,5.05605,0.0144999999999999
5.0504,5.0565,5.0441,5.0474,2024-09-26,5.0571,5.0651,5.0497,5.0586,5.05375,5.0608,5.0469,5.053,0.0112000000000005
5.0498,5.0571,5.0402,5.0451,2024-09-27,5.0564,5.0675,5.0525,5.0595,5.053100000000001,5.0623000000000005,5.04635,5.0523,0.0144000000000001
5.0451,5.0451,5.0451,5.0451,2024-09-28,5.0595,5.0595,5.0595,5.0595,5.0523,5.0523,5.0523,5.0523,0.0144000000000001
5.0451,5.0451,5.0451,5.0451,2024-09-29,5.0595,5.0595,5.0595,5.0595,5.0523,5.0523,5.0523,5.0523,0.0144000000000001
5.0463,5.069,5.0451,5.0609,2024-09-30,5.0533,5.0751,5.0513,5.0729,5.049799999999999,5.07205,5.0482,5.0669,0.0119999999999995
