bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
100.697,104.047,100.177,103.406,2022-05-13,101.833,104.134,100.783,103.474,101.265,104.0905,100.48,103.44,0.0679999999999978
103.406,103.406,103.406,103.406,2022-05-14,103.474,103.474,103.474,103.474,103.44,103.44,103.44,103.44,0.0679999999999978
103.406,103.406,103.406,103.406,2022-05-15,103.474,103.474,103.474,103.474,103.44,103.44,103.44,103.44,0.0679999999999978
102.146,103.417,101.017,102.006,2022-05-16,104.044,104.044,101.523,102.074,103.095,103.7305,101.27,102.04,0.0679999999999978
102.217,107.437,102.217,106.746,2022-05-17,104.443,107.573,103.053,106.834,103.33,107.505,102.635,106.79,0.088000000000008
105.006,105.937,101.166,101.726,2022-05-18,105.914,106.153,101.443,101.804,105.46,106.045,101.3045,101.765,0.0780000000000029
99.466,103.696,99.466,101.236,2022-05-19,103.084,103.854,100.153,101.324,101.275,103.775,99.8095,101.28,0.0879999999999938
101.676,103.437,98.726,102.956,2022-05-20,104.834,104.834,98.923,103.084,103.255,104.1355,98.8245,103.02,0.1280000000000001
102.956,102.956,102.956,102.956,2022-05-21,103.084,103.084,103.084,103.084,103.02,103.02,103.02,103.02,0.1280000000000001
102.956,102.956,102.956,102.956,2022-05-22,103.084,103.084,103.084,103.084,103.02,103.02,103.02,103.02,0.1280000000000001
101.967,103.147,100.666,102.207,2022-05-23,103.823,103.823,100.843,102.333,102.895,103.485,100.7545,102.27,0.1260000000000047
101.036,101.047,98.306,99.796,2022-05-24,101.354,101.734,98.573,99.844,101.195,101.3905,98.4395,99.82,0.0479999999999876
99.427,102.147,98.736,101.647,2022-05-25,100.893,102.424,99.213,101.713,100.16,102.2855,98.9745,101.68,0.0659999999999882
99.607,105.277,99.607,104.536,2022-05-26,103.233,105.384,100.863,104.654,101.42,105.3305,100.235,104.595,0.117999999999995
105.767,108.557,105.756,108.526,2022-05-27,106.043,108.613,106.043,108.574,105.905,108.585,105.8995,108.55,0.0480000000000018
108.526,108.526,108.526,108.526,2022-05-28,108.574,108.574,108.574,108.574,108.55,108.55,108.55,108.55,0.0480000000000018
108.526,108.526,108.526,108.526,2022-05-29,108.574,108.574,108.574,108.574,108.55,108.55,108.55,108.55,0.0480000000000018
108.526,108.526,108.526,108.526,2022-05-30,108.574,108.574,108.574,108.574,108.55,108.55,108.55,108.55,0.0480000000000018
107.346,109.507,106.176,108.697,2022-05-31,109.924,109.924,106.574,108.833,108.635,109.7155,106.375,108.765,0.1359999999999956
107.877,109.597,105.547,107.196,2022-06-01,112.843,112.843,105.783,107.324,110.36,111.22,105.665,107.26,0.1280000000000001
106.087,110.836,105.696,110.766,2022-06-02,110.233,111.403,106.503,110.844,108.16,111.1195,106.0995,110.805,0.0779999999999887
107.676,108.346,106.407,106.696,2022-06-03,110.014,110.684,106.534,106.774,108.845,109.515,106.4705,106.735,0.0780000000000029
106.696,106.696,106.696,106.696,2022-06-04,106.774,106.774,106.774,106.774,106.735,106.735,106.735,106.735,0.0780000000000029
106.696,106.696,106.696,106.696,2022-06-05,106.774,106.774,106.774,106.774,106.735,106.735,106.735,106.735,0.0780000000000029
106.696,106.696,106.696,106.696,2022-06-06,106.774,106.774,106.774,106.774,106.735,106.735,106.735,106.735,0.0780000000000029
104.796,108.926,104.796,108.547,2022-06-07,110.684,110.684,105.363,108.673,107.74,109.805,105.0795,108.61,0.1260000000000047
107.997,108.977,105.706,106.616,2022-06-08,109.643,109.643,105.983,106.734,108.82,109.31,105.8445,106.675,0.117999999999995
104.997,106.866,103.457,103.467,2022-06-09,108.223,108.223,103.523,103.563,106.61,107.5445,103.49,103.515,0.0960000000000036
100.916,102.567,99.616,100.156,2022-06-10,101.974,103.104,99.703,100.224,101.445,102.8355,99.6595,100.19,0.0679999999999978
100.156,100.156,100.156,100.156,2022-06-11,100.224,100.224,100.224,100.224,100.19,100.19,100.19,100.19,0.0679999999999978
100.156,100.156,100.156,100.156,2022-06-12,100.224,100.224,100.224,100.224,100.19,100.19,100.19,100.19,0.0679999999999978
96.367,98.627,92.686,93.116,2022-06-13,98.533,99.453,92.743,93.204,97.45,99.04,92.7145,93.16,0.0879999999999938
93.556,94.567,91.746,92.657,2022-06-14,94.924,95.084,91.854,92.783,94.24,94.8255,91.8,92.72,0.1260000000000047
93.386,95.907,91.976,94.506,2022-06-15,94.614,96.084,92.323,94.684,94.0,95.9955,92.1495,94.595,0.1779999999999972
