bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
234.58,234.948,233.85,234.726,2017-02-16,234.59,234.955,233.86,234.743,234.585,234.9515,233.855,234.7345,0.0169999999999959
233.945,235.06,233.93,235.045,2017-02-17,233.97,235.074,233.94,235.061,233.9575,235.067,233.935,235.053,0.0160000000000195
235.045,235.045,235.045,235.045,2017-02-18,235.061,235.061,235.061,235.061,235.053,235.053,235.053,235.053,0.0160000000000195
235.045,235.045,235.045,235.045,2017-02-19,235.061,235.061,235.061,235.061,235.053,235.053,235.053,235.053,0.0160000000000195
235.045,235.045,235.045,235.045,2017-02-20,235.061,235.061,235.061,235.061,235.053,235.053,235.053,235.053,0.0160000000000195
235.527,236.679,235.51,236.406,2017-02-21,235.561,236.695,235.52,236.425,235.544,236.687,235.515,236.4155,0.0190000000000054
236.006,236.53,235.83,236.277,2017-02-22,236.023,236.54,235.84,236.292,236.0145,236.535,235.835,236.2845,0.0150000000000147
236.879,236.89,235.56,236.438,2017-02-23,236.891,236.904,235.57,236.462,236.885,236.897,235.565,236.45,0.0240000000000009
235.449,236.779,235.41,236.768,2017-02-24,235.474,236.794,235.42,236.785,235.4615,236.7865,235.415,236.7765,0.0169999999999959
236.768,236.768,236.768,236.768,2017-02-25,236.785,236.785,236.785,236.785,236.7765,236.7765,236.7765,236.7765,0.0169999999999959
236.768,236.768,236.768,236.768,2017-02-26,236.785,236.785,236.785,236.785,236.7765,236.7765,236.7765,236.7765,0.0169999999999959
236.629,237.3,236.35,237.13,2017-02-27,236.645,237.31,236.36,237.14,236.637,237.305,236.355,237.135,0.0099999999999909
236.665,236.94,236.01,236.466,2017-02-28,236.692,236.95,236.023,236.495,236.6785,236.945,236.0165,236.4805,0.0289999999999963
238.366,240.31,238.366,239.718,2017-03-01,238.395,240.32,238.381,239.735,238.3805,240.315,238.3735,239.7265,0.0170000000000243
239.546,239.558,238.208,238.276,2017-03-02,239.581,239.581,238.22,238.304,239.5635,239.5695,238.214,238.29,0.0279999999999915
238.169,238.6,237.73,238.48,2017-03-03,238.192,238.61,237.74,238.49,238.1805,238.605,237.735,238.485,0.0100000000000193
238.48,238.48,238.48,238.48,2017-03-04,238.49,238.49,238.49,238.49,238.485,238.485,238.485,238.485,0.0100000000000193
238.48,238.48,238.48,238.48,2017-03-05,238.49,238.49,238.49,238.49,238.485,238.485,238.485,238.485,0.0100000000000193
237.477,238.11,237.01,237.706,2017-03-06,237.505,238.12,237.02,237.745,237.491,238.115,237.015,237.7255,0.0390000000000156
237.34,237.76,236.76,237.035,2017-03-07,237.361,237.77,236.77,237.055,237.3505,237.765,236.765,237.045,0.0200000000000102
237.336,237.63,236.4,236.588,2017-03-08,237.361,237.64,236.41,236.604,237.3485,237.635,236.405,236.596,0.0160000000000195
236.686,237.23,235.74,236.816,2017-03-09,236.733,237.24,235.75,236.831,236.7095,237.235,235.745,236.8235,0.0149999999999863
237.959,238.01,236.59,237.648,2017-03-10,237.993,238.025,236.6,237.663,237.976,238.0175,236.595,237.6555,0.0150000000000147
237.648,237.648,237.648,237.648,2017-03-11,237.663,237.663,237.663,237.663,237.6555,237.6555,237.6555,237.6555,0.0150000000000147
237.648,237.648,237.648,237.648,2017-03-12,237.663,237.663,237.663,237.663,237.6555,237.6555,237.6555,237.6555,0.0150000000000147
237.55,237.84,237.24,237.708,2017-03-13,237.56,237.865,237.25,237.783,237.555,237.8525,237.245,237.7455,0.0749999999999886
236.35,237.02,236.187,236.926,2017-03-14,236.36,237.03,236.2,236.944,236.355,237.025,236.1935,236.935,0.0180000000000006
237.556,239.42,237.285,238.875,2017-03-15,237.592,239.43,237.3,238.893,237.574,239.425,237.2925,238.884,0.0180000000000006
239.097,239.19,238.1,238.497,2017-03-16,239.122,239.2,238.11,238.512,239.10950000000005,239.195,238.105,238.5045,0.0149999999999863
237.76,237.96,237.06,237.06,2017-03-17,237.77,237.97,237.08,237.08,237.765,237.965,237.07,237.07,0.0200000000000102
237.06,237.06,237.06,237.06,2017-03-18,237.08,237.08,237.08,237.08,237.07,237.07,237.07,237.07,0.0200000000000102
237.06,237.06,237.06,237.06,2017-03-19,237.08,237.08,237.08,237.08,237.07,237.07,237.07,237.07,0.0200000000000102
237.03,237.35,236.32,236.74,2017-03-20,237.04,237.36,236.33,236.75,237.035,237.355,236.325,236.745,0.0099999999999909
237.49,237.6,233.58,233.79,2017-03-21,237.5,237.61,233.59,233.8,237.495,237.605,233.585,233.795,0.0100000000000193
233.7,234.6,233.05,234.27,2017-03-22,233.71,234.61,233.06,234.28,233.705,234.605,233.055,234.275,0.0099999999999909
234.03,235.33,233.6,234.0,2017-03-23,234.04,235.34,233.61,234.02,234.035,235.335,233.605,234.01,0.0200000000000102
234.4,235.03,232.96,233.895,2017-03-24,234.41,235.04,232.97,233.915,234.405,235.035,232.965,233.905,0.0199999999999818
233.895,233.895,233.895,233.895,2017-03-25,233.915,233.915,233.915,233.915,233.905,233.905,233.905,233.905,0.0199999999999818
233.895,233.895,233.895,233.895,2017-03-26,233.915,233.915,233.915,233.915,233.905,233.905,233.905,233.905,0.0199999999999818
231.85,233.908,231.61,233.566,2017-03-27,231.86,233.924,231.62,233.584,231.855,233.916,231.615,233.575,0.0180000000000006
233.299,235.796,233.138,235.276,2017-03-28,233.314,235.813,233.15,235.292,233.3065,235.8045,233.144,235.284,0.0159999999999911
234.966,235.8,234.716,235.578,2017-03-29,234.982,235.814,234.732,235.593,234.974,235.807,234.724,235.5855,0.0149999999999863
235.48,236.51,235.268,236.258,2017-03-30,235.492,236.524,235.281,236.27,235.486,236.517,235.2745,236.264,0.0120000000000004
235.88,236.499,235.676,235.718,2017-03-31,235.893,236.513,235.692,235.762,235.8865,236.506,235.684,235.74,0.0440000000000111
235.718,235.718,235.718,235.718,2017-04-01,235.762,235.762,235.762,235.762,235.74,235.74,235.74,235.74,0.0440000000000111
235.718,235.718,235.718,235.718,2017-04-02,235.762,235.762,235.762,235.762,235.74,235.74,235.74,235.74,0.0440000000000111
235.857,236.028,233.915,235.337,2017-04-03,235.883,236.041,233.924,235.355,235.87,236.0345,233.9195,235.346,0.0180000000000006
234.946,235.569,234.546,235.517,2017-04-04,234.985,235.581,234.561,235.534,234.9655,235.575,234.5535,235.5255,0.0169999999999959
