bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
1493.251,1503.901,1480.854,1482.969,2011-01-04,1512.003,1512.137,1482.012,1485.002,1502.627,1508.019,1481.433,1483.9855,2.0329999999999018
1478.748,1482.902,1458.93,1463.976,2011-01-05,1484.807,1484.933,1460.053,1465.012,1481.7775,1483.9175,1459.4915,1464.494,1.0359999999998308
1464.056,1469.882,1457.941,1461.986,2011-01-06,1465.662,1470.059,1459.007,1463.05,1464.859,1469.9705,1458.4740000000002,1462.518,1.0639999999998508
1461.035,1470.996,1458.924,1468.979,2011-01-07,1464.03,1472.096,1463.102,1470.056,1462.5325,1471.546,1461.013,1469.5175,1.0769999999999982
1468.979,1468.979,1468.979,1468.979,2011-01-08,1470.056,1470.056,1470.056,1470.056,1469.5175,1469.5175,1469.5175,1469.5175,1.0769999999999982
1468.979,1468.979,1468.979,1468.979,2011-01-09,1470.056,1470.056,1470.056,1470.056,1469.5175,1469.5175,1469.5175,1469.5175,1.0769999999999982
1466.923,1470.932,1449.95,1459.959,2011-01-10,1471.366,1473.072,1451.018,1461.004,1469.1445,1472.002,1450.484,1460.4815,1.0449999999998454
1462.964,1464.972,1456.815,1457.925,2011-01-11,1461.543,1466.152,1458.026,1460.033,1462.2534999999998,1465.562,1457.4205000000002,1458.9789999999998,2.1079999999999472
1457.98,1467.984,1453.08,1453.08,2011-01-12,1461.739,1469.078,1455.17,1455.17,1459.8595,1468.531,1454.125,1454.125,2.090000000000145
1452.579,1453.027,1411.932,1412.95,2011-01-13,1454.84,1455.117,1414.027,1414.06,1453.7095,1454.072,1412.9795,1413.505,1.1099999999999
1416.698,1429.995,1414.698,1419.943,2011-01-14,1416.348,1431.115,1414.112,1423.02,1416.523,1430.5549999999998,1414.4050000000002,1421.4815,3.076999999999998
1419.943,1419.943,1419.943,1419.943,2011-01-15,1423.02,1423.02,1423.02,1423.02,1421.4815,1421.4815,1421.4815,1421.4815,3.076999999999998
1419.943,1419.943,1419.943,1419.943,2011-01-16,1423.02,1423.02,1423.02,1423.02,1421.4815,1421.4815,1421.4815,1421.4815,3.076999999999998
1419.918,1423.99,1408.919,1416.872,2011-01-17,1425.18,1427.186,1411.058,1419.067,1422.549,1425.588,1409.9885,1417.9695000000002,2.1949999999999363
1413.874,1457.991,1413.302,1447.935,2011-01-18,1418.787,1459.16,1417.227,1449.04,1416.3305,1458.5755,1415.2645,1448.4875,1.1050000000000182
1445.881,1448.92,1422.941,1427.882,2011-01-19,1450.01,1454.389,1426.089,1430.106,1447.9455,1451.6545,1424.515,1428.994,2.2239999999999327
1430.877,1437.988,1404.766,1412.983,2011-01-20,1434.285,1439.219,1406.003,1415.164,1432.581,1438.6035000000002,1405.3845,1414.0735,2.18100000000004
1415.95,1415.95,1399.854,1402.91,2011-01-21,1417.027,1417.027,1401.008,1405.068,1416.4885,1416.4885,1400.431,1403.989,2.1579999999999018
1402.91,1402.91,1402.91,1402.91,2011-01-22,1405.068,1405.068,1405.068,1405.068,1403.989,1403.989,1403.989,1403.989,2.1579999999999018
1402.91,1402.91,1402.91,1402.91,2011-01-23,1405.068,1405.068,1405.068,1405.068,1403.989,1403.989,1403.989,1403.989,2.1579999999999018
1397.878,1419.955,1396.878,1415.889,2011-01-24,1409.203,1421.242,1398.001,1418.018,1403.5405,1420.5985,1397.4395,1416.9535,2.129000000000133
1434.988,1434.988,1400.816,1425.958,2011-01-25,1437.006,1440.308,1403.045,1428.044,1435.997,1437.648,1401.9305,1427.0010000000002,2.0860000000000127
