bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
5690.2,5939.3,5677.1,5918.3,2018-09-21,5698.5,5943.3,5680.7,5920.2,5694.35,5941.3,5678.9,5919.25,1.899999999999636
5918.3,5918.3,5918.3,5918.3,2018-09-22,5920.2,5920.2,5920.2,5920.2,5919.25,5919.25,5919.25,5919.25,1.899999999999636
5918.3,5918.3,5918.3,5918.3,2018-09-23,5920.2,5920.2,5920.2,5920.2,5919.25,5919.25,5919.25,5919.25,1.899999999999636
5248.7,5927.3,5230.2,5769.7,2018-09-24,5259.1,5931.3,5240.5,5779.2,5253.9,5929.3,5235.35,5774.45,9.5
5814.5,5990.6,5615.1,5901.3,2018-09-25,5825.6,6001.5,5620.7,5909.3,5820.05,5996.05,5617.9,5905.3,8.0
5860.7,6153.8,5832.8,6070.7,2018-09-26,5889.3,6169.3,5855.3,6099.3,5875.0,6161.55,5844.05,6085.0,28.600000000000364
6100.7,6170.8,6010.7,6041.7,2018-09-27,6129.3,6179.3,6028.2,6059.3,6115.0,6175.05,6019.45,6050.5,17.600000000000364
6190.8,6362.8,6110.8,6261.8,2018-09-28,6199.2,6389.2,6137.2,6278.2,6195.0,6376.0,6124.0,6270.0,16.399999999999636
6261.8,6261.8,6261.8,6261.8,2018-09-29,6278.2,6278.2,6278.2,6278.2,6270.0,6270.0,6270.0,6270.0,16.399999999999636
6261.8,6261.8,6261.8,6261.8,2018-09-30,6278.2,6278.2,6278.2,6278.2,6270.0,6270.0,6270.0,6270.0,16.399999999999636
6320.8,6423.8,6230.8,6401.7,2018-10-01,6349.2,6439.3,6249.2,6429.3,6335.0,6431.55,6240.0,6415.5,27.600000000000364
6440.8,6460.8,6100.7,6140.8,2018-10-02,6469.2,6489.3,6117.2,6179.2,6455.0,6475.05,6108.95,6160.0,38.39999999999964
6000.7,6072.7,5830.8,5830.8,2018-10-03,6039.3,6089.3,5857.2,5869.2,6020.0,6081.0,5844.0,5850.0,38.39999999999964
