bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
24710.0,24710.0,24590.0,24590.0,1985-01-02,24710.0,24710.0,24590.0,24590.0,24710.0,24710.0,24590.0,24590.0,0.0
24600.0,24670.0,24600.0,24640.0,1985-01-03,24600.0,24670.0,24600.0,24640.0,24600.0,24670.0,24600.0,24640.0,0.0
24610.0,24610.0,24580.0,24610.0,1985-01-04,24610.0,24610.0,24580.0,24610.0,24610.0,24610.0,24580.0,24610.0,0.0
24610.0,24610.0,24610.0,24610.0,1985-01-05,24610.0,24610.0,24610.0,24610.0,24610.0,24610.0,24610.0,24610.0,0.0
24610.0,24610.0,24610.0,24610.0,1985-01-06,24610.0,24610.0,24610.0,24610.0,24610.0,24610.0,24610.0,24610.0,0.0
24600.0,24620.0,24590.0,24590.0,1985-01-07,24600.0,24620.0,24590.0,24590.0,24600.0,24620.0,24590.0,24590.0,0.0
24610.0,24640.0,24600.0,24600.0,1985-01-08,24610.0,24640.0,24600.0,24600.0,24610.0,24640.0,24600.0,24600.0,0.0
24610.0,24730.0,24610.0,24730.0,1985-01-09,24610.0,24730.0,24610.0,24730.0,24610.0,24730.0,24610.0,24730.0,0.0
24790.0,25070.0,24790.0,25070.0,1985-01-10,24790.0,25070.0,24790.0,25070.0,24790.0,25070.0,24790.0,25070.0,0.0
25170.0,25220.0,25160.0,25220.0,1985-01-11,25170.0,25220.0,25160.0,25220.0,25170.0,25220.0,25160.0,25220.0,0.0
25220.0,25220.0,25220.0,25220.0,1985-01-12,25220.0,25220.0,25220.0,25220.0,25220.0,25220.0,25220.0,25220.0,0.0
25220.0,25220.0,25220.0,25220.0,1985-01-13,25220.0,25220.0,25220.0,25220.0,25220.0,25220.0,25220.0,25220.0,0.0
25270.0,25550.0,25270.0,25550.0,1985-01-14,25270.0,25550.0,25270.0,25550.0,25270.0,25550.0,25270.0,25550.0,0.0
25730.0,25800.0,25730.0,25780.0,1985-01-15,25730.0,25800.0,25730.0,25780.0,25730.0,25800.0,25730.0,25780.0,0.0
25910.0,26020.0,25910.0,26020.0,1985-01-16,25910.0,26020.0,25910.0,26020.0,25910.0,26020.0,25910.0,26020.0,0.0
26060.0,26120.0,26050.0,26120.0,1985-01-17,26060.0,26120.0,26050.0,26120.0,26060.0,26120.0,26050.0,26120.0,0.0
26210.0,26310.0,26200.0,26310.0,1985-01-18,26210.0,26310.0,26200.0,26310.0,26210.0,26310.0,26200.0,26310.0,0.0
26310.0,26310.0,26310.0,26310.0,1985-01-19,26310.0,26310.0,26310.0,26310.0,26310.0,26310.0,26310.0,26310.0,0.0
