bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
217.765,220.034,216.846,218.331,2024-09-17,218.027,220.3,217.099,218.588,217.896,220.167,216.9725,218.4595,0.257000000000005
218.332,220.731,210.765,214.063,2024-09-18,218.589,221.0,211.023,214.317,218.4605,220.8655,210.894,214.19,0.2540000000000191
214.085,221.002,212.548,217.536,2024-09-19,214.337,221.23,212.793,217.795,214.211,221.116,212.6705,217.6655,0.2589999999999861
217.536,221.591,216.966,219.308,2024-09-20,217.796,221.84,217.22,219.781,217.666,221.7155,217.093,219.5445,0.4730000000000132
219.308,219.308,219.308,219.308,2024-09-21,219.781,219.781,219.781,219.781,219.5445,219.5445,219.5445,219.5445,0.4730000000000132
219.158,219.465,218.606,218.963,2024-09-22,219.588,219.887,218.92,219.229,219.373,219.676,218.763,219.096,0.2660000000000195
218.972,219.711,214.237,216.494,2024-09-23,219.225,219.955,214.482,216.754,219.0985,219.83300000000003,214.3595,216.624,0.2599999999999909
216.495,226.254,215.863,224.983,2024-09-24,216.748,226.505,216.108,225.237,216.6215,226.3795,215.9855,225.11,0.2539999999999907
224.983,226.535,221.906,223.811,2024-09-25,225.227,226.781,222.155,224.076,225.105,226.658,222.0305,223.9435,0.2649999999999863
223.815,228.706,221.859,223.283,2024-09-26,224.072,228.955,222.108,223.659,223.9435,228.8305,221.9835,223.471,0.3760000000000048
223.281,225.576,218.94,220.865,2024-09-27,223.661,225.939,219.302,221.25,223.471,225.7575,219.121,221.0575,0.3849999999999909
220.865,220.865,220.865,220.865,2024-09-28,221.25,221.25,221.25,221.25,221.0575,221.0575,221.0575,221.0575,0.3849999999999909
220.817,222.406,220.789,221.614,2024-09-29,221.481,222.816,221.313,221.982,221.149,222.611,221.051,221.798,0.367999999999995
221.572,222.298,216.565,219.049,2024-09-30,221.94,222.664,216.937,219.4,221.756,222.481,216.751,219.2245,0.3509999999999991
219.05,223.925,218.719,220.572,2024-10-01,219.399,224.27,219.071,220.915,219.2245,224.09750000000005,218.895,220.7435,0.3429999999999893
220.532,227.144,217.593,224.107,2024-10-02,220.869,227.478,217.927,224.376,220.7005,227.311,217.76,224.2415,0.2690000000000054
224.054,226.962,221.131,225.796,2024-10-03,224.329,227.221,221.387,226.047,224.1915,227.0915,221.259,225.9215,0.2510000000000048
225.753,233.759,223.331,228.338,2024-10-04,226.005,234.005,223.582,228.766,225.879,233.882,223.4565,228.552,0.4279999999999972
228.338,228.338,228.338,228.338,2024-10-05,228.766,228.766,228.766,228.766,228.552,228.552,228.552,228.552,0.4279999999999972
