bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
388.558,391.019,388.207,389.234,2017-12-01,390.399,393.0,390.192,391.572,389.4785,392.0095,389.1995,390.403,2.3380000000000223
389.234,389.234,389.234,389.234,2017-12-02,391.572,391.572,391.572,391.572,390.403,390.403,390.403,390.403,2.3380000000000223
389.234,389.234,389.234,389.234,2017-12-03,391.572,391.572,391.572,391.572,390.403,390.403,390.403,390.403,2.3380000000000223
388.787,389.76,387.426,387.974,2017-12-04,391.119,391.682,389.472,389.923,389.953,390.721,388.449,388.9485,1.9490000000000125
387.73,390.636,387.131,388.512,2017-12-05,389.608,392.737,389.06,390.384,388.669,391.6865,388.0955,389.448,1.872000000000014
387.232,387.567,381.646,382.988,2017-12-06,389.073,389.403,383.743,385.394,388.1525,388.485,382.6945,384.191,2.406000000000006
383.464,385.108,381.628,382.843,2017-12-07,385.923,387.133,383.554,384.768,384.6935,386.1205,382.591,383.8055,1.9249999999999543
383.39,388.134,383.338,387.047,2017-12-08,385.307,390.345,385.307,389.042,384.3485,389.2395,384.3225,388.0445,1.994999999999948
387.047,387.047,387.047,387.047,2017-12-09,389.042,389.042,389.042,389.042,388.0445,388.0445,388.0445,388.0445,1.994999999999948
387.047,387.047,387.047,387.047,2017-12-10,389.042,389.042,389.042,389.042,388.0445,388.0445,388.0445,388.0445,1.994999999999948
389.603,391.427,389.45,391.299,2017-12-11,391.816,393.398,391.336,392.933,390.7095,392.4125,390.393,392.116,1.6340000000000146
391.181,392.258,389.744,391.97,2017-12-12,393.235,394.263,391.68,393.764,392.208,393.2605,390.712,392.867,1.7939999999999827
391.292,392.97,390.147,392.459,2017-12-13,393.355,394.959,392.209,394.616,392.3235,393.9645,391.178,393.5375,2.1569999999999823
392.992,393.581,388.017,389.057,2017-12-14,395.132,395.287,390.157,391.184,394.062,394.434,389.087,390.1205,2.127000000000009
386.242,387.56,385.586,385.99,2017-12-15,388.338,389.602,387.624,388.375,387.29,388.581,386.605,387.1825,2.384999999999991
385.99,385.99,385.99,385.99,2017-12-16,388.375,388.375,388.375,388.375,387.1825,387.1825,387.1825,387.1825,2.384999999999991
385.99,385.99,385.99,385.99,2017-12-17,388.375,388.375,388.375,388.375,387.1825,387.1825,387.1825,387.1825,2.384999999999991
386.424,387.149,384.292,385.623,2017-12-18,388.208,389.13,386.161,387.803,387.316,388.1395,385.2265,386.713,2.180000000000007
386.817,387.557,385.097,385.461,2017-12-19,388.38,389.572,387.097,387.689,387.5985,388.5645,386.097,386.5750000000001,2.2280000000000086
385.115,385.734,383.726,385.019,2017-12-20,387.322,387.71,385.761,387.387,386.2185,386.722,384.7435,386.203,2.367999999999995
383.856,385.022,382.97,383.268,2017-12-21,386.159,387.057,384.961,385.424,385.0075,386.0395,383.9655,384.346,2.156000000000006
384.704,385.546,383.08,383.796,2017-12-22,386.7,387.553,385.252,386.217,385.702,386.5495,384.166,385.0065,2.4209999999999923
383.796,383.796,383.796,383.796,2017-12-23,386.217,386.217,386.217,386.217,385.0065,385.0065,385.0065,385.0065,2.4209999999999923
383.796,383.796,383.796,383.796,2017-12-24,386.217,386.217,386.217,386.217,385.0065,385.0065,385.0065,385.0065,2.4209999999999923
383.699,383.699,383.699,383.699,2017-12-25,386.076,386.076,386.076,386.076,384.8875000000001,384.8875000000001,384.8875000000001,384.8875000000001,2.377000000000009
384.022,384.446,381.997,382.944,2017-12-26,386.064,386.352,384.018,385.535,385.043,385.399,383.0075,384.2395,2.591000000000008
384.251,385.975,383.344,385.138,2017-12-27,385.825,387.892,385.346,386.978,385.038,386.9335,384.345,386.058,1.840000000000032
385.126,387.357,384.859,386.047,2017-12-28,387.272,389.307,387.025,388.552,386.199,388.332,385.942,387.2995,2.5049999999999955
386.439,387.494,384.92,386.615,2017-12-29,388.678,389.431,386.91,388.635,387.5585,388.4625,385.915,387.625,2.019999999999982
386.615,386.615,386.615,386.615,2017-12-30,388.635,388.635,388.635,388.635,387.625,387.625,387.625,387.625,2.019999999999982
386.668,386.668,386.668,386.668,2018-01-01,388.495,388.495,388.495,388.495,387.5815,387.5815,387.5815,387.5815,1.8269999999999984
387.379,391.206,386.609,390.357,2018-01-02,388.944,393.195,388.725,392.496,388.1615000000001,392.2005,387.667,391.4265,2.138999999999953
391.449,395.592,390.808,394.614,2018-01-03,393.706,397.6,392.81,397.189,392.5775,396.596,391.809,395.9015,2.575000000000045
395.859,400.281,395.267,399.868,2018-01-04,398.078,402.277,397.146,402.172,396.9685,401.279,396.2065,401.02,2.3040000000000305
399.987,400.467,397.142,398.648,2018-01-05,401.754,402.319,399.162,400.523,400.8705,401.393,398.152,399.5855,1.875
398.648,398.648,398.648,398.648,2018-01-06,400.523,400.523,400.523,400.523,399.5855,399.5855,399.5855,399.5855,1.875
398.648,398.648,398.648,398.648,2018-01-07,400.523,400.523,400.523,400.523,399.5855,399.5855,399.5855,399.5855,1.875
399.614,401.151,398.381,400.885,2018-01-08,401.522,403.23,400.37,403.04,400.568,402.1905,399.3755,401.9625,2.1550000000000296
401.099,403.248,400.539,401.959,2018-01-09,402.767,405.195,402.381,403.997,401.933,404.2215,401.46,402.978,2.038000000000011
401.295,402.184,400.545,401.564,2018-01-10,402.999,404.277,402.547,403.847,402.1470000000001,403.2305,401.5460000000001,402.7055,2.2829999999999586
401.934,402.415,400.656,401.007,2018-01-11,404.076,404.456,402.642,403.16,403.005,403.4355000000001,401.649,402.0835,2.15300000000002
