bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
2.84046,2.84092,2.83057,2.83397,2024-09-17,2.84088,2.84168,2.83192,2.83446,2.8406700000000003,2.8413000000000004,2.831245,2.834215,0.0004900000000001
2.83391,2.85073,2.83189,2.83379,2024-09-18,2.83447,2.85133,2.83244,2.83429,2.83419,2.85103,2.832165,2.83404,0.0005000000000001
2.83382,2.84641,2.82278,2.84142,2024-09-19,2.83428,2.84684,2.82327,2.84197,2.83405,2.846625,2.823025,2.841695,0.00055
2.84149,2.85002,2.8383,2.84513,2024-09-20,2.84199,2.85042,2.83918,2.84632,2.84174,2.85022,2.83874,2.845725,0.0011899999999998
2.84513,2.84513,2.84513,2.84513,2024-09-21,2.84632,2.84632,2.84632,2.84632,2.845725,2.845725,2.845725,2.845725,0.0011899999999998
2.84328,2.84619,2.8419,2.845,2024-09-22,2.84713,2.84857,2.84502,2.84556,2.845205,2.84738,2.84346,2.84528,0.0005599999999996
2.84497,2.84716,2.83928,2.84479,2024-09-23,2.84542,2.84773,2.83976,2.84538,2.845195,2.847445,2.8395200000000003,2.845085,0.0005899999999998
2.84484,2.86378,2.84294,2.86376,2024-09-24,2.84535,2.86439,2.84346,2.86436,2.845095,2.864085,2.8432,2.8640600000000003,0.0005999999999999
2.86375,2.86416,2.84534,2.84725,2024-09-25,2.86434,2.86471,2.8469,2.84778,2.864045,2.8644350000000003,2.84612,2.847515,0.0005300000000003
2.84727,2.86343,2.84721,2.86041,2024-09-26,2.84775,2.86395,2.84773,2.86096,2.84751,2.86369,2.84747,2.860685,0.00055
2.86045,2.87162,2.85522,2.86684,2024-09-27,2.86096,2.87228,2.85569,2.86815,2.8607050000000003,2.87195,2.855455,2.867495,0.0013100000000001
2.86684,2.86684,2.86684,2.86684,2024-09-28,2.86815,2.86815,2.86815,2.86815,2.867495,2.867495,2.867495,2.867495,0.0013100000000001
2.86504,2.86792,2.86489,2.86767,2024-09-29,2.86896,2.86899,2.86792,2.86875,2.867,2.868455,2.866405,2.86821,0.0010799999999999
2.86768,2.87063,2.85547,2.8579,2024-09-30,2.86876,2.87102,2.856,2.85841,2.86822,2.870825,2.855735,2.858155,0.0005100000000002
2.85781,2.8605,2.84763,2.8508,2024-10-01,2.85835,2.86099,2.84838,2.85152,2.85808,2.860745,2.848005,2.85116,0.0007199999999998
2.85075,2.85487,2.84061,2.84237,2024-10-02,2.85146,2.85564,2.84106,2.84287,2.851105,2.855255,2.840835,2.84262,0.0005000000000001
2.84233,2.84261,2.82832,2.83224,2024-10-03,2.84282,2.84307,2.82908,2.83297,2.842575,2.84284,2.8287,2.832605,0.0007299999999998
2.8322,2.83454,2.81165,2.81452,2024-10-04,2.83295,2.83494,2.8121,2.81562,2.832575,2.83474,2.811875,2.81507,0.0011000000000001
2.81452,2.81452,2.81452,2.81452,2024-10-05,2.81562,2.81562,2.81562,2.81562,2.81507,2.81507,2.81507,2.81507,0.0011000000000001
